alpha,epsilon,performance
0.0,0.0,134152.8478318291
0.0,0.01,139326.65764231552
0.0,0.02,154495.13774037283
0.0,0.03,151822.75334916374
0.0,0.04,139471.10943491882
0.0,0.05,138981.03125290637
0.0,0.06,129070.09661946546
0.0,0.07,122474.92505562924
0.0,0.08,115049.55739765102
0.0,0.09,106083.17595277065
0.0,0.1,107846.98151148336
0.0,0.11,102979.81567627218
0.0,0.12,98369.65511621669
0.0,0.13,82713.02643881754
0.0,0.14,88068.98749188213
0.0,0.15,73150.14373196944
0.0,0.16,78540.74837676692
0.0,0.17,71789.54357441951
0.0,0.18,69628.7661605791
0.0,0.19,66696.59215769115
0.0,0.2,64982.027724355125
0.0,0.21,62812.883227168306
0.0,0.22,56705.176419899595
0.0,0.23,57160.31639745596
0.0,0.24,53488.85434343132
0.0,0.25,45654.49795726371
0.0,0.26,43940.4556510226
0.0,0.27,40724.54997328656
0.0,0.28,35130.555806322285
0.0,0.29,43294.74261307358
0.0,0.3,40641.38365229081
0.0,0.31,33597.63740251936
0.0,0.32,29068.581734842708
0.0,0.33,31077.06048135085
0.0,0.34,30215.952628323892
0.0,0.35,26024.44788488406
0.0,0.36,20595.275109855967
0.0,0.37,24810.42909235549
0.0,0.38,24770.824629787046
0.0,0.39,19835.519385521846
0.0,0.4,14864.93759011256
0.0,0.41,11918.637204642822
0.0,0.42,10089.683346800355
0.0,0.43,8125.086739959055
0.0,0.44,6894.894551841173
0.0,0.45,6584.298378846021
0.0,0.46,-599.1146435902956
0.0,0.47,-1131.6005674445332
0.0,0.48,2449.9354328707323
0.0,0.49,-1851.5098218437488
0.0,0.5,-1326.4623505587733
0.0,0.51,-3110.2244341383594
0.0,0.52,-4965.8444070959395
0.0,0.53,-6650.00895637971
0.0,0.54,-13290.523439141585
0.0,0.55,-11897.733494523609
0.0,0.56,-16915.296874157466
0.0,0.57,-15524.176388132342
0.0,0.58,-20870.46350555048
0.0,0.59,-22409.55077648271
0.0,0.6,-26090.147700021702
0.0,0.61,-20278.437378267885
0.0,0.62,-23840.194712271084
0.0,0.63,-27856.88669002971
0.0,0.64,-28047.7706342049
0.0,0.65,-29498.17560882782
0.0,0.66,-31041.837084155843
0.0,0.67,-31260.678752980406
0.0,0.68,-32829.48120068118
0.0,0.69,-34606.719230678864
0.0,0.7,-34511.98053769254
0.0,0.71,-36974.62209518995
0.0,0.72,-38977.29213544197
0.0,0.73,-43565.27317332353
0.0,0.74,-42852.401756265404
0.0,0.75,-47446.794013732935
0.0,0.76,-48420.01166621943
0.0,0.77,-49650.01599906021
0.0,0.78,-50283.2692360865
0.0,0.79,-50294.83652508953
0.0,0.8,-53308.335362355974
0.0,0.81,-53285.00087927887
0.0,0.82,-53800.75960380068
0.0,0.83,-59406.79846209321
0.0,0.84,-63231.44662143593
0.0,0.85,-60570.50329257078
0.0,0.86,-64763.43151542726
0.0,0.87,-67213.67159234555
0.0,0.88,-67889.07271220155
0.0,0.89,-65311.61485103564
0.0,0.9,-67257.83309920908
0.0,0.91,-74418.9088289892
0.0,0.92,-72178.33604748742
0.0,0.93,-75432.05789398783
0.0,0.94,-80109.96349737095
0.0,0.95,-83783.86985226543
0.0,0.96,-83671.08507076366
0.0,0.97,-86572.9765263483
0.0,0.98,-91454.81448533101
0.0,0.99,-91653.67157538424
0.0,1.0,-94996.11115800362
0.01,0.0,134152.8478318291
0.01,0.01,165708.31297182562
0.01,0.02,177632.76429880876
0.01,0.03,182052.12526953805
0.01,0.04,180945.1384596364
0.01,0.05,174617.8434911263
0.01,0.06,170334.6209456834
0.01,0.07,167569.1702088593
0.01,0.08,155459.86680987183
0.01,0.09,156148.4277546319
0.01,0.1,153663.37142780743
0.01,0.11,140324.47657324988
0.01,0.12,142915.6999711422
0.01,0.13,132761.06528123867
0.01,0.14,129169.5463917332
0.01,0.15,119721.82365881735
0.01,0.16,104895.05869676625
0.01,0.17,109810.80333558585
0.01,0.18,104879.8323797534
0.01,0.19,102911.81388456168
0.01,0.2,97389.54843346286
0.01,0.21,88727.57946525344
0.01,0.22,86470.94884270454
0.01,0.23,88816.00370393784
0.01,0.24,76938.81263779847
0.01,0.25,75414.2656446547
0.01,0.26,77789.61495115103
0.01,0.27,72200.43631328427
0.01,0.28,66192.90479501858
0.01,0.29,65391.7489905703
0.01,0.3,61953.38269271594
0.01,0.31,56487.787734573176
0.01,0.32,52657.88541307444
0.01,0.33,52597.34496338582
0.01,0.34,47266.93043633616
0.01,0.35,48229.75590999164
0.01,0.36,43137.820385829844
0.01,0.37,43831.95245652234
0.01,0.38,40575.6020896481
0.01,0.39,32130.337732645483
0.01,0.4,34320.10020046501
0.01,0.41,27310.41576160831
0.01,0.42,27382.79981660046
0.01,0.43,25954.220682386982
0.01,0.44,18370.36486037811
0.01,0.45,23220.298299482634
0.01,0.46,16310.178590023446
0.01,0.47,14391.046920621324
0.01,0.48,12655.167032976067
0.01,0.49,8385.729527845277
0.01,0.5,10175.530899977872
0.01,0.51,4187.631373055749
0.01,0.52,176.81495509757224
0.01,0.53,2179.694913945488
0.01,0.54,-2907.0709258189563
0.01,0.55,-3880.646240138911
0.01,0.56,-4878.346606825493
0.01,0.57,-7999.728519082566
0.01,0.58,-9512.711734250126
0.01,0.59,-11020.445534790153
0.01,0.6,-14120.07591974246
0.01,0.61,-17613.55314875009
0.01,0.62,-19337.55817926522
0.01,0.63,-19924.257441285958
0.01,0.64,-23309.30081931462
0.01,0.65,-23930.507833417018
0.01,0.66,-27463.296503074238
0.01,0.67,-28789.02116491497
0.01,0.68,-29595.815256573387
0.01,0.69,-31428.250936297227
0.01,0.7,-32744.424820289332
0.01,0.71,-38097.44876305428
0.01,0.72,-39313.0983176638
0.01,0.73,-38611.03101764119
0.01,0.74,-41916.977668844964
0.01,0.75,-44446.121423424614
0.01,0.76,-45305.03241977873
0.01,0.77,-48875.926862093635
0.01,0.78,-46118.81693208826
0.01,0.79,-50143.816191543614
0.01,0.8,-50220.15101458013
0.01,0.81,-54081.018736671336
0.01,0.82,-55703.7193905608
0.01,0.83,-56475.94716174811
0.01,0.84,-60376.05220610331
0.01,0.85,-63347.31255651194
0.01,0.86,-65572.53876546097
