female,male
144405000,144405000
111970000,109182000
118722000,112885000
83647000,77554000
65073000,58828000
62092000,54728000
100187000,86082000
128289000,107430000
61986000,50560000
65835000,52242000
59802679,40645134
53226184,36175393
47372906,32197188
42163312,28656467
37526617,25505118
33399818,22700323
29726844,20203970
26457785,17982142
23548225,16004647
20958629,14244618
11203523,4588330
9971473,4083752
8874911,3634662
7898938,3234959
7030292,2879211
6257172,2562584
5569071,2280777
4956641,2029960
4411560,1806726
3926421,1608040
2803917,553144
2495571,492315
2221133,438175
1976875,389989
1759479,347102
1565989,308931
1393777,274958
1240504,244721
1104086,217809
982669,193857
1104530,128017
983065,113939
874957,101409
778738,90257
693101,80332
616880,71498
549042,63635
488664,56637
434926,50409
387097,44865
234938,17101
209102,15220
186107,13547
165641,12057
147426,10731
131213,9551
116784,8501
103941,7566
92511,6734
82337,5993
94455,3996
84068,3556
74823,3165
66594,2817
59271,2507
52753,2232
46952,1986
41789,1768
37193,1573
33103,1400
