female,male
55290330,55290330
48458750,48458750
47654750,47654750
46541110,46541110
44709210,44709210
42629550,42629550
40488660,40488660
36908900,36908900
33454520,33454520
30830700,30830700
25297790,25297790
22612100,22612100
18503470,18503470
15183774,15183774
12783098,12783098
10864680,10864680
9110612,9110612
7543108,7543108
6140446,6140446
5018410,5018410
4096444,4096444
3341725,3341725
2914780,2914780
2640380,2640380
2238814,2238814
1811878,1811878
1473012,1473012
1234608,1234608
1027767,1027767
828821,828821
675390,675390
550599,550599
432590,432590
318037,318037
243665,243665
193247,193247
155993,155993
127734,127734
106091,106091
89196,89196
75668,75668
64619,64619
55510,55510
48040,48040
42011,42011
37222,37222
33441,33441
30436,30436
28008,28008
25993,25993
24264,24264
22724,22724
21301,21301
19942,19942
18613,18613
17294,17294
15979,15979
14674,14674
13389,13389
12138,12138
10626,10626
9282,9282
8082,8082
7018,7018
6082,6082
5265,5265
4559,4559
3949,3949
3426,3426
2977,2977
2660,2660
2378,2378
2125,2125
1900,1900
1698,1698
1518,1518
1358,1358
1214,1214
1086,1086
971,971
8229,8229
