female,male
48015200,48015200
31859700,31859700
27890100,27890100
26872300,26872300
21617000,21617000
29661600,29661600
31199400,31199400
22009900,22009900
54019800,54019800
20670200,20670200
32568600,32568600
25572100,25572100
20778300,20778300
18527100,18527100
15676900,15676900
11717800,11717800
11165100,11165100
10121900,10121900
7798320,7798320
6376800,6376800
3706330,3706330
2931980,2931980
3467300,3467300
3564050,3564050
2648270,2648270
1570150,1570150
1318160,1318160
1392120,1392120
1023770,1023770
841093,841093
922928,922928
1039060,1039060
665826,665826
440119,440119
320670,320670
239751,239751
180535,180535
139450,139450
112217,112217
93782,93782
80267,80267
68888,68888
58318,58318
48653,48653
40401,40401
33765,33765
28614,28614
24676,24676
21671,21671
19363,19363
17567,17567
16146,16146
14996,14996
14041,14041
13222,13222
12492,12492
11814,11814
11160,11160
10506,10506
9836,9836
9141,9141
8421,8421
7684,7684
6947,6947
6227,6227
5542,5542
4906,4906
4327,4327
2893,2893
2583,2583
2307,2307
2061,2061
1841,1841
1646,1646
1471,1471
1314,1314
1175,1175
1050,1050
939,939
840,840
7110,7110
192634,179209
182907,169855
173903,161209
165534,153186
157723,145714
150407,138731
143529,132184
137043,126029
130911,120226
125098,114742
119578,109549
114324,104623
109325,99948
104563,95508
100014,91279
95664,87246
91501,83396
87515,79720
83675,76187
1737620,1585840
