female,male
603000,603000
884000,897000
223000,230000
1756000,1846000
940000,1010000
1912000,2112000
3961000,4510000
5137000,6045000
6664000,8134000
1252000,1594000
1594997,2422514
1472368,2236262
1359167,2064330
1254669,1905617
1158206,1759106
1069159,1623860
986958,1499011
911077,1383762
841030,1277373
776369,1179164
1016420,1854268
938274,1711705
866136,1580103
799544,1458619
738072,1346475
681327,1242953
628944,1147390
580588,1059175
535951,977742
494745,902569
553446,1318135
510895,1216792
471616,1123240
435356,1036881
401884,957162
370986,883572
342463,815640
316133,752930
291828,695042
269391,641605
283425,766922
261634,707959
241519,653528
222950,603282
205809,556900
189985,514083
175379,474559
161895,438073
149448,404392
137958,373301
126354,469396
116640,433307
107672,399993
99394,369240
91752,340852
84698,314646
78186,290455
72175,268123
66626,247509
61503,228480
