female, male
14190070,14190070
13101511,13101511
12254136,12254136
11433311,11433325
10851745,10851889
10334266,10334765
9506131,9507441
8577527,8580239
7880079,7885037
7456449,7464779
7284945,7297952
7247500,7266280
7120707,7145328
6892725,6922532
6568778,6602819
6258492,6296759
6146435,6190923
6132345,6184734
6090973,6151741
5964459,6033150
5700903,5775978
5320521,5399780
4925023,5006721
4548155,4630877
4176466,4258639
3796769,3876695
3420498,3496747
3074083,3145715
2779656,2846214
2535730,2596873
2335289,2390731
2173691,2223347
2035407,2079231
1902768,1940684
1772156,1804279
1644948,1671577
1519567,1541040
1393727,1410357
1266912,1279044
1142053,1150112
1024513,1029047
920345,921972
834936,834267
770565,768096
725721,721787
697166,691950
681665,675232
676440,668769
679218,670233
688213,677803
701949,689989
719081,705448
738141,722734
757306,740068
774361,755302
786893,766102
792780,770436
790694,767045
780237,755581
761686,736345
735789,710093
703590,677859
666374,640908
625686,600741
583284,559059
540999,517618
500432,477949
462664,441079
428211,407483
397160,377236
369340,350158
344453,325953
322161,304288
302137,284841
284081,267320
267730,251465
252855,237055
239261,223899
226780,211835
215273,200727
204616,190456
194708,180925
185460,172047
176798,163751
168658,155974
160986,148664
153737,141777
146872,135274
140355,129119
134160,123285
128260,117746
122631,112475
117257,107458
112119,102674
107204,98109
102506,93757
98015,89606
93716,85642
89603,81858
85666,78242
1762807,1615820

