female,male
13709900,13709900
14484300,14484300
13646300,13646300
13285800,13285800
13495100,13495400
12711300,12712200
10039600,10041800
7868890,7872900
6833850,6840800
6495610,6507110
6854340,6873110
7184620,7212100
7954960,7993800
7933670,7979580
5845520,5883340
4462030,4493010
4099460,4129260
4382150,4415130
5269560,5310570
5884770,5932440
5522670,5569830
5034590,5080720
4791570,4839660
4763350,4816880
4742710,4803500
4558610,4625950
4191880,4263200
3808650,3882300
3405310,3478440
2928580,2996340
2502230,2562600
2210330,2264210
1975420,2022780
1777790,1818860
1652070,1688370
1601410,1634520
1598030,1628670
1594780,1622450
1554460,1577920
1459410,1477470
1308630,1320830
1130470,1137370
963912,966737
827977,827946
723856,721889
648041,644741
595272,590984
560633,555512
539726,533802
528950,522178
525721,518016
528202,519466
535198,525327
545960,534843
560016,547527
577119,563108
596509,580823
617672,600167
639445,620025
660053,638699
676730,653552
685588,660869
682730,656944
665647,639412
635113,609065
595383,570021
551610,527234
507754,484493
466303,444169
428400,407340
394396,374329
364142,344979
337305,318965
313489,295896
292300,275389
273380,257092
256411,240696
241121,225935
227279,212583
214689,200447
203188,189368
192634,179209
182907,169855
173903,161209
165534,153186
157723,145714
150407,138731
143529,132184
137043,126029
130911,120226
125098,114742
119578,109549
114324,104623
109325,99948
104563,95508
100014,91279
95664,87246
91501,83396
87515,79720
83675,76187
1737620,1585840
