female,male
48782,48782
45535,45587
42484,42582
39554,39690
36748,36916
34125,34318
32308,32525
30350,30585
30041,30302
29006,29283
29501,29804
29405,29722
29501,29823
29027,29334
29086,29367
29036,29271
28442,28605
26833,26901
25559,25524
23773,23631
21800,21558
19730,19403
17964,17566
16118,15675
13079,12594
14472,14000
11651,11174
10275,9821
9090,8667
8036,7648
7051,6704
6196,5888
5448,5178
4807,4573
4251,4049
3775,3603
3360,3215
3001,2880
2698,2598
2429,2348
2198,2133
1996,1947
1827,1790
1673,1646
1538,1521
1420,1410
1315,1311
1222,1224
1138,1144
1063,1073
994,1008
874,892
932,947
820,840
771,792
725,747
684,706
645,667
608,631
575,598
543,567
515,539
489,513
464,488
440,464
417,440
395,418
375,396
355,376
336,357
318,339
302,321
286,305
271,289
257,274
243,261
231,248
219,235
208,224
198,213
188,203
178,193
170,184
161,175
154,167
146,159
139,152
133,145
126,138
120,132
115,126
109,120
104,115
99,109
95,104
90,100
86,95
82,91
78,87
75,83
1568,1790
