Year,State,Species,Weight,Price
2009,C,DOVER SOLE,"3,164.6",$0.37
2009,O,DOVER SOLE,"7,454.6",$0.32
2009,W,DOVER SOLE,"1,093.6",$0.32
2010,C,DOVER SOLE,"2,619.8",$0.31
2010,O,DOVER SOLE,"6,883.1",$0.30
2010,W,DOVER SOLE,860.1,$0.30
2011,C,DOVER SOLE,"2,399.8",$0.42
2011,O,DOVER SOLE,"4,738.9",$0.41
2011,W,DOVER SOLE,583.7,$0.34
2012,C,DOVER SOLE,"2,134.2",$0.41
2012,O,DOVER SOLE,"4,448.1",$0.42
2012,W,DOVER SOLE,683.4,$0.43
2013,C,DOVER SOLE,"2,177.9",$0.44
2013,O,DOVER SOLE,"5,144.8",$0.45
2013,W,DOVER SOLE,597.5,$0.41
2014,C,DOVER SOLE,"1,885.0",$0.45
2014,O,DOVER SOLE,"4,241.3",$0.45
2014,W,DOVER SOLE,249.0,$0.43
2015,C,DOVER SOLE,"1,884.3",$0.45
2015,O,DOVER SOLE,"4,166.8",$0.45
2015,W,DOVER SOLE,257.3,$0.44
2009,C,LONGSPINE THORNYHEAD,522.0,$0.37
2009,O,LONGSPINE THORNYHEAD,544.3,$0.28
2009,W,LONGSPINE THORNYHEAD,39.3,$0.28
2010,C,LONGSPINE THORNYHEAD,503.0,$0.39
2010,O,LONGSPINE THORNYHEAD,746.6,$0.31
2010,W,LONGSPINE THORNYHEAD,28.0,$0.41
2011,C,LONGSPINE THORNYHEAD,422.7,$0.45
2011,O,LONGSPINE THORNYHEAD,335.0,$0.37
2011,W,LONGSPINE THORNYHEAD,128.1,$0.46
2012,C,LONGSPINE THORNYHEAD,477.2,$0.48
2012,O,LONGSPINE THORNYHEAD,332.8,$0.41
2012,W,LONGSPINE THORNYHEAD,49.7,$0.46
2013,C,LONGSPINE THORNYHEAD,617.2,$0.48
2013,O,LONGSPINE THORNYHEAD,358.9,$0.38
2013,W,LONGSPINE THORNYHEAD,48.6,$0.42
2014,C,LONGSPINE THORNYHEAD,589.2,$0.46
2014,O,LONGSPINE THORNYHEAD,228.9,$0.36
2014,W,LONGSPINE THORNYHEAD,29.5,$0.52
2015,C,LONGSPINE THORNYHEAD,483.8,$0.49
2015,O,LONGSPINE THORNYHEAD,205.3,$0.36
2015,W,LONGSPINE THORNYHEAD,-,-
2009,C,SABLEFISH,850.1,$1.79
2009,O,SABLEFISH,"1,933.2",$1.93
2009,W,SABLEFISH,174.4,$2.29
2010,C,SABLEFISH,710.4,$1.96
2010,O,SABLEFISH,"1,635.8",$2.01
2010,W,SABLEFISH,94.6,$2.48
2011,C,SABLEFISH,477.1,$2.90
2011,O,SABLEFISH,984.9,$2.40
2011,W,SABLEFISH,196.4,$3.05
2012,C,SABLEFISH,445.5,$1.95
2012,O,SABLEFISH,897.2,$1.73
2012,W,SABLEFISH,139.4,$2.17
2013,C,SABLEFISH,425.2,$1.61
2013,O,SABLEFISH,872.9,$1.62
2013,W,SABLEFISH,79.4,$1.76
2014,C,SABLEFISH,442.9,$2.21
2014,O,SABLEFISH,718.8,$1.98
2014,W,SABLEFISH,75.8,$2.13
2015,C,SABLEFISH,435.9,$2.36
2015,O,SABLEFISH,984.0,$1.98
2015,W,SABLEFISH,17.7,$2.41
2009,C,SHORTSPINE THORNYHEAD,299.0,$0.81
2009,O,SHORTSPINE THORNYHEAD,862.9,$0.53
2009,W,SHORTSPINE THORNYHEAD,91.0,$0.51
2010,C,SHORTSPINE THORNYHEAD,274.1,$0.86
2010,O,SHORTSPINE THORNYHEAD,707.5,$0.53
2010,W,SHORTSPINE THORNYHEAD,62.8,$0.51
2011,C,SHORTSPINE THORNYHEAD,219.6,$0.83
2011,O,SHORTSPINE THORNYHEAD,368.2,$0.59
2011,W,SHORTSPINE THORNYHEAD,94.9,$0.51
2012,C,SHORTSPINE THORNYHEAD,248.2,$0.93
2012,O,SHORTSPINE THORNYHEAD,356.9,$0.65
2012,W,SHORTSPINE THORNYHEAD,86.2,$0.54
2013,C,SHORTSPINE THORNYHEAD,269.6,$0.95
2013,O,SHORTSPINE THORNYHEAD,483.4,$0.62
2013,W,SHORTSPINE THORNYHEAD,62.7,$0.57
2014,C,SHORTSPINE THORNYHEAD,234.5,$1.06
2014,O,SHORTSPINE THORNYHEAD,378.3,$0.64
2014,W,SHORTSPINE THORNYHEAD,48.9,$0.87
2015,C,SHORTSPINE THORNYHEAD,229.5,$1.07
2015,O,SHORTSPINE THORNYHEAD,437.4,$0.61
2015,W,SHORTSPINE THORNYHEAD,33.7,$0.72
2009,O,YELLOWEYE ROCKFISH,0.0,$0.50
2009,W,YELLOWEYE ROCKFISH,-,-
2010,W,YELLOWEYE ROCKFISH,-,-
2011,O,YELLOWEYE ROCKFISH,-,-
2011,W,YELLOWEYE ROCKFISH,0.0,$0.25
2012,C,YELLOWEYE ROCKFISH,-,-
2012,O,YELLOWEYE ROCKFISH,0.0,$0.55
2012,W,YELLOWEYE ROCKFISH,0.0,$0.70
2013,C,YELLOWEYE ROCKFISH,-,-
2013,O,YELLOWEYE ROCKFISH,-,-
2013,W,YELLOWEYE ROCKFISH,0.0,$0.32
2014,C,YELLOWEYE ROCKFISH,-,-
2014,O,YELLOWEYE ROCKFISH,0.0,$0.56
2014,W,YELLOWEYE ROCKFISH,-,-
2015,C,YELLOWEYE ROCKFISH,-,-
2015,O,YELLOWEYE ROCKFISH,0.0,$0.57
2015,W,YELLOWEYE ROCKFISH,-,-
