run,quota,acceptable,cashflow,red_biomass,blue_biomass,red_landings,blue_landings
0,500,0.1,110914.34899378344,2891827.8485956276,2916902.304916475,91212.33499999998,13000.1
0,500,0.2,111490.72335889027,2904763.1685089455,2915003.971781063,88000.10999999999,14000.115000000002
0,500,0.3,115393.48820744781,2897164.5317508997,2916862.2165776184,100000.125,12500.11
0,500,0.4,116202.52750746127,2894341.9713310534,2916780.957744112,100000.125,12500.1
0,500,0.5,109795.16676601655,2907443.476542876,2915084.5150656374,96500.12,13000.119999999999
0,500,0.6,117039.42433294473,2895247.9790411685,2916560.0309016826,98700.12,13000.095
0,500,0.7,105243.02900678161,2911311.4732937086,2911262.2706263084,99800.1,14000.105000000001
0,500,0.8,103460.62771456639,2904182.1208122317,2902882.0167635935,89100.07,18400.144999999997
0,500,0.9,114796.15544034535,2839327.4995490694,2899452.7509327466,120700.07,19200.134999999995
0,500,1.0,106104.82129162131,2857193.8295336864,2895359.888100076,104200.03,22500.164999999997
0,500,1.1,108131.27746477863,2848659.143929499,2897208.802809524,114100.08,19100.129999999997
0,500,1.2,111828.24132618135,2765823.2048869464,2892034.787550134,105500.04000000001,22700.159999999996
0,500,1.3,101716.0440893919,2826963.075469428,2890866.8465689705,85100.025,23600.159999999996
0,500,1.4,95683.77704611533,2855312.6968038855,2892293.8090466317,98100.045,21700.155
0,500,1.5,92775.22961893956,2838246.7950336593,2890245.562795478,87000.03,23300.164999999997
0,500,1.6,87422.77015710174,2846709.621891348,2888899.914664815,75900.025,23000.165
0,500,1.7,90198.00219468631,2837423.108848093,2887773.6868135347,78300.02,24100.164999999997
0,500,1.8,87729.95339378915,2845962.978349419,2889128.451371795,75300.02,24000.190000000002
0,500,1.9,82211.92064337284,2870257.4573433157,2886511.3068164466,61000.01,24600.19
0,500,2.0,84710.31680358284,2861935.741205424,2888186.3567697643,60400.01,24600.185
0,500,9999,64646.64577400054,2898685.860695615,2845750.9685877827,49302.67999999999,24499.095
0,1000,0.1,123074.38099257724,2890401.1530057425,2895468.221198405,97506.36000000002,25000.085
0,1000,0.2,122731.11133909589,2899675.960296999,2894750.6828630087,100000.125,25000.095
0,1000,0.3,122574.09773876282,2894795.4974790774,2894173.435534417,100000.12,25000.1
0,1000,0.4,116491.74125918577,2913226.597965624,2889699.548646864,96400.105,26000.109999999997
0,1000,0.5,126219.9669046138,2891211.8623898313,2896778.8532544645,115916.98000000001,22000.08
0,1000,0.6,135823.23168102672,2875323.5908938022,2898624.814687595,131600.155,18000.075
0,1000,0.7,139616.98153345782,2865740.3746116715,2875613.5519770896,124400.12,32100.089999999997
0,1000,0.8,152012.4236286765,2831302.208621274,2858925.9048328577,119700.035,45400.174999999996
0,1000,0.9,145100.02661693539,2830560.963487898,2851985.9546571705,99500.055,44800.159999999996
0,1000,1.0,135678.25347087873,2800428.8372846656,2845902.469385691,108055.995,41800.13999999999
0,1000,1.1,138266.51214632997,2775980.2613847293,2839746.93070294,96472.235,47000.18500000001
0,1000,1.2,135148.14380570737,2791830.611330259,2840162.5615108856,102000.04000000001,45300.17999999999
0,1000,1.3,130275.76325439385,2816265.5866522705,2838980.2916963887,100800.04000000001,44800.17
0,1000,1.4,133688.3894030669,2771199.1610521385,2832069.267735814,93900.035,48500.175
0,1000,1.5,125587.53884595937,2814593.680173279,2835041.7241515834,88800.015,46400.17999999999
0,1000,1.6,128439.7792615981,2806937.879390312,2832414.4366642814,67700.0,50000.20999999999
0,1000,1.7,125976.31180283584,2827490.1249700654,2832674.368042856,82500.025,47100.19999999999
0,1000,1.8,127927.11225444486,2780233.294533387,2833132.166191115,92400.02,48500.19
0,1000,1.9,123570.42895422733,2826894.6787754227,2827539.024939074,73100.005,49700.205
0,1000,2.0,122034.4460712118,2844067.726655174,2827939.5287867947,74533.785,49900.215
0,1000,9999,111762.56316399988,2753653.0791153344,2698950.7276729182,104433.375,47299.83
1,500,0.1,103991.13827425752,2886822.2139101266,2917200.1829301002,114050.735,10500.065
1,500,0.2,109939.32888566845,2907104.5746498764,2915575.280277932,92000.11,13500.095000000001
1,500,0.3,110900.35322906057,2900471.719383515,2916212.7004437908,104000.13,12000.11
1,500,0.4,117486.1948486451,2887122.475028322,2918801.7021939936,104000.125,12000.1
1,500,0.5,100870.50582062603,2920446.140441765,2912830.900273504,92000.11499999999,13500.105
1,500,0.6,105333.64602411268,2910724.8077615765,2912153.732876782,90700.09999999999,14000.125
1,500,0.7,105185.84739299116,2912420.7174779978,2908569.511883991,89800.07999999999,16900.11
1,500,0.8,105023.02673930573,2888413.771397882,2901238.303453553,115356.855,19000.15
1,500,0.9,123100.45304244582,2840072.6553484574,2902883.221039417,108900.065,20600.114999999998
1,500,1.0,104983.94784857579,2845411.486573154,2896732.905250807,115184.425,19500.14
1,500,1.1,115074.07024985705,2767806.202066761,2892627.5558162048,105936.295,22400.16
1,500,1.2,105921.55245178036,2828022.2418559226,2893377.3242846546,88500.035,22300.175
1,500,1.3,95857.76797981573,2872948.1562876133,2890946.4214697657,71200.03,23700.190000000002
1,500,1.4,96888.88621055608,2834636.2534769336,2890479.386749515,85300.035,22700.149999999998
1,500,1.5,96607.00984993501,2849938.0632312763,2890836.547809328,80500.015,23800.189999999995
1,500,1.6,95641.55623368116,2835753.7304786197,2888997.335674601,78200.025,23100.179999999997
1,500,1.7,87874.47604027028,2878405.9100792496,2887570.9017381025,67400.01000000001,24200.189999999995
1,500,1.8,86197.57679204585,2864943.4107683655,2888435.246658013,65100.015,23900.175
1,500,1.9,80480.68105457677,2885015.60912428,2888051.860307973,46100.01,24600.170000000002
1,500,2.0,78180.510901673,2903715.2048740406,2888697.2685051844,56500.01,24100.19
1,500,9999,55317.9031201621,2924239.711480528,2846511.235660054,40742.97,24231.145000000004
1,1000,0.1,118668.61803379856,2888829.0893924343,2893510.267685868,88638.0,26000.095
1,1000,0.2,119042.52118296346,2904246.17355194,2893383.2137319064,112000.13499999998,22000.105
1,1000,0.3,116490.49744595357,2908868.430049972,2891027.742328039,96000.12,26000.11
1,1000,0.4,114679.20904592954,2913744.208635963,2887956.383966184,88000.1,28000.105000000003
1,1000,0.5,125101.0518588229,2893076.730347759,2896426.5309713427,121300.13999999998,21000.085
1,1000,0.6,129919.06985438812,2890362.776658881,2893764.8822016707,126400.14499999999,21000.09
1,1000,0.7,133140.74538019695,2843544.761567433,2872058.7937982394,125685.23999999999,35500.130000000005
1,1000,0.8,140471.70102824137,2843431.038595939,2856172.6560393316,122300.06,41100.13500000001
1,1000,0.9,144305.29056796685,2817627.5655992413,2856537.14689854,129300.075,39900.145000000004
1,1000,1.0,135053.0166457014,2850946.246526837,2847756.726146184,101600.035,44600.175
1,1000,1.1,130483.95115771395,2801811.4968963536,2845702.184237021,97700.05,44700.165
1,1000,1.2,139919.23840598942,2737105.909036332,2840913.04001171,116919.19,44800.165
1,1000,1.3,133372.56634381853,2783326.999368563,2837143.171265421,111285.355,47000.16999999999
1,1000,1.4,130911.44944770267,2784790.6438556397,2836335.134715618,98800.03,46800.185000000005
