Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
381825.8800000002,357859.2700000001,748997.8190269339,736932.7404604864,23839.71830857759,381933.0,2878883.07545217,2815972.104084418
323718.55000000005,346737.8400000001,645062.606943872,628936.2779859832,21366.708978025265,294174.0,3171372.5223960415,3068600.732070402
332284.77,307169.61000000004,448382.01941345294,443904.78349507035,20226.717238333335,233020.0,3257698.0518094953,3175278.1855654716
284905.26000000007,345921.68,288725.433967808,276985.7275256381,19876.230889617313,195858.0,3228984.8757773032,3068913.16309111
377057.5799999999,215809.37999999995,196053.26792107857,207830.39455726006,18595.664291023062,191695.0,3004513.453698382,3035892.9676483697
206913.84999999998,368335.02000000025,176023.2636231901,167951.7463018246,18001.85199451818,190336.0,2950286.3073215717,2793971.0539501943
294439.29,274602.16000000003,188317.02861245078,175399.91840514628,17771.339495560376,176555.0,2807211.6559340227,2664196.4123553406
320631.55999999994,223446.7000000001,189401.43225722588,195477.37710210666,16999.94924846011,217930.0,2641742.918191249,2610992.9594574473
257744.24000000002,264741.3300000001,192437.41020618216,182096.36392541975,16359.24545413011,270143.0,2550689.8183974316,2505062.683382867
229131.90999999997,265884.04000000004,194055.35631629746,176628.23281304253,15413.010805641105,253741.0,2496000.094713729,2391071.9261959093
214666.8,300658.26000000007,205367.04540527877,188070.29598499503,15986.747826727327,187642.0,2467235.7701190077,2244886.082180904
289296.92000000004,179497.19999999992,175442.77596670532,179850.2918934072,14584.536026232221,284796.0,2330831.856085713,2234795.7240743116
335050.6999999998,120774.02000000003,176530.96618182355,182558.77642843226,14153.893732128758,288473.0,2134432.9322675364,2289250.870502744
166102.15000000002,338197.66000000003,189870.57327851935,176192.07928555028,15599.9309077555,177807.0,2143230.885546056,2087486.6297882947
100002.54000000004,361606.95000000007,224701.19910219227,191278.43033756452,14209.497958026801,200708.0,2255729.674648248,1876329.0701258588
275900.76999999996,188559.61000000007,214318.13609460002,191047.69734724436,14439.365883319204,285562.0,2170282.9007428484,1863698.0274731028
339150.4800000001,107106.96999999999,173960.17259458188,196146.25257963865,13812.206486951332,275908.0,1974766.32333743,1948213.1100527416
341471.78,107279.53999999998,163345.54315379146,225049.78836251044,13756.31734992587,188044.0,1758761.2064912214,2052693.848415252
121498.37,376311.6,203000.8932727957,202416.51387943747,15375.373116348019,174486.0,1827032.599764017,1841073.6022946895
31168.840000000004,372621.1899999999,250753.06713835837,169372.96191739658,12416.620516215993,289799.0,2045281.9269023754,1601842.4842120858
