Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
229734.7,260870.40500000006,786224.2187552722,776088.6676305457,15856.957411821624,220568.0,2961808.1862274217,2993583.019570158
323393.28,260870.40499999974,673354.931962769,674464.5888882648,18738.066013927506,302929.0,3291983.2481901906,3384845.1284584226
147181.19,260870.40499999994,497015.76191489777,463925.8099438295,12995.746690853965,169790.0,3629993.2601050884,3562882.478402253
182822.70000000004,260870.40499999994,305238.6942077168,283231.28554148355,14059.227120683196,170215.0,3735358.014312805,3552111.403943736
328105.87999999995,260870.40500000014,186582.15825155264,182177.24526619422,18648.28053000987,201406.0,3559621.422564358,3444714.22920993
401207.4899999999,260870.4050000002,150796.20698672484,164178.01067149654,20839.244535410344,226576.0,3263345.509551083,3311358.489881427
122738.39000000001,260870.40500000006,151048.13705060378,166629.79247526432,12089.63626881812,105719.0,3278243.6466016867,3181791.782356691
247100.0,260870.40500000026,161083.5835538291,167919.01267516776,15946.684332492798,168923.0,3166766.160155516,3059390.6250318587
199353.05000000002,260870.40499999994,170399.4262087107,178952.88996557865,14481.973149007683,180096.0,3119842.2163642263,2945962.0949974377
293212.62999999995,260870.4049999999,183491.84605186002,181339.34588816407,17436.840445354057,262672.0,2981724.242416086,2840760.1708856015
476555.28000000014,260870.40500000006,163120.3662471282,174383.31865362817,23048.683533020456,266751.0,2622735.8286632146,2726934.28953923
83296.72,260870.40499999982,191457.3204519506,175504.3477391239,10711.426889195203,138910.0,2723550.489115165,2612320.467278354
163164.3,260870.40499999982,186568.27981286077,183976.47019435084,13274.225799997097,252999.0,2738122.238928026,2506192.6774727046
463130.11000000004,260870.4050000001,175062.57210723188,188075.2607060357,22517.16797779631,322974.0,2405412.4810352577,2407155.5481787403
197437.32,260870.4050000001,180489.94926269137,200728.1350252329,14215.225338289858,166388.0,2372052.730297949,2316429.633203973
136772.74000000002,260870.4049999999,207844.19414042422,178247.3810677023,12384.117791558116,226650.0,2432350.5644383733,2213259.974271675
314426.04999999993,260870.40500000032,178732.26665734797,188315.86884876233,17908.57597307244,302916.0,2276761.4810957215,2112484.9831204377
506310.74999999977,260870.40499999982,167516.26922771038,216553.07573389332,23628.568054104257,276423.0,1889009.610323432,2039497.6988543312
210845.81999999998,260870.4050000002,203257.35020199086,249317.62546336406,14481.755268260587,159789.0,1858948.6705254228,1996563.6043176954
84141.03000000003,260870.4050000003,251074.94528467744,249725.85224713472,10781.77914604813,178761.0,2019399.2758101001,1961498.9765648302
