Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
381451.5143684466,381273.30000000005,1623053.0525723002,1628850.175972483,24834.401389838193,283432.0,6151853.024725592,6108928.278330834
388318.405587183,381273.3,1451726.6057818397,1474010.392341463,24755.431814489464,293644.0,7164237.410507432,7143818.330672298
381577.3350977784,381273.3,1080141.14610335,1109010.46406282,24457.154527727183,180445.0,7795411.766610782,7796657.244735116
376304.8245774956,381273.30000000005,710397.9903585926,733615.9224745954,24353.252886818802,153438.0,8060169.4769693725,8070874.247209713
374434.572386735,381273.3,478774.88911464164,492950.99938163266,24338.25033112995,165350.0,8093694.416084014,8103068.076591345
380215.77852330223,381273.3,356479.88511005254,364004.5992004646,24453.24490489532,199319.0,8000468.8711940665,8007816.45579181
383734.10378233466,381273.2999999998,289684.94276437676,293685.93150929734,24498.124767453683,216946.0,7842959.043958443,7849263.497301107
384011.7093564378,381273.3,268025.2935673536,270152.30289198464,24417.44932101749,275507.0,7658431.617525797,7662465.230193092
387736.1708535056,381273.29560124414,268263.1505405631,270541.2971556687,24519.69520189163,219522.0,7467352.768066361,7472473.00734876
388062.4903355306,381273.29531615943,279040.4094106381,281772.42557495716,24479.249743220895,223326.0,7287214.317476998,7293983.852923716
386928.3309985633,381273.291234398,287793.22819847264,290983.52465844987,24404.74684985437,235843.0,7120805.665675471,7129011.177582166
385243.9560136169,381273.29999999993,299992.38998065743,302787.17688700254,24372.161517507546,249703.0,6973115.245656128,6980258.414469169
384535.29699501,381273.2955289278,303220.03808640834,305331.0324661868,24289.685144850053,296049.0,6831512.773742536,6836830.906935357
387072.5565314346,381273.2915623844,318077.802655389,320533.4211424603,24314.181678353616,246514.0,6695141.2063979255,6701385.018077817
385810.0355312538,381273.3,326090.8620210533,328403.86351872166,24288.48723501817,262447.0,6573575.508418978,6579437.091596538
386677.0945344166,381273.2999999999,327758.3709676774,330473.85416736413,24237.95362537237,283680.0,6455859.539386657,6462800.055763901
384386.95624871075,381273.2999999999,325956.7370297146,327952.9481879116,24252.878031633623,290740.0,6341468.146416372,6346525.593951812
386695.97303046077,381257.0701528807,330436.1610431809,332423.73280872364,24231.22724982371,268479.0,6226747.227459553,6231760.796760536
386951.00826784846,381273.2999999999,327176.3638886289,329276.54904896667,24241.360163391513,256923.0,6109279.741348181,6114580.495809502
386274.49942860263,381247.82579913555,331331.0233506409,333280.8322284716,24197.398433057435,280488.0,5995971.784698823,6000883.878037974
