Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
768342.7821622355,797303.0078377632,1510674.8036191263,1518824.8937967543,48943.935745365736,467759.0,5622408.518656004,5681269.041071052
493933.89403231605,511699.13596768456,1402006.1060746494,1403560.7854851505,30585.3563362012,428460.0,6471020.664730652,6512748.356556203
624095.9344091435,636344.5055908555,1150334.0067150982,1149268.6279777784,38784.126927749865,404601.0,6891733.791445752,6918554.504533983
549564.2705328435,559963.2494671567,926655.2200989925,924852.059582323,33840.17665590178,460989.0,7171065.371544744,7185306.064116307
552365.0234232551,552955.626576745,813348.3183150204,811900.3667859929,33541.202768262,324260.0,7316349.189859764,7328553.560902299
542099.2023716889,543386.047628311,760786.4583329905,760473.8839824524,32874.33139271675,354634.0,7417406.738192755,7427296.984884753
547120.536002472,554022.7539975275,735126.2220770102,735654.0814153942,33550.22321425553,451970.0,7493040.550269765,7496276.316300148
631369.1871416882,631982.3128583126,701118.0618070061,701001.3531677073,38887.704203870584,373396.0,7434051.192076771,7436702.619467855
612493.5852676984,612431.3747323017,725487.4663925609,725396.3967422879,37456.960050145484,314194.0,7402714.108469331,7405327.446210143
672913.1947995356,673231.0252004637,747118.2168224847,747038.2187753518,41468.0007384706,341649.0,7334333.875291815,7336530.864985496
578991.2212804697,579589.8487195296,746308.8598424266,746221.4837182154,35366.62534505321,407297.0,7380062.375134241,7381492.808703711
628598.8456457132,629192.9043542871,765162.24885976,765206.6693130226,38610.87334937489,301463.0,7369719.093994,7370583.818016735
488819.4755373466,489483.924462653,698159.4431843634,698177.3657107106,29621.842782364165,514094.0,7495072.087178363,7495434.343727445
601127.6356008586,601189.7443991412,709474.0841838414,709513.7515620651,36756.563027646655,350401.0,7463638.551362205,7463977.045289509
452285.8368194878,452217.74318051204,708690.4116130188,708741.2094735799,27098.402877662484,512095.0,7620604.292975225,7620928.044763088
553776.9352394576,553968.1547605423,672142.1051893418,672154.4693158318,33708.58597649947,350989.0,7622755.468164567,7622899.70407892
605094.799614329,605128.2103856715,648945.3352273583,648977.280324494,37049.42360054997,386220.0,7540678.903391924,7540821.144403414
608692.3610879623,608837.0689120364,638302.1903506306,638304.0621221296,37409.45100668506,443358.0,7455911.7037425535,7455932.116525542
452546.3992746821,452565.94072531787,662429.4045161635,662434.2276988548,27107.50921277741,546193.0,7559097.498258716,7559119.304224395
651789.9400461674,651796.6299538331,695208.2771900271,695212.3945917254,40061.344591278445,353748.0,7450895.355448743,7450912.148816119
