Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
780442.5387832039,805774.451216795,1513546.3665990895,1520514.4390119596,49691.65809638965,503700.0,5612295.501635966,5674261.646286258
604590.2470635888,613419.7529364107,1416410.8505256593,1420147.4241375485,37372.422235633094,271942.0,6339732.112161628,6395694.870423806
554017.2312064705,582878.5787935295,1171653.4481074256,1170090.6632672914,34836.505796260266,529460.0,6875336.600269052,6898295.293691099
559719.9681163565,565979.0418836445,969459.632169099,967087.6421274955,34208.456016299424,299488.0,7170569.422438151,7184727.2858185945
606983.4077156658,612402.0122843346,827633.8880563469,828158.35393799,37417.49494334512,424903.0,7276850.970494498,7285277.899756585
500383.03097983426,502691.7790201666,771134.3373306002,771444.3289649927,30308.465020912667,504450.0,7436784.837825099,7443383.8587215785
573588.1306058419,573848.4993941579,738332.8111369569,737928.287501947,34922.480438632156,334507.0,7472308.8889620565,7477880.696223524
611294.8860121096,612142.7439878912,704534.3195445327,703899.8878438951,37511.359394764004,348962.0,7441266.198506589,7445257.99406742
454847.35632699064,456771.89367300924,679825.9829885799,679333.0563493461,27295.351431504787,481475.0,7572580.33149517,7574206.170416768
610064.6564444534,610525.293555546,694387.1586591043,694287.6774938871,37336.28345633415,372896.0,7510744.520154275,7511892.897910654
626817.6392709819,627020.7007290184,713705.720687463,713710.9589119032,38384.80774288533,349100.0,7460499.390841738,7461448.226822558
721332.1199386589,721488.1400613405,737025.7891452364,736929.8734404065,44754.7899293951,383998.0,7319571.669986975,7320269.850262965
481238.9806243071,481246.7893756927,729066.8606939861,729009.4698984436,29009.823267791675,535469.0,7465991.29068096,7466642.000161408
460050.2100011708,460069.39999882836,752146.8565102975,752105.4782207108,27465.99294279515,447506.0,7650453.067191258,7651037.30838212
632736.331181623,632998.868818378,742392.5022440217,742387.23374657,38933.62977862609,410123.0,7620639.18943528,7620893.162128691
442885.4962383402,442977.8237616595,756963.4484923547,756965.6932714578,26480.899677012483,313754.0,7823005.707927634,7823186.455400148
448715.82052778854,448787.16947221186,656972.4875836568,656954.7741850987,26906.542908025564,508461.0,7951261.435511291,7951356.489585248
344893.3241318668,344907.3758681333,611237.4750049085,611228.8376725464,20097.14607830859,653291.0,8130580.7905162,8130658.767257795
642736.7963137625,642750.8136862371,662088.9455364367,662087.2538274174,39498.93496876589,309018.0,7969630.366052636,7969686.451085212
544373.1131899429,544398.9468100574,648123.6998351531,648126.0779612173,33220.31586910977,441077.0,7953078.445887789,7953100.38904643
