Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
876745.2503241542,941833.7096758457,1430372.8511026446,1435553.515097663,57825.858348816895,717937.0,5379758.0515430495,5489560.629320669
784787.7885450925,798708.6214549077,1162377.7669338218,1150203.0103491626,49581.31779270666,515430.0,5672395.158476871,5754073.969669832
693936.350228012,712162.4797719875,805648.2526390941,788025.9310635697,43636.43066076462,514643.0,5695569.111115964,5738732.260733402
674806.3681172949,692964.4218827048,517188.9168976389,508409.3540371607,42227.18453441253,440333.0,5436578.608013603,5449929.424770564
621515.3042806207,628215.1457193794,395163.9870471808,394397.5461191616,38383.36697832716,506758.0,5113813.675060786,5118450.250889724
603258.8482637472,607154.431736253,367003.2303976696,366974.4524812756,36866.722951767006,387794.0,4786455.615458455,4786728.293370999
609171.3296673826,610061.4403326174,373065.30727364635,372761.4855067135,37421.326383957574,548586.0,4468681.3027321035,4467739.848877714
570443.0642818237,570150.155718176,427480.04685422475,427292.7431324007,34487.69584090757,363231.0,4245572.359586327,4244709.712010113
567865.7562718414,567845.0437281588,448044.74910202896,447631.14502544166,34494.10497340772,466540.0,4062979.0186883565,4061716.5070355544
561344.1506706396,561585.089329361,446460.4444159439,445732.145977112,34269.60616252832,602749.0,3898265.3431043006,3896057.183012666
490780.5858152275,488385.81418477214,410105.97119356104,410279.0035958467,29721.622132400043,745913.0,3790389.514297861,3790807.006608513
539566.1453344212,539817.0746655791,386443.01539452944,386548.61620767176,32682.0433899326,512979.0,3590121.399692391,3590392.4828161844
529547.2122812374,529788.8577187626,386567.15383090114,386570.1482997373,31753.763851711483,356839.0,3397860.4835232925,3397890.6011159215
492196.15132338105,492038.15867661877,356590.9309991051,356686.84757654497,29709.143732764125,647122.0,3232797.114522398,3233078.568692467
461543.16704151075,461665.11295848846,317473.33148748946,317552.4916823104,27706.438062801342,666387.0,3067409.256009888,3067633.170374777
385684.8738710732,386161.87612892664,289471.4693286555,289300.80255843606,22641.56339552562,669112.0,2960528.2553385436,2960104.7829332133
331225.05743774504,331222.5825622549,276332.8540484699,276052.3095791965,19285.28895069024,850517.0,2899924.109387014,2899213.192512409
315802.8472296357,315123.8027703644,264229.2162193537,264203.5256493129,18311.10514650799,901586.0,2845227.5456063678,2845163.1381617216
275404.68045124435,275427.73954875587,265997.6874778322,265932.71346351603,15702.79114125206,943518.0,2833298.6830842,2833139.9716252377
265128.62298015726,265190.5970198428,272512.26015749614,272363.5493051627,14946.019888284287,900278.0,2838830.723241696,2838458.5209304006
