Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
602001.0905947963,600113.799405204,1537140.3915005426,1537018.8400398556,38956.60825228028,515696.0,5721426.159281384,5821095.395551132
548210.2926890592,514110.34731094074,1319787.9161205762,1292828.8956539854,34026.192213464004,374130.0,6424509.365401964,6534195.881205116
519033.04817223817,519721.8318277619,922824.261338525,881091.4702920007,33094.77654550614,289446.0,6744894.05674049,6811371.231497116
494369.10204134067,502637.20795865916,571129.1706628393,541563.5689983761,31637.256293880604,254492.0,6729297.247403329,6756426.240495492
462528.92417168984,465207.28582830983,376905.7315996646,363014.9320578194,29330.229775920976,264334.0,6559054.3990029935,6569125.892553312
461325.7469122277,464315.0730877719,313586.2608744363,308154.53483259666,29211.234723358783,233235.0,6323405.96987743,6324673.867385909
456217.4570084128,456658.1529915871,306900.924142685,304038.217105753,28765.940805451628,222801.0,6090424.544020115,6088300.464491661
450965.4051213178,450761.6848786825,308793.1272831204,306460.3463943726,28402.901639207066,231541.0,5871663.7313032355,5867347.770886033
431014.9873471083,428035.8326528914,305684.27160433447,304439.42271696636,27055.50961645857,283131.0,5678434.052907569,5675847.123602999
403807.617857894,402908.1121421062,311326.32482567785,310061.71705715626,25300.46846135443,282358.0,5521855.757733247,5518899.280660155
420922.6211562926,420519.70884370734,314098.42644975457,312371.4051149547,26381.100889572375,231790.0,5348360.604183001,5344080.77577511
408222.92103768664,406212.30896231334,313719.31248379557,312226.9789054901,25580.827073181994,296516.0,5194239.536666797,5190510.2746806
388219.4907036306,386269.6092963695,312130.4547394933,310945.978453442,24271.88743123772,315358.0,5059542.33140629,5056588.423134042
405893.68476817524,405270.15523182484,327515.44918579335,325985.6989051067,25354.210548941264,224702.0,4912932.950592084,4909077.032039149
395263.5380825322,393730.78191746766,317431.7950575326,315939.93824721104,24689.97398396143,275476.0,4778802.635649616,4775015.83028636
401904.31740579766,400075.7625942022,328544.94650454936,327257.49728426675,25087.391008519182,250223.0,4640335.112154165,4637104.757570626
392203.65985841973,390963.6001415803,325406.1168535818,324102.4231978442,24490.282679385622,272282.0,4517094.629007747,4513818.480768471
372969.7798504711,371312.750149529,304378.8562468862,303310.64316126617,23260.825706489344,318979.0,4401052.315254634,4398386.043929737
384163.1463770982,383621.56362290174,306435.2875402417,305038.7293729914,23896.08386075536,223512.0,4264610.452794876,4261092.623302728
386186.48571232177,385035.6842876784,335223.0221354675,333696.6864689965,24005.71965349109,219318.0,4151421.184930343,4147562.6697717244
