Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
367676.6024120007,388467.8908900473,1624961.5480900398,1624178.0559306685,24632.506323517693,261676.0,6189382.905764916,6210853.624377837
367676.6024120007,380084.825965171,1401576.3142074842,1398990.6238693355,24156.25256999852,275161.0,7174711.7099724,7184917.188247174
367676.6024119996,377546.2264979448,956873.2142202524,952931.3038625385,23953.073381963102,228669.0,7702483.554192654,7703453.2721097125
367676.6024119995,370955.1189107618,556580.2098580679,552832.7720140272,23653.210167137193,222219.0,7821332.024050721,7820430.524123739
367676.60241199896,370735.345159906,342849.01954241504,340765.19867710193,23592.41492017131,199136.0,7722582.783593136,7722173.232800842
367676.60241200024,371455.9393860114,274540.1551035226,273789.7869519587,23578.131910624223,189346.0,7552295.698696659,7552474.3497528015
367676.6024119995,372845.8426936503,262627.64440090215,262666.67179226474,23554.54749452821,209148.0,7373904.663097561,7374393.801545066
367676.6024119989,372643.99315104017,270830.9712737417,271164.6267025827,23555.87279278857,167162.0,7204859.954371302,7205923.558247648
367676.6024119995,374389.108848039,277139.7731178751,277615.380213573,23570.83669877684,216764.0,7046835.207489178,7048075.738461222
367676.6024120001,374005.0910251783,276891.6949626961,277115.18588290946,23584.23360809112,220653.0,6893773.862451874,6894349.44434413
367676.60241200094,372773.5665620145,288792.8440100888,289161.7618756078,23494.26268976785,190427.0,6749837.496461962,6750769.806219739
367676.6024119998,373830.9173517985,305151.1375240213,305532.7623492204,23505.517120858312,193730.0,6622528.283985984,6623493.188568959
367676.6024120004,374109.84473487077,298290.84331016464,298677.30981290055,23525.097995354685,248855.0,6496677.817296148,6497652.36838186
367676.60241200036,374846.6840870673,303561.74941871525,303863.69676568196,23485.554527224118,231948.0,6369980.0167148635,6370736.115147541
367676.60241200036,373280.29494844424,314060.88215397386,314413.87302917615,23403.491104361674,213026.0,6253267.968868839,6254154.738176717
367676.60241200094,373994.5013499415,322558.8941121067,322924.41443238105,23439.54377946373,220338.0,6146437.242980945,6147356.932609098
367676.60241200007,374263.6528459324,317916.77761531714,318264.8183029516,23410.776432877163,252408.0,6040253.360596262,6041129.780912049
367676.60241200094,374031.61616944807,327342.1133098411,327789.7178257427,23413.528347531726,204740.0,5940923.313906102,5942063.738737793
367676.60241200024,373816.8228047111,321190.4173667623,321433.21365992574,23435.970808181042,235732.0,5841059.931272863,5841665.732397718
367676.6024120003,372575.69867044914,324117.04980026936,324464.5095443296,23307.88072771489,212492.0,5740973.091073133,5741848.931942048
