Species 0 Catchers,Species 1 Catchers,Biomass Species 0,Biomass Species 1
100.0,0.0,1.964667651528251E7,2.6921910818371385E7
99.0,1.0,2.1607443508862667E7,3.237336736801683E7
99.0,1.0,2.328375123378917E7,3.583765879034201E7
99.0,1.0,2.4493683289036356E7,3.7749258028222136E7
97.0,3.0,2.5504705722733893E7,3.7829691699010745E7
96.0,4.0,2.6112524351300705E7,3.744711994413677E7
99.0,1.0,2.648488266631369E7,3.846005142139221E7
98.0,2.0,2.6786851618770633E7,3.8322986328487836E7
93.0,7.0,2.7029054757585708E7,3.666206895535892E7
97.0,3.0,2.7136807643710792E7,3.709782843420896E7
97.0,3.0,2.7258753448471215E7,3.7484367382803336E7
98.0,2.0,2.7418738518892635E7,3.8074992513196334E7
95.0,5.0,2.7389599433602683E7,3.707361681069668E7
95.0,5.0,2.729476584707326E7,3.6664241527986005E7
95.0,5.0,2.7324801274065886E7,3.641258702436568E7
96.0,4.0,2.73339853102353E7,3.662370614412725E7
94.0,6.0,2.7411839376825567E7,3.6167288276763596E7
93.0,7.0,2.7412061055603527E7,3.568073016602161E7
97.0,3.0,2.7361871653399054E7,3.667576872884603E7
92.0,8.0,2.7546177246674646E7,3.560799433977872E7
97.0,3.0,2.7487388384358924E7,3.674141581208227E7
95.0,5.0,2.7531513090093296E7,3.670533148402745E7
96.0,4.0,2.74848392233602E7,3.675895638509023E7
98.0,2.0,2.7515156314996447E7,3.77838402218279E7
99.0,1.0,2.7466316922602013E7,3.850878555164085E7
97.0,3.0,2.734665662897057E7,3.789667222415253E7
97.0,3.0,2.7398144439179964E7,3.7779794739648744E7
96.0,4.0,2.750044854293482E7,3.749056411253866E7
95.0,5.0,2.7552429078710802E7,3.695217956146475E7
92.0,8.0,2.757141618174976E7,3.577502775479778E7
94.0,6.0,2.7441073242045864E7,3.5745335763954915E7
95.0,5.0,2.7596190709162142E7,3.621453818720416E7
92.0,8.0,2.7583249020941272E7,3.5409445439933844E7
95.0,5.0,2.7563984860533267E7,3.597868882286725E7
96.0,4.0,2.750062727832023E7,3.643398918084281E7
96.0,4.0,2.756255163115085E7,3.677578526010459E7
96.0,4.0,2.7433396048960157E7,3.6759180068693824E7
94.0,6.0,2.740811971702493E7,3.624915726986619E7
95.0,5.0,2.7336475194403384E7,3.6337928195377015E7
91.0,9.0,2.7400785836924177E7,3.549314794318702E7
93.0,7.0,2.7319865794603378E7,3.547755456590384E7
94.0,6.0,2.7371069977158196E7,3.570598310988609E7
94.0,6.0,2.7409008862611264E7,3.570113144217733E7
95.0,5.0,2.7460710486832447E7,3.634811497722428E7
95.0,5.0,2.7398785612047035E7,3.664610949646357E7
