year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,157634.36813131982,1.714104426114035E7,5246037.641106664,5500894.320859281,1.93848790230711E8,1738543.6425735387,1399146.9012468357,153.95382556192308,NaN,NaN,NaN,NaN,NaN,216.0736914593535,30.07523549198901,68.13333333333334,157634.36813131982,2049.1260448541843,132.13442860253528,90.0,3.7697470893056646E7,5.188456402487543E7,341980.5138377725,341980.5138377725,341980.51383777225,8187723.102274407,6.480059045166948E8,2.6533612390905777E8,23.5,4.0,-248652.02831421953,484.3427126256741,20.666666666666668,3.0,-377680.51963394583,1041.6033151795555,62.3125,16.0,149332.50203021042,148.6954684892866,82.75,4.0,138765.93264562136,121.43854517980084,43.125,16.0,185143.11657313482,209.33475946313376,80.8125,16.0,161006.01508790816,130.21298107332316,87.85714285714286,7.0,272124.18694821274,110.13702598807559,83.6,5.0,226046.1101985913,285.26156409832356,108.0,8.0,440387.56329504657,71.16500607729989,95.57142857142857,7.0,363064.3229348995,64.00824698159964,20.5,2.0,-314795.31419624796,848.7917613294367,29.0,2.0,-319043.5319038307,587.2888038063683
2,0,220426.26142064607,1.5973797090175264E7,2068720.6063330637,2274375.9641924794,1.9710194355165133E8,699627.2118868903,625588.1063700954,0.0,0.050000000000000065,0.30904865015884936,0.05,0.05,3.0591540971015365,152.686368640996,12.137605290849189,52.333333333333336,220426.26142064607,635.2013435544409,45.63591769589297,90.0,1.2205378642788928E7,3.204374217064301E7,337457.31441196136,337457.31441196136,290422.26441190636,6243188.487612926,6.49037650825071E8,2.6644419566206354E8,1.0,4.0,-1712.2421832425462,388.39468600246767,1.0,3.0,-12104.948414746576,995.7426261075151,7.5625,16.0,120255.27117896873,119.73682177159134,74.5,4.0,271664.44484993466,45.08592356348979,2.125,16.0,39390.096737082036,105.24690415723055,78.625,16.0,315609.13982038933,39.82063072168242,133.42857142857142,7.0,449710.8511018902,38.796145778353434,96.0,5.0,307667.7644629708,258.75027177933,129.625,8.0,501895.824553644,45.5907978775542,76.71428571428571,7.0,356611.5352034069,38.85680913068968,1.0,2.0,-4741.33617158432,686.173952598756,1.0,2.0,1258.99405733007,604.6784116086495
3,0,183594.3826066948,1.3175549555030053E7,2235325.7379448465,2462990.819467895,1.9600659896815443E8,823400.324288232,653634.3763950355,0.0,0.0,0.05,0.05,0.05,5.285538260062117,159.48552186052035,14.884366719489748,45.31111111111111,183594.3826066948,674.4271942453244,55.71810084896617,90.0,1.3124972249832163E7,2.9648466684434984E7,163725.75928488496,163725.75928488496,152438.1092848883,5450156.564783518,6.359431273770378E8,2.6591969481056562E8,1.0,4.0,-2202.370097899613,393.05672199412743,1.0,3.0,-13693.30642690428,993.8672561909839,10.125,16.0,102858.35580261116,120.39188221955017,104.75,4.0,169245.8467441697,49.53554317754611,2.4375,16.0,26031.597927327566,108.25829394698879,36.9375,16.0,161433.15984847533,57.87992683612718,119.42857142857143,7.0,475290.51847593364,43.79467709080315,74.2,5.0,358285.262100346,264.22264282846083,118.625,8.0,493489.6398461056,43.90310083889699,100.0,7.0,313962.01295665343,61.106553458558245,1.0,2.0,-5745.305029810814,700.6205161141086,1.0,2.0,-694.9545977610978,604.6784116086495
4,0,166319.9902368474,1.0393549095856778E7,2310958.2704685,2544633.5453244243,1.9590609390030372E8,741859.7112837096,772610.9099568886,0.0,0.0,0.05,0.05,0.05,4.436447313852839,64.09981192634594,15.8219003374217,38.17777777777778,201444.15371666118,744.713007662753,60.4724772883856,73.0,1.1654455116759209E7,2.6623254238075767E7,204807.8754063627,254415.19387961383,277944.39387963456,4584466.922884524,6.279191334594048E8,2.6549261405646032E8,0.0,0.0,12590.125,NaN,0.0,0.0,12592.0,NaN,7.1875,14.0,95015.53416909094,123.61389532684083,35.75,4.0,258966.37368905137,76.53751879076181,2.1875,13.0,24093.039267785643,102.64177823539003,51.25,16.0,175615.6943851585,66.46705908975349,94.28571428571429,7.0,344735.3055140166,53.17098922333982,68.2,4.0,239243.9663667852,50.496888154328246,118.875,8.0,462830.8886332224,56.655521675662605,53.0,7.0,252404.96598709706,43.856250078599494,0.0,0.0,12590.0,NaN,0.0,0.0,12590.0,NaN
5,0,146178.84247793857,8826387.925200501,2263415.3208497157,2480041.879218293,1.9629296039028588E8,768198.9237121261,834372.342015068,0.0,0.0,0.05,0.05,0.05,3.8302252273177304,67.96962609821908,17.544423498384436,34.08888888888889,178141.19620567767,737.3464560690883,66.11429823824827,73.0,1.1445433622110574E7,2.4601529445125125E7,254489.40668367175,219727.9864282288,145540.48642828417,4098119.0561167574,6.241675620362501E8,2.6508819315010598E8,0.0,0.0,8925.25,NaN,0.0,0.0,8927.166666666666,NaN,3.8125,14.0,49493.605962876034,122.95090848629249,13.75,4.0,127831.93487343851,86.52614495416894,2.375,13.0,28142.84545969669,98.40856989712029,44.1875,16.0,182156.97256744123,75.29311543164597,55.0,7.0,357525.5425847903,60.750509903848425,83.2,4.0,249510.0618106112,52.34076596770887,112.0,8.0,410457.99426150403,61.28969357151952,72.85714285714286,7.0,193710.74834883888,62.987658982302506,0.0,0.0,8932.5,NaN,0.0,0.0,8928.75,NaN
6,0,156306.09270818485,9216819.19715129,2318134.209516543,2512182.9570528097,1.9672860521697572E8,724178.4155461551,734681.4631799464,0.0,0.0,0.05,0.05,0.05,4.408465164837565,52.30850778720863,17.12171540975727,34.855555555555554,222985.77167317158,866.3035683936864,60.15716377797339,62.0,1.1035000766190534E7,2.510254910992737E7,153934.38580967172,266258.7658559155,285762.41585588123,4184689.4224603623,6.218891066332532E8,2.6475594440728062E8,0.0,0.0,8656.75,NaN,0.0,0.0,8655.666666666666,NaN,3.375,13.0,38483.96431289409,124.62861044316436,16.75,4.0,135208.53139842808,75.17084974037905,2.3125,3.0,31906.30633252691,109.60254236741787,55.1875,16.0,201667.23828615225,52.47892179635541,50.857142857142854,7.0,233823.65046222362,54.419120968796676,50.6,4.0,360746.59477284574,67.78849618142803,106.875,8.0,418397.4045546235,66.66358728847932,90.28571428571429,7.0,327269.61595728144,61.86335149529429,0.0,0.0,8659.25,NaN,0.0,0.0,8658.25,NaN
7,0,148625.21939117243,7507318.659537288,2329869.994964649,2517245.523304591,1.9711456320105907E8,464910.072921966,626043.0012186858,0.0,0.0,0.05,0.05,0.05,4.234118601723109,46.95542610957821,17.194839439194435,29.355555555555554,223020.0465289071,769.9790813279949,53.94558082103388,59.0,9083309.299754191,2.2459579044959795E7,102125.12149928394,234872.37180999387,184382.27180999293,3524570.938780547,6.228600116176747E8,2.6475012229906946E8,0.0,0.0,7031.375,NaN,0.0,0.0,7035.0,NaN,2.5625,11.0,33775.2994791824,122.96301990252347,34.0,4.0,125450.22644999952,74.2861820509456,1.875,2.0,35055.72603284024,106.50174530748721,29.5,16.0,199449.71097241767,65.8553762655426,36.0,7.0,188735.92063590506,57.70571692017207,82.2,4.0,308190.09965306567,53.31334863259399,112.75,8.0,426819.56948585156,46.7877272918057,56.857142857142854,7.0,318277.93672157143,45.43795150868802,0.0,0.0,7036.25,NaN,0.0,0.0,7035.0,NaN
1,1,-48122.49827150307,1.3826528629499877E7,3204395.6016655057,3363549.4831693377,1.9599047957279593E8,1497931.729488389,1157069.5582168268,0.0,NaN,NaN,NaN,NaN,NaN,447.444176591291,42.826670998417015,52.5,-48122.49827150307,2248.4002274168934,233.67160042898078,90.0,4.136347255625854E7,3.703244771182326E7,-50753.45148684125,-50753.45148684125,-50753.45148684134,6317001.037498635,6.5165339129951E8,2.6558937779612768E8,10.25,4.0,-474418.9798925726,1455.7520150787175,38.333333333333336,3.0,-95622.69248783945,383.54588558239647,31.0625,16.0,-192939.50585815843,567.7914132234637,16.75,4.0,-419616.2635511895,1095.5767679247674,78.875,16.0,157502.70223611768,185.82715618001268,79.6875,16.0,144908.40975899756,134.64607337750715,55.142857142857146,7.0,-8644.51457439447,415.47873630346174,101.0,5.0,386361.22402857477,72.44535859828412,23.5,8.0,-281754.7693283932,669.8151326251866,43.857142857142854,7.0,-81403.68611937066,363.29161991487086,25.5,2.0,-273902.6952292518,638.2933788252876,15.5,2.0,-359593.33079444343,1126.530857393754
2,1,167526.58023612952,1.2438797812193643E7,2156844.8939349963,2330072.3886016915,1.970487469288513E8,595462.4059745744,541337.3804915092,0.0,0.0,0.05,0.05,0.05,3.5347081567017935,347.3876954562241,15.651447675446427,42.25555555555555,167526.58023612952,661.3606167746974,60.73897166441154,90.0,1.2708154931283487E7,2.7785547152535606E7,376958.0083297235,376958.0083297235,398307.45832972677,5067497.72134931,6.529405459765891E8,2.6655988263304314E8,1.0,4.0,-30403.722997753008,1321.312612650266,2.0,3.0,3169.629275522282,367.0566573765829,2.0,16.0,13986.97225313649,369.50722766787845,1.0,4.0,-15019.074690729482,1037.652111658747,34.0,16.0,220286.73460141217,174.06317900396957,113.0,16.0,367193.02170601836,42.23084146347798,93.14285714285714,7.0,398886.44164645666,190.08789201875487,121.4,5.0,437576.02522527147,44.05473492413714,1.0,8.0,-305.72476824054684,528.2951103153993,19.142857142857142,7.0,99184.64408247292,254.73641055704692,1.0,2.0,-2363.462699774158,647.8390727805773,1.0,2.0,-20549.067736721918,1249.4804653967512
3,1,138427.13955550408,9928194.582593618,2267943.538716156,2458285.928825185,1.9596753642111003E8,567844.6607846122,707209.3344559693,0.0,0.0,0.05,0.05,0.05,3.6510683699725366,353.2655824154714,18.395620570080187,36.3,138427.13955550408,667.7610266939107,74.14184240060472,90.0,1.299541125318421E7,2.54538538131795E7,309687.5337065059,309687.5337065059,354605.13370650285,4345315.0425315555,6.429229798394064E8,2.663239543646727E8,1.0,4.0,-35014.32604715938,1328.7433787372302,2.0,3.0,-1141.4756555616234,367.0566573765829,3.8125,16.0,13078.630849942077,372.1923923873804,1.0,4.0,-19039.63231045626,1033.3600412969813,15.625,16.0,157948.53665695904,186.53979056740985,91.8125,16.0,325212.5427376339,71.9720974499475,91.71428571428571,7.0,358889.82291568856,192.1818042650436,104.8,5.0,358878.34771502286,51.17022354735518,1.125,8.0,-2504.006983008503,539.9651973334676,41.857142857142854,7.0,75933.72935729062,212.30776873793505,1.5,2.0,-15437.209175344673,641.8248177053507,1.0,2.0,-24501.336895628367,1231.2004679069767
