year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,3217.182817910565,1.3856291569359567E7,2382008.938767141,2544276.993849892,1.968192143389792E8,956835.2777027705,908894.1185648991,0.0,NaN,NaN,NaN,NaN,NaN,106.43537776048383,18.00786903780811,95.07777777777778,3217.182817910565,1712.1481706280445,96.01148936676307,90.0,3.149824175651951E7,3.1787788210131478E7,39328.89790886779,39328.89790886779,39328.89790886789,5814970.89043867,6.511803362214651E8,2.6616238917765397E8,32.75,4.0,-253215.63623871148,293.8785984231779,117.0,3.0,-17203.697006338487,103.3226668752492,73.875,16.0,-100483.46989498519,142.62067620192576,97.25,4.0,-118886.07504766466,138.82949032338195,92.9375,16.0,-8872.794785282586,108.58276155095497,110.0,16.0,40814.13146030121,79.59511394065395,119.71428571428571,7.0,106769.07836207227,68.63755359423041,116.6,5.0,156964.4120675647,67.2887167097128,110.375,8.0,125246.12472483153,74.9129715642138,88.42857142857143,7.0,26347.81777959221,71.12433968181773,69.5,2.0,-135159.72954643954,122.32003806292849,97.5,2.0,238974.3246303439,43.443065307267254
2,0,115449.89145391397,1.5402456595112637E7,1854885.0248810018,2019426.7871269234,1.9734926452394924E8,816307.6363536128,743203.5822811782,0.0,0.0,0.3771234555912466,0.05317585466072425,0.05,1.5498171668201797,64.39848792945631,9.789319209473833,107.7,115449.89145391397,1054.3096788603318,52.480697769367765,90.0,2.0258515220058914E7,3.0649005450910628E7,153480.11934595066,153480.11934595066,151724.41934597667,6055152.646887368,6.495142083761173E8,2.6631077368264464E8,1.75,4.0,-14491.18186169232,239.27772399880695,128.33333333333334,3.0,68307.65568195387,57.64347893262994,57.75,16.0,21818.334685338825,79.15107001115548,104.0,4.0,66324.3405755563,47.76438500578879,103.0,16.0,79215.59160534503,69.57395077516037,139.1875,16.0,153473.80260543412,42.83999190131189,146.0,7.0,214561.62458434675,41.682161026849165,144.0,5.0,185254.941357706,44.199878009265014,139.375,8.0,263818.8682433841,48.67206081887673,119.42857142857143,7.0,131643.45497227524,43.4546282838612,81.5,2.0,-63747.013991518485,74.52865902093379,115.0,2.0,286671.89248206606,27.167059009286085
3,0,87684.52546783867,1.375674255842916E7,1935142.095388659,2073301.6001745975,1.9663029729195976E8,895268.2063508074,829660.5440927892,0.0,0.0,0.05036106365111577,0.09128612022410473,0.05,2.7747625563116185,66.55272724009542,10.706633797510246,102.54444444444445,87684.52546783867,1097.9058146358007,55.74404676178392,90.0,2.136632932533286E7,2.925793661743836E7,31509.353223621132,31509.353223621132,25482.053223617055,5597196.623850272,6.357701756139275E8,2.6570188721632516E8,4.0,4.0,-1399.8075422974944,223.63264695950355,136.0,3.0,21266.934172601552,60.89955595834018,42.3125,16.0,25059.14570463588,78.86760981216142,140.0,4.0,41897.0179849563,47.6506971871669,106.6875,16.0,-6208.592725531347,69.5294869580797,121.4375,16.0,89032.22483684181,53.10985036217982,140.85714285714286,7.0,236151.10404087717,42.976908874721,130.2,5.0,202423.35119326512,50.87534505903214,136.5,8.0,240840.28188087832,50.182592853071135,102.28571428571429,7.0,104098.17871948484,48.78867820901328,112.5,2.0,-62932.617103894416,72.56087270212586,124.0,2.0,372487.22331690084,27.241964959014396
4,0,73247.511537089,1.1373092935204793E7,1787852.6226819223,1913854.1868554866,1.9715782281910962E8,690995.3726738256,759726.9420306098,0.0,0.0,0.05,0.05,0.05,1.6722622824551496,40.418973582576754,12.72873263016431,75.54444444444445,102561.45730563352,1442.3775525414524,59.50121478748234,60.0,1.8552688880173534E7,2.514496491851159E7,-5926.066326052984,37003.397664114105,38789.847664115194,4694215.648651288,6.270940116924295E8,2.6534482905980128E8,0.0,0.0,12440.75,NaN,134.66666666666666,3.0,36700.30872971619,57.82743220497369,8.375,1.0,6132.988665691564,77.33211510587529,63.0,2.0,54324.50463423768,54.62969764778417,60.375,9.0,2622.700215072244,74.00962316626209,99.0,16.0,33588.54841893437,70.9943197971166,134.42857142857142,7.0,175612.41410784554,44.58250364141423,111.8,5.0,191612.31117999888,62.93034076018205,131.75,8.0,288566.410210422,47.97214879493674,95.28571428571429,7.0,53083.10569033148,56.35054339586536,0.0,0.0,17803.199999999983,NaN,119.0,2.0,317269.21032306534,35.338933371978555
5,0,78398.81430939876,9430622.51970189,1978218.5602731113,2108358.4142611525,1.979161949247994E8,634576.3628701507,791136.2481186737,0.0,0.0,0.05,0.05,0.05,2.687869520287458,36.09554703666339,13.572742888957587,63.81111111111111,119223.41796083434,1417.2411347506077,57.120490733117904,55.0,1.657450251705326E7,2.363039580489919E7,-23154.55564359328,172903.4737085041,180512.97370850312,4121686.8471064162,6.227789688328112E8,2.6508978115554336E8,0.0,0.0,7687.875,NaN,91.0,2.0,57383.24826983232,58.60481129723857,3.9375,1.0,12608.967571305087,85.01642034284644,64.25,2.0,65710.35015442192,46.969441665465624,24.0625,5.0,17439.738787779257,78.28440848747273,94.75,16.0,66911.8462063235,70.66325407869017,128.57142857142858,7.0,152634.60674708916,47.77792513115382,101.4,5.0,181235.4546821572,59.317439835015726,130.125,8.0,244768.35547177756,49.953977893680914,86.28571428571429,7.0,94076.42757128997,47.535483399670404,0.0,0.0,7685.75,NaN,98.5,2.0,216054.4719792587,33.493658647374104
6,0,80929.1957996505,8331088.565288325,1937813.2059143174,2073897.5046680977,1.9881362615232202E8,683479.204004665,783405.9097399762,0.0,0.0,0.05,0.05,0.05,2.4067274116574318,34.07554934633011,15.065690023383391,53.333333333333336,140464.98379101133,1506.5690023383393,62.1803184800824,48.0,1.485727844420324E7,2.214090606617167E7,56353.573316307695,220937.7060896614,258582.75608965408,3769676.6511473437,6.214653188661879E8,2.6481295580489683E8,0.0,0.0,6865.625,NaN,81.0,2.0,132817.32982359998,57.009481506743626,0.0,0.0,9124.443749999982,NaN,69.25,2.0,55168.225039257886,44.26793177963522,21.5,3.0,16945.20940032468,70.19263399272937,64.125,13.0,40002.93633225909,79.24733217198774,110.42857142857143,7.0,212922.0318355935,51.38958593937935,106.6,5.0,218095.70432271212,67.22979678551796,109.0,8.0,230359.69083875124,58.874031956848626,71.71428571428571,6.0,67731.13299913467,66.77877367838998,0.0,0.0,6861.75,NaN,115.0,2.0,334113.54922635236,27.955205577274455
7,0,85827.44939555886,7719529.961014298,1967482.111599519,2105334.3904263815,1.9966433236814293E8,524599.1378953998,657035.6743629803,0.0,0.0,0.05,0.05,0.05,2.814648670442559,29.866459505528727,14.624968330721025,50.71111111111111,163984.60990222878,1483.2967880313502,58.1400476117994,45.0,1.3346055720146794E7,2.107052616574746E7,17022.75547476203,45108.4218562895,30118.321856306517,3491144.775958266,6.222396507260015E8,2.647392354371495E8,0.0,0.0,5870.375,NaN,88.66666666666667,2.0,118946.92295436507,58.111437168110726,0.0,0.0,5865.75,NaN,35.25,2.0,53151.62756696135,82.93734451606527,14.625,2.0,20642.843833116338,72.02766294054436,56.875,11.0,86934.67229950703,63.433635990210426,118.85714285714286,7.0,229717.48315921318,52.47454941519715,111.8,5.0,189271.85726501374,55.06292433552623,111.0,8.0,195337.18748543694,59.34048343146332,75.71428571428571,6.0,36840.31910876224,62.84903087247253,0.0,0.0,5864.5,NaN,102.0,2.0,464879.50313149474,34.801975042638375
1,1,7214.740891467396,1.4219191246386144E7,2370927.973792581,2534890.8736887183,1.96826978724015E8,932982.0482613879,952696.427823296,371.5005259762663,NaN,NaN,NaN,NaN,NaN,122.5660801518668,18.097102106058657,94.81111111111112,7214.740891467396,1715.8063585666503,106.80381543066672,90.0,3.1565459744367976E7,3.221478642460006E7,81765.07528877091,81765.07528877091,81765.07528877107,5934316.817044945,6.50808187307198E8,2.661888274694848E8,34.25,4.0,-314398.7553247785,326.77323315998103,59.0,3.0,-246774.01210403943,314.14677285224656,86.75,16.0,-97725.15473173517,149.23643401067514,91.25,4.0,-9812.589043584852,91.39359270064159,84.0,16.0,-72601.89078370464,148.02188550644925,110.6875,16.0,86540.58649846358,80.10376439700154,121.14285714285714,7.0,174678.28877837822,68.41553856133494,123.4,5.0,132930.36902652768,67.67434577410211,118.75,8.0,202812.76050222962,62.15285404095628,86.57142857142857,7.0,53271.612580866764,70.45599097698323,56.5,2.0,-221002.27762512164,233.06346402291211,108.5,2.0,293139.3774371549,52.11202651527789
2,1,124743.87919705811,1.5351226839784216E7,1841964.2511353027,2001880.7817266807,1.9736594571635607E8,859591.7903044763,708918.2782418756,0.0,0.05000000000000008,0.3545159277361865,0.08146868957943049,0.05,1.5358269728299354,64.49060163318565,9.795498678610091,102.57777777777778,124743.87919705811,1004.8004866769817,51.82240873352162,90.0,1.9307058343798727E7,3.0534007471533623E7,191137.25503690972,191137.25503690972,211252.40503689798,6035771.2979987,6.496312247887106E8,2.6626637139639223E8,1.25,4.0,-5066.299456071632,233.35193639498846,59.333333333333336,3.0,-5880.544894552896,60.40798214567553,49.1875,16.0,28765.908823131314,77.31188282537171,129.0,4.0,148150.30154612166,49.92323113158612,96.0,16.0,79451.47051541721,73.02039871965759,140.0,16.0,164819.12061776276,43.46243318248373,142.57142857142858,7.0,259663.6057552393,42.09553194941371,143.8,5.0,179626.66996317884,44.195999494229234,141.375,8.0,257362.8859279742,47.44691294576972,112.85714285714286,7.0,136432.7612258617,41.957014675435396,43.0,2.0,-9625.821688222146,69.57831797483576,123.0,2.0,296605.6960133788,30.517165721128155
3,1,94831.29715439379,1.4270948991717925E7,1918871.2786282622,2057491.6005000856,1.9665963458360618E8,892161.992518015,804942.8457460494,0.0,0.0,0.07964305352651095,0.06654632239680017,0.05,2.349319562911302,67.96256348212167,11.013262209368907,99.08888888888889,94831.29715439379,1091.2919153683545,55.144034711482526,90.0,2.123756386789671E7,2.9772380611792758E7,140331.4322539941,140331.4322539941,159910.48225395745,5749832.860777364,6.353327214219205E8,2.6565651813213295E8,4.25,4.0,-10131.301936950855,235.5899062520039,73.33333333333333,3.0,-6563.3310859893,59.310050227021435,49.875,16.0,17641.72448901965,80.15789317384457,97.5,4.0,93458.12234696586,51.19761669872949,101.375,16.0,39189.48812513664,72.70479429919516,126.5625,16.0,106643.60007319569,50.52353031671559,144.0,7.0,216184.00192502514,41.2586308178879,132.4,5.0,207365.515336474,50.601660306826545,136.75,8.0,208577.11371342195,49.361104423904216,104.42857142857143,7.0,104004.263670993,53.22853313229341,50.0,2.0,-63958.646831604114,85.05100967088956,125.5,2.0,393378.7003085272,28.980841176226107
