year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,70161.34868172373,1.458097965319729E7,4157968.1352331312,4341576.924070762,1.9496494776250184E8,1637285.6029071982,2264876.2028476573,0.0,NaN,NaN,NaN,NaN,NaN,140.34769231837677,31.790435779440507,65.47777777777777,70161.34868172373,2081.5670894249215,108.38412411553375,90.0,3.829435182980936E7,4.46088732111645E7,72236.46598640319,72236.46598640319,72236.46598640305,7250700.556168632,6.507701308915989E8,2.654479156465532E8,14.5,4.0,-479628.26751113427,913.7952948186448,57.0,3.0,72737.96815739201,103.18211264649051,58.625,16.0,38694.244793974314,126.00130097406061,65.5,4.0,102871.60315917303,104.06599067553105,56.5625,16.0,12198.482667798591,115.9333639548879,59.0,16.0,33559.1461837903,100.8599926221303,81.71428571428571,7.0,205590.32356683773,101.53615107474752,87.2,5.0,234579.1192938784,91.26091413506641,88.0,8.0,251176.7060457038,84.16539755454139,82.0,7.0,174665.223864566,82.75208767773974,72.5,2.0,25143.154185147225,76.5807468364846,92.0,2.0,178859.88536832522,96.38969593421538
2,0,82393.52972141164,8924459.441364251,1992568.0063088587,2135486.2237071265,1.972318308033953E8,864794.4091188882,1047526.7839771619,0.0,0.0,0.05,0.058500219314893805,0.05000000000000001,2.113736086973416,133.41459868735444,23.11815478330925,37.044444444444444,82393.52972141164,856.3992005283671,93.38573647992156,90.0,1.6455591392728968E7,2.3871009067656104E7,13895.076938421633,13895.076938421633,896.076938423761,4127460.028941042,6.565635077798051E8,2.6627698239857563E8,5.25,4.0,-310187.90275132784,913.7952948186448,46.666666666666664,3.0,189179.69423353128,88.02027320316391,18.0625,16.0,70365.14668135048,118.48658805342018,38.5,4.0,114246.94474806916,95.19870397957834,1.9375,16.0,8408.888533849871,110.51254022233952,5.9375,16.0,23637.8624271571,89.42033035178073,87.14285714285714,7.0,205162.84160556365,94.60765271628348,94.0,5.0,245029.4261657178,84.75610442391617,92.5,8.0,232550.39962270332,78.94292644205461,84.85714285714286,7.0,167296.42697326854,77.47973001952326,2.0,2.0,5766.460076372816,78.15790947892387,93.0,2.0,144376.9669734913,98.1571486271779
3,0,66435.58124077134,8142088.73222432,2085100.635529679,2210225.20331359,1.9637116367535818E8,837393.7954843678,1172798.0330826533,0.0,0.0,0.05,0.05,0.05,1.3289143896199178,131.30591914376527,25.48375419587395,35.333333333333336,66435.58124077134,900.4259815875462,95.45879917177263,90.0,1.752320233862549E7,2.3502404650294814E7,61420.15400735358,61420.15400735358,93415.25400735396,3931025.2173405634,6.483749971914979E8,2.6574515483475178E8,5.75,4.0,-323351.75868862774,913.7952948186448,8.666666666666666,3.0,27808.89518709504,87.00708835459102,24.75,16.0,41697.72699446596,114.70807779246545,24.25,4.0,72715.68227259204,86.99057360537176,7.75,16.0,23230.8954995016,105.81891535574388,14.0,16.0,39935.72518537484,88.15641344177664,82.14285714285714,7.0,186299.48104581985,95.34882253184492,86.2,5.0,220446.77884899414,86.34050426295755,87.625,8.0,213869.8672038127,76.22214129597785,54.57142857142857,7.0,110537.21667796557,79.47624677686453,7.5,2.0,14467.480204377614,77.52377813972514,93.0,2.0,150252.8462760374,97.06539280811708
4,0,70587.79757099929,7308000.038021817,2047454.6216242183,2167054.956771426,1.9661492732279506E8,823379.397821821,1192403.213865432,0.0,0.0,0.05,0.050011726388272414,0.05059047966877274,1.0729908625716842,73.43509204398106,25.345791521965296,32.58888888888889,87438.42086464695,1047.0310779425945,89.37315241777434,71.0,1.593674661767592E7,2.2289648399065755E7,96878.00363912518,10731.252695235096,4919.252695235111,3649336.254179261,6.432861727165768E8,2.6525618023253632E8,0.0,0.0,6358.125,NaN,27.0,3.0,31762.423045646592,83.05575952140272,17.9375,14.0,23059.12703856085,114.55372292895797,23.25,4.0,86673.53834183747,96.96279989499821,5.9375,6.0,16668.292731729875,101.30281119700952,14.8125,13.0,40596.53579607788,87.87857667931614,77.0,7.0,182858.2484473078,95.54466423175805,76.4,5.0,194982.07532766592,85.9923215044063,81.125,8.0,177541.18824693374,79.79448579479788,42.42857142857143,7.0,69852.6478086153,77.999911535548,44.5,2.0,47722.01112826035,70.91046159090202,92.0,2.0,170322.19558098353,96.59943668107744
5,0,64619.21285685118,6071566.181844131,2077711.9945378855,2192132.6270431434,1.972479636739304E8,645285.9199787491,1063897.9222561142,0.0,0.0,0.05,0.05,0.05,0.7802882013298408,73.25636394519269,26.90266893086238,28.355555555555554,81607.13795880867,980.7944444508685,89.1394857608894,70.0,1.4598539351903057E7,2.0414268509019278E7,78775.49701163906,27134.981979176577,22445.48197917663,3163007.6230495735,6.41577921583147E8,2.6498823313534155E8,0.0,0.0,5162.5,NaN,20.666666666666668,3.0,75690.76608419222,89.65331794311727,13.375,14.0,25937.514340286565,112.42644578160623,22.0,4.0,68290.07849466075,93.24536506901926,5.375,6.0,20524.500335654564,105.46147498610021,21.375,13.0,47685.99431891192,91.01713236245982,49.857142857142854,7.0,110013.56742810797,96.13361190331621,78.0,5.0,187284.64025546215,82.63106190011061,65.125,8.0,152123.95330850617,80.21553674906558,44.0,7.0,78852.2541283238,79.81872449163656,5.5,1.0,-1957.1155497482468,69.59353699778325,90.5,2.0,158458.526713426,102.51501706765845
6,0,61621.56144191192,5210068.470371742,2195723.035619294,2307918.4242956713,1.9784545254334605E8,657929.1388276276,998353.5592419863,0.0,0.0,0.05,0.05,0.05,1.006394618972885,69.41026072134294,29.645226391054738,26.066666666666666,81408.50790704586,1038.025389752454,91.2283026530284,67.0,1.428861651800709E7,1.9834557047779474E7,38369.372911954866,6169.391276860028,2651.3912768601513,2903655.7154873013,6.424395650662277E8,2.6473812968907958E8,0.0,0.0,3984.25,NaN,7.333333333333333,3.0,29283.753759224433,89.2184305269667,26.0625,11.0,44839.94849099743,113.0349301725144,39.75,4.0,128570.24470279427,97.69241922786696,4.0,6.0,13444.709699469782,104.33067222641854,12.9375,13.0,29688.822755747544,89.96192357113893,30.0,7.0,79471.40753146028,99.56552055624505,52.8,5.0,136801.14951766844,82.37486191943803,47.75,8.0,122317.10890051309,78.77408803981466,60.285714285714285,7.0,118078.29787519218,78.18923084686601,6.5,1.0,13436.496160206902,72.60393967418014,93.0,2.0,224016.02279217937,95.33550566792798
7,0,61458.16822495287,4986651.349253954,2127389.4165127296,2246361.5417372882,1.984683929064087E8,536139.1682762766,881878.8528161723,0.0,0.0,0.05,0.05,0.05,0.9241070823362165,68.78630125332275,30.070477875990864,24.6,82428.72182190542,1008.727848749148,90.62938194929399,66.0,1.3311702550553374E7,1.8842937690798532E7,77782.754672084,74619.7806732938,46245.63067328527,2734759.683253268,6.447926852749376E8,2.6465164961521855E8,0.0,0.0,3791.125,NaN,25.333333333333332,3.0,71133.04996519593,88.15446246560977,17.875,10.0,46500.30927957465,112.29247761890272,19.0,4.0,65557.67526293779,99.891248416342,6.75,6.0,13224.110052559343,102.65969448574616,12.4375,13.0,33897.41777358488,90.65934465643879,39.142857142857146,7.0,80645.43280391705,96.76388290487395,61.6,5.0,167061.8607207694,83.30981981062922,30.75,8.0,73854.18040289574,86.1873284167447,64.14285714285714,7.0,152781.16965394653,77.89948264659542,4.0,1.0,8615.902918735024,82.19323078428417,92.0,2.0,232565.31286869454,99.1998960339839
1,1,71774.67124908691,1.4724963881950345E7,4143673.4973982307,4325968.076854677,1.9498600680772012E8,1620994.8595501143,2198151.529226633,0.0,NaN,NaN,NaN,NaN,NaN,152.27313682079193,31.33637840873695,66.13333333333334,71774.67124908691,2072.3791587644705,NaN,90.0,3.812552787269192E7,4.458524828510974E7,-13633.509113081373,-13633.509113081373,-13633.509113081323,7266736.411837696,6.506679731992338E8,2.6546550248929557E8,16.75,4.0,-540434.0057704975,1571.918836261016,54.666666666666664,3.0,62866.852701065676,115.98686770261914,61.4375,16.0,53094.88489312317,124.40152859085495,65.25,4.0,126792.23483876423,99.1708665494633,57.4375,16.0,16198.918450264191,116.86618109311613,58.75,16.0,31928.73897819885,100.06715393527003,82.14285714285714,7.0,209391.1521747068,102.62369928926948,86.8,5.0,246493.49543106166,92.51704819928673,87.875,8.0,242006.09156963683,82.8988693518871,82.57142857142857,7.0,179547.01394920758,83.38673272875452,75.5,2.0,46619.9011242907,74.88656005243024,88.5,2.0,160901.54303389715,102.600788916049
2,1,79873.63641794902,9215028.933193412,1999567.710131693,2136588.817387302,1.9723208840257746E8,861655.0407542029,1026957.342488594,0.0,0.0,0.05,0.07138217351027588,0.057871593477092205,2.035864366444176,142.9981533356139,23.167360235665786,38.266666666666666,79873.63641794902,886.5376516848107,NaN,90.0,1.7034852728932455E7,2.4223480006547824E7,13292.693586347274,13292.693586347274,4228.193586347274,4213757.4736132845,6.562635220935596E8,2.6628129836999333E8,14.75,4.0,-430213.8700426696,1571.918836261016,35.0,3.0,136136.5120947285,87.81287456104035,20.25,16.0,76628.91003158948,113.00628453403682,31.75,4.0,125973.645942277,72.20792672610457,5.1875,16.0,19173.715902755786,103.54497828205022,5.9375,16.0,22633.16888494227,94.21039824895352,89.14285714285714,7.0,213787.8999149391,95.13618530013186,94.4,5.0,248564.29020231566,86.39668472585944,91.875,8.0,223755.0785643343,82.47528779791608,87.14285714285714,7.0,175040.1707364167,76.17909134358953,10.0,2.0,16532.0026604907,72.64220871387789,95.0,2.0,157241.67060873518,96.67165192379238
3,1,66850.2873060993,8479494.189223705,2095785.612245214,2229881.794408645,1.9635280779265967E8,933426.7344995341,1176572.6071947839,0.0,0.0,0.05,0.05021458565034194,0.05000000000000001,1.5803139904415147,142.39228082387473,25.113222672912165,37.077777777777776,66850.2873060993,931.1424895500877,NaN,90.0,1.8120933887605958E7,2.413745974515498E7,18333.335096147883,18333.335096147883,11037.835096147885,4077656.7372541907,6.477552357239966E8,2.6564724402925512E8,14.75,4.0,-437452.5803353619,1571.918836261016,34.333333333333336,3.0,89823.36552923072,87.83738475680495,17.125,16.0,37056.92092505743,115.40634247759104,35.0,4.0,80905.11820058731,83.1726991013456,9.5,16.0,27694.14914479619,98.58402792226877,9.125,16.0,28352.822235247597,91.66658290290444,83.0,7.0,199693.19757668322,95.49344956008817,88.0,5.0,221351.69301513536,83.58794187585178,83.125,8.0,212687.18927923002,78.3692753933011,70.14285714285714,7.0,154609.90268940828,78.99583566493675,49.0,2.0,39531.72514354567,73.71544351453262,94.0,2.0,158071.1005797377,99.5423828578724
