year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,109604.73451795884,2.0543021579740614E7,4427371.2716805665,4525271.5158251,1.947936317236205E8,2471085.262463617,2247628.926595873,12888.974245950878,NaN,NaN,NaN,NaN,NaN,521.8906053736478,64.31766581014595,37.84444444444444,109604.73451795884,2434.066330548412,274.23216439969224,90.0,4.477922711197717E7,5.464365321859347E7,131841.82261750082,131841.82261750082,131841.82261750087,9523531.31628006,6.454526380997739E8,2.6461189970291883E8,16.75,4.0,-240772.02796854512,882.8116695719025,19.333333333333332,3.0,-217274.06038108538,1007.7824820398831,27.6875,16.0,-23592.828583781924,731.7941586283625,31.25,4.0,23507.715684698225,767.7051151525534,34.5,16.0,194966.00059327885,378.90049298449475,38.1875,16.0,61010.26187132004,542.9429745698427,42.142857142857146,7.0,93707.69068078948,552.7573300124549,50.6,5.0,207719.76279693944,429.3415618910767,63.375,8.0,478968.2207912981,193.8015068587923,47.57142857142857,7.0,228314.13411535788,249.92888564021627,21.5,2.0,-131336.30444640864,670.4081125722658,59.5,2.0,402672.9249032863,114.89914032433794
2,0,191895.52107887145,1.5531945816940142E7,1143108.654921212,1232914.8816394596,1.981480387736932E8,465429.2082609735,523461.24383393093,0.0,217.57999999999998,0.30183936218558577,0.08159575845358052,0.05202882773406443,5.0770075472078755,412.26440982397173,20.854482937739274,22.866666666666667,191895.52107887145,476.8725098429714,77.39438237371643,90.0,9163147.136282196,2.6433744033381764E7,59485.09005498978,59485.09005498978,8640.640054989704,5698391.788952034,6.503078461197883E8,2.6670995331521606E8,1.0,4.0,-7709.836130625088,664.1798247671582,1.0,3.0,-8872.954750423029,826.2551100021693,2.5,16.0,44221.459180265316,615.3229580562743,1.5,4.0,9407.818026008244,788.0580018655688,2.375,16.0,52070.90528370051,237.12169238072113,30.9375,16.0,254195.5505815252,441.16019572695643,50.285714285714285,7.0,436208.6157677722,464.8411261082629,56.2,5.0,414170.20975341654,282.75789001455826,53.0,8.0,489045.7507933103,112.949535613345,46.142857142857146,7.0,314370.1666655807,151.6444015709633,1.0,2.0,1012.3269167905528,638.7990638249235,45.0,2.0,221662.00352984603,104.01007630641497
3,0,176305.0446187051,1.4722745391807757E7,1333431.737135284,1439943.7470589746,1.9808320650648102E8,812423.4715000035,666809.9250591854,0.0,0.0,0.05000000000000001,0.05,0.05,8.16153307444413,405.38543388343834,25.5458706624726,22.68888888888889,176305.0446187051,579.6074210307671,82.8863116140593,90.0,1.1279671156744538E7,2.7147125172427922E7,131647.83975298578,131647.83975298578,281110.1397529862,5653756.692903791,6.36228126246364E8,2.662315572480437E8,1.0,4.0,-11948.47677937388,789.5018051742672,1.6666666666666667,3.0,-10230.38863603303,816.7699527385848,7.1875,16.0,37861.15547327153,615.9707842861324,2.25,4.0,12373.411834639497,748.3045394651386,9.1875,16.0,60328.95518455279,225.14447862521274,27.125,16.0,197031.0296233902,409.89073671490354,57.42857142857143,7.0,350984.0137119466,488.264014539448,45.6,5.0,347106.3298875906,253.33995535711423,43.25,8.0,447141.58742439386,163.14581500462734,37.57142857142857,7.0,349826.6278230535,97.41028898056696,2.5,2.0,-1273.0472877825996,527.4419458243723,42.0,2.0,478557.2259342619,70.29375280232559
4,0,151252.9168787725,1.3752543107350376E7,1269085.6969220575,1332317.7489232095,1.992047614310301E8,846650.7074888414,716560.1124015888,0.0,0.0,0.05,0.05,0.05,5.023226259088865,65.89033124896507,29.805252239175406,21.08888888888889,259947.8697773373,1154.4973214276515,82.9692467301731,49.0,1.212749042241921E7,2.5740252941508666E7,124253.82594226743,16024.130592716858,1799.1305927169833,5332828.76806418,6.257414259662901E8,2.6574364867477927E8,0.0,0.0,14649.25,NaN,0.3333333333333333,1.0,15865.291509801105,95.96564437339022,6.9375,7.0,54852.25209715529,130.56327989550218,0.5,2.0,12130.982479429716,255.6595594966929,15.375,10.0,115615.40552452109,120.0863540181142,19.5,8.0,151853.9102389838,131.46483545879374,30.571428571428573,3.0,278634.6132868409,56.02765874717324,31.2,3.0,190452.68857640485,51.82344679930505,60.0,7.0,395568.57825185347,125.42159841018758,46.0,6.0,270358.40831883176,118.51060912781536,0.0,0.0,14647.25,NaN,27.0,2.0,155921.4543676399,121.87585282121651
5,0,132084.80675774434,1.179053175657925E7,1273757.6054454432,1332608.7486025956,2.007736975857679E8,832785.7776686688,714421.5269744725,0.0,0.0,0.05,0.05,0.05,4.9978277748513635,67.69227988266141,32.089059265656985,18.6,243410.47191732592,1167.762721971952,104.02032837618923,46.0,1.1422041928974083E7,2.330967453717123E7,95404.72789884271,124365.55696954057,144200.50696952763,4698270.980978462,6.195872435720721E8,2.6530207064147547E8,0.0,0.0,14202.5,NaN,0.0,0.0,14197.5,NaN,8.9375,6.0,54677.200232754505,125.6696600786172,0.5,2.0,10286.19855048813,306.86701180007844,14.3125,9.0,101669.83579495011,132.5956587259592,18.5,8.0,114117.33653248535,112.19082974014083,20.428571428571427,3.0,184186.21173058698,58.04036451710315,37.8,3.0,277908.3887885724,91.38765901336716,36.375,7.0,323133.7882969096,123.5840139812267,52.714285714285715,6.0,296827.8682175182,145.16985727222593,0.0,0.0,14199.25,NaN,6.0,2.0,24773.02153856188,224.6371634097772
6,0,116886.19984757196,8779621.1666681,1307228.0283823623,1366362.1614083974,2.024271221398279E8,813155.115379621,779310.3536311508,0.0,0.0,0.05,0.05,0.05,4.567371248722594,56.244647966676936,33.74211113222852,14.911111111111111,232396.0345646855,1053.0677474290856,99.37616991026118,43.0,9303219.667172093,1.9822977653454192E7,312667.2569067784,229706.21250316128,134565.3125032527,3756639.9008301,6.1844779350817E8,2.6491602418204436E8,0.0,0.0,11204.875,NaN,0.0,0.0,11207.666666666666,NaN,6.0,6.0,52147.470904003596,152.9534063300413,0.25,1.0,10491.653572148061,81.65024494758114,13.3125,9.0,86622.21532929922,106.45582350698625,15.1875,7.0,123510.73798502325,136.2077596551955,12.857142857142858,3.0,134515.77063325766,126.73765181768567,31.8,3.0,295937.48343996925,90.30642315989876,26.875,6.0,199474.3716818286,107.60444450083207,43.42857142857143,6.0,285429.82243102614,105.45601455713886,0.0,0.0,11213.75,NaN,10.5,2.0,82666.52119760317,110.797962821636
7,0,106727.17744782801,6861026.224679258,1357208.4035742092,1417974.0107024985,2.0402083430294427E8,543870.8470916229,714537.3259062594,6.671666666666667,0.05000000000000001,0.05,0.05,0.05,4.412041765003711,55.84752283268749,34.59393380877983,12.133333333333333,236206.00180268002,968.6301466458352,100.52804549878336,39.0,7553308.3251234675,1.715875429542732E7,252015.78529095277,615043.7751701754,660219.3751701054,3050142.337514258,6.206563324046712E8,2.6484457225658277E8,0.0,0.0,7714.375,NaN,0.0,0.0,7715.666666666667,NaN,1.875,5.0,24432.481979235672,107.1590631105009,0.0,0.0,7716.5,NaN,5.625,8.0,59281.57445306341,177.5426100389769,12.5,7.0,116540.7150645766,141.8376632503792,18.142857142857142,3.0,154727.91836799937,61.81711288811348,26.2,3.0,261096.0451907088,91.06370169071903,18.375,6.0,170582.73178640322,141.53651324982576,44.142857142857146,6.0,338388.6321895262,110.76976543281272,0.0,0.0,7711.0,NaN,29.0,1.0,89559.59610353084,104.79710049257156
1,1,-121801.6233409059,1.4875176672753869E7,2545987.9052346875,2601221.212620159,1.9673376609456253E8,1845956.0966822708,1620183.931789104,12520.848248034214,NaN,NaN,NaN,NaN,NaN,737.7632666836787,95.93021160676173,26.844444444444445,-121801.6233409059,2575.1932360215146,464.3661619106058,90.0,4.7375670495377555E7,3.641352439469602E7,-217596.08722766745,-217596.08722766745,-217596.08722766748,6694350.811366468,6.512900085257907E8,2.6527264804564768E8,8.75,4.0,-462791.2231343732,1590.678085144547,20.666666666666668,3.0,-23822.00003300025,971.5269364334245,24.625,16.0,-135926.69695394536,788.1170087304458,17.5,4.0,-311257.9749217641,1078.73849390162,26.8125,16.0,-117638.48603806169,721.7068508950304,23.375,16.0,-209671.6720761426,845.1446319918209,31.285714285714285,7.0,-22422.024367332975,481.5742716400256,32.2,5.0,-71805.62178571177,615.7918147764012,31.875,8.0,-59803.45991918995,498.80246981250264,38.714285714285715,7.0,74169.17205517649,372.6502923348106,37.5,2.0,14049.25576159294,568.4951100850317,35.5,2.0,32216.80783820011,470.5050048967222
2,1,118941.01619971138,1.1530170839122681E7,1184715.838288794,1250101.2083761236,1.981275594843153E8,679825.3828662034,545759.156021612,0.0,0.05000000000000008,0.05,0.05,0.05,3.081186309056973,598.3227665181274,32.478980360056106,18.166666666666668,118941.01619971138,590.0348098743526,131.51688287251935,90.0,1.1337600122657888E7,2.2042291580632117E7,4004.8224257004767,4004.8224257004767,-9336.977574299484,4487126.2132661175,6.544811056177337E8,2.6649585651959094E8,1.0,4.0,-36016.884719180845,1456.8892863627505,8.0,3.0,247469.1613254504,1021.1370089091828,18.25,16.0,99422.18229651828,609.7541602048789,1.0,4.0,-12129.364263988526,949.9311951119664,11.0625,16.0,76639.06374075779,601.8076455817445,16.1875,16.0,101490.53664253408,691.7393657353156,28.285714285714285,7.0,215465.05862271352,268.137371107263,19.0,5.0,137110.47214239294,436.39230868582274,20.25,8.0,131669.2434403376,332.1567278675922,40.142857142857146,7.0,252371.84871951022,286.95581001186497,31.0,2.0,121570.68644812959,622.6012818490472,38.5,2.0,228567.20726344868,367.7335458760943
3,1,101646.20585385451,1.0765725033320766E7,1239625.7700069386,1306414.5174938866,1.9819650207723767E8,781189.1428360508,590300.9673643522,0.0,0.0,0.05,0.05,0.05,2.7961477290419885,595.709030341431,36.88477824721325,17.344444444444445,101646.20585385451,639.7459871544431,130.38241559304717,90.0,1.2450087942315776E7,2.1598246469162043E7,4850.5171264116525,4850.5171264116525,-6838.982873588339,4304927.40808785,6.441621894721779E8,2.6605018033856276E8,1.0,4.0,-41869.5140686597,1545.376880748655,4.0,3.0,74175.28540173058,847.2787381573648,16.625,16.0,67072.57303930203,640.5237079762474,1.25,4.0,-16518.352263168756,992.4722973870814,9.5625,16.0,61365.144403475686,596.2094989811226,15.25,16.0,95181.83159677673,711.2566203649408,41.57142857142857,7.0,327115.1787318281,261.3868599352193,18.0,5.0,136630.30355659506,303.0738984778586,21.625,8.0,110884.3825295802,299.3268974729168,32.57142857142857,7.0,197824.37472876796,271.38972756408924,15.5,2.0,28128.316523120564,614.0786838798462,32.0,2.0,140105.63302306362,442.58220706464704
