year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,242942.36112436015,2.4335214124437712E7,4979379.50168577,5071010.220155822,1.9418577370288193E8,2898712.7057774924,3421731.458991498,921.6845599724509,NaN,NaN,NaN,NaN,NaN,96.95367750569365,50.446102173468276,45.98888888888889,242942.36112436015,2319.960187733169,88.69764782224111,90.0,4.268031687883925E7,6.454512938003166E7,334689.56430505635,334689.56430505635,334689.5643050564,1.1403256229769714E7,6.418619158254308E8,2.6416333929515007E8,26.0,4.0,-76929.17562573653,214.00461345199875,36.333333333333336,3.0,186254.06740060242,100.26701647803431,34.875,16.0,183347.16574810137,130.75224348155191,37.25,4.0,12020.249008990679,67.46536829513155,34.75,16.0,19736.63813985585,103.39992529628363,45.5625,16.0,288478.01761918765,91.33007577773633,59.57142857142857,7.0,419450.15577664424,69.61059386890372,44.6,5.0,56640.11336818161,41.480828629976365,71.625,8.0,607210.3582923939,78.55261534267416,60.0,7.0,450295.97919178725,76.65102361479141,65.5,2.0,416652.5930116586,79.31627010924109,85.0,2.0,819142.6486804374,36.57257885251529
2,0,149856.847024829,1.0959808152359061E7,1208444.452545742,1320135.0547137128,1.9805347033039486E8,892759.773055572,857867.5576733745,0.0,44.62994652406418,0.05,0.09072171471324271,0.0897134199924133,3.1646913868401247,93.03212823712691,25.421986881789316,18.11111111111111,149856.847024829,460.42042908129537,64.09868348690965,90.0,8847025.157921603,2.2334141390155718E7,141541.13021603948,141541.13021603948,99167.58021600351,4500612.734972565,6.550912123972085E8,2.662552640895624E8,1.0,4.0,8887.964533468243,191.73311320108633,1.0,3.0,54221.81958999845,97.6002551677024,1.375,16.0,44272.22310767297,119.06430877865604,4.75,4.0,69641.27947997637,61.92860131300838,1.875,16.0,20064.13451141119,99.5785756261653,3.5,16.0,84092.13078424026,84.39784004641892,41.142857142857146,7.0,301289.9262767454,74.7525922697381,2.4,5.0,27179.660659433925,72.35054980748774,68.0,8.0,523620.98282285087,64.86049482711523,57.57142857142857,7.0,332840.50315725297,84.13589148702538,46.5,2.0,339447.1551868415,78.61829173052192,78.0,2.0,596402.2503329993,33.34982457467072
3,0,125159.84013361558,9591211.037245631,1283020.3989893678,1386741.4188987138,1.9803201362654465E8,991382.3698437558,925329.0361188011,0.0,NaN,0.05,0.12072016881083583,0.05,1.9774898630593725,96.43577863626994,30.408631766146268,16.877777777777776,125159.84013361558,513.2301294752909,63.62446944068113,90.0,9988006.481322458,2.1252392093347766E7,128446.80645154085,128446.80645154085,87841.50645153747,4126271.6733956477,6.458958053739352E8,2.655829836960879E8,1.0,4.0,3462.209435765404,191.73311320108633,1.0,3.0,7154.267070999175,97.6002551677024,1.125,16.0,7073.189166361544,117.35377740240415,21.25,4.0,118061.5919710584,79.32606258901438,1.375,16.0,13835.03747838551,109.20533695138127,8.125,16.0,55021.28824154369,82.57487178596598,28.571428571428573,7.0,335685.96715458145,88.7090766261894,1.2,5.0,14458.241779541257,101.29378888509257,52.75,8.0,391325.8593400059,63.84674144137588,45.285714285714285,7.0,282332.4353169392,70.28130552280176,88.0,2.0,539194.2244756618,78.65854595226953,68.0,2.0,467270.00856736826,34.273093730408135
4,0,107897.58430323245,7931636.0277430145,1347885.4735085024,1437733.5353617198,1.9904112265782133E8,860624.1782599807,998273.5481464881,0.0,NaN,0.05,0.05011294311125623,0.05,1.710247124580803,67.83172842459045,34.526776590550426,14.566666666666666,135918.7583898703,646.6372015744515,62.41110170295085,70.0,9703748.966911983,1.9414531554202985E7,103344.08897701194,124670.70399161149,173854.1039916237,3590020.1214998094,6.406799190175526E8,2.6507724233994287E8,0.0,0.0,9823.125,NaN,1.0,3.0,5724.493593184529,97.6002551677024,0.9375,15.0,6007.632144896821,119.52779491630245,16.0,1.0,88832.84541021899,39.10554629876718,0.375,6.0,8205.782267864775,120.76550727987608,15.5,16.0,113616.99313661698,79.26923775845175,39.857142857142854,6.0,307141.54624181363,62.711589685706365,1.2,5.0,12263.280850313768,98.59267551701504,22.25,7.0,191357.08153515376,65.18470991453133,30.428571428571427,7.0,196730.4561988533,62.810501213152655,86.0,2.0,655961.233752812,77.92897340190115,63.5,2.0,411249.5814786713,33.03706722767117
5,0,89449.93381056252,5314109.612766015,1298752.5653276627,1353983.4062687566,2.005855067831467E8,719210.9769267009,904620.1801956011,0.0,NaN,0.05,0.05,0.05,1.3109029344240934,35.92560608739289,36.86286652497798,10.622222222222222,184136.37007025303,839.0690570923559,63.319369052145795,42.0,7493500.357268351,1.5543994400218923E7,103428.653492143,6189.48791875031,-395.5120812496848,2649584.5448094234,6.401839767211957E8,2.6475227457844314E8,0.0,0.0,6600.375,NaN,0.0,0.0,6598.166666666667,NaN,0.125,2.0,6195.836453901262,110.88002565866252,11.75,1.0,55151.80713685363,39.07265354780886,0.125,2.0,6043.826267003882,113.91307354584464,6.75,8.0,83716.8743448912,87.50297386723345,32.0,6.0,316680.22065917746,66.6975383281112,1.0,5.0,8170.626716848291,100.6718859067815,24.0,7.0,169618.72645873885,70.00765360008769,18.571428571428573,7.0,120458.13044739501,60.56782048842298,81.0,2.0,588387.7006754972,79.7054414028726,42.0,2.0,306919.7084996584,33.81902202138763
6,0,88205.28257916888,4911667.024018006,1286134.1487738164,1353823.0570843313,2.0224247350626156E8,564998.2932165309,814817.362557919,0.0,NaN,0.05,0.05,0.05,1.2451963141623967,32.05366759186067,36.95833719783212,9.744444444444444,196298.5495416718,831.0887621153532,63.60491880805036,39.0,6659216.226589525,1.4597691658714663E7,71651.66354777606,10448.662093922234,4904.662093922243,2441221.225548328,6.417000149018592E8,2.6462110180044076E8,0.0,0.0,5550.5,NaN,0.0,0.0,5547.0,NaN,0.0625,1.0,5443.869097588442,129.54290418621932,5.25,1.0,42695.72700014658,37.76036093814716,0.125,2.0,5045.642116488365,113.91307354584464,4.75,7.0,52636.93576346911,82.16315068169267,34.42857142857143,6.0,308767.9435621814,66.13576282916705,0.8,4.0,8208.950322252267,93.21568054999184,19.25,7.0,211571.72263141876,71.80012617713825,20.857142857142858,7.0,149706.3503896326,58.68823141901466,81.5,2.0,636127.3170802598,79.18382817286098,34.5,2.0,251816.57399902446,36.54757879289704
7,0,92113.13879796266,4689752.501371903,1315921.5975091213,1373775.3963134848,2.0386100295167136E8,495007.1766402934,715713.9755480236,0.0,NaN,0.05,0.05,0.05,1.2614637190049154,27.28798688071308,35.30083513274475,9.28888888888889,235715.99975931295,867.9852403227826,65.9752489992418,34.0,5900726.486648607,1.419090897846522E7,77645.45470330154,7842.568683076737,2920.3186830767645,2321892.055321852,6.446326119460695E8,2.6459886257018712E8,0.0,0.0,4925.375,NaN,0.0,0.0,4925.5,NaN,0.0,0.0,4924.09375,NaN,3.75,1.0,23990.94200711936,39.302304754499666,0.0,0.0,4926.875,NaN,6.5625,7.0,69470.02351071528,82.85156780065928,31.714285714285715,6.0,340506.6130327975,66.78505835632633,0.8,4.0,7816.467724158962,93.21568054999184,20.125,5.0,199367.6841699765,73.33578126149965,16.571428571428573,7.0,152939.84914801063,66.36424293601767,84.5,2.0,697122.7905819505,81.34356748723386,22.0,2.0,204105.10960327624,34.583362866523665
1,1,280236.76536054275,2.473085755300532E7,5401869.648964699,5497666.437969746,1.937511761231891E8,3070468.466809027,3587832.7565137614,1651.2431320076303,NaN,NaN,NaN,NaN,NaN,102.595167707003,48.99187277419148,47.077777777777776,280236.76536054275,2306.4284993805477,96.1225496424977,90.0,4.2431317360666454E7,6.76526262431153E7,316287.5523339113,316287.5523339113,316287.5523339114,1.1778799598503755E7,6.414431088666643E8,2.6398147135542023E8,25.75,4.0,-69109.4416077213,227.75272549524573,36.333333333333336,3.0,222680.22489762472,107.59604953227743,35.3125,16.0,183526.0168781365,119.01520697814534,35.25,4.0,73659.21455518722,83.22433236693533,38.1875,16.0,115939.59838257093,105.89275094404081,45.8125,16.0,293797.87613874784,95.74359831800294,66.85714285714286,7.0,508256.0729095743,78.84937178719244,68.0,5.0,568649.8515025529,60.103266536919364,56.25,8.0,402700.87414192175,93.52291212003288,64.0,7.0,480610.7822658986,84.21612343402505,74.5,2.0,574199.0260272799,102.33471267658126,60.0,2.0,453765.4823219096,70.80814609757151
2,1,153108.2316828261,1.3231400099272411E7,1138353.8374250443,1267208.2622843068,1.9810469421238613E8,641280.8062698398,716905.5389400336,0.0,0.47269406392694074,0.05,0.05910307067819246,0.9234391088276667,2.662423363871824,97.66573301974812,26.600198284712388,20.377777777777776,153108.2316828261,542.0529294906946,72.89228790721629,90.0,1.0415621789971929E7,2.419536264142613E7,20018.96081043403,20018.96081043403,-6536.389189600743,5096660.0274645705,6.527790498486595E8,2.6650848693759242E8,1.0,4.0,12938.28220101354,197.93076677823493,1.3333333333333333,3.0,33349.06884186253,88.86591815581319,1.4375,16.0,36760.63159016665,104.40104858749382,1.75,4.0,18421.841532009217,74.8454693653473,2.1875,16.0,22999.69738515534,104.61533656903651,1.375,16.0,18814.467299699973,85.09045796166494,74.57142857142857,7.0,373356.0667483124,71.0258872813935,62.4,5.0,533765.6005013266,80.1199367902581,39.0,8.0,343928.9315064063,79.44047708507662,46.714285714285715,7.0,333675.72251629794,127.38669630136609,91.0,2.0,636786.103361015,78.61151446864781,42.0,2.0,327001.111732066,72.134584097961
3,1,112300.89298092347,9107137.59514598,1341967.1285461935,1418840.6852553105,1.9805098784312868E8,922874.0922481156,928599.5405666579,112.93591847584034,0.04999999999999999,0.05,0.05,0.05,1.753743424649789,96.30709429143408,32.858899854310835,16.755555555555556,112300.89298092347,550.5691220033416,70.19149169671607,90.0,1.0714719531304616E7,2.082179989958774E7,19474.739074448094,19474.739074448094,12594.889074447652,3960082.017498455,6.44232504846992E8,2.6591605635431474E8,2.0,4.0,4806.793831572384,204.17670593381507,2.3333333333333335,3.0,15430.43356094097,89.74943178613715,4.3125,16.0,28698.145349002072,103.49342334938942,2.75,4.0,21260.825243661388,71.85196678291352,8.125,16.0,39659.93598027029,113.21770782115938,6.4375,16.0,33302.56348023888,90.27168622116244,41.0,7.0,411097.52656666044,67.80064994780659,37.2,5.0,185096.89638673537,80.28412917956945,10.5,8.0,63880.57016190214,79.20319719461419,51.285714285714285,7.0,293898.4292714727,81.2296943279151,87.0,2.0,616610.5529345749,80.3160949143824,45.0,2.0,362613.2171910988,71.82979926139159
