year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-295152.62077681377,2688.5928522798995,8145233.616508394,1794158.5405657839,1822064.301713658,1.974845947231934E8,1066574.1373480393,1486254.966510081,0.0,NaN,NaN,NaN,NaN,NaN,696.7506155293128,145.76708235252465,18.444444444444443,-295152.62077681377,2688.5928522798995,519.2952340779743,90.0,4.946177190397602E7,2.2898036034062788E7,-482480.541868179,-482480.541868179,-482480.541868179,3979495.5098700193,6.581570297485192E8,2.6596940326337174E8,16.0,4.0,-274696.0002461091,911.2392921135256,9.0,3.0,-528536.1075635225,1419.2428650904658,16.6875,16.0,-325054.80903191643,984.1637577390173,29.0,4.0,-31694.178667419852,257.5931646445347,15.125,16.0,-362906.73122119927,849.8647313791672,19.625,16.0,-272389.5628081204,578.9770490882582,20.571428571428573,7.0,-265047.5932151239,554.2510736117428,23.8,5.0,-195416.31810033767,304.384666648074,18.625,8.0,-287450.6336420162,666.2103538155619,19.428571428571427,7.0,-311799.3245113804,446.0973177523556,19.5,2.0,-227874.52089590504,416.30363237428446,21.5,2.0,-308292.5285368092,239.87809798465298
2,0,-260129.24551980884,2100.826450579235,5866833.688408736,1377689.152386049,1401467.727328389,1.9792859002192155E8,808797.8295154417,1058125.0838126019,0.0,0.0,0.05,0.05,0.05,0.05,691.0847219277064,147.82985187813225,14.21111111111111,-260129.24551980884,2100.826450579235,535.3408685181972,90.0,4.036742071495667E7,1.695578861817388E7,-393542.4625124565,-393542.4625124565,-396819.9625124566,2902747.269992011,6.603625358408253E8,2.6623899653346968E8,14.0,4.0,-247847.77780091547,907.4283759789686,7.666666666666667,3.0,-500216.42556083394,1411.7633863442206,14.5,16.0,-305470.86254013516,978.7291523202712,18.25,4.0,9232.682836272319,257.1221385990121,12.125,16.0,-318985.0302321501,842.5085979025257,14.125,16.0,-232904.58616766505,573.2488358198293,15.714285714285714,7.0,-236522.0511605355,551.7057060823796,21.2,5.0,-140604.49016857808,296.02992095621266,12.0,8.0,-280917.64880952134,660.0392127224605,16.714285714285715,7.0,-250625.1506817053,438.6647041620127,10.5,2.0,-178690.61108701286,416.7959100334742,12.5,2.0,-260489.7504068711,232.84969056426695
3,0,-355111.30797757686,2341.1878441807467,5183726.53104299,945370.1673779789,957928.18572977,1.982935868921163E8,658572.9117590674,975232.0436676224,0.0,0.0,0.05,0.05,0.049999999999999996,0.05,689.8618977784881,174.1379388233613,13.444444444444445,-355111.30797757686,2341.1878441807467,566.913450235582,90.0,4.5561925473571956E7,1.3601907755590035E7,-556723.3760559384,-556723.3760559384,-558274.1260559383,2458446.304535225,6.554291279540809E8,2.658216646712899E8,15.5,4.0,-316557.4465073873,905.552319034204,8.333333333333334,3.0,-564620.1531503218,1409.3384836975877,13.875,16.0,-386091.14138468256,976.569196076805,17.75,4.0,-147234.06677305832,257.1221385990121,12.125,16.0,-402192.2120531096,840.9232132656734,13.625,16.0,-361618.30275300844,571.7807504341157,13.571428571428571,7.0,-334316.67631623504,551.2556609558037,18.0,5.0,-299947.77032056777,294.8468429464294,9.0,8.0,-307817.43244837737,661.7246176367539,15.857142857142858,7.0,-363882.45009347907,435.9826143660197,13.0,2.0,-279820.78019750974,417.0180355261849,12.0,2.0,-301625.47495174356,233.87590394074036
4,0,-20634.501547623484,339.193201420364,1637792.1944735658,388845.57521769346,393654.1655542268,2.0037398126140675E8,298838.5695343447,182427.62163396974,0.0,0.0,0.05,0.05,0.05,0.05,42.23494741659803,110.20717735679698,3.077777777777778,-126262.1092857409,2035.1592085221841,253.6469265892758,15.0,6544442.21030836,4687337.071022248,495.25,-74641.8581931665,-75120.35819316652,797406.8783490822,6.559302091841285E8,2.6582762021191674E8,2.0,1.0,4811.467308010979,380.1982494699311,0.0,0.0,490.6666666666667,NaN,4.3125,3.0,-5483.031819352638,264.5686341173866,2.25,1.0,-34914.91791178387,135.6220055890636,2.125,1.0,1009.2037887485858,191.93128874678044,2.75,3.0,-43273.13989783481,155.38357687977086,2.5714285714285716,1.0,-26011.728525409086,97.12993990011525,9.0,2.0,-90330.68860421209,233.80204814578434,1.0,1.0,5280.709159923586,504.43315734099,6.0,2.0,-54955.140085209234,382.1849485819506,0.0,0.0,492.75,NaN,0.0,0.0,489.25,NaN
5,0,-1799.1457445332244,106.88194273383488,547951.995291328,189357.5644681416,192135.7357403525,2.031815666781271E8,117242.05986924806,58403.28415385967,0.0,0.0,0.05,0.05,0.05,0.05,26.075014630069806,98.15688618413407,1.0888888888888888,-24762.373858284314,1374.196406577877,282.3294303329703,7.0,2045432.5177127894,1883509.4007047992,136.25,-282957.5703547548,-283097.0703547551,291607.39901664737,6.592223886487689E8,2.660775944291453E8,2.5,1.0,5567.780345265128,380.1982494699311,0.0,0.0,136.16666666666666,NaN,1.9375,1.0,3120.1819733947195,231.10327583139102,0.0,0.0,138.5,NaN,0.875,1.0,329.3023181883036,191.93128874678044,0.0,0.0,137.5625,NaN,2.5714285714285716,1.0,-40304.72433639354,97.12993990011525,1.4,1.0,-1201.1430260728696,375.38694916046296,1.125,1.0,7956.177793668809,504.4331573409901,1.2857142857142858,1.0,-2658.231988372914,566.5684562566116,0.0,0.0,138.0,NaN,0.0,0.0,135.75,NaN
6,0,3046.6451238525046,109.8191267771758,574758.8424273949,257782.5088450994,262759.8406504004,2.060774037160971E8,159213.6453237848,49242.75120481682,0.0,0.0,0.05,0.05,0.05,0.05,18.700588006106173,90.67634321051213,1.211111111111111,50388.012229345084,1976.7442819891644,329.61921048994463,5.0,2030633.8090071827,2304831.87015391,259.25,-8813.673389150994,-5184.673389149539,333152.06365542876,6.638803119614034E8,2.6633950887886092E8,2.25,1.0,9450.645932738997,380.1982494699311,0.0,0.0,262.8333333333333,NaN,1.6875,1.0,28.36897721454443,231.10327583139102,0.0,0.0,263.375,NaN,1.75,1.0,-304.5420868219371,191.93128874678044,0.0,0.0,262.375,NaN,0.0,0.0,262.2857142857143,NaN,2.8,1.0,4787.7420965340225,375.38694916046296,3.875,1.0,25764.0670858522,504.43315734099,0.0,0.0,263.35714285714283,NaN,0.0,0.0,262.25,NaN,0.0,0.0,259.5,NaN
7,0,3458.733654307632,90.69109707786015,435811.28184781387,231868.88151347902,237595.69215921176,2.0901495359082296E8,130145.73306584576,38670.17003580717,0.0,0.0,0.05,0.05,0.05,0.05,14.529621904323252,92.75225837508424,0.9777777777777777,72044.00722192173,2040.5496842518533,362.46165029832486,4.0,1632000.283623921,1943286.3125116066,268.25,-14696.250259025837,-14921.25025902642,267932.1669707238,6.697126294243389E8,2.6668291352836907E8,6.75,1.0,32593.652243022683,380.1982494699311,0.0,0.0,269.8333333333333,NaN,0.875,1.0,550.1382093226421,231.10327583139102,0.0,0.0,266.75,NaN,1.0625,1.0,-1883.9819917008717,191.93128874678044,0.0,0.0,267.71875,NaN,0.0,0.0,269.57142857142856,NaN,0.0,0.0,270.8,NaN,3.75,1.0,23736.802554205977,504.43315734099,0.0,0.0,268.42857142857144,NaN,0.0,0.0,269.75,NaN,0.0,0.0,269.5,NaN
8,0,2842.1645239962677,85.8879479876116,402182.50892763777,217267.86334501472,221492.08732207847,2.1195165710998625E8,114041.43994087908,36728.17832632895,0.0,0.0,0.05000000000000001,0.05000000000000001,0.05,0.05,12.397052029359024,96.62394148606305,0.8888888888888888,77045.26905322137,2576.638439628348,378.6412243111462,3.0,1545543.1088119263,1801337.9159715893,282.75,-21195.288406877313,-18904.78840687807,246696.28318491,6.762571706945771E8,2.6709193256251433E8,6.5,1.0,26608.62459663648,380.1982494699311,0.0,0.0,280.6666666666667,NaN,1.5625,1.0,-1058.611775429832,231.10327583139102,0.0,0.0,284.75,NaN,0.0,0.0,283.375,NaN,0.0,0.0,283.25,NaN,0.0,0.0,283.57142857142856,NaN,0.0,0.0,286.6,NaN,3.625,1.0,18588.324647499438,504.43315734099,0.0,0.0,284.42857142857144,NaN,0.0,0.0,284.5,NaN,0.0,0.0,283.25,NaN
1,1,-334383.93753274274,2698.6168815836936,6845477.267208406,1596561.7959315225,1621336.9496038593,1.9769933219439092E8,838434.6416042884,1232821.4403177502,0.0,NaN,NaN,NaN,NaN,NaN,739.5243300959501,155.49008920776723,17.355555555555554,-334383.93753274274,2698.6168815836936,547.1576305274408,90.0,4.964622293987825E7,1.9551668561931398E7,-463995.27350307925,-463995.27350307925,-463995.2735030792,3345280.905698389,6.594120664721862E8,2.662090683862291E8,11.75,4.0,-458328.89593116863,1180.5374255425884,21.666666666666668,3.0,-104145.45942193312,731.9595025357066,16.375,16.0,-355542.53535302466,876.8207619682465,13.0,4.0,-407418.5111959858,1119.3967936950096,18.8125,16.0,-284735.5188648751,740.9388387360337,18.1875,16.0,-348471.0679099711,721.6968585107575,19.428571428571427,7.0,-263761.3786943401,566.7748675826659,15.4,5.0,-404137.6494479051,754.9708199036698,16.625,8.0,-375904.0366894591,624.6530334576719,17.428571428571427,7.0,-364505.11095297517,475.1349101248455,15.5,2.0,-404342.6894163602,319.7397019727092,22.5,2.0,-132335.53500368496,512.6723807798298
2,1,-326197.5542764554,2277.0629729622233,4971156.167859493,1220635.1633282516,1242347.334320062,1.9809694305175385E8,614651.4744665266,825381.8638865466,0.0,0.0,0.05,0.05,0.05,0.05,737.3247049912468,161.1129462001573,14.133333333333333,-326197.5542764554,2277.0629729622233,578.3437516041821,90.0,4.375364750933286E7,1.4395867624451866E7,-410648.16587297287,-410648.16587297287,-413130.6658729728,2429158.2061291616,6.612263930734288E8,2.6644453734699664E8,7.5,4.0,-467242.9434332737,1180.1492376706833,18.666666666666668,3.0,-42905.113593090326,730.4257364646,13.3125,16.0,-356188.84296115994,873.2546182346123,9.5,4.0,-382241.72749141353,1119.5383040500958,16.3125,16.0,-272128.5372385932,739.1953122303657,14.9375,16.0,-356996.52173941326,719.3209199098676,16.285714285714285,7.0,-245991.61229507875,562.7046760690049,15.6,5.0,-432493.45080543624,750.8377784193398,14.0,8.0,-369993.52613140695,623.0637165573977,11.857142857142858,7.0,-340190.7670282176,473.35824968350227,11.5,2.0,-341826.8441833402,322.332485058119,12.5,2.0,-78378.81133405783,512.5291959990461
