year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-57543.3653160469,2550.971659008069,1.402703274533688E7,3715679.057517576,3788722.645506797,1.9549469787762016E8,2254708.6462379876,1648244.5613689274,0.0,NaN,NaN,NaN,NaN,NaN,337.20125124002385,91.65167637154738,27.833333333333332,-57543.3653160469,2550.971659008069,297.13891758380754,90.0,4.692998311690515E7,4.175108023846093E7,12282.700014663766,12282.700014663766,12282.70001466389,6924690.243174799,6.524079787488375E8,2.6471861463591903E8,21.25,4.0,-171736.58941166516,476.51765348638816,26.333333333333332,3.0,-149077.06311449825,410.93199415937676,29.0625,16.0,-11318.823879551244,332.02957178310254,31.25,4.0,19990.01029054205,286.9961338819256,27.5625,16.0,-66477.50404471393,365.8076254995298,30.875,16.0,27174.447324606183,289.77802565217723,27.714285714285715,7.0,-54450.5551143114,279.71037590987834,29.2,5.0,1093.410298111086,304.0990628723521,30.875,8.0,-34066.20851906478,211.37446412193012,22.571428571428573,7.0,-189491.95209043083,442.85491597641436,17.0,2.0,-353375.9510494354,515.6699001897323,18.5,2.0,-316661.60691383015,479.3150208865468
2,0,67574.76217861564,712.1011148269874,6002447.914329184,1937702.059927302,2029617.5772855275,1.9731713776140013E8,1112421.9568789755,647877.2581007652,0.0,0.0,0.05,3.154298190074951,0.05,0.6050747493083595,271.7321528182077,58.63595639014535,12.144444444444444,67574.76217861564,712.1011148269874,192.21993375900448,90.0,1.3683001841095643E7,1.976473043717112E7,82806.79277794948,82806.79277794948,45556.94277795435,3133990.059100287,6.601987843184267E8,2.6589090120854786E8,1.0,4.0,-281.29699767420743,264.1349870788698,15.333333333333334,3.0,65769.62342347337,227.219099022289,17.4375,16.0,118429.66470829789,211.05392009069058,2.25,4.0,206.14596645143956,240.3406331136339,9.4375,16.0,65145.59157687111,287.9297411573364,20.5625,16.0,149913.1390936304,213.28464466674222,11.714285714285714,7.0,52702.36670962435,217.07974674177632,3.6,5.0,26004.883918211082,227.47965912905534,16.375,8.0,49097.95117091043,174.05944219297814,5.285714285714286,7.0,-20775.259671206793,452.62874878148665,1.0,2.0,-14066.524065813632,724.626467199197,2.5,2.0,-84629.36311327328,846.4774224575824
3,0,52252.88876495069,670.1666431704215,5015205.712137892,1827781.3867086354,1881312.7484888833,1.9679895883190507E8,1067347.3127992856,544628.9005587625,0.0,0.0,0.05,1.768786866819292,0.05,0.16013944184582393,270.90100480425593,63.22326822362467,10.6,52252.88876495069,670.1666431704215,214.04322238577242,90.0,1.3042082988268109E7,1.7744842977113754E7,-6358.925493948351,-6358.925493948351,-11157.02549394817,2721086.2441537837,6.554258494335471E8,2.6501783394729728E8,3.0,4.0,-12498.240399820095,304.2801712812634,9.333333333333334,3.0,20613.96592854561,158.36651602106113,18.5,16.0,136028.76961050258,211.04658951199548,1.25,4.0,9707.812397667192,155.1714622391314,8.5625,16.0,43350.13844862055,238.38598116278988,17.6875,16.0,90775.437919083,243.92025159944706,13.142857142857142,7.0,45845.59592816081,197.87968000420602,2.0,5.0,10347.831495563734,250.28226819648066,7.5,8.0,-3591.229941086407,232.98384706808952,3.857142857142857,7.0,4236.36590067384,396.5796247669858,1.0,2.0,-765.5051369863213,724.626467199197,1.0,2.0,-21220.88652987944,1124.3945042633486
4,0,73745.86218545964,525.8986277001123,4393294.989725643,1811022.3448562033,1852640.1830902633,1.974074536501383E8,967070.906939434,586740.0962989071,0.0,0.0,0.05,0.8600776022532133,0.05,0.5787914930519658,75.13885176725708,56.81977970349353,9.255555555555556,171689.38099165855,1279.2128781894623,170.28146546530544,37.0,1.0146723812128719E7,1.6783851408820093E7,88890.16874968415,40237.80250175053,36229.80250175047,2488025.8630582597,6.53288791925383E8,2.6431048465522012E8,0.0,0.0,4635.0,NaN,1.6666666666666667,1.0,-14377.972150458567,387.7217520190828,18.3125,8.0,163699.83684838994,206.22992836395957,1.75,2.0,20178.8286091473,70.15050538506921,8.875,5.0,82154.20207217001,185.51950032051423,14.5625,10.0,108962.86007241483,182.0822853789074,7.0,4.0,46531.580222512166,204.23051291700605,2.0,2.0,13494.389731841813,247.68303091551707,11.125,4.0,53350.88390141947,115.27660694810852,0.7142857142857143,1.0,9343.819055772587,62.81957266910198,0.0,0.0,4632.25,NaN,0.0,0.0,4632.25,NaN
5,0,70958.07207885476,473.46693105634046,3425060.809504014,1825712.70468294,1867083.5498588115,1.9845749444020882E8,922147.0033561216,500068.7350217148,0.0,0.0,0.05,0.3910521183322009,0.05,0.7449410479741652,65.63344544782552,58.37263533571321,8.11111111111111,198014.27377732028,1374.5814127442143,183.63243180698737,31.0,9060795.28504646,1.5447021772143308E7,184975.17054229297,27991.08238712279,24195.08238712279,2139793.538968199,6.53973778928407E8,2.6369174326228622E8,0.0,0.0,4201.75,NaN,1.0,1.0,11541.422432465828,109.8405084002656,18.875,7.0,190240.49178407292,216.01442875354132,0.75,1.0,12976.888618482248,104.16149022647586,8.6875,4.0,87577.33988927027,171.77891501525946,12.3125,9.0,89069.45954939046,174.57556660614227,1.4285714285714286,3.0,10902.943854641384,243.01945239086695,1.2,2.0,7544.405017796688,280.9318958057785,5.375,3.0,11045.034289493484,186.0532179172076,3.857142857142857,1.0,27640.157053491857,73.52952835066661,0.0,0.0,4203.5,NaN,0.0,0.0,4200.0,NaN
6,0,68739.58092880675,416.226532085927,2899564.4084493327,1701262.969516219,1742967.433823274,1.9975134504451838E8,790081.9414510932,440878.50891755597,0.0,0.0,0.05,0.05,0.05,0.3594161761177932,65.65029032964375,59.27276564514783,7.022222222222222,204748.2373652627,1291.7375133701182,186.36367896044214,29.0,7696324.529376357,1.3882886812968915E7,24788.677643095434,42457.72416002554,39029.72416002556,1870842.3424664673,6.567170310200008E8,2.6325245818112013E8,0.0,0.0,3893.375,NaN,1.0,1.0,13369.986512632904,108.30462581790425,15.3125,6.0,183813.32670165636,199.30650355529505,0.75,1.0,14544.297660217548,97.48188157938876,8.25,4.0,92886.07108601445,193.279963910848,9.875,9.0,64734.41773670679,205.47135496824637,1.2857142857142858,3.0,10980.518328721058,300.8428148833289,8.2,2.0,48689.647691188904,271.98412445616407,4.75,2.0,27632.16899487803,169.91802355522708,0.42857142857142855,1.0,7544.409472540196,98.20580990849662,0.0,0.0,3896.25,NaN,0.0,0.0,3894.0,NaN
7,0,76025.38513451695,356.83137917593086,2574092.546423018,1689080.8352081694,1731010.89906678,2.010509970222311E8,719772.7950631868,412885.7439095761,0.0,0.0,0.05,0.05,0.05,0.275958606809437,64.26705217138172,55.27508455393077,6.455555555555556,236374.8807895188,1146.9580044940635,172.59343195246421,28.0,6421295.368853793,1.326358003096039E7,149532.96027997608,246514.19646021788,256241.54646023328,1731383.4665415864,6.609375652740074E8,2.6292909508635095E8,0.0,0.0,3609.0,NaN,0.0,0.0,3609.6666666666665,NaN,13.0625,6.0,170924.1634398518,191.287524332687,0.75,1.0,-5491.080262564006,549.3057922267899,7.3125,4.0,114132.20815151662,151.3303034507123,11.125,9.0,113984.95150541053,174.62047232767543,1.4285714285714286,3.0,8663.804233257308,312.5935236013781,7.0,2.0,29402.35532746139,266.5064372202511,3.125,2.0,21966.494242114553,176.83213552969772,0.5714285714285714,1.0,8071.921914470581,85.64057614548325,0.0,0.0,3606.75,NaN,0.0,0.0,3607.75,NaN
8,0,53421.42366289404,297.9564729013858,1988207.8576153603,1301085.7144182236,1332671.1027172871,2.0273609427251917E8,496402.4096736047,342622.0510144725,0.0,0.0,0.05000000000000001,0.05,0.05,0.05,60.358710467556726,59.066261147851804,5.044444444444444,172615.33813557273,993.1882430046193,191.98639776793058,27.0,5361815.350042078,1.0169743479702543E7,134867.4959212892,56024.85983611131,54063.35983611154,1324705.0892986506,6.665202449107859E8,2.628805375176892E8,0.0,0.0,2336.875,NaN,0.0,0.0,2338.0,NaN,7.875,6.0,78501.9297059279,206.14812871084357,1.25,1.0,22216.399229860413,77.45973644753542,4.5,4.0,69662.91334026054,172.4024494100363,11.3125,9.0,110691.62046179165,199.84506407318838,2.2857142857142856,3.0,23282.474376409857,268.5310728445794,8.4,2.0,59023.30067884455,257.4044048804992,0.75,1.0,8012.614014138511,170.48753558112256,0.8571428571428571,1.0,4207.911495877263,138.8304951928088,0.0,0.0,2344.0,NaN,0.0,0.0,2329.75,NaN
1,1,-68532.96333838519,2563.413967329732,1.326863061537193E7,3795586.9926982694,3872647.2922582645,1.954196129335965E8,2204249.295802093,1562331.8845485197,0.0,NaN,NaN,NaN,NaN,NaN,376.3786380369843,94.62971987681536,27.08888888888889,-68532.96333838519,2563.413967329732,328.6148094986044,90.0,4.71586713612582E7,4.0990704660803534E7,-243202.84040163664,-243202.84040163664,-243202.84040163673,6666506.040954478,6.531390477918673E8,2.647721420292919E8,15.25,4.0,-351620.23589445243,782.6006565123979,27.333333333333332,3.0,-9503.268110495323,433.0178249556466,27.5,16.0,-42389.75890871254,406.73926875315044,24.0,4.0,-153847.4147541547,445.5241125872536,32.125,16.0,65200.463135835635,280.0280890399948,29.25,16.0,-29753.66891847236,323.8016617862905,27.857142857142858,7.0,-32462.85474725891,352.3735308039041,25.8,5.0,-95260.18044351223,355.27612941260907,25.875,8.0,-125279.58101782478,298.86949904838957,25.714285714285715,7.0,-115332.3960997714,366.05091756054793,17.0,2.0,-353103.7277654467,565.8005533167195,16.0,2.0,-393593.5483234498,582.7558370786496
2,1,56172.94727599532,734.0370367141375,5736188.162005841,1891703.913911923,2000920.4557563907,1.973454264398537E8,1060936.4188211428,661310.0435429085,0.0,0.0,0.05,2.1888184861687523,0.05,0.5821192166835507,295.9898430164623,62.323899343653174,11.777777777777779,56172.94727599532,734.0370367141375,203.523001338587,90.0,1.4104594946693059E7,1.916016020153267E7,5731.067692614277,5731.067692614277,-618.1823073857386,3027651.349312436,6.60461855282673E8,2.6594399416220915E8,1.75,4.0,-79939.03372303747,904.877564893181,12.333333333333334,3.0,97238.06604620912,264.0738474734302,7.625,16.0,44067.87067591366,333.069810393306,15.25,4.0,-16079.7935412142,460.6587580218418,23.625,16.0,169537.55789654233,169.91170590134706,13.0,16.0,64214.509166226155,208.89538907738054,7.857142857142857,7.0,36611.84508608371,288.8801626798715,14.8,5.0,23297.989370318224,246.67600979223124,9.75,8.0,24228.788871769113,208.02207260067522,5.142857142857143,7.0,25874.870699864456,285.91736176485745,1.0,2.0,-12317.284299970925,604.2584929777645,1.0,2.0,-10142.668894197763,432.51613230674985
3,1,70565.37699548744,680.4637801572354,5488047.175253441,2019094.446032088,2070264.6078512252,1.9663038826138452E8,1177556.9425997408,643530.6558613232,0.0,0.0,0.05,2.9932862001697598,0.05,0.2567492574635184,280.05399872967655,59.17076349193352,11.5,70565.37699548744,680.4637801572354,192.62792301823242,90.0,1.324259695580254E7,1.959348088539688E7,15894.019307433191,15894.019307433191,11613.269307433186,2996877.0385013935,6.552154897956704E8,2.649617650578131E8,1.75,4.0,-21013.452420193586,605.553862586301,7.666666666666667,3.0,70737.78367343634,273.443313735828,13.3125,16.0,93516.2665515982,307.74751801577145,13.5,4.0,91054.72829457797,273.25018145806257,23.75,16.0,203804.59292697196,180.99286109099137,12.5,16.0,58442.620525654755,231.75375901125344,4.285714285714286,7.0,6272.152079006251,288.39488329134804,6.0,5.0,7258.220147781566,344.4110854144405,7.5,8.0,18905.16413833745,184.810618827823,4.142857142857143,7.0,9674.585050654534,308.1221521497517,2.5,2.0,-31623.75977734421,437.12893932531836,2.0,2.0,-34811.12959505958,545.4950269822857
