year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,123871.36486986848,2438.185360710454,1.925771063107769E7,4940609.859444492,5035075.486011391,1.9422336202194884E8,2635300.2469458715,2404919.122467612,0.0,NaN,NaN,NaN,NaN,NaN,151.8727287006227,66.71835891272144,36.544444444444444,123871.36486986848,2438.185360710454,128.15348597694984,90.0,4.485529858646132E7,5.600372142474948E7,343812.96004873177,343812.96004873177,343812.96004873165,9342565.96269875,6.473129006672596E8,2.6431417655892935E8,15.75,4.0,-279057.0333683089,913.7952948186448,43.0,3.0,250935.34749965114,121.36432787283987,32.0625,16.0,-30106.520453998783,140.53100064776177,35.5,4.0,87254.01118925033,105.59578567872123,40.0625,16.0,230672.21428420852,122.12308679142804,42.6875,16.0,305152.907230166,118.25362864797272,42.857142857142854,7.0,247144.4623409607,111.51697662515299,43.2,5.0,243644.79708717446,105.62567720460561,40.125,8.0,184710.25828449643,97.96012283657055,27.571428571428573,7.0,-60595.091012203346,99.22930186138778,25.0,2.0,-121215.34374146766,92.14507875120825,19.0,2.0,-343994.84799538914,80.52067221483198
2,0,114983.0993644845,751.6541345215641,8976358.792501625,2159559.9562740154,2225150.074529149,1.9709520862166637E8,898285.411381348,1048557.899424478,0.0,0.0,0.05,0.052196225556315666,0.05030126302106207,3.037854105133419,137.26391221904197,47.97792348009983,15.666666666666666,114983.0993644845,751.6541345215641,101.33490477061184,90.0,1.4443098134242868E7,2.4791577077046383E7,304043.78856223915,304043.78856223915,312976.2885622585,4199886.460453701,6.57328418375159E8,2.6614395229383436E8,1.0,4.0,-11831.717421014284,913.7952948186448,32.666666666666664,3.0,251080.17198459074,96.14782786413322,1.9375,16.0,19547.190335806616,120.7090078678109,2.0,4.0,24159.826361403408,99.54457198871232,5.1875,16.0,42099.42765014258,105.85923386162894,37.9375,16.0,293313.6326933575,103.35805940910153,43.57142857142857,7.0,228994.67273514133,101.89049964343158,32.8,5.0,187973.76391879312,96.6704091651097,12.375,8.0,156361.26539790575,89.9765593536964,1.0,7.0,8528.806264215624,72.74672559849617,1.0,2.0,4609.906207269698,109.4604639448348,1.0,2.0,1959.436016059859,44.29115271850236
3,0,69750.3882351906,857.8384318335404,8489658.029946068,1939543.4332347838,1998690.6584860005,1.9639532222681382E8,793506.1434758155,1072553.2276907268,0.0,0.0,0.05,0.05,0.05,1.0203333554426877,139.11040327603456,59.206640233909994,14.488888888888889,69750.3882351906,857.8384318335404,101.38112341636814,90.0,1.6694426272765541E7,2.297196121393275E7,205592.68704607233,205592.68704607233,270899.28704608174,3940291.889560828,6.493581645458026E8,2.6557816282406187E8,1.0,4.0,-22621.78548860379,913.7952948186448,25.0,3.0,121337.60158498655,100.07852491486797,1.125,16.0,18316.8473263443,126.83730621635077,1.25,4.0,21365.403011272887,112.74446680432095,4.5625,16.0,53441.609840878824,106.6395266118097,35.0,16.0,186439.8936410989,104.81347327187069,33.0,7.0,123128.74424650238,102.21807706908946,29.6,5.0,98643.76444722977,96.16992209090606,21.0,8.0,50332.85770659462,85.03307400013179,2.5714285714285716,7.0,5818.407870599399,73.82182867717982,1.0,2.0,-611.8975839077248,109.4604639448348,1.0,2.0,-4956.950076218345,44.29115271850236
4,0,55440.01792522253,713.3293768273536,6154872.459006163,1789226.5433791548,1836016.675167663,1.9693860810833544E8,744091.8939088319,752631.438844501,0.0,0.0,0.05,0.05,0.05,0.15791953751444066,75.90491341502018,63.56400387570478,11.222222222222221,75326.32208234418,1003.119436163466,107.28739875662464,64.0,1.3763092216695026E7,1.87526938299651E7,64939.99757900485,281081.34134946,305529.64134945953,3022160.77853565,6.458515715749085E8,2.65105732028794E8,6.75,1.0,25854.080609197365,380.1982494699311,43.333333333333336,3.0,261125.0333484851,99.13898106401147,1.0,5.0,16367.144708128264,121.01109503727722,2.25,3.0,35817.815186843596,100.370774072451,5.9375,15.0,68541.67932884215,108.86855159930928,32.0,16.0,159414.91547846672,98.55640059668545,8.285714285714286,7.0,-5760.81195889479,106.7160007511932,12.8,5.0,7713.720492166991,94.6575098073364,12.0,8.0,-1180.88691798121,86.41821921579361,0.42857142857142855,1.0,5086.039198384707,126.0832257281222,0.0,0.0,6492.75,NaN,0.0,0.0,6487.75,NaN
5,0,49421.488162300695,662.354898018738,5172148.863492583,1771637.6014386707,1810149.685694198,1.9794303502158967E8,641352.1014428296,653924.431575126,0.0,0.0,0.05,0.05,0.05,0.05093460504666608,67.22216307620283,66.38300759653276,9.977777777777778,72195.21057678436,993.532347028107,100.58929671742402,60.0,1.267569003613414E7,1.712362397074125E7,91671.42444566404,72084.75010762067,81732.60010762035,2634186.926329872,6.45272472405042E8,2.6478190623100728E8,0.0,0.0,3274.200000000121,NaN,38.333333333333336,3.0,185264.00489132223,102.21504545092462,1.875,5.0,23601.989310715362,119.89653860794267,4.25,3.0,55715.33470202537,86.25453923513827,7.375,14.0,70706.88402381078,108.78044636423108,27.375,16.0,133160.51000710556,103.17697636019652,7.714285714285714,7.0,77.02623129846428,105.28799405034667,11.2,4.0,4614.393467905349,87.44435221293725,8.75,8.0,-6318.562912466194,78.06899896172476,0.0,0.0,3964.3571428571427,NaN,0.0,0.0,3959.25,NaN,0.0,0.0,3971.0,NaN
6,0,56809.70738380667,680.2249853994102,4887191.803974899,1960849.7506140268,2004315.5533535779,1.988490674368999E8,639806.9110589077,652741.9236044751,0.0,0.0,0.05,0.05,0.05,0.051955058969811105,66.27484943475626,68.3261704084229,9.955555555555556,83582.15274237668,1020.3374780991154,99.6498174729882,60.0,1.2577843894250007E7,1.7690717558792632E7,134412.94313838845,-16354.839950826077,-18892.83995082591,2601751.7913824986,6.465771751293254E8,2.6449969919992414E8,0.0,0.0,3266.5,NaN,30.333333333333332,3.0,230325.1844091415,101.44265134642653,2.5,5.0,25517.940784433624,118.81926486484367,5.25,3.0,83881.25679489551,88.62543508699567,8.125,14.0,79321.87801697991,104.30292153405608,25.9375,16.0,141232.80708965095,102.33263361994707,12.571428571428571,7.0,15984.949163918858,100.39900373848295,7.0,4.0,13986.504093217536,93.3855940196429,9.5,8.0,-10199.261841869651,78.31717798246093,0.0,0.0,3265.6428571428573,NaN,0.0,0.0,3267.25,NaN,0.0,0.0,3259.0,NaN
7,0,72223.16255067036,609.8183309349937,4466710.505977602,2035818.8665589239,2094094.4200844055,1.996513626185007E8,727499.6409543368,519715.76050041686,0.0,0.0,0.05,0.05,0.05,0.6163704489591237,56.1056042368378,64.041598347899,9.522222222222222,126874.19259120664,1097.6729956829886,99.90196254657137,50.0,1.0973835343479551E7,1.7473919973040048E7,200444.00402299617,67241.50719577674,67102.75719577626,2481626.302360289,6.495186435259662E8,2.641643675850066E8,0.0,0.0,3908.875,NaN,41.333333333333336,3.0,331929.4398576116,95.8549086197113,1.875,5.0,22847.61956679423,122.83715016267529,14.75,3.0,176636.92664833638,81.8283382566558,15.1875,14.0,127033.80604156452,103.83292393877556,21.0625,16.0,148837.92143008736,102.07486305281836,2.4285714285714284,3.0,-14.54468719162313,119.76801940308853,4.6,2.0,2532.1206328431144,89.024045355541,3.0,4.0,-6622.0924468576195,69.51449924115626,0.0,0.0,3911.8571428571436,NaN,0.0,0.0,3913.0,NaN,0.0,0.0,3906.25,NaN
8,0,62186.710354187715,571.8131282398334,3941875.6953508924,1894406.5652299195,1956124.2369379262,2.0057916908946383E8,649538.719657347,442463.014404712,0.0,0.0,0.05,0.05,0.05,0.15854286141332483,54.67291535357876,64.73356168752831,8.833333333333334,113289.48816410196,1072.1496154496876,101.47880107237957,48.0,1.028995611028135E7,1.5886760042157834E7,32230.14514485246,16186.19541825846,12773.195418258427,2219636.356636662,6.538238556021203E8,2.6394406593877172E8,0.0,0.0,3784.0,NaN,45.0,3.0,440592.309944472,96.85499945293547,3.625,5.0,10756.484033302007,115.05460138353502,16.75,3.0,96869.07351071933,80.41001542299153,15.625,14.0,118112.4362287774,103.97926407140217,13.75,15.0,82626.02947141859,103.9599779186144,1.4285714285714286,3.0,4923.797895994553,112.37207664187305,8.2,2.0,62498.94421322361,92.57674679197325,1.75,3.0,12490.775740819168,92.03841366274015,0.0,0.0,3781.714285714286,NaN,0.0,0.0,3779.25,NaN,0.0,0.0,3788.75,NaN
1,1,135989.4685517311,2427.5941716245998,1.960317071450048E7,5024310.084170874,5123947.140422052,1.941322902148422E8,2740213.8279535756,2332505.5919203856,0.0,NaN,NaN,NaN,NaN,NaN,164.4919522261884,64.83189182380238,37.44444444444444,135989.4685517311,2427.5941716245998,NaN,90.0,4.466030067711347E7,5.6899352846769266E7,240586.9888855731,240586.9888855731,240586.98888557288,9494688.003065217,6.469669037517656E8,2.642032346661008E8,16.0,4.0,-556663.3331598409,1571.918836261016,43.333333333333336,3.0,249619.96346262863,128.91839663122974,35.9375,16.0,79968.87733391882,138.38437393234764,44.25,4.0,343486.32855646714,110.64890667024159,40.125,16.0,236149.69827870867,125.43218530522815,42.6875,16.0,308430.1399207194,117.29971726971895,42.42857142857143,7.0,233804.2115207615,115.76315813219061,42.4,5.0,217415.1097573357,111.1346561632486,38.75,8.0,144932.57765190958,97.2591600962461,27.0,7.0,-84284.84205220347,99.59037765835102,24.5,2.0,-152828.71142821683,84.09779626880623,21.0,2.0,-318696.7421387847,75.9455231124598
2,1,85790.28307691673,900.0628035050337,9147349.709566304,2152008.519775951,2225664.8599253194,1.9709203306085095E8,872297.5829636618,1103004.3083023492,0.0,0.0,0.05,0.05470264641034967,0.05010915705087921,2.9400607730552824,149.03401837919745,54.549260818486886,16.5,85790.28307691673,900.0628035050337,NaN,90.0,1.729472101957242E7,2.5015846496495165E7,239904.13258276402,239904.13258276402,244776.88258275812,4263749.988325027,6.571648273132937E8,2.661696518513655E8,16.25,4.0,-570763.1931672278,1571.918836261016,33.666666666666664,3.0,245500.66930098637,102.89171213406244,1.8125,16.0,17282.40763008217,121.4435228983726,2.0,4.0,25787.525967581074,79.37337897381568,1.875,16.0,21920.925711712785,104.63185880009601,39.9375,16.0,290309.58633294,103.52387061450125,35.714285714285715,7.0,212033.73923107865,100.10353359727631,41.4,5.0,206924.98157670192,94.53118976673923,18.125,8.0,162963.42321886448,85.92740335617157,1.0,7.0,7517.8356167810725,93.50224158781748,1.0,2.0,6544.554209208538,68.22,1.0,2.0,2018.4985172575398,72.89642703051514
