year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,259717.2463961011,2403.8155708529875,1.9993545297917023E7,6598934.948170496,6763311.42780975,1.9254055380435154E8,4670879.869380591,1933817.327117317,0.0,NaN,NaN,NaN,NaN,NaN,297.91844483154154,60.89034657381618,39.477777777777774,259717.2463961011,2403.8155708529875,223.222167094306,90.0,4.422286427673555E7,6.759741645238465E7,-112560.11770397432,-112560.11770397432,-112560.11770397404,1.0645641350897523E7,6.464907172316821E8,2.6217269462416402E8,20.25,4.0,-165856.65177633462,560.3772620764776,52.666666666666664,3.0,473728.5805848991,129.43945867576073,57.375,16.0,732859.1622240066,133.71983883750423,37.75,4.0,147222.17744720253,190.13121972561106,61.625,16.0,890528.7186408885,101.17734729840203,29.3125,16.0,-17580.86982697429,409.87121734279157,29.428571428571427,7.0,33583.53306020559,467.24533315287215,41.0,5.0,215989.79580686786,125.99169522749233,19.875,8.0,-227893.20660598998,726.7406634162195,20.857142857142858,7.0,-256825.79830734478,291.09300832836846,23.0,2.0,-121941.13475664958,292.281946620359,14.0,2.0,-557616.5226694739,384.5986044336575
2,0,136707.5825116924,459.1016582853939,6746555.659667335,2053199.9197843098,2175788.218102433,1.9717627616044524E8,1000907.6856598947,665395.5421308384,0.0,0.0,0.05,2.3534766377834253,0.05,3.0102058610512623,254.2519184537922,36.181391633700045,12.688888888888888,136707.5825116924,459.1016582853939,102.83756747664383,90.0,8821570.838622356,2.112525326467612E7,6486.828180724817,6486.828180724817,-2186.671819275185,3395075.5925087845,6.594573154650143E8,2.659961174721216E8,1.0,4.0,-12076.552234249684,521.4881811360767,24.666666666666668,3.0,129532.50604057405,66.9935563706987,4.5625,16.0,139220.1979365566,136.18127683798244,2.0,4.0,102091.79062528153,126.49490864730633,36.8125,16.0,415175.471933374,101.18029888898084,5.25,16.0,53502.160195793265,290.09376190711595,1.0,7.0,13145.782536089877,350.2696655256913,56.6,5.0,347622.60997576034,67.13280196153933,1.0,8.0,-10659.805179589617,727.7662271311948,1.0,7.0,20024.14172864927,228.6630192489484,1.0,2.0,-401.47404515516973,288.3627650904863,1.5,2.0,-27781.22844503232,431.71303999484775
3,0,135274.34197463153,498.3492986449675,6259616.250439699,2251805.8372250274,2337587.5864715283,1.9620166468532455E8,1241089.1346455493,683962.1805885939,0.0,0.0,0.05,3.342132505692035,0.05,2.2028970598634183,252.73174652948174,38.46606936367674,12.955555555555556,135274.34197463153,498.3492986449675,108.09985914415755,90.0,9698274.034243532,2.1872964811960302E7,1036.714569923839,1036.714569923839,-5308.285430076161,3364130.774890983,6.535037028841434E8,2.649508857445646E8,1.0,4.0,-13774.923264174111,490.2524338542339,22.333333333333332,3.0,248222.2582470555,69.03023630202314,11.625,16.0,130224.59338994444,135.84719490212123,8.5,4.0,68805.32629419053,116.39313831023162,30.625,16.0,423925.48852201033,92.79877589504268,5.0,16.0,49994.69500854263,289.2991848594707,1.0,7.0,-2842.969170953678,355.93870101672707,53.6,5.0,436626.94552038395,74.11944772795962,1.0,8.0,-13631.511978804792,731.0940179994586,1.0,7.0,-448.9270664886156,240.76493505445046,1.0,2.0,-1920.215347788755,279.9682052077253,6.5,2.0,-251806.48364308022,434.4252270170556
4,0,157340.2598075369,411.02642403893105,5618417.666158522,2418648.736774661,2500741.560363338,1.9615632918379387E8,1402735.6566073864,645708.977117421,0.0,0.0,0.05000000000000001,6.415504733136819,0.05,0.9543993425139526,73.90508708738682,34.41151457070121,11.944444444444445,268370.2477438139,711.3918877596884,96.57552849110716,52.0,7930410.020021016,2.2091033402698938E7,5405.0,719224.9757332477,640313.3257338717,3249415.572406067,6.50260809760426E8,2.6376875075098312E8,0.0,0.0,5404.875,NaN,14.666666666666666,3.0,217314.48854849316,70.93036059171068,19.0,16.0,223917.99379538134,107.09739126385038,25.0,4.0,162222.24041393117,105.29094476190856,22.3125,16.0,390955.9272809905,93.12639233040272,4.0625,1.0,58466.961374996026,47.833640602659216,0.8571428571428571,6.0,-2560.4933770356033,351.3836717091206,39.6,5.0,396523.4108519141,107.86284593288035,0.0,0.0,5404.4375,NaN,0.14285714285714285,1.0,5024.890790701653,118.47253901221161,0.0,0.0,5405.5,NaN,0.0,0.0,5401.5,NaN
5,0,161081.86842940372,395.4629669875786,5464546.995057256,2458642.3168028197,2552234.455742752,1.9649776368414223E8,1403355.8694674533,622341.4845056457,0.0,0.0,0.05,6.040671811376432,0.05,1.4593079476591124,46.4199889045861,33.896825741792455,11.666666666666666,317137.6035254741,790.9259339751572,88.66514427144884,45.0,7568096.003607201,2.206546416225398E7,5028.25,277423.81727353827,366817.11727360974,3208792.687663211,6.491292943022808E8,2.6261764095064032E8,0.0,0.0,5026.25,NaN,5.333333333333333,3.0,104190.69720242941,77.45671806296801,25.75,16.0,294969.80787440296,95.63284688356264,29.0,4.0,333885.1066002004,100.65052924672322,17.4375,16.0,330653.5243663314,93.3709399623938,3.8125,1.0,57780.999159665254,41.56140250170772,0.0,0.0,5025.571428571428,NaN,33.2,5.0,352801.46764637,95.44094763998835,0.0,0.0,5025.6875,NaN,0.0,0.0,5025.428571428572,NaN,0.0,0.0,5025.25,NaN,0.0,0.0,5030.5,NaN
6,0,168084.6350944185,378.22916990184433,5142131.3237737715,2568262.4978150595,2661724.4968222547,1.96823792525279E8,1375849.1119616893,598157.858549765,0.0,0.0,0.05,2.5977128283586586,0.05,3.11530130672724,43.3750692528268,33.47160795591543,11.3,331575.59241105925,756.4583398036887,77.10579145607505,45.0,6993701.939364671,2.212131909786165E7,4593.25,447658.7482298772,581158.1482298253,3124807.354315355,6.499754792247111E8,2.6152429197185236E8,0.0,0.0,4592.0,NaN,7.0,3.0,77896.5902491634,64.97561400505886,21.0,16.0,329113.635941473,98.24389778003487,36.0,4.0,502792.33174176037,77.15281553580535,18.1875,16.0,312238.1554968274,87.58640585977042,3.5625,1.0,46356.95527046034,35.89865370517791,0.0,0.0,4595.285714285715,NaN,33.6,5.0,348323.52268859284,78.20692333079015,0.0,0.0,4592.5625,NaN,0.0,0.0,4593.214285714285,NaN,0.0,0.0,4593.75,NaN,0.0,0.0,4592.5,NaN
7,0,161999.19332273453,376.96977869548914,4839237.576424426,2540539.979356777,2616535.398683697,1.9717069835665974E8,1221412.2828856248,604280.4768018267,0.0,0.0,0.05,1.184743461245775,0.05,4.274110831575021,43.694854505948875,34.83293642976799,10.822222222222223,319302.21997880243,753.9395573909783,86.81909593190757,45.0,6783671.510904872,2.1363598909953054E7,4698.75,560651.4230580567,319236.52305792004,2965971.1281144554,6.523883141901551E8,2.606240240170584E8,0.0,0.0,4697.5,NaN,21.333333333333332,3.0,86417.52434900259,68.19589182584991,21.8125,16.0,276144.4162469201,99.03493996053884,30.25,4.0,522161.9081423279,76.43839019765403,13.5,16.0,309579.0000256676,88.3985535090352,3.9375,1.0,55348.22885924496,56.32597470267969,0.0,0.0,4695.214285714285,NaN,32.2,5.0,366799.874264093,73.38675981027373,0.0,0.0,4695.1875,NaN,0.0,0.0,4696.0,NaN,0.0,0.0,4700.25,NaN,0.0,0.0,4695.5,NaN
8,0,162588.8091304811,344.8047291495173,4549578.993930651,2528455.6558359917,2608604.1352192736,1.9748221615876544E8,1257352.5966835918,499397.66733678523,0.0,0.0,0.05,0.9665538815763709,0.05000000000000001,4.258029758449932,43.25202356330462,33.118917420978185,10.411111111111111,320836.59603873995,689.6094582990346,80.40107428781731,45.0,6204872.996093404,2.0837865817835778E7,4341.5,321034.5959316818,559547.7959317125,2848353.9579952797,6.559685287481468E8,2.597220237999578E8,0.0,0.0,4341.125,NaN,22.666666666666668,3.0,262255.9219258712,66.30030184600275,16.3125,16.0,283931.7073712798,98.3018114988775,42.75,4.0,555040.4078741674,66.9111699474451,16.9375,16.0,253631.13275191374,87.04578958530172,3.875,1.0,65117.19314673089,55.137285111949566,0.0,0.0,4341.714285714285,NaN,20.8,5.0,370591.77843004506,81.08752658216201,0.0,0.0,4338.75,NaN,0.0,0.0,4341.5,NaN,0.0,0.0,4343.0,NaN,0.0,0.0,4340.5,NaN
1,1,282647.9100562826,2395.002237066158,1.924501745532501E7,7075206.025953979,7250230.582591043,1.9205324290131232E8,4499645.486647555,2416672.00069715,0.0,NaN,NaN,NaN,NaN,NaN,268.854434864909,59.380220753706396,40.333333333333336,282647.9100562826,2395.002237066158,184.15268087183293,90.0,4.406061134400263E7,6.949892324906805E7,576585.512856148,576585.512856148,576585.5128561476,1.065629191216915E7,6.472083011614027E8,2.6234889096137854E8,25.0,4.0,-25442.633719399353,363.20454406463807,8.666666666666666,3.0,-583282.2199439245,1460.2607532222657,52.6875,16.0,569824.1411734528,147.00044195922163,66.5,4.0,989449.0943907772,85.84926433302533,52.0,16.0,589303.9404168307,135.96012523445157,50.9375,16.0,621854.6712270776,174.43486286612216,35.142857142857146,7.0,91466.03491280931,180.22587248381274,21.0,5.0,-173497.6708042492,347.99306996765847,13.375,8.0,-502403.25942712545,710.755938609198,30.714285714285715,7.0,53637.50696427581,75.3039000426892,20.0,2.0,-192275.49166738748,697.4494927866665,17.5,2.0,-454025.35161632765,45.9772558284555
2,1,76521.61671837146,650.2130876839256,5259769.002764083,2082920.67308708,2170615.6402373407,1.9719698641055316E8,1202367.0413467675,449242.12598384294,0.0,0.0,0.05,4.963209077998803,0.05000000000000001,1.8750988806736175,241.7148677641025,53.44217159045964,12.166666666666666,76521.61671837146,650.2130876839256,172.46014652444737,90.0,1.2493731018681722E7,1.9380676523334783E7,172165.75260691077,172165.75260691077,9338.602606780856,2906717.9162276536,6.608968457290696E8,2.657924851586353E8,1.0,4.0,3465.1959417905937,313.4551643240151,8.0,3.0,-604901.0179478803,1572.5580293928435,8.125,16.0,268497.1999101611,107.07626636300793,27.75,4.0,503016.90730612725,59.90452561383219,42.6875,16.0,145583.5765113578,91.43093523589309,2.0,16.0,172036.0615932683,164.93661984791578,2.0,7.0,131630.6784669733,79.34632575293517,1.0,5.0,-2690.156131554657,350.14240289267104,10.125,8.0,-491151.00565681036,689.1146656603069,1.0,7.0,49041.413298009546,58.97964070421074,1.0,2.0,-10850.877934196644,679.069160984809,1.0,2.0,-1246.6616527129372,69.03734038739287
