year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,225740.81124004556,2431.6691972017725,1.809902612173077E7,6564533.430300921,6721146.743453138,1.925852435519419E8,4184841.8793790895,2400688.330413978,0.0,NaN,NaN,NaN,NaN,NaN,318.96917333472527,65.3089309901998,37.233333333333334,225740.81124004556,2431.6691972017725,237.2925586074183,90.0,4.473544943740788E7,6.505212244901198E7,438232.38239487214,438232.38239487214,438232.3823948718,1.0018057345106648E7,6.483602048745209E8,2.6268370500277135E8,21.5,4.0,-104061.96007099753,583.3498505061004,11.333333333333334,3.0,-394869.9032055637,1160.008566836336,39.5625,16.0,320842.956032733,276.69012801844565,55.5,4.0,693086.6384334303,99.91482966871666,39.0,16.0,278940.14177590096,351.2450729292809,42.125,16.0,349489.81625895406,230.0796869364126,50.0,7.0,433279.5197774125,92.38287301729464,35.0,5.0,232001.75958722085,333.77453045563453,23.5,8.0,-103006.98196486208,541.5795167099151,34.0,7.0,61239.904029524885,233.35053818840433,29.5,2.0,-3244.7059717313205,137.5898039606613,34.0,2.0,82858.94288367304,104.54035022602969
2,0,154035.44139042255,503.90797413600643,7509342.012415475,2277571.238215919,2403241.6170628495,1.969446921724936E8,1127231.1425997943,773873.5987935042,0.0,0.0,0.05,1.685990432502297,0.05000000000000001,4.013882811014435,234.8230390246319,35.79456801281814,14.077777777777778,154035.44139042255,503.90797413600643,95.4541626081585,90.0,9682677.298691127,2.3545867023829572E7,204775.11341718884,204775.11341718884,427477.16341715987,3788752.9121090537,6.58712273299173E8,2.6585797536942697E8,1.0,4.0,9154.36270473509,340.62512638475346,1.0,3.0,-14767.352603046244,1088.4923799732621,4.0,16.0,113712.13274403223,119.16123936874513,62.0,4.0,551746.8337265395,85.969992300683,6.375,16.0,83106.67695514152,277.89581506590815,28.25,16.0,227288.56422312887,140.58066475475098,51.857142857142854,7.0,497410.9283879579,67.48737316045722,1.0,5.0,82063.25850049286,346.21750051291014,1.0,8.0,24535.930475471294,474.9060404026227,2.0,7.0,79723.70880439862,165.49965482267882,1.0,2.0,24379.78506110094,76.38532597183487,1.0,2.0,91431.62384514758,122.9983584568572
3,0,153133.95999430062,553.7860761664671,7434782.165630119,2460523.633155207,2559087.150152861,1.9573517156705153E8,1262839.7175617742,790615.6336969867,0.0,0.0,0.05,1.6922985136482376,0.05,3.875440912756669,227.53152561875896,38.104546525215625,14.533333333333333,153133.95999430062,553.7860761664671,100.65501119552232,90.0,1.0777318354232972E7,2.455937475372085E7,370848.9119617238,370848.9119617238,364219.3119617547,3853115.692487152,6.51650571125853E8,2.6477943587437248E8,1.0,4.0,-7472.554698590997,343.06357843733934,1.0,3.0,-22948.179365030996,1093.7880360057352,10.75,16.0,79791.41085272521,117.65221552111736,30.0,4.0,786665.5825104814,80.41589097918522,12.875,16.0,85921.24772965236,285.7743265644162,32.6875,16.0,333079.51734055986,95.32925629606412,35.57142857142857,7.0,382822.1507948277,71.51501664659004,1.0,5.0,-590.1295599804318,337.21278401294296,1.0,8.0,-4843.9349442352595,474.38104815715644,2.0,7.0,12993.782216121983,160.66245937350618,1.0,2.0,6776.350484457431,85.80034731864434,1.0,2.0,5445.953437905511,122.25360689975571
4,0,162196.41524489998,426.1715577060472,5833389.828581223,2525969.3307609446,2621680.8957974548,1.9555335612343103E8,1348379.1144582615,657455.6634446129,0.0,0.0,0.05,2.9909165228473387,0.05,3.2268387322624434,112.12623876018178,34.46131194388522,12.366666666666667,209709.63582668113,555.8759448339747,95.85045680662597,69.0,8222616.318340642,2.2820293690381274E7,312764.65374603355,518843.09984534164,373031.79984468885,3343307.8936708076,6.483054135175757E8,2.636478486518255E8,0.5,2.0,-1715.5255186163963,348.24787366038476,0.0,0.0,6078.166666666667,NaN,14.5625,15.0,160839.84824775707,112.11303051197334,30.75,4.0,472103.33656553377,65.4479659002417,16.3125,12.0,201676.0890969963,107.17373061596174,19.6875,15.0,317573.5926151552,114.69156473739173,22.714285714285715,7.0,245204.64310132284,74.52269435576405,1.0,5.0,-2716.28078592142,338.5206830129951,0.375,3.0,1275.8740886945034,475.0687261362959,1.2857142857142858,3.0,12256.529351747537,161.07528480686432,0.5,1.0,5427.888690721971,64.35026048898325,1.0,2.0,3374.7875809533725,128.93780624440967
5,0,162082.80192546226,394.6768108384782,5161471.5091430545,2550668.587745482,2668291.0724056633,1.9576847991263267E8,1360179.452473884,654799.9330658057,0.0,0.0,0.05000000000000001,3.3938738087912204,0.05,3.1220135220413283,65.18478562786873,34.28659553616124,11.511111111111111,262068.7213325746,645.8347813720553,95.96072760154019,55.0,7553050.155821484,2.2140502329110026E7,202971.37657476717,903897.4605475191,1053730.3605469607,3147229.8020645245,6.475913422114298E8,2.6253163474608606E8,0.0,0.0,4963.75,NaN,0.0,0.0,4962.333333333333,NaN,17.625,15.0,209088.61141539144,102.89944950322226,27.0,4.0,514465.5005557103,77.08575784352705,16.625,12.0,243017.40818960746,99.20373374703037,10.4375,15.0,199856.18601799276,128.1171927173321,29.142857142857142,7.0,271763.00491851696,83.05684922948755,0.0,0.0,4961.9,NaN,0.0,0.0,4962.375,NaN,1.2857142857142858,2.0,10964.120953039548,160.59764612749223,0.0,0.0,4964.5,NaN,0.0,0.0,4962.75,NaN
6,0,157391.92086150445,371.69804493539965,4605278.465826676,2508504.263119389,2596925.6741175046,1.9615919213269836E8,1275421.897824162,620092.5371839432,0.0,0.0,0.05,2.6227090481636504,0.05,3.5107963986067703,71.9415384060448,34.6661389058922,10.722222222222221,254859.28868246186,608.2331644397449,93.31024333145474,55.0,6872960.339982201,2.1038233217517346E7,2736.6597968498827,865580.993008736,660838.2930083141,2907632.981831598,6.490641592466633E8,2.6153698856455672E8,0.0,0.0,4227.125,NaN,0.0,0.0,4232.833333333333,NaN,18.875,15.0,238613.90627256426,99.39880796818997,26.75,4.0,493019.64210800745,89.12936164682469,13.6875,12.0,247723.089286483,155.27242508713906,7.0625,15.0,103377.52126576137,128.39199620728843,31.571428571428573,7.0,372621.3279152696,77.24752371197587,0.0,0.0,4228.9999999999945,NaN,0.0,0.0,4228.375,NaN,0.42857142857142855,2.0,6846.392071363715,148.67859014752884,0.0,0.0,4225.25,NaN,0.0,0.0,4229.25,NaN
7,0,165717.41362550552,380.79973538485694,4957771.186236937,2576178.5466981092,2675864.379722546,1.9643531645137745E8,1289048.7688677786,578338.7697630435,0.0,0.0,0.05,1.679131971642245,0.05,4.129179527857283,65.25729221657906,34.13543444684973,11.155555555555555,277968.9854018018,646.641060087493,83.37827226227309,53.0,6852613.394827039,2.1767180621122092E7,386734.8907603158,480581.4204503847,458625.72045042866,3037721.004965397,6.514352496052594E8,2.6056342816608483E8,0.0,0.0,4923.375,NaN,0.0,0.0,4923.666666666667,NaN,24.1875,15.0,272008.48489623034,93.20692645783296,29.75,4.0,503155.2587996202,84.12609182809938,12.25,12.0,246570.7625905133,143.28064754504928,8.0625,14.0,117644.68252703495,121.08412702014606,24.571428571428573,7.0,367415.38880122174,79.19633663602046,0.0,0.0,4924.2,NaN,0.0,0.0,4926.1875,NaN,0.14285714285714285,1.0,4608.441324001012,169.62813003744398,0.0,0.0,4928.0,NaN,0.0,0.0,4922.75,NaN
8,0,161860.4841531789,356.78007701227585,4630998.70595774,2537379.231971702,2634557.826403899,1.9671163224302936E8,1231045.5574019952,520318.51766441454,0.0,0.0,0.05,1.3031024579326926,0.05,4.1304363586571275,66.20316172419814,33.413326671284935,10.677777777777777,271620.10516577546,605.852960964242,84.2290535184951,53.0,6420372.468939493,2.098781604272433E7,612787.4392560391,523178.12114410335,616961.1211442347,2883740.3357865782,6.550070373595725E8,2.5967412798632792E8,0.0,0.0,4637.625,NaN,0.0,0.0,4636.666666666667,NaN,18.4375,15.0,286776.5401298015,95.15882331252699,48.5,4.0,543316.7722675592,75.98560436438311,13.125,12.0,210266.5226984123,146.30379263274668,7.125,14.0,125148.06000291886,126.23151185462791,21.0,7.0,328218.6336533846,75.30714403603403,0.0,0.0,4636.6,NaN,0.0,0.0,4637.125,NaN,0.14285714285714285,1.0,4327.797692007169,176.92310222240621,0.0,0.0,4639.75,NaN,0.0,0.0,4636.75,NaN
1,1,124007.7941296555,2472.779300904382,1.6654933980042245E7,5594158.0291136345,5726245.847940278,1.9357220895351395E8,3094018.9019670123,2336167.386345509,0.0,NaN,NaN,NaN,NaN,NaN,329.18469914140485,72.99118959704637,33.87777777777778,124007.7941296555,2472.779300904382,253.85688331389048,90.0,4.5491393968468025E7,5.665209544013702E7,-64537.7779917558,-64537.7779917558,-64537.77799175575,8866339.185744556,6.497697811499008E8,2.6382764658384198E8,24.75,4.0,-57279.1571909093,383.9062072849459,42.0,3.0,432989.423428938,301.545678484021,41.8125,16.0,290531.38203524565,307.0083609535629,17.25,4.0,-247082.05886126705,734.4391729957787,42.4375,16.0,352619.5317494939,258.4817205824,30.6875,16.0,-6012.28370233647,365.2754048836898,34.857142857142854,7.0,207628.2320877481,305.55169005990325,27.4,5.0,-6057.557463439164,482.16135148984375,29.125,8.0,-20568.728659016455,254.3044277496666,30.142857142857142,7.0,30434.7562611237,135.95428161984452,20.5,2.0,-203876.43648317244,328.2333134181623,25.0,2.0,-89445.2223069969,582.052987697961
2,1,146263.09425043783,421.3424265873195,6114048.90147386,2216380.3382846997,2370442.4474537866,1.9698846886427954E8,1168019.712667624,556315.2039269505,0.0,0.0,0.05,2.596854444590232,0.05015207510184684,3.7031982677461586,236.4477670888853,34.567746939707156,12.188888888888888,146263.09425043783,421.3424265873195,101.31114942310808,90.0,8096164.5786636295,2.1259843061202932E7,195701.02484780547,195701.02484780547,439871.87484780356,3277354.586687948,6.60059652533801E8,2.6581661857712916E8,1.0,4.0,21083.28775435587,286.9302851805778,2.0,3.0,106254.43637535277,215.29751572024767,9.75,16.0,136504.10437716337,245.8607732265902,1.0,4.0,-6922.8804694214705,641.7289556340987,26.375,16.0,343030.3914264612,104.37843847405144,28.75,16.0,213720.89177532733,239.7038828129566,1.0,7.0,98436.59441972662,291.14310118272505,1.0,5.0,46780.00419481985,354.2574826944151,2.75,8.0,67591.55146527279,179.17849562835988,1.0,7.0,33970.82639249853,64.16251421990013,1.0,2.0,1179.418971710591,307.1807256730148,1.0,2.0,-3827.9366574505184,587.2319388496478
