year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,153899.35729939034,2442.64756061811,2.0517392849425253E7,5041240.146271363,5135196.211783152,1.941000794012316E8,2638643.8167164233,2850809.7582656518,0.0,NaN,NaN,NaN,NaN,NaN,171.14254347426012,67.04430632986579,36.43333333333333,153899.35729939034,2442.64756061811,153.5427036241557,90.0,4.493715626409671E7,5.878809842104183E7,69057.46151252827,69057.46151252827,69057.46151252827,9930207.758700803,6.461026490396509E8,2.6430791473920453E8,25.25,4.0,-52459.42670562034,288.0789734710795,44.666666666666664,3.0,344561.33981073584,138.5983417709781,39.8125,16.0,248748.4435971176,207.83831109627232,41.5,4.0,330594.3240845356,245.97503002812647,38.75,16.0,245276.43327926536,214.18474182721573,37.75,16.0,169708.4832804936,140.6728731990841,40.142857142857146,7.0,197243.67106195507,99.10584818856795,35.8,5.0,117788.33242782734,136.08731916576102,34.5,8.0,82877.1454116896,133.7256205787963,28.285714285714285,7.0,-63448.40027713698,135.3787663500719,21.0,2.0,-283183.04965992935,123.35281983684399,20.5,2.0,-268587.4180596428,104.6717767545776
2,0,106613.54992913612,628.9907809048929,6981822.912212696,2005826.9963407412,2111879.2616434423,1.972211461506288E8,1108572.7310904558,875811.6059765443,0.0,0.0,0.05,3.482488080344289,0.05193937439781123,1.1135936596579632,179.05801154669672,47.530789489034724,13.233333333333333,106613.54992913612,628.9907809048929,105.6147834837792,90.0,1.2086163531844087E7,2.168138302546586E7,25497.185399545153,25497.185399545153,-4518.414600451722,3549008.6687442698,6.592557380535145E8,2.659026126296057E8,1.0,4.0,6373.297612490478,303.000579811217,31.0,3.0,251566.38709498485,154.01795422266125,10.25,16.0,99247.40522848544,214.5496100632771,18.25,4.0,223009.96891448507,271.8707574183059,13.375,16.0,172672.4959385269,227.44304398609137,15.9375,16.0,101432.88213412518,143.22106138396705,24.428571428571427,7.0,144653.68809103387,102.21717792858988,18.4,5.0,90646.80051427442,132.83006064378645,9.5,8.0,44004.12869614297,137.34619596282602,6.0,7.0,30771.157595797642,145.2295283290483,2.5,2.0,-47955.3499543324,139.06743566048178,1.0,2.0,6006.2406857612805,108.54034731864434
3,0,94357.70554443021,649.5019565727894,6429833.908117378,2039552.2255147125,2100918.7674089787,1.9645056098836038E8,1124075.8947480714,867296.8754324404,0.0,0.0,0.05,2.6943367641330456,0.05,0.7521479764957332,179.1080518602201,51.730244328806236,12.555555555555555,94357.70554443021,649.5019565727894,109.21546159747511,90.0,1.2639954008696461E7,2.1132147507695228E7,3061.4170832470554,3061.4170832470554,-3219.58291675295,3360547.3200081373,6.531671182475291E8,2.6497048666288295E8,1.75,4.0,-8162.802531117368,303.000579811217,29.0,3.0,226644.02973450662,143.52419914697776,13.9375,16.0,106306.71753123187,213.58916584662072,17.75,4.0,249974.04279345728,277.73653175136536,14.75,16.0,184558.56417702694,220.7010206498549,10.0,16.0,49739.95099978813,146.686294348932,27.142857142857142,7.0,111034.43692113794,100.75281065892354,13.8,5.0,49194.39789815249,140.0433573245326,5.125,8.0,24617.768270116896,137.9975540820625,6.0,7.0,26895.037113156188,166.64511964018695,1.0,2.0,1352.3767464812117,88.75825209589885,1.0,2.0,-7896.240983815645,108.54034731864434
4,0,94708.11772223626,586.6806448955238,5558702.714175767,2041089.8882863624,2101782.632514905,1.9676443446350735E8,1111560.8787087023,745538.0862841101,0.0,0.0,0.05,2.265997208083121,0.05,0.8210449352060081,109.18006553947198,52.43421851102,11.188888888888888,123544.31757354799,776.4890888323108,107.62183911183782,68.0,1.1319444213186324E7,1.984317480818693E7,3901.058308107771,3901.058308107771,-1546.4416918922434,3036381.277593288,6.500270541194165E8,2.640974644510372E8,1.5,1.0,9126.01774841758,353.1765921324947,30.0,3.0,183923.94527878356,140.03997650779502,16.1875,13.0,135219.09946591005,132.84038609895794,17.0,2.0,256381.71058854228,115.95978139161117,13.25,13.0,190319.85065988897,203.83210012461626,8.3125,16.0,31872.98455231909,143.96355623964752,15.571428571428571,7.0,76250.22358719354,102.55850422359693,11.2,4.0,47672.484231018185,106.07086674507907,7.625,6.0,41211.43986297709,109.31797671810301,1.8571428571428572,3.0,9601.840828274368,114.24324550614608,0.0,0.0,5580.75,NaN,0.0,0.0,5578.5,NaN
5,0,103389.31196192045,532.322716233493,4863290.157509591,2167193.7054883344,2222283.795548031,1.973952429632482E8,1056480.1126115527,736692.958488093,0.0,0.0,0.05,0.3893265948956126,0.05,2.1031867308999983,62.6790445146561,51.184876560912784,10.4,190772.1697143154,1019.341371510944,103.35145997255972,47.0,1.0187175511475172E7,1.949221358804798E7,5110.0,-6396.280303971464,-11372.7803039715,2830298.0667222384,6.49509914826241E8,2.6332397056893954E8,0.0,0.0,5114.25,NaN,29.666666666666668,3.0,202964.60301830756,143.3573478145786,14.3125,10.0,129090.24556636642,124.15448837662093,17.25,2.0,284023.20440383296,112.49365558712105,12.375,7.0,191831.1897115198,156.60724705389546,6.0625,9.0,37754.93908894273,115.59529878566822,14.714285714285714,6.0,110305.07913538495,102.0027222158411,7.2,2.0,55296.03013161931,97.99894534691299,10.5,6.0,62999.07408317078,112.25636473516595,4.428571428571429,2.0,32528.95182316658,63.17446854335558,0.0,0.0,5118.0,NaN,0.0,0.0,5112.75,NaN
6,0,102185.39583243175,455.08203830702155,3955038.266476636,2085970.903830781,2141703.279561937,1.982261852426368E8,968864.6034124681,597716.478325267,0.0,0.0,0.05,0.10226206187060707,0.05,1.9647384337246294,51.226683608966326,50.81561221790563,8.955555555555556,218936.91768094775,998.960571893462,104.75931158353747,41.0,8414733.051173802,1.7611418676092584E7,4497.25,7395.598174812505,2989.0981748123813,2442172.6174932923,6.514950378206666E8,2.6267554983578634E8,0.0,0.0,4495.875,NaN,39.0,3.0,300759.6295925677,139.2672294784613,11.625,9.0,123675.83118195467,116.28671439168433,16.5,2.0,269478.16483703925,129.13888795985162,12.25,6.0,198517.18746382775,137.58263145914248,5.125,6.0,46624.30643935321,96.58583374617454,8.714285714285714,6.0,65629.61414090414,105.98914733151469,3.4,2.0,31164.51147621849,99.60061188166878,6.25,5.0,45155.46905022742,106.45689460250242,4.428571428571429,2.0,43284.538094512296,57.655129464941666,0.0,0.0,4492.25,NaN,0.0,0.0,4491.75,NaN
7,0,107430.14812815955,432.52460334327577,3677646.8760355567,2142637.3779647723,2217672.1987272566,1.9897210054266196E8,879665.5812657838,624085.1269701861,0.0,0.0,0.05,0.05000000000000001,0.05,2.3358203017939205,42.53537410533845,49.77904642058161,8.688888888888888,262329.8703203989,1081.3115083581895,98.90436773679335,36.0,7783400.761382908,1.7452114092915658E7,4160.5,5879.072909593931,1747.072909594192,2355491.703863369,6.549644545661918E8,2.621631561793913E8,0.0,0.0,4162.25,NaN,28.0,3.0,290094.2796800525,142.73735247590182,8.5625,8.0,104599.86709173502,124.28621680127733,16.5,2.0,275196.17952147813,126.96741268850161,12.375,4.0,210302.88741890722,123.9606611954822,5.125,5.0,56424.4695154652,78.1237454061457,10.714285714285714,5.0,80776.81536397738,84.88596722215595,5.2,2.0,39246.70420026507,101.87719880768553,9.0,5.0,73062.98934458377,100.5703331563903,6.0,2.0,53847.86381210488,67.12489047238691,0.0,0.0,4162.5,NaN,0.0,0.0,4163.0,NaN
8,0,113484.30571034829,390.2412832042616,3529418.588958702,2162126.905745462,2237322.080202944,1.9967124424764442E8,897155.3853000661,526146.9653546935,0.0,0.0,0.05,0.05000000000000001,0.05,2.547352252982284,38.51074102888129,46.39592534793071,8.411111111111111,302456.606482768,1064.2944087388953,100.97693390712377,33.0,7022517.584017976,1.723610509794738E7,4078.75,1438.158857417293,-2632.8411425827094,2289143.115585205,6.594037457353195E8,2.6166917685478267E8,0.0,0.0,4084.375,NaN,31.666666666666668,3.0,369047.03545311047,136.47781968905878,10.625,7.0,104755.41137223256,122.15380559921677,17.25,2.0,290599.88349547057,122.85085787668902,12.5,4.0,214554.02138249096,123.83773936865401,4.9375,4.0,54372.1725018871,85.63870217638548,8.0,5.0,100616.81907913841,85.63856849592068,4.0,2.0,53267.21100498815,103.72133516557591,4.25,4.0,61048.6659509452,90.70179018636624,4.857142857142857,2.0,67636.01047112726,59.703219423932985,0.0,0.0,4081.0,NaN,0.0,0.0,4073.25,NaN
1,1,94683.42768607508,2471.9609993244494,1.9321093467073932E7,4515146.892523353,4592129.990348606,1.9464095504374087E8,2321161.173369418,2713887.1950978367,0.0,NaN,NaN,NaN,NaN,NaN,180.57168347066067,72.46791203231285,34.111111111111114,94683.42768607508,2471.9609993244494,164.96108302451927,90.0,4.5476518011411764E7,5.399802650315852E7,136129.42918167537,136129.42918167537,136129.42918167548,9227379.386696892,6.472810302691476E8,2.6464350801225537E8,21.75,4.0,-153986.3560189882,440.67705825104207,40.0,3.0,260111.02673483198,165.09093401449638,40.6875,16.0,285706.212302998,195.9352903054599,38.5,4.0,214924.96147283062,193.69668953282425,31.8125,16.0,44729.79879039235,233.02169138948156,36.75,16.0,140414.35597238512,122.350708166164,41.57142857142857,7.0,246279.55073977917,98.18196538336053,35.8,5.0,132190.52455123872,152.10348301031672,30.0,8.0,-20361.20645328167,175.96858417280342,25.285714285714285,7.0,-117294.86448189554,148.55106067605047,20.0,2.0,-292771.83762188867,106.83516990243407,17.0,2.0,-425798.49150843173,144.34653537403162
2,1,91169.13068526142,745.3728008560911,7735300.7547011515,1982551.75701665,2076899.7342206694,1.9725047878686878E8,1059788.535696515,952865.5261432102,0.0,0.0,0.05,1.6583080386123403,0.05,1.3939672407620867,189.08747431454398,53.030475950235726,14.055555555555555,91169.13068526142,745.3728008560911,119.5590315719728,90.0,1.4322415834884502E7,2.2527637596558027E7,69643.65331899503,69643.65331899503,11907.40331900162,3782858.539503634,6.585287301970168E8,2.659588277892865E8,1.0,4.0,-7845.695704988477,439.0607933129712,16.333333333333332,3.0,135667.25394623706,156.56953998452215,24.3125,16.0,182122.71589556895,208.73837516920366,17.25,4.0,74661.49556476742,199.2852324985625,1.875,16.0,27559.798535016034,250.89408265482024,15.8125,16.0,107047.87326434974,133.54657793253193,29.857142857142858,7.0,165623.4224351688,98.84598979236986,20.4,5.0,109749.89965931368,162.87784142567097,15.125,8.0,70383.38789109293,175.46769468313437,4.857142857142857,7.0,32198.06837869457,155.990384151248,1.0,2.0,1411.8114529449813,102.29423328004265,1.5,2.0,-18060.031375750055,148.6707721227618
