year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,399911.4022739,2208.329774044638,2.3358042033255525E7,7504222.270502974,7682964.839008527,1.916037294214085E8,4414682.672083658,2456026.4021794945,0.0,NaN,NaN,NaN,NaN,NaN,152.64910083566934,40.09475078959399,55.077777777777776,399911.4022739,2208.329774044638,132.7609526003344,90.0,4.062640603702775E7,7.661843224167876E7,484993.8542383432,484993.8542383432,484993.8542383434,1.2105287759684496E7,6.432128975739566E8,2.6243832739967954E8,28.75,4.0,-197676.51706077263,388.745613911106,66.0,3.0,292321.4970913706,138.85163411457842,61.8125,16.0,565912.6377804569,123.32570502120697,62.0,4.0,822364.5594290609,106.33062350146135,66.4375,16.0,743670.0782127206,106.84562826867754,61.6875,16.0,464370.49526311824,101.79577102586092,52.285714285714285,7.0,351768.0698229001,91.32603972144547,38.8,5.0,62455.829334287555,315.0883234629911,52.25,8.0,250065.5568719024,99.81484026957668,40.857142857142854,7.0,13250.618126976324,174.92749713915092,27.0,2.0,-81909.46227643423,448.57392184119,19.5,2.0,-235528.66446995898,447.6013064930937
2,0,158146.48781242562,509.26819348682136,7723025.995345572,2311903.746128481,2423395.1866021743,1.9691834205410978E8,1127997.9329543451,791606.0183189036,0.0,0.0,0.05166061915848965,1.1590920785071825,0.0500715305467105,4.50961712469118,121.14265533830127,28.718131211662858,17.733333333333334,158146.48781242562,509.26819348682136,79.50865112003324,90.0,9785674.531726364,2.4018858434846353E7,433109.3219853486,433109.3219853486,468164.87198525365,3880623.58219654,6.584515148315216E8,2.658815929693677E8,1.0,4.0,12912.060108747426,323.74888969819784,65.0,3.0,-40238.4931335808,82.660758960345,9.6875,16.0,87902.10485572924,106.42722893907222,16.75,4.0,142821.37154327633,77.91364471292877,5.125,16.0,117035.71926100506,86.34419531765222,45.5625,16.0,395964.4680551344,74.88511305740344,32.714285714285715,7.0,301587.38262480404,66.3409578421203,4.4,5.0,39050.30951495082,273.99516998921365,12.75,8.0,169433.40842756783,71.64144038696547,1.0,7.0,63188.41988575161,96.74588598118085,1.0,2.0,3241.6759659819872,444.68356168268383,1.0,2.0,2948.098329951579,395.80978286262865
3,0,159371.97222679245,544.3121423322602,7688428.950841566,2452899.088267636,2535777.187801332,1.957255662717473E8,1312378.6395807194,811360.839764526,0.0,0.0,0.05,3.196645485661905,0.05,3.0803397160922485,120.29846199248028,29.962136275170288,18.166666666666668,159371.97222679245,544.3121423322602,80.50376376269831,90.0,1.0592795761311686E7,2.4936273261723105E7,377850.5833406178,377850.5833406178,268346.7833406464,3947556.283638511,6.51159971919669E8,2.6476069118646464E8,1.0,4.0,-7915.367931935309,329.08798165438725,60.333333333333336,3.0,342757.26739989157,90.70580590138577,20.6875,16.0,134694.68103714104,103.28476326280727,23.25,4.0,326072.83710957796,81.37092177194361,12.0,16.0,102961.36175600356,83.02678509165807,30.875,16.0,357414.99761760276,72.43159150636492,29.0,7.0,250048.65200895802,70.51207860386947,1.0,5.0,815.8338852221447,274.0490351090767,14.625,8.0,95883.8960674869,68.80171926900512,1.5714285714285714,7.0,2801.471252775396,98.60526488872826,1.0,2.0,-5845.476300845548,444.68356168268383,1.0,2.0,-3985.536633665746,389.58542631474245
4,0,164655.53867744232,494.9123345133557,6810039.906829982,2544367.0600042804,2635785.812123841,1.9550172805589592E8,1361008.6214390115,805380.52913412,0.0,0.0,0.05,3.2602563652155663,0.05,3.00174709602982,83.7882881003504,31.612569273386807,15.655555555555555,193801.32869697118,586.0803961342369,79.58231474446009,76.0,9548918.199035974,2.4367916680005934E7,250980.67024565226,178950.0425701487,169040.19257014047,3709616.788987194,6.469011492449065E8,2.6362382817217618E8,0.0,0.0,6434.75,NaN,46.666666666666664,3.0,336995.56747515453,71.76330824422426,14.0,16.0,231987.39721405884,102.13682056859965,26.25,4.0,377500.24509610346,75.87582438761876,20.5625,16.0,191618.02299193398,86.03260844184771,15.875,16.0,191400.0171061254,102.77156893034929,23.428571428571427,7.0,214553.5921653183,76.26780934362786,0.6,3.0,2714.40385020136,272.38619878554067,23.375,8.0,107392.1918119088,62.46662088695118,0.42857142857142855,3.0,4551.300323219257,172.11017027933858,0.0,0.0,6434.0,NaN,0.0,0.0,6436.5,NaN
5,0,163180.93267414792,441.18209619910135,5776122.468758391,2588805.402709508,2672548.216701597,1.9567378674801213E8,1339175.6625027258,710657.8767609441,0.0,0.0,0.05,2.2082603671321706,0.05,3.745030777697423,70.38895944907196,31.63855669953715,13.944444444444445,208348.5848667616,567.2341236845589,81.31417618101612,70.0,8442981.186338678,2.3129265127012853E7,141253.22965688456,432789.12314800103,502755.5231480063,3360182.157441468,6.456726362070092E8,2.6251591578153393E8,0.0,0.0,5094.0,NaN,47.666666666666664,3.0,302657.7939811127,102.85991059339948,12.5,16.0,152109.7709996701,102.07117416940243,31.75,4.0,447996.2243396892,78.44419860976065,22.9375,16.0,317172.7074180992,81.90548172393575,8.3125,16.0,117048.84536066126,105.14787817987329,17.285714285714285,7.0,184089.15127542286,77.99152177870074,0.0,0.0,5094.9,NaN,20.5,8.0,151814.67774854592,67.58957832186834,0.0,0.0,5094.357142857143,NaN,0.0,0.0,5095.0,NaN,0.0,0.0,5091.0,NaN
6,0,161132.77651679775,404.3743286289778,5009013.556096927,2593914.922793645,2690483.234808427,1.959304371454976E8,1295774.4763204826,611447.3666903786,0.0,0.0,0.049999999999999996,2.405545093083585,0.05000000000000001,3.6750831260035994,68.84389141034431,28.74699018689416,14.066666666666666,205783.78409302566,519.9098510944001,79.96681279894284,70.0,7477167.745881783,2.197911763239141E7,155897.07585957972,473588.77918683423,385975.6291872831,3071374.268502377,6.468573219411126E8,2.6148876558868963E8,0.0,0.0,4854.625,NaN,58.333333333333336,3.0,273890.73223884334,91.24997936187332,14.9375,16.0,164605.31696776362,96.5821097986321,36.0,4.0,590024.0331125215,77.95223802709972,20.5625,16.0,357038.2995693936,82.98012296615566,12.1875,16.0,74807.38956243094,101.50634736802434,13.714285714285714,7.0,150354.56491416894,77.73473503254809,0.0,0.0,4854.2,NaN,11.0,8.0,78424.81316907346,71.14386367301736,0.0,0.0,4854.285714285715,NaN,0.0,0.0,4855.0,NaN,0.0,0.0,4852.75,NaN
7,0,163647.80370471723,384.82983961631237,4646137.34571769,2639949.9354408034,2717571.4741942855,1.9614319689152575E8,1283241.597266851,565988.3786045385,0.0,0.0,0.05,2.010336916924356,0.05000000000000001,4.116948567343072,61.49279759501865,28.983000473195073,13.277777777777779,218335.38557350077,516.9356054547479,81.81858099129387,67.0,6925133.8541662395,2.1653436187591508E7,108806.115177084,278890.3477383009,508507.14773862157,2946049.496827477,6.496634424096984E8,2.605103560349835E8,0.0,0.0,4340.375,NaN,50.333333333333336,3.0,253180.50085322978,80.40627783451367,15.4375,16.0,195900.59161904576,98.15972156204677,34.0,4.0,747876.9570976272,79.0334182233033,21.6875,16.0,315243.4153121268,85.10142564108982,10.25,14.0,91972.73965740317,74.0071708380954,13.0,6.0,115894.60069128721,69.35847789764422,0.0,0.0,4341.0,NaN,7.375,8.0,53664.10652726628,74.07120784819227,0.0,0.0,4340.214285714286,NaN,0.0,0.0,4337.5,NaN,0.0,0.0,4343.5,NaN
8,0,166955.57111903324,365.17740783841515,4627700.325740638,2645153.2269796995,2720216.1128063756,1.9631982929691646E8,1296416.814886058,518590.10264092573,0.0,0.0,0.05,0.9441843059045295,0.05000000000000001,4.494290785287371,59.77609571050221,30.687177129278584,11.9,236717.80794782526,521.682011197736,83.62895157965575,63.0,6571485.484155283,2.1597486884868417E7,131740.13685305312,555464.3275003973,291623.62749989564,2928818.844655644,6.533525713531321E8,2.595518125749722E8,0.0,0.0,4175.25,NaN,45.666666666666664,2.0,398423.81376616395,81.23531538512812,14.1875,16.0,193734.26561145636,101.3783702908316,44.0,4.0,627262.7011820518,78.19801096265562,17.5,15.0,332306.08087137726,87.17024742334465,6.75,13.0,93730.9681906205,75.22978186522629,11.428571428571429,6.0,95641.67931098558,73.571753341697,0.0,0.0,4175.6,NaN,7.875,7.0,81539.8580917659,79.36580271753165,0.0,0.0,4177.428571428572,NaN,0.0,0.0,4177.75,NaN,0.0,0.0,4175.5,NaN
1,1,354148.9463950614,2219.7739545065892,2.2034701343215395E7,7115493.770455944,7281747.284293834,1.920024127540777E8,4088133.3035960975,2554113.5991776586,0.0,NaN,NaN,NaN,NaN,NaN,174.35883404972202,40.946844825905515,54.21111111111111,354148.9463950614,2219.7739545065892,133.7539450825495,90.0,4.083704403261161E7,7.271044920816714E7,488889.0364145917,488889.0364145917,488889.03641459177,1.1480474784079693E7,6.445137539280943E8,2.6278215001909292E8,25.5,4.0,-119189.90917082151,373.5736748911622,13.333333333333334,3.0,-472516.9599970544,1186.5765742528972,62.125,16.0,493094.3916828521,135.79237103601875,59.75,4.0,792449.8321853377,111.02719240605671,65.6875,16.0,668837.3454232131,112.57465382840573,64.5,16.0,429521.80025632086,103.88299666107726,53.857142857142854,7.0,283723.55388692353,107.61316020450987,55.8,5.0,394466.0011284328,85.6584838144499,48.0,8.0,193053.1711649756,112.77189836755473,40.714285714285715,7.0,76899.01862875889,133.8865247332532,25.5,2.0,-156570.98537194717,383.71438516579764,22.5,2.0,-296655.82306870184,384.88367860538153
2,1,165169.0315191807,612.2632558337809,9229171.495721864,2420314.7811475215,2515162.2185428995,1.9681610176889107E8,1083072.473834303,992870.9244860532,0.0,0.0,0.05,0.9999194489901373,0.0591122859256757,4.9250128041023125,133.26610891217118,30.664269908202716,19.966666666666665,165169.0315191807,612.2632558337809,78.1113199442365,90.0,1.1764735377737442E7,2.662994821446386E7,336872.35787946975,336872.35787946975,491301.30787948833,4430531.576525435,6.570505391221956E8,2.659302933708045E8,1.5,4.0,14872.116705683213,227.85658952212458,2.3333333333333335,3.0,-54725.678432015666,1054.0259316193785,19.875,16.0,47010.04430081791,103.78178806598429,14.5,4.0,150947.8387978389,75.99670621702734,2.375,16.0,99684.26374118615,89.62146804120408,38.5625,16.0,274714.08327133313,78.4682998354801,17.714285714285715,7.0,326113.99986288167,70.01344735659426,49.6,5.0,467167.97116934956,60.59693590596815,46.125,8.0,277370.12408561516,70.18418088313464,1.1428571428571428,7.0,108731.6779824116,90.17928805038147,1.0,2.0,6125.388108176412,336.961293203502,1.0,2.0,6302.209664875816,303.39203417360847
