year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,174456.9949725363,2.095342544349777E7,4695008.733754406,4786558.792551506,1.944708106883234E8,2583768.8881377783,3674527.6445356463,0.0,NaN,NaN,NaN,NaN,NaN,146.10602557106424,53.50623345362574,43.86666666666667,174456.9949725363,2347.140107499049,114.46041892710622,90.0,4.318029257728449E7,5.888142212481276E7,40679.792138409146,40679.792138409146,40679.79213840907,1.0211504855578791E7,6.45132208306513E8,2.6449226993289974E8,12.5,4.0,-432981.64964912983,913.7952948186447,33.333333333333336,3.0,78352.99965796435,119.45311693971797,37.625,16.0,112455.06779079798,132.1226220572753,38.25,4.0,160834.8827080122,115.08225003277641,33.75,16.0,16329.363579710634,125.44312428997542,36.4375,16.0,59166.43108718889,107.26176181874881,63.142857142857146,7.0,480816.65824136214,100.76369335187569,67.8,5.0,542060.6326550962,91.17283646433461,66.25,8.0,522995.18396991387,87.54176473755933,54.857142857142854,7.0,322966.2456499911,88.60923846642815,39.0,2.0,-1900.427283364972,79.86700956880291,73.5,2.0,515249.85464407585,98.44489921353465
2,0,116374.74956995336,9448264.42154275,1342040.1558130863,1438011.8292592098,1.9793415935250443E8,841869.1596276928,1034862.0334237873,0.0,0.0,0.05,0.05026519327990564,0.050032603536864693,5.974296603394186,129.2257983793141,32.40033074078169,17.4,116374.74956995336,563.7657548896013,97.03113268229501,90.0,1.0832826238785438E7,2.1306553700081233E7,18813.995397788905,18813.995397788905,6915.495397788907,4090252.6474735937,6.565230995310811E8,2.663125127600971E8,5.25,4.0,-306912.58596522844,913.7952948186448,1.3333333333333333,3.0,41578.95347834169,95.7843780331465,1.6875,16.0,58594.3240390946,113.67603970078446,1.75,4.0,48576.25201637841,80.44059218763915,1.75,16.0,16534.391494846765,97.23511872048103,1.8125,16.0,17048.426434699853,88.12047018081914,37.42857142857143,7.0,323880.6233931078,93.72200326230036,60.4,5.0,367014.94695696724,88.69437880353732,57.5,8.0,398497.6833150511,77.66669133040297,38.142857142857146,7.0,244593.45306483444,74.8154149005129,2.0,2.0,16469.937735005602,72.00999999999999,77.5,2.0,436093.5265885326,96.46588128986917
3,0,89329.61464404615,8186058.978779473,1306503.0758964962,1409170.113777646,1.978914572625595E8,850985.2617697257,1090346.1398524265,0.0,0.0,0.05,0.05,0.05,4.238280423530314,131.39354399382236,38.05349312002561,15.7,89329.61464404615,597.4398419844019,98.20320800917037,90.0,1.162684818234891E7,1.9666513500313148E7,11989.776842114126,11989.776842114126,2378.2768421141295,3688907.2245697277,6.486258605778558E8,2.6579004578903905E8,5.25,4.0,-313694.4823423147,913.7952948186448,1.0,3.0,8708.58639449047,90.20842413967948,2.125,16.0,12575.215364931271,117.71509280927343,1.25,4.0,9528.252642870397,94.16536622915801,1.25,16.0,10763.006118540163,96.81571322618873,1.25,16.0,9616.938251203148,93.11585207148619,31.857142857142858,7.0,230288.3552204397,95.03903430422368,52.6,5.0,416176.1569955105,83.92747687567142,48.875,8.0,342097.1740928964,78.18408903111956,40.57142857142857,7.0,201062.82490919557,78.79565361608856,1.0,2.0,10365.086038131047,68.22,73.5,2.0,422537.6555596168,101.1058005265447
4,0,69769.5907956417,6549814.577641893,1220944.6873130125,1314951.0580325616,1.9902765102773753E8,738026.8196176233,998960.6290787848,0.0,0.0,0.05,0.05,0.05,1.6763640757412526,80.59039900853297,42.51803146835507,12.933333333333334,81211.56146852308,651.1972188048067,86.98260417185362,76.0,1.0609841129277054E7,1.688910430088492E7,7854.168382425341,5093.473024045539,-2512.2769759544467,3066513.4470454184,6.446187708870034E8,2.6541624385233083E8,0.0,0.0,7658.125,NaN,1.0,3.0,6776.894274123139,90.20842413967948,2.6875,16.0,14542.533685118833,118.98016106316342,1.0,4.0,5518.5033081794245,102.06578561008898,0.625,10.0,8760.37098281203,90.69781213633487,0.8125,13.0,6181.16997116883,95.67491010798298,32.285714285714285,7.0,170160.12594622586,92.58551691228035,37.6,5.0,194671.4668949671,82.31341484264863,38.75,8.0,199110.2843696858,80.64677453933885,30.714285714285715,7.0,147679.88393015644,77.28451989838912,0.5,1.0,9105.011046211355,75.8,75.5,2.0,462575.54033382563,99.09071896409525
5,0,74192.99247663442,4908402.29220777,1418541.2612361943,1488272.6009831533,2.004381129176509E8,684991.1043469931,890676.1074465861,0.0,0.0,0.05,0.05,0.05,2.8439472258819034,60.87927671316581,42.59795295331938,10.88888888888889,108387.03871495163,695.7665649042166,88.78990381575451,60.0,8876733.13184184,1.555410245473909E7,10149.714021475025,33974.91721796672,2940.167217980177,2544296.0872491025,6.442597771394131E8,2.6513176029719204E8,0.0,0.0,5807.625,NaN,9.333333333333334,1.0,73426.82871876888,87.45176307550514,3.375,10.0,23975.6769222538,120.91433048943163,27.25,3.0,153626.14534940448,90.83867172312024,1.125,8.0,12951.700768048973,97.24038463264887,6.9375,8.0,37325.88969635824,80.70707599028256,24.0,7.0,165071.60936190796,97.85287026564286,15.4,5.0,132004.79014685168,83.04886158181816,15.0,8.0,111918.83275193421,76.52314853067259,22.0,7.0,139895.19182175718,73.95492462819438,1.0,1.0,10413.838538893302,68.22,69.5,2.0,460165.7895217112,94.07003782547856
6,0,75237.15964615848,4479876.8065940365,1350427.8515321533,1416793.4525739339,2.0204211799117178E8,593863.780496422,798788.9346068006,0.0,0.0,0.05,0.05,0.05,2.5525991376889388,49.52303311998371,41.65555332033487,9.9,130104.62588069907,757.4509797636401,88.84235092433113,49.0,7625319.28776633,1.4396663655919902E7,3262.3673900936556,351148.3513489957,246681.8513489074,2326103.985844106,6.459591706211212E8,2.6497672866549572E8,0.0,0.0,4764.625,NaN,16.333333333333332,1.0,127065.03820768085,89.8685044518088,3.6875,8.0,15531.18582759229,116.81721984728918,20.25,2.0,238492.8405929255,88.39689019165502,0.3125,5.0,4141.370427570573,100.89551769700128,3.25,5.0,51362.86597238991,89.79256823241244,16.285714285714285,6.0,133639.62295211913,105.0174065873667,11.2,5.0,73627.80698294588,75.9854819642848,14.875,8.0,81940.62850730683,75.63316980843973,30.0,6.0,174690.20088413366,71.83625255382974,0.5,1.0,4620.2531182694365,60.64,72.5,2.0,544669.6497275908,97.83889220095585
7,0,79088.91661382053,3769134.632792853,1407615.694320127,1478300.4499805812,2.0357125402156383E8,510349.42670079233,681464.5553878688,0.0,0.0,0.05,0.05,0.05,3.4250764682371604,49.56713712524784,40.625039964400834,8.7,144655.11448424682,662.6959644192887,91.69417399726169,48.0,6360198.229493309,1.3478200724736793E7,2592.582431639703,225954.7534420085,427052.9034420807,2054005.0288432383,6.495880118341632E8,2.649467297577749E8,0.0,0.0,4155.375,NaN,16.0,1.0,191783.18760175726,85.04629248568894,3.8125,8.0,32387.818540479042,116.15900658640534,20.5,2.0,264853.37531302456,96.20765758283193,0.3125,5.0,3411.192832094602,100.89551769700128,2.875,5.0,38191.655203303686,98.48718213533519,23.0,6.0,152747.67202585755,103.36695328977065,15.2,4.0,91164.06508721253,78.73307371948547,6.375,8.0,64172.574442264566,79.39017380966433,15.428571428571429,6.0,164945.61842865343,71.19467111357581,0.5,1.0,4019.2701964959488,60.64,72.0,2.0,540837.3857118462,99.66587499634642
1,1,184354.73259698294,2.0784254653683852E7,4875042.21312695,4967787.355283118,1.9429122857751963E8,2740201.4944591094,3587961.2186998534,2294.699080674016,NaN,NaN,NaN,NaN,NaN,156.85860021063388,52.777723738242706,44.36666666666667,184354.73259698294,2341.5716765200345,NaN,90.0,4.3077917189654335E7,5.96698431233828E7,96639.94162245412,96639.94162245412,96639.94162245418,1.0238728469180286E7,6.453073425697979E8,2.6432906736114916E8,16.5,4.0,-528872.0213935436,1571.918836261016,34.0,3.0,76843.57078363745,128.00811812267997,38.375,16.0,134621.98473499046,130.46924416974966,40.0,4.0,177724.74797872832,109.93808372458517,35.3125,16.0,53531.08584828389,124.45826587397042,38.25,16.0,92625.28083125585,103.99978687862524,58.857142857142854,7.0,445996.1991012918,104.10111618009364,64.8,5.0,527405.9106835526,97.83680732468387,64.125,8.0,493404.2407019724,85.0211084658217,56.57142857142857,7.0,352045.5306903181,84.82291401791367,41.5,2.0,34590.846513431854,77.73315784516552,73.0,2.0,516896.70590132737,93.80831936186009
2,1,99207.29033397707,8580884.172010958,1290030.236103997,1392028.178966201,1.9797917049592865E8,865972.0622190662,1058480.381127433,6.671666666666667,0.0,0.05,0.06439359935143642,0.0515349823066084,5.452536534905101,146.14114837041907,34.77141305195463,16.666666666666668,99207.29033397707,579.5235508659105,NaN,90.0,1.1135507701099545E7,2.006416383115752E7,11452.06730321089,11452.06730321089,122.81730321089208,3814699.817198255,6.574127895877403E8,2.6628192700615254E8,14.75,4.0,-427996.04506741033,1571.918836261016,1.3333333333333333,3.0,42110.93587075309,92.50343769751822,1.6875,16.0,49193.15761818859,114.95871469469263,2.0,4.0,67674.80459876868,75.1855151873389,1.5625,16.0,16495.520165365902,107.63695443893624,1.625,16.0,16278.681448163105,103.69495702189538,28.142857142857142,7.0,243488.41521115968,101.09583965591446,55.8,5.0,357697.5894434169,84.24338413719306,55.375,8.0,369937.56706970214,81.88608927036228,40.57142857142857,7.0,236683.75063257472,75.59668794880562,1.5,2.0,45150.41384912703,68.22,72.5,2.0,366318.03211683326,94.22556207123336
3,1,78901.16681903368,7811302.637386653,1305170.7151727441,1399019.07812727,1.9794523266215762E8,820528.6125152453,1114629.2496631343,6.671666666666667,0.0,0.05,0.05001378840146127,0.049999999999999996,3.6973415484196925,149.3125932045654,39.620349911357714,15.666666666666666,78901.16681903368,620.7188152779374,NaN,90.0,1.20798709175776E7,1.9180975931290664E7,6537.235980862417,6537.235980862417,-2352.2640191375913,3562931.0649735597,6.498319641227196E8,2.6579049976347065E8,14.75,4.0,-436076.07541353046,1571.918836261016,1.3333333333333333,3.0,7802.522874662401,97.15045997907237,1.0625,16.0,8504.211459655235,118.67368608621157,5.0,4.0,25391.501507052213,79.8237460125205,1.0625,16.0,8004.488810348526,112.45652425995594,1.1875,16.0,8998.395268051618,110.23984832353456,37.857142857142854,7.0,240866.33490400368,93.9593054492644,53.8,5.0,380635.7325393786,83.97750148470898,44.125,8.0,304793.93344746274,82.08100901661774,33.714285714285715,7.0,195509.44040060608,83.01825133281963,1.0,2.0,9708.199523120642,68.22,74.5,2.0,448372.6278254833,98.94554994711439
