year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,273717.0963509392,2.4983805638704114E7,5195448.661487516,5298127.151164849,1.9395870567485058E8,2922616.792876525,3616169.495377715,4174.194173463779,NaN,NaN,NaN,NaN,NaN,121.79410303056599,47.22261128780798,48.51111111111111,273717.0963509392,2290.8213431396625,111.69246313450977,90.0,4.214405305352362E7,6.6778591725108154E7,183967.5466037856,183967.5466037856,183967.54660378557,1.1762313154498734E7,6.410883285733446E8,2.6413209772628012E8,25.25,4.0,-68770.76532542492,221.50296576686793,30.0,3.0,-26098.51480445699,96.96111249130752,36.75,16.0,150763.4686933039,153.60005561369374,42.5,4.0,190351.6110213177,76.02857800748404,39.3125,16.0,161772.9357808007,131.3726007556911,45.3125,16.0,244209.24047549983,117.71217355853123,61.142857142857146,7.0,417885.4540212696,103.30823983570701,71.8,5.0,643698.6826141829,90.61724462893434,72.0,8.0,564677.4967315445,88.2218956317292,61.42857142857143,7.0,427855.43204713456,106.9931384683086,68.5,2.0,425848.9334081372,76.89808047056225,66.5,2.0,405391.5289011423,126.36764203260553
2,0,145449.80436356989,1.1827091262979822E7,1228128.551069835,1353252.1794168605,1.9801847099512854E8,712580.4249963929,873298.3753011791,541.3433333333334,19.0828481065335,0.05,0.05,0.05,5.2681612306634955,121.75391939095053,26.794630428818373,19.7,145449.80436356989,527.8542194477219,83.21389109169324,90.0,1.0142809317097256E7,2.3233291709818877E7,86959.26923783425,86959.26923783425,44688.36923783315,4729719.15178283,6.541668780464743E8,2.664627647251398E8,1.0,4.0,2020.148715153795,228.6233082539462,1.0,3.0,8465.282310805738,97.83200120585684,1.3125,16.0,43878.84153815925,148.54783758069354,1.5,4.0,55650.24999680158,79.13513475516183,1.5,16.0,45096.19805577585,131.92273186869537,5.6875,16.0,76591.84926582807,120.75233744920683,49.142857142857146,7.0,299942.0514646129,105.75216284512446,62.2,5.0,418965.4407619344,92.27441956595386,60.625,8.0,405075.5783665755,85.69017121050533,36.857142857142854,7.0,210629.68282301328,103.11792594305855,45.0,2.0,316674.4693935428,78.24121357137611,68.0,2.0,321275.90982104803,124.14497149008388
3,0,100145.68377431123,8504746.21532738,1252557.379541705,1338356.1613743342,1.9805225580651337E8,645495.3601590778,918482.2797384916,49.258957103736485,0.05000000000000008,0.05,0.05,0.05,3.9939108770167833,145.58077080354371,33.66702771242326,15.522222222222222,100145.68377431123,522.5870857139478,92.95261358769594,90.0,1.0170033505444303E7,1.9183145045132346E7,44559.769882026405,44559.769882026405,31436.419882027785,3649154.7322979774,6.461105688119713E8,2.6615786739375934E8,1.0,4.0,-971.8544709319376,228.6233082539462,1.0,3.0,5704.956226200382,97.83200120585684,1.1875,16.0,6582.2575897174265,146.26659084703445,1.5,4.0,12853.679513216379,82.25934993254015,1.75,16.0,9503.5600918322,137.57623290293319,4.5625,16.0,24236.293252602114,182.4612690250574,29.857142857142858,7.0,193016.19102066758,103.95840627795168,56.8,5.0,408477.64166513085,92.3904894640386,40.125,8.0,287545.24685047544,105.94591411152746,37.285714285714285,7.0,203369.7658462774,237.72316880172497,44.0,2.0,300218.64933806064,77.85032355050518,50.5,2.0,292713.2080098247,123.6929093419294
4,0,80181.50990578564,5922146.425855962,1270087.9668350164,1339915.7041847305,1.9917711014815027E8,655535.7617695571,968568.1746789687,84.28245668396796,0.05000000000000001,0.05,0.05,0.05,2.8582427904026755,123.02371719511713,36.86779095578879,12.577777777777778,93608.37620421984,549.1360442362225,87.82934513434986,76.0,8946966.756237555,1.6163302647758147E7,-1353.530694065863,22116.468536344495,19752.218536343862,2839736.882331062,6.428800804841406E8,2.6587983103363016E8,0.0,0.0,7293.95,NaN,0.0,0.0,7288.333333333333,NaN,2.625,11.0,5907.24743474499,146.69357008204682,6.25,4.0,32860.11608207447,88.16239576909479,3.25,14.0,17425.51660512006,140.78105400605986,3.5,16.0,14461.153612353384,196.08644792578156,20.428571428571427,7.0,131363.41041674934,104.36829997306629,44.4,5.0,352577.7690029546,93.39096693887032,27.25,8.0,158756.88114735813,138.98155606798483,27.142857142857142,7.0,189851.98496289365,184.32959713180566,44.0,2.0,297866.11105501483,78.07937689920504,48.0,2.0,275984.03039787343,120.84322695678017
5,0,76758.14969530789,5029072.897374832,1233571.0130679253,1289723.4512352827,2.008097943088908E8,543742.4895557094,861118.3615032503,0.0,0.0,0.05,0.05,0.05,2.2758956444942133,70.0065280727895,38.6197735758749,10.3,147368.13272394933,795.567335663023,89.27246744605439,45.0,7612397.730599635,1.4520631203177584E7,1761.2203077777522,75086.38875140727,74998.48875138984,2466966.24457328,6.425133643703115E8,2.6575364254423994E8,0.0,0.0,5497.625,NaN,0.0,0.0,5496.5,NaN,0.125,2.0,5628.769921719593,109.37440933466924,0.5,2.0,6110.868280290884,91.68337456968942,1.5625,5.0,20717.29137983902,198.1185550111963,2.0,9.0,11998.817688557245,236.358483380162,24.0,5.0,191884.87476449515,81.58326585097709,39.6,5.0,305299.6713862381,94.94258688598967,18.25,7.0,148183.50323682107,149.9770723807613,24.285714285714285,6.0,146294.1492674293,74.41340442388552,44.0,2.0,325630.3674695643,76.66839568189525,48.0,2.0,250655.82481316658,124.18342250381586
6,0,77317.26539885557,4544990.277879313,1281186.8316558173,1325624.7709276835,2.025258669747888E8,450813.54392766784,765759.6232136397,0.0,0.0,0.05,0.05,0.05,2.740047759843083,58.38570020359502,39.57559742698378,9.411111111111111,181115.9428620811,905.9602978555475,93.66340229880355,37.0,6886871.934461276,1.384542582035787E7,2455.3121960180288,111284.95905668463,96001.75905666902,2262709.8058944,6.442514476467144E8,2.6576118336860093E8,0.0,0.0,4850.625,NaN,0.0,0.0,4853.333333333333,NaN,1.125,1.0,9211.374223490478,264.9015321249364,0.5,2.0,4214.26560563804,91.68337456968942,1.6875,4.0,19238.083305729542,205.96260094810822,0.5625,7.0,3497.4730784425556,272.51409059869667,20.857142857142858,5.0,192006.0168338547,82.92232302417597,35.0,4.0,301650.0960014997,71.85154369299974,22.75,6.0,185506.75971423616,117.81431773067868,16.857142857142858,4.0,131715.96322083665,64.9893100475515,42.0,2.0,307328.0502762897,78.02393575613229,43.0,2.0,261784.4575475204,125.04344554825302
7,0,80269.80808277454,4241401.5825423375,1296790.915980323,1340175.2739782862,2.0421681104108334E8,452833.08582007233,748522.7756416526,0.0,0.0,0.05,0.05,0.05,2.8678290891615412,43.80499645939429,39.0228523787524,8.966666666666667,248100.13312320388,1124.6943524876137,94.16727890298193,28.0,6296649.997017532,1.3520932724466993E7,4474.25,280023.4143991136,259331.06439916318,2164832.1215791996,6.474936195904077E8,2.658045856568599E8,0.0,0.0,4478.875,NaN,0.0,0.0,4473.166666666667,NaN,1.125,1.0,16010.813020090201,277.48889557906085,0.0,0.0,4476.5,NaN,1.8125,3.0,24445.798169576945,261.6513484798848,0.375,2.0,3982.1638668869564,318.1998946891472,22.714285714285715,5.0,185476.07601539325,82.26135373607151,34.6,4.0,334874.05198608735,132.38588491220912,14.875,5.0,139374.51879672892,128.93363039958373,18.428571428571427,4.0,165751.40320133598,63.89614140969392,51.5,2.0,378898.77680270554,75.47464542623374,35.5,2.0,229132.50405902963,125.77731706506006
1,1,196648.12173156743,2.2243713081291653E7,4736716.010728175,4823267.969714903,1.9443637089691702E8,2874280.799613778,3437638.924355052,1912.1974438799411,NaN,NaN,NaN,NaN,NaN,115.09402364044035,52.65400484531621,44.455555555555556,196648.12173156743,2340.763037623446,106.11283980709082,90.0,4.3063028233259976E7,6.076135918910104E7,82919.20607019322,82919.20607019322,82919.2060701933,1.0651987317944959E7,6.439203624723986E8,2.64184282904589E8,24.5,4.0,-137152.88324691134,231.4665440144395,39.333333333333336,3.0,260293.496634298,105.23278388717641,34.3125,16.0,77105.76918565277,127.76728367844858,31.75,4.0,-22966.000465871315,126.10736309602052,35.8125,16.0,78806.94796247395,113.00674400911137,45.625,16.0,276854.6681536321,108.05916212949516,45.285714285714285,7.0,136492.66643046413,95.60028130295049,51.0,5.0,265729.2557400315,88.04550823623265,64.625,8.0,447172.34493185766,110.76640090708135,59.42857142857143,7.0,351649.1699754958,113.04716917234173,67.0,2.0,407578.93765085976,86.06848212592334,83.5,2.0,747736.0338313541,36.054622223337255
2,1,117838.16754690607,8489333.263961058,1173269.4540780757,1282533.3080166986,1.9809058844223687E8,947667.0553739684,900783.8593815226,540.6716666666666,0.05000000000000008,0.05,0.2781285055305044,0.05552547277078566,3.6262118796297513,116.79333769571559,28.86891574341978,15.61111111111111,117838.16754690607,450.675851327831,80.90937322738135,90.0,8659754.525808845,1.926518960503035E7,64493.70133102375,64493.70133102375,25941.201331051307,3727348.156403422,6.575413335292518E8,2.6619587818463305E8,1.0,4.0,8863.865857134915,235.8508443722476,1.0,3.0,6902.153803740395,133.53413022527886,2.125,16.0,42436.303178373324,133.97689687174872,1.5,4.0,40536.86504354162,121.71702754813938,3.0625,16.0,61643.07612705635,113.72737782181544,15.625,16.0,93630.32239027166,109.92927174360385,5.857142857142857,7.0,78877.85591127511,98.37080325668656,21.4,5.0,183073.21678664914,88.63078949039519,43.25,8.0,315628.6714527575,107.86027823210394,43.285714285714285,7.0,275763.6174352554,108.84254725803858,46.5,2.0,320360.47297804593,69.08369271854662,84.5,2.0,330081.87606964394,31.84637945667708
3,1,100711.8461560601,7457957.726572691,1307612.764617745,1402023.383761354,1.9806276328855422E8,938573.4122496312,962999.7766922319,48.58729043706982,0.05000000000000008,0.05,0.0864144977513887,0.05,3.5893197378798467,142.46159556031023,33.99466314705009,14.577777777777778,100711.8461560601,495.566644988108,90.41662974986133,90.0,9644301.959174266,1.8708368113220003E7,445.6249466745867,445.6249466745867,-8395.275053323789,3443083.9664318436,6.503523908277828E8,2.6557742802190235E8,1.0,4.0,-2158.1129918963743,235.8508443722476,1.0,3.0,2801.447026308529,133.53413022527886,3.9375,16.0,36163.29913498758,131.7038038413952,1.5,4.0,7660.294574908177,132.58153571678463,3.3125,16.0,25657.59658154256,118.29858324666145,14.8125,16.0,103904.28722294686,130.1144140893338,5.571428571428571,7.0,40647.53046999336,207.06143952125876,13.4,5.0,140836.48604234858,178.41024925221254,43.875,8.0,289784.5361001,183.87173359509563,36.857142857142854,7.0,214030.30934120246,120.50309524744448,45.0,2.0,316718.99395462853,69.65987800696871,70.5,2.0,471704.2870013165,35.02312807051112
