year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,251309.07143503067,2.0151888735328194E7,5862468.433570821,5966006.005704973,1.9327009452047122E8,3095708.175808757,4336535.432609317,438.70599268854994,NaN,NaN,NaN,NaN,NaN,97.84834977290514,51.3837881001561,45.333333333333336,251309.07143503067,2329.3983938737433,87.44904877951736,90.0,4.285386072417057E7,6.547167715332333E7,136054.2788689753,136054.2788689753,136054.27886897535,1.0695988198900878E7,6.458765612934021E8,2.639576446515231E8,20.75,4.0,-120685.94316096256,267.46821342002465,29.666666666666668,3.0,13536.900535426894,150.79574015284842,32.3125,16.0,117488.33924568718,94.92893406891027,32.75,4.0,112280.32759731295,102.06396648493516,38.5,16.0,180952.8289639754,129.16829740072177,43.1875,16.0,138988.37529300805,70.14595287571338,72.57142857142857,7.0,679691.8638185861,57.93695069460837,70.0,5.0,635815.6862610511,70.15931619748585,59.5,8.0,477137.40432698955,85.26496651542392,54.57142857142857,7.0,353712.77972168353,72.25315901616467,35.0,2.0,-51691.15910590206,74.62782068327618,83.5,2.0,742663.8206335469,37.220933752384084
2,0,118100.32333465523,7060502.813968671,1340129.817114322,1495634.4463080745,1.978770241264225E8,906953.5801720368,1104855.9062027892,0.0,0.0,0.05,0.08192699978122132,0.054391534116493195,5.908487763719394,99.24038088767242,29.194830159980867,14.28888888888889,118100.32333465523,417.16168428594887,62.70199390850091,90.0,8015832.643387546,1.8644861743506767E7,8651.561954076045,8651.561954076045,-997.688045923941,3413190.4504165803,6.589948971018742E8,2.6621688428467768E8,1.0,4.0,-4929.701323615805,255.10403471279838,1.0,3.0,2009.1791181076405,189.01610724450416,1.25,16.0,21087.18996718459,94.22150706952668,1.5,4.0,22700.75786200792,103.61689945361843,1.1875,16.0,16507.29308003333,120.9305040501438,1.4375,16.0,7031.272807221958,80.62598712379453,64.28571428571429,7.0,460429.401999257,58.51096804049653,66.0,5.0,434646.84800654475,72.97324313674297,16.5,8.0,235339.89142684947,92.55897068319887,17.0,7.0,173633.53125857754,70.95769683456851,1.0,2.0,5904.44004712616,60.64,89.0,2.0,665851.2292967143,32.17780716056844
3,0,85899.53036616318,6103525.830216798,1251950.6928935517,1354706.9358995275,1.9788560136145765E8,934413.0925194992,1226199.4877552572,0.0,0.0,0.05,0.05848087392939414,0.05288886293462038,3.1402592114714096,100.83281301948448,36.37488348214795,13.344444444444445,85899.53036616318,485.4026118006632,63.735447384509435,90.0,9446503.11080762,1.7177460843762152E7,3983.60846640572,3983.60846640572,-3371.6415335942856,3073023.9899378647,6.531124430838854E8,2.6560695822429934E8,1.0,4.0,-5587.739451200705,255.10403471279838,1.0,3.0,1816.2232950674588,189.01610724450416,1.0,16.0,3602.0938217346165,100.0155754487006,1.25,4.0,6761.76572132917,104.37983660124907,1.1875,16.0,3240.096424710283,124.68533401210833,1.25,16.0,7456.801623028104,77.77288251776312,44.0,7.0,365983.51431952685,57.14710507628541,37.6,5.0,331959.1901697629,73.37233399850466,31.25,8.0,153422.51843631707,94.47619156713976,32.0,7.0,114628.89623855091,74.31627860469919,1.0,2.0,6034.450703853213,60.64,81.0,2.0,614248.6072119004,33.09690240510716
4,0,67976.25939688103,4570348.723301513,1294201.3668281082,1366169.262284191,1.9896366628251746E8,808113.4380936134,1147437.5792380807,0.0,0.0,0.05,0.05,0.05,2.1779578500689305,81.50370842606443,41.66904875225014,11.222222222222221,75779.41682149115,526.0717404971581,68.17620477891987,80.0,9022301.621133368,1.5140164966852263E7,71561.33818073128,7118.487755470938,1685.987755470941,2518198.0641792095,6.508289922268845E8,2.651575129597444E8,0.0,0.0,5550.5,NaN,1.6666666666666667,2.0,5113.240036561874,158.6139583057913,2.0625,15.0,12109.275569511796,100.43523298705652,2.0,3.0,9560.320254597416,96.75327196323883,3.8125,15.0,10544.080581401493,124.21106468015702,5.4375,16.0,23760.844920091837,78.13262583908309,22.0,7.0,146957.28896587138,59.22374216038839,28.6,5.0,163516.0736820618,78.98198792339326,30.75,8.0,225835.0663368491,93.35778948503331,19.142857142857142,7.0,93154.25013339729,69.16107228777334,0.0,0.0,5552.25,NaN,69.5,2.0,491653.477327576,33.781795388301745
5,0,66919.17073269501,3783449.344949838,1312228.369221452,1357412.970222964,2.0049622406284547E8,644726.6719322077,974699.5527196501,0.0,0.0,0.05,0.05,0.05,2.319876245521875,29.05893532262123,43.763593437550725,9.166666666666666,155865.59097142037,975.8098536751174,63.55709627248435,37.0,7677242.321225726,1.3699967687167749E7,317999.30622608605,-5233.580911390949,-9416.280911391448,2155246.0325667565,6.512048242350558E8,2.6491050235554722E8,0.0,0.0,4642.875,NaN,0.0,0.0,4781.200000000009,NaN,3.1875,2.0,24683.10000119972,97.65026069164063,0.25,1.0,5220.174858657381,77.30407896741283,1.125,3.0,12532.84162956697,100.18585843223728,8.5625,6.0,69506.0327328041,59.706607740616455,20.714285714285715,7.0,114119.40792411123,62.36381264818753,11.6,5.0,78688.57160825384,84.64626980619467,27.875,5.0,238062.51677029498,68.7077444589311,11.0,6.0,69745.46514624642,68.6471650172259,0.0,0.0,4643.5,NaN,57.5,2.0,333546.9364973281,34.35130348925461
6,0,62974.97860619357,2847404.9849532438,1340545.4294971887,1376985.4701881753,2.0213066806834474E8,414483.4581370469,866747.5203367467,0.0,0.0,0.05000000000000001,0.05,0.05,2.54340763788876,29.688972704121902,46.624289061646174,7.5,151928.72429326168,874.2054199058657,67.71581568655765,36.0,6465872.143641406,1.213362021819891E7,237269.23704770848,5243.823250291287,2439.073250294984,1753436.1179248772,6.540756581671747E8,2.6493947546398458E8,0.0,0.0,3669.625,NaN,0.0,0.0,3671.5,NaN,2.875,1.0,30729.685580642814,94.26984061859983,0.25,1.0,4596.2977757464905,77.30407896741283,0.4375,3.0,4562.354143829242,146.09731944773378,12.4375,6.0,98367.4430967618,67.90839523978718,17.857142857142858,7.0,122106.55101243772,60.13766429873308,15.4,5.0,83832.8445758813,85.22205094803367,19.5,5.0,220110.33195348794,70.85248579644704,1.5714285714285714,6.0,6300.748302057568,62.36639293623207,0.0,0.0,3676.5,NaN,26.5,2.0,199433.59230295825,39.57830128605336
7,0,64736.06542913312,2585021.0880153915,1323678.8603263525,1379430.1242216036,2.0375001083823827E8,361956.3684821976,759539.8121520289,0.0,0.0,0.05,0.05,0.05,2.5648305377010843,30.5070761200682,45.398837958395085,6.9222222222222225,171243.24814006002,857.0750317600042,67.64888496131601,33.0,5655165.016965801,1.1481410905587852E7,210896.6115526579,6789.039742227877,3721.039742227771,1619164.751439917,6.583510033028715E8,2.6506326330818862E8,0.0,0.0,3067.25,NaN,0.0,0.0,3072.8333333333335,NaN,3.1875,1.0,40470.85189528887,92.28563440040256,0.25,1.0,2342.46441980471,77.30407896741283,0.625,3.0,6612.650436579437,180.56482407620982,12.0,6.0,118492.12311349282,66.56623796494523,14.428571428571429,6.0,109674.80254636379,60.53011248628062,18.4,4.0,144206.8935646933,80.31212370722076,12.125,5.0,146385.59481504213,72.06014297628387,2.5714285714285716,5.0,18274.874366605738,104.48459808909789,0.0,0.0,3068.5,NaN,30.5,2.0,176137.279541197,33.90118117327293
1,1,248553.98439437334,2.0502028668334026E7,5699437.995632304,5797846.956712345,1.9343498750781748E8,3105379.429941145,4381906.501389991,0.0,NaN,NaN,NaN,NaN,NaN,94.68670504240248,51.24840448374325,45.422222222222224,248553.98439437334,2327.8164169949155,85.98742966953589,90.0,4.282472886616402E7,6.519458746165762E7,185864.11767799774,185864.11767799774,185864.11767799756,1.0773224214492945E7,6.455443065247649E8,2.6394846257990178E8,22.5,4.0,-116326.75452940575,248.7613809025877,28.333333333333332,3.0,-20648.287780261,153.06296535278105,32.875,16.0,107784.4413190477,95.3382978322507,36.5,4.0,192439.0105452261,91.47796226819298,39.375,16.0,203169.08997320145,116.48116457530044,44.1875,16.0,170272.85399039922,71.9326999600167,72.71428571428571,7.0,692899.9391623029,57.56463416266107,68.8,5.0,611499.6202095811,70.5975969630294,53.375,8.0,323963.3766210433,87.39580916150322,57.714285714285715,7.0,396453.5608584535,69.82201870664663,34.0,2.0,-61021.21628666821,70.83699778274084,76.0,2.0,637547.5443302578,38.043781717930926
2,1,123448.92677588397,7715077.734998479,1320871.3869768456,1485359.6284067745,1.9788659682662973E8,943316.6138790161,1097457.7636202506,0.0,0.0,0.05,0.10495884082576136,0.056530223198801285,5.706894124370065,96.70697695959232,28.534630047856336,15.155555555555555,123448.92677588397,432.4581709475116,62.57986780606673,90.0,8309709.6565648755,1.9420113066394627E7,13328.99222080993,13328.99222080993,3562.4922208099283,3634096.613695439,6.58346442047656E8,2.6617133051957083E8,1.0,4.0,-1519.440477804008,296.572224001045,1.0,3.0,1257.1851889027248,149.60525410698014,1.25,16.0,25169.356377189284,98.61394706785637,1.25,4.0,3317.6746737246867,102.4380858742309,1.25,16.0,16788.635066255774,110.67924748806078,1.25,16.0,11522.818888242295,75.61558411397918,67.0,7.0,516549.12676086725,57.241246037526984,60.8,5.0,448715.0378058703,73.63146392893006,10.75,8.0,142552.7248796501,91.45196441029334,37.142857142857146,7.0,280997.70826023136,58.27990867468703,1.0,2.0,5887.8694171261595,60.64,85.5,2.0,632572.6900618369,35.26467395521441
3,1,87381.22296789872,6325222.578998566,1203190.8606713724,1307745.8188792684,1.979408589040018E8,937334.860301703,1221810.1010454653,0.0,0.0,0.05,0.2495374926112154,0.12457441849342621,2.912657741858098,97.3380743817007,35.47052303449777,13.544444444444444,87381.22296789872,480.428528656142,64.01143379160085,90.0,9349693.619600428,1.721400368671143E7,11212.603243037112,11212.603243037112,3667.3532430371138,3129905.986710372,6.522889527613555E8,2.6555845119729716E8,1.0,4.0,-6566.199466410431,296.572224001045,1.0,3.0,2541.453212228459,149.60525410698014,1.0625,16.0,4337.1356168664015,100.70054564618498,1.25,4.0,6068.007656546593,104.24870607570143,1.125,16.0,3890.18801023486,109.6949458733868,1.125,16.0,6507.365715440821,76.35697592819824,47.714285714285715,7.0,372657.41289207723,57.49813926526302,51.4,5.0,350182.2757181992,74.65099680371387,19.5,8.0,112966.18768269914,92.47807063180105,37.142857142857146,7.0,196683.12390286702,60.02928586578976,1.0,2.0,6282.321882654725,60.64,72.5,2.0,485167.08192523674,31.618103785234105
4,1,66688.37121141262,4392850.38607596,1294820.0534129108,1381014.2240345231,1.9900467882769418E8,796336.1859124303,1087296.2669226571,0.0,0.0,0.05,0.05,0.05,1.751138239993346,79.0297611705615,42.73908465547747,10.688888888888888,74297.02386283921,513.9374929821166,67.94707355271734,80.0,8814180.115163747,1.4816133524191229E7,23309.36704238465,13018.08357408925,7619.0335740892915,2442940.2767647756,6.502316332831291E8,2.651199861590401E8,0.0,0.0,5819.625,NaN,0.0,0.0,5818.0,NaN,2.5,15.0,19940.48823380387,99.7709107108969,5.0,4.0,37289.988877790325,100.68385632806067,5.3125,16.0,23853.868781027042,118.46893118765718,2.1875,16.0,18040.849170740003,82.06547761473328,29.571428571428573,7.0,146029.84475644803,59.97471375549693,23.8,5.0,130346.04235704531,80.83195861251183,23.75,8.0,176043.79147466895,89.73701152010352,19.571428571428573,7.0,127879.49493569981,56.614674938205546,0.0,0.0,5820.5,NaN,64.5,2.0,416805.36655961385,33.32363622864304
5,1,74746.76936172352,3748660.949032436,1304820.6312662037,1341623.2453907153,2.0056565203601757E8,675404.5750931989,874064.4542536595,0.0,0.0,0.05,0.05,0.05,2.446970097433002,28.423232651743486,39.756880631397806,8.911111111111111,192785.825531973,966.2126747388194,65.51497693222525,33.0,6779892.017715623,1.350710126027045E7,16865.966434029135,27572.00808748207,23436.00808748165,2118649.1920589316,6.507044072383466E8,2.6483999843028373E8,0.0,0.0,4416.375,NaN,0.0,0.0,4416.333333333333,NaN,1.6875,3.0,23579.831641621877,100.0906261114162,10.5,1.0,84258.40350789853,96.20420663255025,4.5,3.0,50552.36573787185,103.1997494677812,0.5,3.0,8111.844898164849,92.49135195853127,21.142857142857142,7.0,152380.15923467715,62.91047988134549,9.0,5.0,49547.024070118365,99.5737333531634,22.125,3.0,218928.32473065128,67.53588452839988,21.142857142857142,6.0,135656.10572780293,61.21464153483924,0.0,0.0,4413.75,NaN,67.5,2.0,509556.6895739117,33.202010340853576
