year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-135949.0484463568,1.5190677963370021E7,2155470.7288837205,2194970.3485991876,1.970995567453861E8,2113893.388377745,1539178.498920234,0.0,NaN,NaN,NaN,NaN,NaN,364.7275228091752,97.4175203858872,26.444444444444443,-135949.0484463568,2576.1522057601283,312.1577302826214,90.0,4.739300868335155E7,3.515759432317943E7,17567.96536021626,17567.96536021626,17567.965360216273,6716822.574442663,6.512833298783096E8,2.648698548739676E8,12.5,4.0,-423058.4763954995,917.8657729624365,20.333333333333332,3.0,-284541.31697780784,556.8025974981715,27.75,16.0,-88742.8743530217,381.0359283746792,33.25,4.0,46312.80778278007,314.60549422873504,26.5625,16.0,-128730.12375436247,360.07292059772044,28.875,16.0,-75192.55686770532,274.3338824640495,31.0,7.0,-58628.94818058681,276.50112538402766,32.0,5.0,-2150.714045646391,269.02934559559486,26.375,8.0,-166696.42545470127,254.09967052955466,22.142857142857142,7.0,-258343.492882875,327.06254827956167,15.5,2.0,-404885.0291329522,582.1332690946855,15.5,2.0,-409628.36780520086,605.4720712672358
2,0,45700.58639022013,6700954.030312109,1095020.1860333292,1171275.293033966,1.9817457483995998E8,1104672.543797845,620716.4023819842,0.0,NaN,0.05,0.8412127616605425,0.05,0.19367638444192928,231.95002137976087,57.899433431688564,11.1,45700.58639022013,642.683711091743,188.87477132244067,90.0,1.2349185844371358E7,1.6462238619491024E7,129581.76399916527,129581.76399916527,153567.4639991643,3082619.47256645,6.59524929636351E8,2.6588854974410582E8,1.0,4.0,-4512.162157298269,313.8497837279477,15.333333333333334,3.0,31193.768502111867,158.9560218344635,9.8125,16.0,60645.0465704104,236.93823659217705,7.0,4.0,47687.95734088692,232.18608285582087,7.125,16.0,32293.07115681897,272.2351949536486,17.8125,16.0,89480.78106865488,201.93827117132744,21.857142857142858,7.0,80028.19509083599,205.43981598559705,21.0,5.0,48197.62288656008,245.22941519405634,11.375,8.0,31079.27287517077,141.97072851113862,1.4285714285714286,7.0,1756.4565500432218,118.05832284741277,1.0,2.0,-2996.4979541413777,333.82714176411554,2.0,2.0,-64027.97743353236,771.3244947234373
3,0,19409.92510446654,6206522.410037535,1153374.3457446008,1182462.0723331338,1.983513112254474E8,1034330.1045752888,707072.6785608489,0.0,NaN,0.05,0.21339658110829982,0.05,0.26856490872210936,261.7114900135541,67.19038647780819,10.988888888888889,19409.92510446654,738.3476914061366,207.35386396608214,90.0,1.43691040974356E7,1.6115997356837494E7,97174.74112497529,97174.74112497529,100298.8911249718,2921666.0324757304,6.536393481421741E8,2.650622653484529E8,2.25,4.0,-36862.14303818463,496.35917369580005,2.3333333333333335,3.0,13396.311340588116,144.28996357798732,10.3125,16.0,33574.94147165714,310.5589373496615,2.75,4.0,8815.223038476477,198.06796863927912,9.75,16.0,10454.712397370586,254.28936131681272,14.75,16.0,59563.042761377925,210.1099927115937,27.428571428571427,7.0,52527.12733683628,175.91464007594394,15.2,5.0,16713.318624976706,276.4675270194924,12.875,8.0,8706.690816305672,125.16560634735414,3.5714285714285716,7.0,-35476.91311866327,293.64836610254196,2.0,2.0,-12400.639591785846,506.5881213125735,2.5,2.0,-43180.740353200934,630.1716036728308
4,0,41629.80535095591,3532839.013853917,887747.0135858821,910301.6932871875,1.9993791192579296E8,738800.4654107649,383861.16912884,0.0,NaN,0.05,0.05,0.05,0.05,45.93082987869124,55.97164092056793,6.266666666666667,140289.5392634413,1262.7202191680124,168.6247129480921,25.0,6767485.17719113,1.0514167658777159E7,81717.80800231868,23566.551182832096,20086.55118283209,1778615.5256619,6.524401510608039E8,2.645985283929974E8,0.0,0.0,4059.25,NaN,0.0,0.0,4061.1666666666665,NaN,9.75,6.0,92648.36081815709,191.69963794503897,0.75,1.0,15064.944592300802,104.58483372762663,5.8125,3.0,46773.00380214,173.21434147021455,11.3125,7.0,71924.3346205183,175.51891689401305,15.571428571428571,4.0,16806.47524566747,130.00625807710543,2.2,2.0,11817.347882575963,144.10634143199698,1.375,2.0,6887.868653903781,161.2394349216004,0.0,0.0,4056.8571428571427,NaN,0.0,0.0,4059.0,NaN,0.0,0.0,4060.0,NaN
5,0,37165.628078445,2639581.344138545,829272.3615640383,847677.6876480994,2.0207619701462513E8,596289.0042809555,329905.9670590032,0.0,NaN,0.05,0.05,0.05,0.05,40.33914230905448,57.07818773409107,5.0,137173.06639391521,1116.747151319173,165.69789323148186,23.0,5461553.473464946,8806460.000524994,57993.35230263051,43486.37557113248,41105.87557113248,1409346.4053255685,6.539563091063275E8,2.6433340332989684E8,0.0,0.0,2836.75,NaN,0.0,0.0,2836.5,NaN,9.0,5.0,81421.63096704215,204.7666652478158,1.0,1.0,14975.37396622586,109.22304382049515,3.5625,3.0,32808.55270953564,182.06122007466243,10.0625,7.0,55206.43843738433,150.05145507855403,9.571428571428571,4.0,55824.70780264064,123.35757095378463,1.0,1.0,9922.428956255771,178.83707719563503,1.5,2.0,10323.622246498686,114.32761548534515,0.0,0.0,2835.4285714285716,NaN,0.0,0.0,2837.5,NaN,0.0,0.0,2832.75,NaN
6,0,47164.414730673736,2680244.5410844833,991518.4921943936,1014149.0861170784,2.0418360354558897E8,672353.5207735485,341205.86675217643,0.0,NaN,0.05,0.05,0.05,0.11499210655487598,42.45187167273269,56.473781741414925,5.311111111111111,192075.89646479223,1285.4508415426826,169.43452154614923,21.0,5546047.283315839,9790844.60907643,101601.94433595224,-33175.04620009495,-35921.54620009496,1502602.0787573156,6.569341510768411E8,2.6403466981838316E8,0.0,0.0,3060.75,NaN,0.0,0.0,3061.0,NaN,8.9375,5.0,89113.40247599842,207.82091485372152,1.0,1.0,16315.719887476269,80.15929753872322,6.6875,3.0,74446.63717081204,258.18907859016775,8.3125,6.0,62639.54480075222,187.91978812021645,11.714285714285714,4.0,58550.783210050045,107.8861847879513,0.8,1.0,7276.652124957845,205.01941503222054,0.625,1.0,7376.418994323605,162.75446006278395,0.0,0.0,3061.0,NaN,0.0,0.0,3061.0,NaN,0.0,0.0,3058.0,NaN
7,0,44016.061591735765,2603450.41463098,1016468.0002954735,1041821.951561588,2.0626534734139514E8,589788.2194135565,342136.03493470995,0.0,NaN,0.05,0.05,0.05,0.19395340962167215,44.71836433125322,60.28446543594045,5.277777777777778,178503.1449169628,1363.5771943843672,180.0668112087825,21.0,5725489.329138258,9686934.872394413,-69289.4058065635,-149870.60212587263,-152853.10212587257,1459985.149699826,6.61125820237269E8,2.6386543767592216E8,0.0,0.0,3089.25,NaN,0.0,0.0,3085.8333333333335,NaN,9.375,5.0,106060.19958121018,189.19355326590812,0.5,1.0,10689.635316556058,65.26240629157047,5.875,3.0,65177.00815583291,196.58372566376173,7.6875,6.0,47237.35202101666,240.10362059048808,14.285714285714286,4.0,43323.37103152334,162.86584558022065,0.6,1.0,4876.476057369344,173.29994764958826,0.375,1.0,4986.696044191049,158.28638668699404,0.0,0.0,3084.785714285714,NaN,0.0,0.0,3089.25,NaN,0.0,0.0,3084.0,NaN
1,1,-123564.56805345805,1.5322215187117873E7,2270947.54818919,2315651.7030939125,1.9698366914145407E8,2271753.5286748526,1508418.9096984314,0.0,NaN,NaN,NaN,NaN,NaN,370.70057778805545,95.80264334969866,26.788888888888888,-123564.56805345805,2566.446367956927,323.5929391458334,90.0,4.721475401053358E7,3.6093942885722354E7,-141858.2113193469,-141858.2113193469,-141858.211319347,6839465.785867156,6.511451995847868E8,2.647037757472715E8,19.0,4.0,-299183.20810843416,514.6755403381441,27.333333333333332,3.0,-81102.70925119925,386.1365874339419,27.0625,16.0,-106715.20438102397,425.3618248913547,34.25,4.0,66889.82147815646,269.70300002988574,25.1875,16.0,-150080.5133807281,434.9489175161486,31.1875,16.0,-27221.03367702595,303.7117371686069,28.142857142857142,7.0,-83238.78841930066,325.5786802443093,28.2,5.0,-48135.64295969786,308.21687282423517,26.375,8.0,-182694.3580709131,279.64052321602026,23.142857142857142,7.0,-238020.86488529228,350.069116270039,18.0,2.0,-359472.960868828,385.3849480272261,17.0,2.0,-367032.42664023384,582.1276912145279
2,1,35109.600020648424,6074248.638380163,1031845.9364085827,1089050.0338047026,1.9826007304578924E8,1031665.6004968783,595102.2265612438,0.0,NaN,0.05,0.4203629595160524,0.05,0.092893453872301,283.7250607744002,59.269971559264164,10.577777777777778,35109.600020648424,626.9445880491054,186.73533675668435,90.0,1.2046714894521713E7,1.5206578896380218E7,-2019.3901818634877,-2019.3901818634877,-13092.190181863361,2822023.820301801,6.601369232344892E8,2.659724787491946E8,1.0,4.0,-12372.516518077304,522.6684784958695,19.333333333333332,3.0,38203.43775844396,256.5431605939571,11.125,16.0,57052.084125924506,237.5623207445134,26.0,4.0,196588.71791938323,213.6530549544154,8.5,16.0,19852.946858402363,294.3006674051851,8.8125,16.0,24142.38966094911,292.5276919100759,16.714285714285715,7.0,67043.53402079699,221.4316405296644,13.2,5.0,63185.86832656515,277.0099549541177,12.5,8.0,43514.03452729498,172.8426484694568,5.285714285714286,7.0,-4562.4194473622165,204.81502596283275,3.5,2.0,-139770.8863555964,652.859944609808,2.0,2.0,-65118.74725032464,786.425727981638
3,1,10211.631755013166,6685313.8676393395,1106903.4271552938,1131245.3076225154,1.9848836697590715E8,1055094.9318063152,690380.3367939676,0.0,NaN,0.05,0.26336769009040384,0.05,0.07892114938731566,266.7566616908539,70.0941478103789,11.411111111111111,10211.631755013166,799.8521089028792,214.067855804817,90.0,1.5566017990481567E7,1.6485064848432746E7,-20454.22570440612,-20454.22570440612,-24575.325704406125,3060506.3971956503,6.537593344172355E8,2.6512420851518255E8,4.0,4.0,-127984.96446301034,670.7817008807159,15.333333333333334,3.0,66907.59625725845,189.82662364688042,15.5,16.0,33605.73928396772,267.79353927333403,20.0,4.0,106809.00964544722,243.69894256502943,8.875,16.0,20046.36719922036,213.8778248614414,7.0,16.0,13553.381007640935,246.85226909206685,16.714285714285715,7.0,24837.599813124518,241.4564775312899,5.4,5.0,8042.344185187003,265.42352868958216,22.625,8.0,33439.27817896749,130.521831338651,5.571428571428571,7.0,-23686.464848909083,216.5407988662485,3.5,2.0,-88209.81164607508,517.5807829364802,6.0,2.0,-205812.08960931754,755.9420905054513
4,1,22747.270492029078,2766692.7247749544,648216.4202672357,662664.9486681381,2.003341046135844E8,549542.2850279397,323252.5419248808,0.0,NaN,0.05,0.05,0.05,0.05,52.63900638279012,62.45533783649173,4.933333333333334,76130.81377130469,1109.2067999760932,185.00374838111733,25.0,5944718.3443798665,7991972.688662483,2907.25,19635.973487776893,16833.97348777688,1374693.5039636206,6.532972059461471E8,2.648600055711037E8,0.0,0.0,3143.875,NaN,14.0,1.0,82013.55897269392,148.91754523851506,7.625,4.0,37102.90683916025,200.84317320013884,10.75,2.0,44124.87121569588,217.53195443444235,2.9375,4.0,14884.520484424473,133.01334681862983,4.6875,6.0,24486.884464027447,213.74928545994246,7.571428571428571,3.0,28218.68507288531,127.6714010225838,3.8,3.0,15140.762452671066,253.51902782995344,4.5,1.0,10364.079116975729,198.05864458541296,1.0,1.0,2834.4933129426727,193.97739636595742,0.0,0.0,3142.0,NaN,0.0,0.0,3138.5,NaN
