year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,88564.84234923388,2.25025349364604E7,3305958.645479713,3369296.9280966586,1.958885347443473E8,3023152.828486356,2427965.320665493,0.0,NaN,NaN,NaN,NaN,NaN,152.70123838355514,65.49629897237695,37.111111111111114,88564.84234923388,2430.6404285304334,128.7965161908471,90.0,4.471636205469329E7,5.268719786612434E7,349888.69082741253,349888.69082741253,349888.69082741265,9993556.956878817,6.441463353973023E8,2.639095077917669E8,15.75,4.0,-303915.91125940444,913.7952948186448,43.666666666666664,3.0,214760.23619330776,124.87219087074664,34.0,16.0,-15383.338459273667,141.54031150370955,38.0,4.0,106316.08538154612,110.8976175251991,39.375,16.0,150094.0353893351,122.45903801404616,44.4375,16.0,276159.3862057532,117.69924687694953,41.714285714285715,7.0,167426.55173015263,114.14954176712378,42.2,5.0,173068.65840023808,106.02516255557323,41.0,8.0,162042.66092701975,93.41583904049993,27.0,7.0,-104102.6237541976,103.6798542264224,25.0,2.0,-148659.8227069359,90.61238713486173,19.5,2.0,-382299.67682281916,89.5313094453257
2,0,86151.65157707523,9586743.957119549,1269351.12339406,1315756.599153901,1.9801515849443987E8,899364.5471579208,994018.1753700101,0.0,0.0,0.05,0.09748617900666319,0.05,3.751362051860962,137.6345408901777,47.78576446404376,14.555555555555555,86151.65157707523,695.5483494210814,100.78989092319824,90.0,1.3364994826774599E7,2.111864346871126E7,264677.80834497965,264677.80834497965,231518.45834496352,4099450.9661985273,6.567324100253985E8,2.6612303832854423E8,1.0,4.0,-18129.779836831254,913.7952948186448,36.0,3.0,149565.30201961347,101.20205854454339,1.5625,16.0,16594.050399550335,120.02111759832069,2.0,4.0,19254.83584521083,80.43762229938942,2.0,16.0,20381.79528278132,100.65906180527784,37.125,16.0,256639.21551734305,101.19373495902221,36.0,7.0,145558.65861537104,102.82377832106916,33.4,5.0,148603.2063070166,86.58491358556289,13.625,8.0,94363.43326266063,80.08232990354027,1.0,7.0,6652.060836904538,110.15501942046863,1.0,2.0,8545.65064071874,68.97203948370642,1.0,2.0,11060.848782941,127.1046679469902
3,0,54494.3290734584,8907658.410987424,1194766.4204123232,1262167.515647841,1.98077757329649E8,842560.3212328908,980375.6849593082,0.0,0.0,0.05,0.05,0.05,1.5110958430610768,140.53233010879507,56.49133765002015,13.544444444444444,54494.3290734584,765.1437843930506,102.1092113852114,90.0,1.489055203651446E7,1.9795041653125882E7,147497.48775560345,147497.48775560345,208577.18775561836,3831544.208962489,6.483876697754444E8,2.6550715040227053E8,1.0,4.0,-23473.49844080652,913.7952948186448,44.0,3.0,184305.08492906217,97.94512025528131,1.0,16.0,10405.490996691276,121.50606032283751,1.0,4.0,11046.047785166185,104.86736752887789,1.0,16.0,12781.36270825323,100.39806508399869,35.5,16.0,152696.05488041564,104.5455600339859,25.0,7.0,83900.08618747567,106.82055918592468,32.0,5.0,95315.89456757727,95.5984323721605,16.625,8.0,57176.46009153602,83.4067632019397,1.0,7.0,5459.547338264748,110.15501942046863,1.0,2.0,6782.560424859796,68.97203948370642,1.0,2.0,7041.958990395651,127.1046679469902
4,0,42131.68944997379,6260953.684885621,1089149.984699724,1116282.8657423907,1.9939285960684213E8,686542.8688872791,679606.7032343365,0.0,0.0,0.05,0.05,0.05,0.3521973631724412,73.12966890430494,59.40082644302135,10.0,56801.891414025646,835.3241218549878,100.15820768717226,64.0,1.1460882292124674E7,1.5252734342622407E7,241592.89515584003,140901.99945896957,150159.54945896164,2790919.8983881366,6.448455071763247E8,2.6509583042282093E8,0.5,1.0,3870.9002005315924,380.1982494699311,42.666666666666664,3.0,181541.36291078615,101.3410548632249,0.875,5.0,11596.997925048228,123.68463345825133,2.25,3.0,21553.615461869358,77.16100517416157,2.75,16.0,26225.65842278608,104.43290633096049,30.625,16.0,134821.05960909737,100.52331262636505,11.428571428571429,7.0,18612.834521498782,109.08105494057654,18.8,5.0,23628.33047972658,88.00616114795888,4.875,8.0,8570.243719455955,70.58061385913231,0.0,0.0,6022.428571428572,NaN,0.0,0.0,6023.5,NaN,0.0,0.0,6016.5,NaN
5,0,39645.49290166287,5257147.976525202,1151176.2669859836,1181383.2685892084,2.011059472310484E8,579400.2038205593,634531.4506887288,0.0,0.0,0.05,0.05,0.05,0.2381146699628313,66.54507380700096,62.767145500491644,8.744444444444444,56543.92395327308,809.799073916179,98.09229070171946,61.0,1.0503775529933305E7,1.4071869891082965E7,100168.58224648592,201917.06274826685,220098.6627482627,2440784.8233634825,6.442606613193899E8,2.648396372718533E8,0.0,0.0,4101.75,NaN,40.0,3.0,176814.88227732957,98.39479716997293,0.875,3.0,11972.51201258754,121.48930853290717,3.25,3.0,42728.98288756634,91.99297290605777,4.0625,16.0,44970.12501375848,101.6790316327563,19.1875,16.0,78743.07675646039,101.75706232941693,17.714285714285715,7.0,51635.701192092725,101.16955560872677,20.8,5.0,49661.91486104155,88.10569726830799,5.0,8.0,3061.0474490805773,81.21656597573421,0.0,0.0,4100.214285714285,NaN,0.0,0.0,4102.0,NaN,0.0,0.0,4101.0,NaN
6,0,41733.646450543696,4217453.64754769,1130711.6306539113,1158013.847643819,2.029786437340345E8,522110.5577012933,515836.9282019005,0.0,0.0,0.05,0.05,0.05,0.12658053166511787,62.711938782228614,62.82498313380415,7.444444444444445,63973.450535946184,738.4690999938383,99.3168650026942,57.0,8648029.803951664,1.2404057984500762E7,217768.42399310507,41053.895920207724,38100.89592020775,2044481.4758502662,6.463136195053947E8,2.6468668275261885E8,0.0,0.0,3320.75,NaN,42.0,3.0,257100.42011881052,100.26058888034123,0.75,3.0,10620.385621790225,122.70480207717138,3.0,3.0,40380.623809624456,102.10439454549176,3.8125,16.0,38678.451691514136,97.53630595114304,16.125,15.0,84836.82962770364,102.50003033031842,14.142857142857142,7.0,39228.24279947563,101.32896231911778,15.6,4.0,44453.47427002047,88.18755885758607,3.0,6.0,16298.52286893037,84.78846867572132,0.0,0.0,3317.8571428571427,NaN,0.0,0.0,3316.5,NaN,0.0,0.0,3319.75,NaN
7,0,50252.03979919646,3937657.786355342,1198670.686805151,1225003.680139498,2.0478911148098665E8,493622.35570809233,486454.9705770916,0.0,0.0,0.05,0.05,0.05,0.5262219043237818,60.24406412488016,61.235871539708015,7.055555555555555,83112.86947033361,733.6750646738602,99.62177052469947,53.0,7774935.882327844,1.2297619464255303E7,228847.6994882234,152054.3180955588,104315.51809535467,1958072.702487542,6.498441374099147E8,2.6460691084870586E8,0.0,0.0,3181.125,NaN,45.333333333333336,3.0,352995.7280592455,97.68513007885242,0.8125,3.0,11061.175727907585,125.53308078981864,3.0,3.0,40262.31801966058,83.69231540349774,4.375,16.0,47754.61302897616,105.24310550523052,12.3125,15.0,84928.13904334293,104.71137944166585,12.571428571428571,7.0,50745.252546803014,101.15446678550667,16.0,4.0,83513.65650330194,94.80772378733413,4.875,2.0,22780.591315443045,79.6808250330746,0.0,0.0,3181.5714285714284,NaN,0.0,0.0,3175.0,NaN,0.0,0.0,3184.5,NaN
1,1,67983.20855656525,2.19289320797263E7,3170829.084424995,3230788.510335248,1.9603163032293862E8,2886058.4058540813,2308199.4744291347,0.0,NaN,NaN,NaN,NaN,NaN,164.34507814226444,66.07191588756625,36.84444444444444,67983.20855656525,2434.383034257441,NaN,90.0,4.478531670951359E7,5.090380547960446E7,204748.74674420687,204748.74674420687,204748.74674420693,9683554.087077172,6.447081794690522E8,2.6405418038724232E8,16.0,4.0,-556663.3331598409,1571.918836261016,39.333333333333336,3.0,128816.10181848767,135.40550305105444,34.8125,16.0,-1507.1712200023924,138.1867860209541,37.0,4.0,79343.11828752015,104.16666001025766,40.0625,16.0,168115.424293189,125.38867044778038,42.8125,16.0,235547.59136615566,116.48298236131829,43.0,7.0,197057.85899675317,115.94413768592528,42.2,5.0,176797.84912873857,109.10051140348801,39.875,8.0,133500.68251710356,97.59544927092882,25.714285714285715,7.0,-159692.97302690963,101.35186560720292,25.0,2.0,-163343.15235801687,86.72343292041754,21.0,2.0,-340017.3948790881,75.34865673405463
2,1,65214.210570121926,1.0126229389882484E7,1315201.1934649528,1365366.9245415195,1.9796445514202014E8,923175.4296570912,1052164.3907896413,0.0,0.0,0.05,0.05556385372611597,0.05047151343005646,4.140926509594764,150.4804020983547,53.13284158896751,15.933333333333334,65214.210570121926,846.5832759842157,NaN,90.0,1.6267168341655374E7,2.213644729296635E7,264955.1805251838,264955.1805251838,402204.830525188,4310660.161425121,6.562078913307514E8,2.6610913465786004E8,16.25,4.0,-569349.6931672278,1571.918836261016,35.666666666666664,3.0,161508.6074626634,101.2890538973323,1.5625,16.0,17363.429947031334,120.95295456446166,2.0,4.0,21366.739276941742,85.84773797889851,1.875,16.0,20327.955834816745,109.0940099828971,35.3125,16.0,230665.4823415306,100.3773808072007,41.0,7.0,190535.04283767383,100.12539845587499,43.4,5.0,177158.17304436787,93.06320443573615,14.75,8.0,123669.84258194921,96.927469439587,1.0,7.0,10499.856165767322,98.4941521293533,1.0,2.0,10280.761638239295,69.90699999000046,1.5,2.0,-9990.183833965333,61.2727045081781
3,1,29080.65362139737,8594308.13163701,1181727.7114835496,1224310.2137385416,1.9806574669380534E8,771217.8119548743,969891.3535575713,0.0,0.0,0.05,0.05,0.05,1.3830648504037557,151.4615005180149,61.94358970355607,13.755555555555556,29080.65362139737,852.0684894778046,NaN,90.0,1.6582140506933816E7,1.919939933285948E7,225104.4860566782,225104.4860566782,263340.48605666123,3693256.5154742743,6.481991764501952E8,2.6556730436324444E8,16.25,4.0,-580532.4436575352,1571.918836261016,30.333333333333332,3.0,105162.71496522066,108.34984962107961,1.0,16.0,11035.247138034198,122.46652282211309,1.0,4.0,13217.296271188043,84.00048513414622,1.0,16.0,11513.556702338225,109.78437529619052,36.0625,16.0,172078.39178483794,99.2280436569764,30.571428571428573,7.0,97572.21355891337,102.54763051742334,27.4,5.0,92559.06904339467,93.08316987165203,13.375,8.0,30759.990310625843,101.35832066732897,1.0,7.0,7435.844852767665,98.4941521293533,1.0,2.0,7250.229403993399,69.90699999000046,1.0,2.0,-717.9974098048697,63.83754341483054
