year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,170660.28316164017,2.3150880868493363E7,4105620.2184187574,4203044.7048441805,1.9507604322686726E8,4774583.120785333,2079702.1485841777,0.0,NaN,NaN,NaN,NaN,NaN,302.32783106281533,62.238592671972874,38.733333333333334,170660.28316164017,2410.7081561610826,223.5060949877847,90.0,4.434920755692939E7,5.9708633041477E7,-141108.7534549944,-141108.7534549944,-141108.75345499447,1.0937930505737681E7,6.434138005839462E8,2.6207151603249097E8,19.0,4.0,-228303.0050126242,604.094577068194,55.0,3.0,435824.42073689034,103.9413967585087,58.3125,16.0,615201.8357513141,122.36833229461405,38.5,4.0,104462.03589052655,205.47546193942128,59.375,16.0,704106.3401850251,110.1676047657337,29.0,16.0,-60807.59874218707,384.96273970830686,26.142857142857142,7.0,-113768.67847477515,538.0868245111806,38.0,5.0,128335.77950544795,136.23662610588326,19.875,8.0,-238153.83933937276,735.4595568124864,19.428571428571427,7.0,-312199.6784988613,316.56115722931696,23.5,2.0,-140900.03865921154,269.84228332924647,14.5,2.0,-530781.371479739,346.1707985888201
2,0,105103.88120533728,7364205.865677109,1138860.986866543,1201807.8551246733,1.9814657444975024E8,1167244.0416346083,562408.1786287893,0.0,NaN,0.05,2.0441722432644065,0.05,1.4405922727811526,254.91699673379185,35.114261761631845,11.911111111111111,105103.88120533728,418.2498734274371,101.69506664019427,90.0,8036729.678712557,1.7496078987193193E7,10909.445770662365,10909.445770662365,-1598.0542293376238,3306770.058581705,6.588471459474396E8,2.6582985707534844E8,1.0,4.0,-10278.238939216732,593.824595495498,18.333333333333332,3.0,259716.98791986474,77.01754030836693,34.6875,16.0,345395.81628761656,108.03500070704408,2.0,4.0,111168.81815531457,157.3346802868167,3.875,16.0,22729.720597358468,97.75269298787312,5.375,16.0,47220.591513578765,260.86850728485456,1.0,7.0,6954.600151724371,463.6613318833555,51.6,5.0,301722.40434951836,57.08991255028261,1.0,8.0,-4304.317576296558,668.5817994415892,3.5714285714285716,7.0,14456.056888437099,293.83610885374947,1.0,2.0,5606.701643331624,254.89524593568567,1.0,2.0,-2083.7551127518527,396.9821154976632
3,0,115142.39665243874,7549447.650047917,1362875.1388565232,1406091.2592765172,1.9810154027018347E8,1259911.0418448828,648058.0580243409,0.0,NaN,0.05,1.4332250331209417,0.05,1.177544103481492,262.0130892210086,35.34651629650435,12.677777777777777,115142.39665243874,448.1152788256829,96.0132423607703,90.0,8720824.082415055,1.9083639781135675E7,-607.8709209197114,-607.8709209197114,-8116.370920919683,3481866.8892888217,6.516653770417069E8,2.647629048484688E8,1.0,4.0,-15709.38252189383,598.6213019633511,8.0,3.0,133944.82835149148,74.25308036711469,22.125,16.0,332055.64243329293,99.59139805581195,2.5,4.0,14640.507781776472,166.27486986979886,23.1875,16.0,137799.764143196,88.55587807623743,5.0,16.0,43959.04936406286,306.46831131848955,1.0,7.0,-5317.356462951725,471.55970144464726,54.4,5.0,378672.8099064835,66.77254456996745,1.0,8.0,-11093.330510527925,671.3165004563239,1.0,7.0,-1452.3734411058415,297.5865163065984,1.0,2.0,843.3059792806162,256.7413865287481,1.0,2.0,-7345.245250849519,391.54183921578135
4,0,119710.17023400958,6804282.184317294,1448368.8581016264,1494819.3742172802,1.9906452446244624E8,1312497.6615789938,653161.9297132721,0.0,NaN,0.05,0.9086271884489537,0.05,1.8752620896575924,48.87852198684296,35.679767507190604,11.477777777777778,228160.30045784483,801.2434746723455,85.43743988911712,46.0,7901428.532302331,1.8675343853361756E7,6333.75,144481.59349755268,118592.39349757636,3289806.863120248,6.473814657930584E8,2.636753942149426E8,0.0,0.0,6332.25,NaN,26.666666666666668,3.0,108791.04122073925,67.69580761352414,24.25,16.0,226766.58206417918,93.11939404041702,1.75,4.0,13263.92466536364,151.69601708680423,17.6875,16.0,261448.20508946606,92.71207554495193,3.8125,1.0,44806.371323130705,56.77382662392985,0.0,0.0,6329.214285714285,NaN,42.6,5.0,335731.02292988467,76.43900908316758,0.0,0.0,6330.5625,NaN,0.14285714285714285,1.0,5984.978351336006,176.92310222240621,0.0,0.0,6331.5,NaN,0.0,0.0,6328.5,NaN
5,0,112501.02895629773,5483331.9156443365,1498602.8757655758,1547030.366225596,2.004385898196462E8,1253781.54577809,524986.2524418927,0.0,NaN,0.05,0.470602273907175,0.05,1.637555073836582,55.923287867254366,36.342468808271896,9.866666666666667,215573.08926232162,701.5676587335965,99.78183847929313,46.0,6862236.424190386,1.6987329030257214E7,4743.5,101960.12022572682,52794.42022577983,2822052.1089844927,6.464019635311532E8,2.6268149084048527E8,0.0,0.0,4745.25,NaN,26.666666666666668,3.0,241488.19435853756,81.25032693476216,24.5625,16.0,241060.92989450367,107.88398865712185,1.25,4.0,6684.16665657422,163.08355431402612,16.25,16.0,206729.46622987464,107.70548158645933,3.9375,1.0,44648.72016478988,45.970669440113966,0.0,0.0,4744.785714285715,NaN,17.2,5.0,271084.72350673843,93.73026796039468,0.0,0.0,4742.5,NaN,0.14285714285714285,1.0,4331.911172071705,172.95717685311587,0.0,0.0,4747.75,NaN,0.0,0.0,4744.25,NaN
6,0,108731.2564389441,5832613.134203846,1441013.2340797142,1490549.2122398012,2.0198646088178647E8,1222871.0575136587,482166.5686978241,0.0,NaN,0.05,0.32861390877521596,0.05,1.7893050516972853,54.296432158753696,38.95807667388321,10.044444444444444,212639.29065566597,782.6244736264539,99.40443492389844,45.0,7235621.599814306,1.7021434679319333E7,4821.75,5037.209830154534,217.20983015453385,2893458.4849448744,6.467478070620943E8,2.617552105481552E8,0.0,0.0,4824.75,NaN,34.666666666666664,3.0,255914.24939166397,76.80509971211366,32.9375,16.0,306220.3841734151,100.53155431371698,1.0,4.0,5422.372257461368,151.69601708680423,11.875,16.0,162508.60407046258,114.26923850852849,2.5,1.0,50378.25579540891,49.233938702843645,0.0,0.0,4822.142857142857,NaN,7.8,5.0,109191.88753430899,112.68658058910069,0.0,0.0,4823.5,NaN,0.0,0.0,4822.928571428572,NaN,0.0,0.0,4824.25,NaN,0.0,0.0,4827.25,NaN
7,0,111150.07292755449,5140430.193838282,1538284.1245429176,1593812.8541967487,2.0343572610610685E8,1161221.8412116684,451595.22049892304,0.0,NaN,0.05,0.3653138869005004,0.05,1.3618137462207007,50.87260788636042,38.77580753400891,9.3,222503.94462454328,737.621611499215,92.84845196401812,44.0,6489383.181750712,1.6492889745230878E7,4638.25,6389.539409280122,483.3394092790372,2672879.1778057767,6.490679385051284E8,2.6092856324456623E8,0.0,0.0,4636.5,NaN,37.333333333333336,3.0,340608.4298302068,90.75872353966331,28.6875,16.0,347323.7857547862,93.4490197678396,0.75,3.0,5005.97117177198,156.1557173065374,10.5625,16.0,144139.07413419816,107.44256480344723,0.5625,1.0,23704.847715175536,291.88993820445404,0.0,0.0,4638.5,NaN,17.0,5.0,115967.01352712726,66.32721917775845,0.0,0.0,4637.0,NaN,0.0,0.0,4638.428571428572,NaN,0.0,0.0,4641.25,NaN,0.0,0.0,4638.0,NaN
1,1,241056.88860537982,2.537654108193737E7,4600825.391387723,4704504.11795569,1.945570949489165E8,4479232.868732049,2621507.5678619314,0.0,NaN,NaN,NaN,NaN,NaN,238.98594250439132,55.704892131187236,42.522222222222226,241056.88860537982,2368.6958020672614,151.95274386817422,90.0,4.3576847068640456E7,6.527196704312464E7,464329.06422361307,464329.06422361307,464329.06422361295,1.1886765493507566E7,6.412512085515162E8,2.6237612413729635E8,24.0,4.0,-90037.67946549127,355.8157947976733,8.666666666666666,3.0,-582663.5189830611,1467.4992679541094,55.4375,16.0,531564.9677094268,128.23855998619658,69.75,4.0,948929.3125901163,89.03317740410996,50.875,16.0,457228.9151074025,142.2793406296588,55.0,16.0,500841.39455079124,77.36604204461119,48.285714285714285,7.0,323616.8530240883,99.63310252103967,22.8,5.0,-158205.1140471299,301.7716339136626,13.625,8.0,-504002.65787001327,666.8998512654563,28.285714285714285,7.0,-43206.08909670343,107.12325401044612,19.5,2.0,-254571.8910405169,644.9484704549839,23.5,2.0,-228652.58558098396,89.72481691798086
2,1,95431.67149921594,7363779.580669545,1318916.3975840653,1373313.2993269297,1.979709756719765E8,1142950.9609341107,713022.3733589606,0.0,NaN,0.05013154895751511,0.6700258318273613,0.05995058717493315,4.402189942654034,219.73802701377107,41.41506653687979,12.555555555555555,95431.67149921594,519.9891687408241,113.7254795165566,90.0,9991622.71108549,1.858047314601475E7,133236.01628796116,133236.01628796116,345643.6162880012,3405641.73164474,6.588539667555952E8,2.6584364858680966E8,1.0,4.0,5071.4133952890625,327.33439037208734,8.0,3.0,-599202.2005060446,1596.2411749836683,7.875,16.0,238914.9647938114,126.68627894206958,3.0,4.0,87988.20097320213,91.36120900403576,19.4375,16.0,146063.27777494228,84.89719389619083,17.875,16.0,130628.07478982162,65.59994572024179,49.0,7.0,249523.7758214004,64.739760053688,1.0,5.0,6664.416449019278,283.45555883535155,1.0,8.0,-18296.477748779325,644.035235897099,1.0,7.0,16061.221808759266,46.38873976027927,1.0,2.0,-2252.108231998136,643.0356270067779,1.0,2.0,11488.237017207503,122.22568889149285
3,1,53266.95710542776,6658902.163870962,1419747.1117244153,1471414.4770375986,1.9786457864200178E8,1263222.0926390204,659548.5594592895,0.0,NaN,0.05,0.6344710530013988,0.05,1.586259210781454,218.92628299694115,54.403631560939175,12.733333333333333,53266.95710542776,692.7395752092922,156.3593970819867,90.0,1.3481475920956042E7,1.8275502060445152E7,284207.55235392286,284207.55235392286,324356.2023538458,3213881.5888339756,6.525421124021261E8,2.647812672873375E8,1.0,4.0,-8459.53163295936,319.1730566384745,8.0,3.0,-619519.056508573,1607.8577333267704,8.3125,16.0,82844.75142482281,118.82057540229368,7.5,4.0,55887.587804568,88.08774846752158,20.0625,16.0,261642.44558245785,84.49047547591857,21.3125,16.0,164578.25234015795,65.548406146497,28.285714285714285,7.0,298045.4627877329,93.01271723133826,1.0,5.0,-1600.9086078931898,271.93693555728186,9.875,8.0,-471445.9103750835,631.1385928792616,1.0,7.0,4318.7876866509805,53.9788003240558,1.0,2.0,-12200.936643708876,633.4061577169072,1.0,2.0,2623.9203878153057,122.22568889149285
