year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,251338.92355448284,2.6751564883673836E7,4314439.733237689,4400377.80679797,1.948354579779879E8,4426735.896540479,2998467.9775964506,0.0,NaN,NaN,NaN,NaN,NaN,107.96885795006389,55.23321209124143,42.75555555555555,251338.92355448284,2361.5266680788554,107.78168325609077,90.0,4.344480312872447E7,6.606530624862792E7,183711.7368711129,183711.7368711129,183711.73687111292,1.2324282997713825E7,6.400007729627845E8,2.624369656137006E8,28.75,4.0,-43729.65004380077,254.0969097222359,45.333333333333336,3.0,288731.7532614883,137.66905904793265,45.9375,16.0,320684.04742929584,118.3888003272813,51.25,4.0,467145.5038057569,107.06053090932761,57.0625,16.0,639726.4552496595,114.34893840115119,40.3125,16.0,171391.6058473762,91.41765284626854,43.57142857142857,7.0,237131.6846549083,81.85398868313077,42.0,5.0,200778.1255970048,96.67359809220643,36.375,8.0,81144.62073519808,105.11282478258538,29.857142857142858,7.0,-27836.598173157185,76.07341845406799,24.0,2.0,-167183.07690120977,71.08383178198942,18.0,2.0,-415968.16839329177,50.5719541971984
2,0,99523.8531384873,4906071.850296524,1219517.2854478585,1287270.5884039954,1.9806786771313608E8,1481583.158174817,436281.53636534547,0.0,0.0,0.05,3.7448361071546774,0.05,2.187395166029918,115.42750172948156,34.22351694242369,9.422222222222222,99523.8531384873,322.46158185750323,97.15149417171668,90.0,6196153.208310425,1.5153299990773197E7,59283.21107477593,59283.21107477593,5915.611074766296,2603449.8068790906,6.612517721529812E8,2.6550678055109534E8,1.0,4.0,-4009.4907418256603,277.9618480220488,2.6666666666666665,3.0,92434.25862787834,155.7263618498668,1.5625,16.0,41331.56441934709,131.09233131451845,29.0,4.0,191138.67236853455,115.6103396529444,36.3125,16.0,297402.00554013054,119.61336272115311,2.4375,16.0,63909.6190797718,96.37684087321219,5.285714285714286,7.0,92905.15513627166,91.66218928658641,2.8,5.0,92099.4614412371,114.94895783448207,1.625,8.0,39353.315153878415,120.41938118292865,1.0,7.0,8980.186440116993,62.71879848249057,1.0,2.0,2605.139796546573,61.57496050629403,1.0,2.0,-2347.621809814824,25.88504341483054
3,0,90786.16102971268,4907706.927239856,1257698.5107759184,1294746.8789515945,1.981512380778112E8,1343199.4947591745,505472.4997834647,0.0,0.0,0.05,4.7835867849989056,0.05,0.1773618935440546,118.95694702911743,36.868899707857956,9.811111111111112,90786.16102971268,361.7248715782064,98.66774660746555,90.0,7039588.277737199,1.5210342770411704E7,59590.73144561691,59590.73144561691,155009.43144562567,2582497.6681023603,6.565242675686903E8,2.6434393453824013E8,1.0,4.0,-6966.892939433019,277.9618480220488,1.6666666666666667,3.0,6659.483732866589,171.91298676637393,2.8125,16.0,5165.721918056632,140.25237993027426,30.25,4.0,319021.66590406105,118.65858185026643,30.5625,16.0,385729.5129809438,120.37685735502964,7.5625,16.0,21390.73195667028,98.54678883754409,3.7142857142857144,7.0,17174.914863005546,102.1172228991281,10.4,5.0,24792.618067475636,112.2386204480271,1.125,8.0,2982.1088536039747,120.8903593891129,1.0,7.0,4965.633235105109,62.71879848249057,1.0,2.0,3180.618940815839,61.57496050629403,1.0,2.0,-1591.777904159826,25.88504341483054
4,0,87230.25088314111,4603362.607438976,1283598.954200658,1331675.663932428,1.99302168430165E8,1294609.0174291772,497175.9122227062,0.0,0.0,0.05,3.978000178496842,0.05,0.5342311523628148,102.25262359466744,40.56522723334659,8.966666666666667,102462.42867740395,430.7386628593513,100.6626751563093,76.0,7017923.426737827,1.4868646006219026E7,153525.54749146142,354368.1859122284,328967.83591193776,2474556.1951313447,6.541089888089875E8,2.6327881464587125E8,0.25,1.0,2672.2439257688657,212.78180896166853,2.6666666666666665,3.0,4539.533083300087,167.75028354161054,2.875,16.0,14503.776897305128,142.45126306928208,26.75,4.0,330062.2311197817,123.99699229249126,29.3125,16.0,330364.42402173835,119.85847073452513,6.6875,16.0,38070.8786742173,98.74024244538187,1.7142857142857142,7.0,7631.319598093234,101.79682741076427,9.8,5.0,52239.23281418133,111.55871718477276,0.75,6.0,1992.5802751666406,133.8910379908302,0.2857142857142857,2.0,4345.680442790386,70.09913451619269,0.0,0.0,4539.25,NaN,0.0,0.0,4543.25,NaN
5,0,86554.84782603066,4016611.1396915275,1344128.8038050302,1389684.297829768,2.0084721526984188E8,1272109.344338288,450089.88251483213,0.0,0.0,0.05,2.767300981906874,0.05,1.7375725351601077,53.39359024811175,42.55872692530259,8.022222222222222,176734.57451959903,714.5907172108946,97.76298593974057,43.0,6533766.908469769,1.432370321281277E7,163062.72926522658,278220.8755370624,255271.37553696605,2281303.257020054,6.54147279091883E8,2.6227730100705844E8,0.0,0.0,4043.25,NaN,0.3333333333333333,1.0,3313.0433394594197,110.3747113246508,3.4375,9.0,23047.18271826624,141.56118183103948,26.5,3.0,306970.3605339214,110.98093877913739,27.0625,14.0,321723.57324713026,105.95401502290848,4.5,7.0,38555.17815788325,96.66724098814792,0.8571428571428571,5.0,2207.978089223674,106.53897783690715,9.4,2.0,61472.73559583079,88.31297780369705,0.25,2.0,4422.570201562416,109.35360807947765,0.0,0.0,4048.242857142857,NaN,0.0,0.0,4047.75,NaN,0.0,0.0,4047.25,NaN
6,0,90667.07375243446,3624956.0056630373,1447416.808225091,1491561.8466260987,2.0239701958062094E8,1270506.2860039254,410654.59883188526,0.0,0.0,0.05,1.6215681550567664,0.05,2.9002788589718635,37.35804084992703,43.78953931434594,7.555555555555555,248366.36367872191,930.5277104298511,96.0522755633892,32.0,6117730.951882385,1.427776758960106E7,127332.1111441807,477158.7830113149,602760.9830111578,2175138.21092241,6.56122228306615E8,2.6130773545169157E8,0.0,0.0,3658.625,NaN,0.3333333333333333,1.0,2999.884141668328,110.3747113246508,1.9375,5.0,30341.7602917807,134.30718676448544,18.5,3.0,325005.8178643973,110.32779512248806,30.375,14.0,335477.4540018787,102.56383144833966,2.4375,4.0,32014.378256897227,80.88175996954425,0.2857142857142857,2.0,3130.405914769749,100.78537760529169,9.2,2.0,75061.66601106829,89.49230126694881,0.125,1.0,4193.382696108885,109.35360807947765,0.0,0.0,3660.6428571428582,NaN,0.0,0.0,3662.5,NaN,0.0,0.0,3662.0,NaN
7,0,87521.33883977616,3184125.027229353,1461540.619006225,1499613.610210741,2.0393025374022228E8,1115049.7980179838,362921.7897934314,0.0,0.0,0.05000000000000001,0.5261618811051194,0.05000000000000001,3.9096682606302595,35.513955304169336,45.1273305237846,6.888888888888889,247600.22566386627,902.546610475692,95.10341870667949,31.0,5594314.955101001,1.3471235450678423E7,28975.554927632445,611993.6765713654,666345.2765714694,1970906.2267185727,6.597061162718512E8,2.605328467429745E8,0.0,0.0,3411.25,NaN,0.3333333333333333,1.0,2815.6363330786116,110.3747113246508,1.3125,4.0,16226.839782747675,131.6517155815181,21.25,3.0,219173.0020250611,108.63629858000878,27.75,14.0,367634.97774420236,101.14476409647739,1.0625,4.0,16727.518893170884,81.86272341561883,0.2857142857142857,2.0,2973.7126385552774,100.78537760529169,9.8,2.0,95643.77776751181,89.48177684063535,0.125,1.0,4018.4773063741595,109.35360807947765,0.0,0.0,3412.214285714286,NaN,0.0,0.0,3409.5,NaN,0.0,0.0,3410.0,NaN
1,1,250583.6465741346,2.679897954427159E7,4298319.436805164,4385488.183706459,1.9485241800216135E8,4391816.580017001,3017858.673039911,0.0,NaN,NaN,NaN,NaN,NaN,109.59021751761613,55.39133693504069,42.65555555555556,250583.6465741346,2362.7482499291245,108.93469658055291,90.0,4.346742598346449E7,6.6019954175136596E7,154409.26024359197,154409.26024359197,154409.26024359214,1.2329256215661244E7,6.39947613798334E8,2.624712454066379E8,27.75,4.0,-57948.24589919081,257.4737350098395,42.0,3.0,218124.32617842508,145.97091716081698,46.875,16.0,341582.39934354875,115.98174523320239,52.25,4.0,489423.86470218963,106.66213253543927,56.0,16.0,612965.9844843831,117.76943835823893,40.375,16.0,173299.8048940916,94.16345530102635,42.857142857142854,7.0,223308.9749464613,79.34017986926908,42.2,5.0,204585.9734240508,92.26990076584724,36.875,8.0,103333.30657312815,110.79007880228406,30.142857142857142,7.0,-15343.366382708584,79.93089354999854,24.0,2.0,-172127.13754867707,75.12423006982917,18.0,2.0,-417209.79309086414,54.60651216018124
2,1,90980.61044545888,5373865.400663843,1160223.8525132667,1232273.2389505622,1.981191081584598E8,1313740.954212661,513105.57201275026,0.0,0.0,0.05,4.918217143829024,0.05847057885540768,0.2430286374137848,115.00161206967384,37.575341285927244,9.866666666666667,90980.61044545888,370.7433673544822,96.35748438464364,90.0,7123859.074359174,1.5312114014449788E7,41354.70053786266,41354.70053786266,1997.8505378377813,2714928.923731287,6.60802066179365E8,2.656780285716619E8,1.0,4.0,3601.4900234279103,242.36722207048635,1.0,3.0,51923.724902769725,194.1890438307789,2.125,16.0,43536.20709893484,135.04102170443016,14.75,4.0,144704.28562279395,115.39900210268327,31.625,16.0,362986.69695909636,112.09206434432757,8.0625,16.0,37053.53872452146,102.56039028038604,17.285714285714285,7.0,13862.665315369351,85.27532020585976,2.0,5.0,4970.105834930192,93.64392572969717,1.375,8.0,13411.833164718311,131.845050211736,1.0,7.0,14112.596685307146,53.56874445886892,1.0,2.0,5986.303590331285,76.55203948370641,1.0,2.0,1046.4712997319875,46.712437428221605
3,1,93871.26888086273,5445765.25023428,1309045.2218458827,1349808.3986348682,1.9814008183511764E8,1351876.7338032504,588908.7235117224,0.0,0.0,0.05,4.574035193805516,0.05,0.27996717717521785,117.86183848097085,38.738717474462916,10.377777777777778,93871.26888086273,402.0218013460929,95.76022752716158,90.0,7823813.186008526,1.6272227385287007E7,5082.82323270326,5082.82323270326,-437.6767672969413,2799759.3545554806,6.555732833715551E8,2.6451089961971655E8,1.0,4.0,-5942.476957270802,242.36722207048635,1.6666666666666667,3.0,287.1240604003154,194.1890438307789,3.625,16.0,13406.136537923847,141.86683093875746,17.75,4.0,178846.14135915326,113.53661150808223,32.125,16.0,384829.6415985562,113.57294134141628,4.625,16.0,30387.83337700484,109.27105944208502,22.714285714285715,7.0,105635.97444379296,77.27193849549323,5.0,5.0,21853.230420898162,109.7176792346991,1.625,8.0,1217.3443608867638,131.87594490584212,1.0,7.0,6032.453868710051,53.56874445886892,1.0,2.0,2997.4033000015042,76.55203948370641,1.0,2.0,-4359.163252976752,46.712437428221605
