year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,10710.675522186402,2.0158058057533264E7,2855540.929483779,2907148.765385384,1.9635548359872544E8,2881487.0662713144,2061938.8168147365,0.0,NaN,NaN,NaN,NaN,NaN,207.32412822617067,76.7040337960066,32.46666666666667,10710.675522186402,2490.3242972436806,192.17141712065592,90.0,4.5814312397332504E7,4.6778273194329284E7,-76138.1213458736,-76138.1213458736,-76138.12134587357,8938633.95244438,6.464558007745062E8,2.6406218004236E8,19.75,4.0,-254498.73892033496,351.9594134439436,38.0,3.0,134570.6421210761,179.60917880429733,33.5625,16.0,38572.082021600145,210.15284412481364,41.75,4.0,253333.22671689125,179.91266521584035,39.6875,16.0,208093.7899584645,195.64875355574242,33.5,16.0,34918.27324661298,219.2776323750328,33.285714285714285,7.0,13844.779244679376,167.97704245531617,27.2,5.0,-127568.40969828106,186.78044902198297,27.375,8.0,-148836.04951656,191.9352790488149,27.571428571428573,7.0,-100365.65934002752,173.36283176165423,20.0,2.0,-309675.6927983663,271.55909836158105,16.5,2.0,-443453.70664573216,294.85310733576114
2,0,93993.33525152518,7174798.064995902,1241275.5642666523,1312052.885541153,1.9803357824080697E8,1186849.4743561132,646329.9051644839,0.0,0.0,0.05,3.5635366857013864,0.05,1.331933473889004,157.48280194201678,41.8341056411875,11.777777777777779,93993.33525152518,492.71279977398603,101.56030130073415,90.0,9467559.048144974,1.792695922078236E7,13613.531460297985,13613.531460297985,-2850.268539706806,3310740.999210003,6.5905601234754E8,2.6581266947307602E8,1.0,4.0,1037.3715614519278,259.44906806970823,2.6666666666666665,3.0,35923.06907384712,119.77213479754305,5.6875,16.0,64361.55456840807,179.3852011542664,33.5,4.0,195815.31463005856,141.55829851289332,17.75,16.0,205148.58425788902,170.8884984502283,12.625,16.0,104445.91106524224,182.68356709685946,27.285714285714285,7.0,116835.88613050566,105.03757000389666,12.2,5.0,65191.536615016215,127.34635321293881,8.375,8.0,50045.76771252872,104.02309682023564,1.8571428571428572,7.0,9154.032269429517,124.53979054805698,1.0,2.0,1483.790093270305,197.91546409473173,1.5,2.0,-15148.70568817269,105.50052207854525
3,0,87720.98757668582,6012008.668563066,1278525.9881637483,1334125.009695295,1.9806063314705452E8,1246750.1851300583,618589.2702280241,0.0,0.0,0.05,3.767533354970761,0.05,0.7179612236683972,158.73110963266882,42.374878406687344,10.688888888888888,87720.98757668582,452.9403669692581,101.555254792009,90.0,8814750.122740448,1.670963900464249E7,852.5233460129384,852.5233460129384,-5332.226653987049,2952041.2085410734,6.533737976304886E8,2.647521823090001E8,1.0,4.0,-6244.204664959507,259.44906806970823,6.666666666666667,3.0,42812.60045875118,149.8594049832855,5.0,16.0,44141.188155618685,186.41593223289027,30.5,4.0,423451.8895096804,143.10545569081393,21.5625,16.0,198198.0013135309,180.28432303990695,8.3125,16.0,58669.38749885703,174.55142007903038,20.142857142857142,7.0,111564.04754529249,107.7039091402697,6.6,5.0,28897.26863505276,102.21787068762264,7.125,8.0,34636.250188555496,100.47410594986526,3.2857142857142856,7.0,11038.828064716063,132.865438312441,1.0,2.0,-1157.3352517944004,197.91546409473173,1.0,2.0,2000.653104150755,85.63909496176599
4,0,89001.73032804886,4945638.768787892,1310204.3745844755,1354703.927875976,1.9917919527156377E8,1197014.0127701813,519029.48371605866,0.0,0.0,0.05,2.5891849071604427,0.05,1.6426495846047162,66.9923699830145,41.856574198318405,9.022222222222222,180773.62161684645,790.4078662566172,98.81872047514327,43.0,7286150.487089183,1.5296306216613205E7,1956.2780020602077,196629.70502705697,309070.50502712326,2566547.6515770694,6.50811715228575E8,2.6378960366516817E8,0.0,0.0,5040.375,NaN,6.0,3.0,35646.636514305945,147.22882361811335,5.125,9.0,46917.63995075459,186.81547097483138,32.0,3.0,388946.34324201883,111.5864154547851,21.8125,11.0,236907.73092696676,142.0933579554217,4.75,8.0,46871.09937685222,143.00069458276982,14.142857142857142,5.0,100154.00791132457,107.75825730473426,2.2,1.0,6578.447297628527,30.97190934495744,6.0,2.0,31109.915453457066,92.66872092441974,0.14285714285714285,1.0,4730.543920736552,109.39521058986082,0.0,0.0,5041.0,NaN,0.0,0.0,5040.0,NaN
5,0,84437.04806999971,3900900.0048027225,1304005.264904026,1336231.2915790845,2.007817282162278E8,1116079.6125094069,403961.63300459215,0.0,0.0,0.05,0.9215713864648049,0.05,2.576464114076057,45.91502555830704,41.91955229776809,7.544444444444444,217052.62724411688,837.1581179466039,101.855527820786,34.0,6052359.368087125,1.3651693694387414E7,3922.25,472490.4837837332,459515.3337837149,2162184.2393528195,6.511778544707586E8,2.6295412520818514E8,0.0,0.0,3918.625,NaN,9.333333333333334,2.0,70424.18316604871,192.43063743041284,3.625,6.0,44415.40232133329,156.45780232609738,29.5,3.0,390371.3241215539,112.908383656053,20.625,9.0,248998.76116178278,112.09583013880453,4.75,6.0,36093.138081274556,115.5855760765669,3.4285714285714284,4.0,25492.583335671574,109.9423595406544,1.4,1.0,9868.781528950436,31.344428970647403,4.625,2.0,33426.945405470484,93.56702751514871,0.14285714285714285,1.0,3985.8001495921635,109.39521058986082,0.0,0.0,3918.25,NaN,0.0,0.0,3920.25,NaN
6,0,82074.1468136117,3337074.0445295637,1287355.1825668924,1328554.1159323645,2.025135803313631E8,1042404.9097275558,358888.5927296417,0.0,0.0,0.05,0.28187467548502826,0.05,3.1473580394809892,40.814003439540926,42.49521427295328,6.7444444444444445,231893.40365242108,832.083711731698,99.79967814015714,31.0,5299559.609433784,1.2686232822658459E7,3352.75,153110.3679704615,128904.36797044842,1940076.7283690525,6.536597338659574E8,2.622356324172203E8,0.0,0.0,3356.375,NaN,5.333333333333333,2.0,51919.78065060467,160.31696638883386,3.875,5.0,41358.65248106526,154.55660284807055,28.75,3.0,357520.42413083714,110.84391489455557,19.75,9.0,253925.99020420553,115.40148707873556,2.625,5.0,32508.20788929751,122.37297195748295,3.4285714285714284,4.0,27281.648561693695,99.3514400337002,2.0,1.0,16095.210723653272,32.11275069863295,2.625,1.0,29485.277891077392,57.91965293766704,0.14285714285714285,1.0,3138.6784111509746,109.39521058986082,0.0,0.0,3356.0,NaN,0.0,0.0,3354.25,NaN
7,0,87376.18793043659,3257466.9054429866,1404682.1012086966,1445407.1079932142,2.0412234535211414E8,1020034.5228071474,356825.5311735863,0.0,0.0,0.05,0.18535140694399746,0.05,3.11371519765042,32.92121394847582,43.358824119560815,6.733333333333333,294697.1312976651,1010.5941314020713,102.75358299926732,26.0,5253724.233081392,1.3117581146821635E7,3150.5,479901.8878424674,486541.48784226633,1941714.804044904,6.573870378465818E8,2.615837164255404E8,0.0,0.0,3154.125,NaN,14.666666666666666,1.0,105674.3928038379,156.25992053324546,2.9375,4.0,49777.56683053356,157.0513595775295,28.25,3.0,389023.4402812574,113.3342000258598,19.4375,7.0,263306.85809523216,103.15341237320249,1.5625,5.0,23015.089267989337,123.59788837961162,4.428571428571429,4.0,32323.8120314613,101.86206874037701,2.6,1.0,20795.541202772387,31.423231199158742,2.75,1.0,29452.107108572236,59.506461770738504,0.0,0.0,3151.5714285714284,NaN,0.0,0.0,3150.5,NaN,0.0,0.0,3154.0,NaN
1,1,11446.64835106018,2.035120711058481E7,2807626.4333622507,2855640.9175063646,1.9641129115123177E8,2826095.6028424795,2128859.4882640815,0.0,NaN,NaN,NaN,NaN,NaN,196.99993599807905,76.2915847667434,32.611111111111114,11446.64835106018,2487.9533476710208,187.0347276276653,90.0,4.577083197015613E7,4.680103032175155E7,17578.71651033206,17578.71651033206,17578.71651033213,8988789.039650673,6.462794167146522E8,2.6412040649821523E8,24.5,4.0,-150408.80543252386,326.52112114383016,35.333333333333336,3.0,54343.81969111374,127.98679432218442,37.125,16.0,137422.63346276717,195.65329386835117,32.5,4.0,12573.896352199281,181.46050518098065,33.3125,16.0,44141.09063953433,194.934932707092,36.5625,16.0,115452.47206625257,195.79794142847038,30.142857142857142,7.0,-46786.964883124405,233.04069314500913,42.2,5.0,174029.61417275894,103.27281404781279,29.5,8.0,-76657.57886587987,152.50871170726487,23.285714285714285,7.0,-220431.02174374348,218.5437279419584,17.5,2.0,-412151.90141047083,264.15518443755116,16.5,2.0,-447905.1702906154,253.04679155882155
2,1,92000.61157121658,6896959.694623209,1226595.4612379158,1294513.4205464409,1.980500774269438E8,1248222.688665985,622433.1808536162,0.0,0.0,0.05,3.8643730212615526,0.05,0.7808372345124925,162.43095676301579,41.84499187003739,11.555555555555555,92000.61157121658,483.54212827598764,106.00787220563252,90.0,9291326.384374676,1.757138142578411E7,13138.524589179842,13138.524589179842,-7513.875410822327,3228531.3843426043,6.59325124291361E8,2.657477840668421E8,1.0,4.0,4423.72212666148,209.1971296631306,5.666666666666667,3.0,51731.9257855166,130.89015133701392,5.9375,16.0,107527.54034263495,190.24715815975617,7.75,4.0,106433.21780109643,119.16500665629158,19.75,16.0,164522.87265298906,138.69762667619855,16.625,16.0,111775.59549023531,192.94895329535598,3.0,7.0,25443.37169414871,218.59833734008689,40.8,5.0,222798.38042735457,81.6551603218393,8.75,8.0,48566.64539347857,103.55390870107809,1.2857142857142858,7.0,-5574.67580041341,152.938921804897,2.0,2.0,-33405.758601590875,205.9799170918634,1.5,2.0,-17289.525384702138,156.4697899326428
3,1,94982.88276190631,6803379.335009257,1352227.7606345972,1413761.4913586262,1.9799412272638103E8,1286104.9121159362,650125.8635389478,0.0,0.0,0.05,3.296616829388254,0.05,1.6379475675043487,160.9383223199513,42.133536233463055,11.733333333333333,94982.88276190631,494.3668251392998,102.08315594060124,90.0,9620950.408974314,1.816940985754525E7,-529.4783207330784,-529.4783207330784,-7267.978320733085,3256388.6162882894,6.528598983755533E8,2.6463616420064178E8,1.0,4.0,-1345.0791595974188,209.1971296631306,2.6666666666666665,3.0,19578.861534316515,132.12287694587033,6.375,16.0,49940.77685791576,188.19914372072776,16.75,4.0,100647.45333263803,136.16005576677435,20.75,16.0,248145.09285475986,144.5840885048992,14.6875,16.0,124800.9761530466,189.434438550769,7.857142857142857,7.0,21306.310019790977,219.63530618085056,29.2,5.0,170970.03567889362,82.60350084768993,12.0,8.0,36861.56323890099,101.17257312229353,1.0,7.0,3463.1642441288795,126.35243530965532,1.0,2.0,552.4666871904337,210.25273412099511,1.0,2.0,1044.9479487021454,143.17557796186142
