year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,608709.9833454721,3.666495900523501E7,6688834.933588589,6840492.2833514055,1.9238874299911165E8,6681336.040570858,3580769.915494913,0.0,NaN,NaN,NaN,NaN,NaN,86.05959876133483,36.82298535379522,58.7,608709.9833454721,2161.509240267779,84.32551711154585,90.0,3.97651117401187E7,9.454901024121118E7,661154.0718520314,661154.0718520314,661154.0718520309,1.7208379295154303E7,6.302113974921933E8,2.6006073035900477E8,37.0,4.0,91596.58344042122,190.03232273715003,67.0,3.0,683349.0293443814,80.29379722589023,64.875,16.0,744248.0710040745,99.88048269606442,72.0,4.0,991852.896240996,70.74973490658378,66.8125,16.0,900157.7704185663,83.68322052531195,61.4375,16.0,662751.6200840134,78.69655887132039,56.142857142857146,7.0,507589.3043909014,63.94131475144028,57.8,5.0,490759.05548537837,56.68881784619314,54.625,8.0,417525.19736251305,66.67900620858424,39.0,7.0,194805.21369925604,90.04111793975893,42.0,2.0,215938.29714927124,80.02004091467363,40.0,2.0,171449.5164852845,105.19841160849943
2,0,137528.16567401792,1.0601164944211826E7,1286179.5251427742,1342365.727734794,1.979890216331122E8,1111465.061847831,877564.9436203723,0.0,0.0,0.0500091596168631,1.1339056898851272,0.08311245109437441,5.366243601944217,76.73751416881056,33.014142101459,16.177777777777777,137528.16567401792,534.0954544413811,63.30930288620949,90.0,1.0262734490338676E7,2.2640269401000906E7,2127.3619010355324,2127.3619010355324,175332.5619011193,4478892.426909073,6.557082448501043E8,2.6588667017145172E8,1.0,4.0,105061.43170864941,197.08,67.0,3.0,467211.75232068077,68.92079018831579,13.6875,16.0,378917.33029700717,85.20638987554271,6.5,4.0,88969.56853213182,75.34794759161518,2.0,16.0,61061.18235753056,84.2383302923385,20.0625,16.0,-350.42130066628306,57.912887506538404,6.714285714285714,7.0,79015.40700621402,65.21716038051399,45.0,5.0,63861.32228717817,51.41113641434606,46.25,8.0,191237.0840560708,59.03072684938892,1.0,7.0,70149.49168276679,64.88932036840384,1.0,2.0,72859.37305744753,64.35026048898325,1.0,2.0,63324.935126141645,101.71650419179771
3,0,132119.31843398217,9229740.72943702,1443708.701917836,1493986.636271434,1.9783016755405387E8,1214381.4110856934,913763.3542450039,0.0,0.0,0.05000000000000001,0.7966283384189082,0.05,5.523801196660644,78.55686206406519,34.49335614535258,14.922222222222222,132119.31843398217,514.7175255912057,70.34225848525104,90.0,1.0016951984438196E7,2.1907690643496834E7,166925.35375395673,166925.35375395673,211470.70375396224,4116190.501506422,6.470683936706434E8,2.6487087284573781E8,1.0,4.0,2836.886365594626,197.08,62.666666666666664,3.0,515859.6526532621,73.03475325892029,13.4375,16.0,147189.9021057571,87.3202869904621,8.5,4.0,113545.99595198399,69.43266862043703,4.625,16.0,44337.6329326225,75.03738868917577,24.4375,16.0,193377.8857560624,69.12906234837855,10.285714285714286,7.0,57865.027974446784,60.62941993014437,33.8,5.0,297927.3439530344,60.423011900929204,21.875,8.0,218495.79451538197,71.03688401288115,2.0,7.0,6573.138721964114,64.88932036840384,2.0,2.0,7749.344887358544,64.35026048898325,1.5,2.0,7486.253289700922,101.71650419179771
4,0,124998.18159751713,6893423.129244285,1484802.2751437696,1537575.048573604,1.9873492810913882E8,1286615.2648335176,683305.1316050151,0.0,0.0,0.05,1.0141366577789157,0.05,5.205730230953969,83.96534796870907,33.6327948058862,11.9,124998.18159751713,400.23025819004573,78.17296430702685,90.0,7722068.540841815,1.8971904884618483E7,203323.29328170238,203323.29328170238,176359.3432817209,3332242.0332425563,6.42964654471471E8,2.638063353663399E8,1.0,4.0,-1054.5227225541094,197.08,31.333333333333332,3.0,453609.96357056504,81.51897197165017,15.125,16.0,139882.7070837671,91.46151751764864,26.75,4.0,146991.8504573431,71.86242737779028,11.6875,16.0,85592.02412947253,77.58503928350254,14.4375,16.0,204266.454417455,80.91769523542939,8.285714285714286,7.0,86940.0460494654,65.1647004978373,14.8,5.0,202879.4385766346,68.11339775590315,7.875,8.0,94486.48870576193,81.75599937095627,1.0,7.0,4323.2172266765765,64.88932036840384,1.0,2.0,5230.274738674023,64.35026048898325,1.0,2.0,4902.838547483159,101.71650419179771
5,0,118820.10352834384,5414684.133215312,1512625.080020474,1567180.1782604319,2.0007287058586535E8,1257764.225272972,524847.1428803618,0.0,0.0,0.05,0.5682427603599121,0.05,5.539512342518453,66.93165839974823,32.52465890358365,10.1,141846.50423401262,394.1988659114338,77.51936604594545,75.0,6286526.193284469,1.698033551083546E7,156666.8146774196,97672.47781445784,86830.27781445888,2807521.7185703274,6.423361304867573E8,2.6280246231278253E8,0.0,0.0,3688.625,NaN,22.666666666666668,3.0,221972.3574100372,72.25612487324585,14.6875,16.0,150598.9496212115,98.76862829427446,37.0,4.0,361316.4734203935,65.7708657601418,12.125,16.0,176369.36588664883,80.0874450969203,8.9375,16.0,124265.0681476151,74.38726423484363,6.428571428571429,7.0,66455.61779906056,67.86330723103826,9.0,5.0,104797.78969804177,63.432066777036916,3.875,8.0,39799.05500850265,87.48756647474627,0.0,0.0,3686.785714285714,NaN,0.0,0.0,3690.25,NaN,0.0,0.0,3689.5,NaN
6,0,119149.22460430494,4794937.875908516,1559849.2898923573,1608314.1257340726,2.0150213607631624E8,1224832.9779321314,484363.9761542779,0.0,0.0,0.05,0.47345625912254236,0.049999999999999996,5.432379602018044,67.59650154240447,32.441739905193266,9.333333333333334,142324.6361918326,363.34748693816454,80.72942439817332,75.0,5598792.236614922,1.6322222451004181E7,116138.49533646822,115207.63149658707,103443.23149660203,2597524.5268530766,6.439708234752324E8,2.6186984582419357E8,0.0,0.0,3271.375,NaN,24.0,3.0,215972.6529397584,75.69321293593599,17.1875,16.0,182403.5830786581,101.00156013225119,30.5,4.0,428590.6834878045,70.84522398275607,12.0625,16.0,196062.2096785176,79.37837913472248,5.0,16.0,79280.34271371886,74.05061065393174,5.857142857142857,7.0,52856.64232987061,72.65409616684553,9.2,5.0,90190.0766572048,63.19673856238364,1.375,8.0,20897.74681094011,84.72167992040586,0.0,0.0,3272.714285714286,NaN,0.0,0.0,3272.0,NaN,0.0,0.0,3272.0,NaN
7,0,118952.99702607919,4626598.874945486,1571105.165710771,1661190.4338560267,2.0287603872559538E8,1167076.9522207922,488825.0690389782,0.0,0.0,0.049999999999999996,0.1447839969196011,0.05,5.698519797223833,61.72765071603477,33.10626187996775,9.066666666666666,142136.5030979617,360.1961292540491,78.76922508049608,75.0,5401537.181409869,1.610730691375729E7,122141.95334427687,87601.48716323473,37746.88716323614,2543556.4809047654,6.470165892142453E8,2.610316862947376E8,0.0,0.0,3035.375,NaN,25.0,3.0,264865.57164915575,79.68809526233775,16.3125,16.0,180078.888751446,95.16689900846751,30.75,4.0,375032.77968567476,67.76675848883235,10.25,16.0,176048.71779887535,73.7192234450083,4.9375,16.0,72759.42410325733,66.57388656601718,6.142857142857143,7.0,89052.9965076392,55.736243439144424,9.4,5.0,115732.08337369957,59.76206254643737,3.0,8.0,37660.75197221624,73.62913544783765,0.0,0.0,3035.8571428571427,NaN,0.0,0.0,3035.25,NaN,0.0,0.0,3034.5,NaN
1,1,608336.0902831317,3.673020149618386E7,6679035.343674413,6831763.402907,1.9239802517461425E8,6659540.710786797,3574613.8260678984,0.0,NaN,NaN,NaN,NaN,NaN,86.38268980820548,36.794485902526304,58.77777777777778,608336.0902831317,2162.6981158262683,84.55663036866343,90.0,3.978695880832545E7,9.453720693380728E7,657115.6493599416,657115.6493599416,657115.6493599412,1.7217451648179837E7,6.301398391535276E8,2.600819803963046E8,37.0,4.0,91582.50363728721,189.87759928160682,67.0,3.0,683792.9705500334,80.52577851042992,65.0,16.0,740837.8724638359,99.50367986622418,72.0,4.0,998995.7828443339,72.4699930416367,67.0,16.0,902609.9662454984,83.76864433815626,61.3125,16.0,660021.5808665337,78.47211164184958,56.142857142857146,7.0,507316.0049422864,63.854806654293306,57.8,5.0,492011.7678815783,56.006688462886686,54.75,8.0,414953.2976064129,66.98612486327072,39.42857142857143,7.0,196623.03187728146,94.61550872605781,42.0,2.0,214760.5392668765,80.02004091467363,40.0,2.0,172132.89908072664,105.15433683107283
2,1,129693.05250316349,8330268.235136711,1297601.474730739,1349533.7920219083,1.97992576339729E8,1178722.4666856364,627985.028285732,0.0,0.0,0.05009575479995223,2.805102519093193,0.08426650328690019,3.907865960874157,84.78327603456229,30.91754979050463,13.444444444444445,129693.05250316349,415.66928051678445,68.49993546613143,90.0,7987058.386032387,1.9659433111318864E7,-60288.9929242715,-60288.9929242715,596980.1570757148,3731519.258253542,6.578059342440457E8,2.6581499197702384E8,1.0,4.0,98824.63606204296,197.08,47.333333333333336,3.0,288324.90172485984,67.98614856213004,13.75,16.0,111027.23554277638,95.42300373658775,13.5,4.0,774966.5558576265,73.84049860302756,3.6875,16.0,236946.23224138145,91.49190914768965,42.5,16.0,-76965.86681898325,61.593512523968776,2.0,7.0,113631.61704323777,69.29119920216301,2.0,5.0,24276.30586826466,46.712437428221605,2.0,8.0,177449.0525088105,64.35026048898325,1.0,7.0,59918.609763710825,114.45477166435576,1.0,2.0,66155.22281254985,64.35026048898325,1.0,2.0,43988.82715155788,101.71650419179771
3,1,128721.78085762718,8098054.919095414,1434977.474024133,1487469.628244721,1.9785497312527755E8,1314529.8653571233,644813.4300266022,0.0,0.0,0.05,2.988583093369581,0.05000000000000001,3.663046425155054,82.27633505405129,32.94630041591685,13.444444444444445,128721.78085762718,442.944705591771,79.16244508310305,90.0,8620129.497252908,2.020508977443864E7,489989.1990199755,489989.1990199755,363642.14901996084,3702101.5443805945,6.50138610529014E8,2.6468002470475402E8,2.0,4.0,-7059.491551529878,197.08,63.333333333333336,3.0,377379.0543688531,72.63700516324103,18.6875,16.0,142828.2704317249,91.39688900315099,18.5,4.0,192381.86122845556,69.52447547576628,10.875,16.0,80289.61025548288,78.6310765652383,24.875,16.0,350573.9650043895,81.55073854007509,2.0,7.0,25213.691513064336,57.65840201986941,3.2,5.0,27384.37647687887,41.018716988586604,1.875,8.0,21845.56299670528,44.15783020529078,2.0,7.0,3391.490624308316,114.45477166435576,2.0,2.0,5890.639425195986,64.35026048898325,2.0,2.0,4380.082068294578,101.71650419179771
