year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1128350.1603323356,4.8347509924384505E7,2.1987986923243154E7,2.240660318047925E7,2.0447209327822742E8,6241580.680911895,7515983.901318251,0.0,NaN,NaN,NaN,NaN,NaN,91.37544937990754,61.2743851941108,118.8,1128350.1603323356,7279.396961060363,83.38742941107543,90.0,8.758658202162655E7,1.8913809645153672E8,635775.9036584056,635775.9036584056,635775.9036584056,2.6826017807122003E7,6.533237244522488E8,2.6547605692410782E8,59.75,4.0,63372.53780618934,253.73383507183857,81.66666666666667,3.0,460168.0602117541,154.2391153282584,89.0,16.0,654947.4535132359,94.62705983018513,89.5,4.0,595419.6986036582,98.53358601148807,110.5625,16.0,1265682.8597771444,101.1201437169373,114.75,16.0,704118.8644472705,68.82842523097769,168.85714285714286,7.0,2073602.0042077512,57.6849120178282,169.4,5.0,2084063.0121315508,72.17662795833269,148.875,8.0,1856910.2541147787,88.98582895092457,139.71428571428572,7.0,1421446.7782175685,62.65506219567242,78.0,2.0,-115113.72439707251,68.0376263493783,233.5,2.0,3014571.669037032,33.78425491583621
2,0,218171.66342195327,6062519.56391632,3348533.455930185,3435074.0925370078,2.231744906917789E8,801618.5215191512,949382.7320374041,0.0,NaN,NaN,NaN,NaN,NaN,91.15727806838251,38.95053364730611,14.466666666666667,218171.66342195327,563.4843867643617,85.50478641516447,90.0,7057785.368502472,2.669323507647827E7,271050.3540272039,271050.3540272039,271050.3540272047,3586319.2843479915,6.961365802997435E8,2.7125232809773684E8,11.25,4.0,101068.50616470672,264.3254419215002,10.0,3.0,175437.1296261585,150.60561033253012,9.8125,16.0,178024.08242861295,96.36402857019547,11.0,4.0,191306.35147809936,96.39002728650345,12.1875,16.0,197832.56806694748,95.83864708191676,15.9375,16.0,239214.22671525893,68.80178396257143,19.857142857142858,7.0,297724.06627362425,57.473179885400455,21.2,5.0,306011.6973540813,71.74879335940875,16.625,8.0,229941.86970422996,92.46194833839849,20.142857142857142,7.0,281741.1036974181,60.96874551647413,14.5,2.0,145736.28577594695,71.113428713894,14.0,2.0,190591.32369977306,31.82253787237037
3,0,218421.92805413343,6809870.1973156445,3344405.372361997,3422772.548460276,2.095163171495096E8,961513.8449412951,1211256.8873236487,0.0,NaN,NaN,NaN,NaN,NaN,92.89351416280864,46.635044551138606,15.933333333333334,218421.92805413343,743.0517098481417,86.47999528563956,90.0,8605934.141282542,2.8263907666154556E7,203135.04216759128,203135.04216759128,203135.0421675917,3953556.47756392,6.882520899488125E8,2.7050066352959675E8,12.0,4.0,82091.10185108615,263.29562461728943,10.0,3.0,152327.98272675954,150.3205648012505,10.875,16.0,179120.41900567018,96.98132757601732,9.75,4.0,169324.52637907336,100.24293763812841,12.6875,16.0,196485.3910434372,103.42199880936299,17.75,16.0,223380.04086302692,71.2668912317194,22.857142857142858,7.0,323721.03852914536,57.734741520705775,23.4,5.0,321751.945802726,73.99624664263195,20.875,8.0,266800.731661343,88.38471521672142,22.428571428571427,7.0,286113.9983693604,58.6892826719319,13.0,2.0,114520.13412915541,71.78378128902585,14.5,2.0,185251.17016235832,36.49108124015637
4,0,179268.00980285084,8595674.251877027,3212371.4315546,3276580.0354282684,2.002962325920953E8,1141278.2830649873,1778999.2354089965,0.0,NaN,NaN,NaN,NaN,NaN,91.87802038339731,61.407282282701146,20.08888888888889,179268.00980285084,1233.6040707458185,85.67265261548803,90.0,1.4862370150715198E7,3.099649103297176E7,112521.96786181291,112521.96786181291,112521.96786181246,4705901.474203881,6.774252078122911E8,2.695710503879496E8,16.25,4.0,6870.831770416888,258.09836868027304,13.0,3.0,79812.64408833142,146.2062188846471,13.1875,16.0,125385.10877994436,97.21259556898873,13.25,4.0,132349.44958979788,99.15242283282691,15.625,16.0,175382.54101655984,103.36007505530424,30.8125,16.0,160475.37903767565,67.87349367078683,25.285714285714285,7.0,321087.8568493714,58.62187374636882,25.8,5.0,318410.15269242116,75.25850741441853,22.5,8.0,254447.651049315,86.05526043277094,22.428571428571427,7.0,228295.16411952072,59.17276888787836,10.5,2.0,42202.04263646047,71.19737442353446,16.5,2.0,200098.07964602602,37.28475762854103
5,0,86127.54792377005,6703627.466312003,1487206.4165559143,1615564.3918017116,1.965596517398145E8,905900.6762915405,1133158.1134900702,0.0,0.0,0.05,0.05,0.0563702032821336,4.606583355402562,95.3946904887824,41.81840046556492,13.855555555555556,86127.54792377005,579.4171708951051,70.55455379620086,90.0,1.1133599675982613E7,1.8885078989121955E7,-4383.589095026138,-4383.589095026138,-10145.339095025924,3308339.5921091666,6.688183838442718E8,2.688980981199357E8,1.0,4.0,-3625.2453654200654,271.06556641419576,1.0,3.0,30756.607802592993,131.42261831175915,2.0,16.0,32992.49650735046,101.37811621303251,2.25,4.0,21884.001531551185,108.60530115506268,7.5,16.0,51782.986465240836,104.19690969613089,1.9375,16.0,7277.390526094612,77.53899647244576,42.857142857142854,7.0,241515.29033139566,57.05142987494851,42.2,5.0,244652.16399206844,73.83227305494611,25.625,8.0,175071.7927961821,87.78128011393467,22.0,7.0,143435.0941338243,64.9726836465744,7.5,2.0,-52663.81756375962,71.77984556742807,81.5,2.0,450084.13531460357,36.803184350317494
6,0,58620.05219006586,5706131.279284402,1334974.9234248456,1407845.7995184541,1.956701222074151E8,831994.6889909069,1161332.286997044,0.0,0.0,0.05,0.049999999999999996,0.049999999999999996,1.216791748249339,99.00537445437398,47.121567297318485,12.566666666666666,58620.05219006586,592.1610290363022,71.92435866201635,90.0,1.1524146171321189E7,1.6799950868427303E7,592.0306592308916,592.0306592308916,-5201.469340769114,2905394.396008456,6.624370760262128E8,2.683221630021991E8,1.0,4.0,-7601.677459850733,271.06556641419576,1.3333333333333333,3.0,-966.703910109975,131.42261831175915,2.75,16.0,5961.512028473422,103.77306027729806,2.0,4.0,-3481.946110552555,115.1090839737275,9.25,16.0,15842.702921180025,116.93046778771067,1.25,16.0,3690.182152339119,81.95756773258277,39.42857142857143,7.0,200316.41819320805,57.596516959488575,31.8,5.0,144459.9841866484,71.10809733622399,26.375,8.0,163193.6057547929,85.53782207186651,15.0,7.0,37718.49114936743,64.7507124189787,1.5,2.0,9596.63638702943,79.8853334380488,74.5,2.0,600921.2721711583,36.4476879319016
7,0,43736.705481382545,3568847.581156522,1376507.7947099337,1458524.2123297171,1.9623986339937127E8,636648.8590660081,920829.3351958202,0.0,0.0,0.05,0.05,0.05,1.9440272104029925,89.3101894081242,55.82279086704891,9.033333333333333,46071.2175685227,533.9285761754207,74.40596997858884,85.0,9729387.71828143,1.3665691211605098E7,-3120.9515708260005,-2337.5888557152357,-6246.08885571529,2096407.3213501521,6.598474230029793E8,2.6797149970315295E8,0.25,1.0,6823.29604087559,300.3012156152552,7.333333333333333,3.0,23112.237224810448,139.84675394226494,6.0625,16.0,14160.628626011465,101.36134727627501,3.75,4.0,2605.932411354006,104.32247581179942,6.5625,16.0,16391.372292204964,122.52457142918587,2.875,16.0,3608.1226867454825,82.59899065867381,16.285714285714285,7.0,80956.15203825325,59.6118363711827,3.4,5.0,-11497.437547695916,91.29896856181561,27.0,8.0,200009.78647870861,80.22686482361215,6.0,7.0,11945.954735861758,58.82746415299293,0.0,0.0,4049.75,NaN,69.0,2.0,540841.2693258473,34.82112557428512
8,0,56677.7743140445,3263361.4514531167,1286412.206912596,1338333.4618734494,1.9766678770357823E8,555893.8764924617,830468.762317657,0.0,0.0,0.05,0.05,0.05,1.7112405356243932,46.31481852855667,48.99994931427739,7.955555555555556,101277.22016865305,715.9992593678083,68.8194700919311,49.0,7460139.898304041,1.2561139586567653E7,3383.25,18445.038654595148,15705.038654594755,1908304.3602839876,6.592725735299184E8,2.677339147552067E8,0.0,0.0,3384.0,NaN,0.0,0.0,3386.0,NaN,0.3125,3.0,2889.10271498614,95.77706637874327,0.0,0.0,3381.75,NaN,5.8125,13.0,51999.69950900147,114.33864614231379,1.5625,4.0,6846.5243102147215,89.6322833951086,16.571428571428573,7.0,99466.57988489459,60.679592436974296,17.6,5.0,97053.36362273945,74.10329942578666,27.125,8.0,230524.82177308734,83.1609956287078,7.428571428571429,7.0,26819.78417795125,72.4176401103643,0.0,0.0,3381.25,NaN,60.0,2.0,427890.51148922555,34.292922506695476
9,0,59192.51907085007,2838776.9168118536,1266976.8703242189,1310299.8118274445,1.9940864339066875E8,470120.9093552345,749689.0604727628,0.0,0.0,0.05,0.05,0.05,1.671163830756741,32.77748067351115,48.37742562124502,7.088888888888889,139188.7220642299,834.1837174690357,64.88091252092896,37.0,6341244.981676437,1.166857169805256E7,3343.25,188330.54395318264,181657.14395325785,1709721.3626170552,6.606948240293194E8,2.6761575424922124E8,0.0,0.0,3344.8749999999927,NaN,0.0,0.0,3348.6666666666665,NaN,0.875,3.0,14546.090335850233,97.85441410633415,0.0,0.0,3344.25,NaN,4.875,8.0,37367.19786304477,113.89390124826527,0.1875,2.0,4543.763728475533,69.65779803458807,13.428571428571429,7.0,117502.97720491314,58.51877831256794,22.6,5.0,150458.43183868425,69.95879743315228,22.625,6.0,214363.3698955795,81.59792544103703,5.571428571428571,4.0,40429.11154982215,72.78588542726953,0.0,0.0,3350.25,NaN,58.0,2.0,403893.5729486863,32.893341266332484
10,0,60789.436269254795,2569223.325285756,1300738.7300361337,1342801.1648824164,2.0115541108674634E8,384363.0192956725,675403.7606548179,0.0,0.0,0.05,0.05,0.05,1.963231562765759,29.104017610135553,49.01889974425283,6.544444444444444,170573.4117494494,931.3590951408038,68.48613889474767,31.0,5772926.617600285,1.1243975881832507E7,3104.0,-1964.4701405563392,-4973.970140556319,1583295.6144015547,6.636811578176686E8,2.676210590401996E8,0.0,0.0,3107.875,NaN,0.0,0.0,3107.3333333333335,NaN,0.375,2.0,6012.451502317985,97.11226260181448,0.0,0.0,3109.25,NaN,5.0,7.0,46819.52289129433,110.1158843665376,0.75,2.0,7709.558063784949,92.15159783482677,14.571428571428571,5.0,104872.12280763872,71.98196785911833,19.2,5.0,201517.7348305566,76.88062656236161,19.875,6.0,200028.64033756044,84.4681750548136,6.428571428571429,2.0,44819.92836774473,74.39270307001527,0.0,0.0,3105.25,NaN,44.5,2.0,403160.79491681233,35.0576224484212
