year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,987410.0597297479,6.193184451341158E7,1.6754565475631915E7,1.7085259995687783E7,2.097233486373645E8,5874238.050818821,5261021.991203238,0.0,NaN,NaN,NaN,NaN,NaN,112.79459674497575,60.00574315239908,120.91111111111111,987410.0597297479,7255.361077604519,101.15719310063075,90.0,8.729742703231761E7,1.7616433240799496E8,669841.6102538939,669841.6102538939,669841.6102538933,2.8689152442213334E7,6.399886471248465E8,2.6585545956001002E8,60.25,4.0,2171.0808445910807,217.27561174556243,103.66666666666667,3.0,1015039.7220457536,143.68896815021753,96.4375,16.0,838639.9783418985,123.11471834394344,89.5,4.0,655709.3450783221,115.57509149816113,109.375,16.0,710451.1339408623,108.1607126565446,103.5,16.0,573977.2605595138,120.74083241502035,180.85714285714286,7.0,1812591.7372821367,96.50395107807428,173.2,5.0,1805679.6851387168,61.52202256788935,195.25,8.0,2242625.2624005293,86.75354044454488,130.85714285714286,7.0,962971.5950002068,105.10130942211643,99.5,2.0,530305.0834503954,107.0241036928706,107.0,2.0,881108.2612984949,64.93015384562706
2,0,223486.81782973526,8889978.655863253,2746316.044481694,2837351.7173455004,2.2376974677894837E8,757318.4138970227,597829.0781536433,0.0,NaN,NaN,NaN,NaN,NaN,113.63051358275175,31.024668601507514,16.755555555555556,223486.81782973526,519.8355583452592,101.15392455034635,90.0,6511073.50026523,2.6624887104941387E7,234510.08012462896,234510.08012462896,234510.0801246284,4183661.265482691,6.932702074120126E8,2.712905913196433E8,8.25,4.0,124206.04877465579,251.9170432980492,14.0,3.0,189306.552962566,180.24015817529468,12.6875,16.0,176920.25990163014,135.1966914318477,9.0,4.0,169657.65070138325,119.0551242716509,13.375,16.0,198974.58226804796,105.19961403853841,17.3125,16.0,228341.56739330638,126.9220937064741,19.857142857142858,7.0,257724.9711961874,67.9720886445509,25.2,5.0,310415.91267073253,60.493877593100095,22.625,8.0,294962.3119393124,73.10415546537976,25.571428571428573,7.0,288621.8022171385,90.67776054220629,19.5,2.0,215974.91761085414,104.07162451672787,19.5,2.0,267250.64344670717,59.52393289195683
3,0,213859.344834312,8132316.273319642,2720683.031191118,2790116.3437385173,2.1072411139623943E8,846642.5193404735,748555.2400430142,0.0,NaN,NaN,NaN,NaN,NaN,112.15488851771293,35.7791738294807,16.144444444444446,213859.344834312,577.6348841581718,95.48838127255053,90.0,6690097.359703352,2.5937438394791428E7,236136.82715599932,236136.82715599932,236136.8271559983,4002654.3030962227,6.84241673743749E8,2.7066134829015785E8,8.0,4.0,121159.91722364497,258.4962911224835,15.333333333333334,3.0,201123.13541865323,187.44771495689943,10.9375,16.0,161950.3768916449,131.1882246644824,9.25,4.0,162984.86237503082,119.46080970070818,13.375,16.0,186834.46554884018,105.83136942774134,16.4375,16.0,220676.39326969368,118.23309379183283,21.0,7.0,272400.7963602533,54.80225730843949,25.2,5.0,298793.9243032756,60.493877593100095,20.25,8.0,265662.4055987794,106.1680839530199,25.571428571428573,7.0,291500.9886753356,67.58634810281269,16.5,2.0,169386.11866390557,104.07162451672787,19.5,2.0,245329.57009550487,59.52393289195683
4,0,163085.07592649595,7435332.8630317105,2062315.1359182643,2105928.4090566626,2.0261826811209837E8,830001.0266622961,780808.2602914766,0.0,NaN,NaN,NaN,NaN,NaN,92.14446758826249,41.65423811293221,14.333333333333334,188175.0876074953,688.897014944648,90.92511024112369,78.0,7193142.3666566545,2.1870799200041283E7,133458.1706259125,278067.8225738923,278067.82257389073,3566558.2862062417,6.748736073487434E8,2.700712482931188E8,3.5,2.0,33544.52327562039,272.31497365286344,16.333333333333332,3.0,184328.12103186673,187.44771495689943,9.375,14.0,124154.9916809953,134.44209438067537,10.25,4.0,152124.5583017679,119.46080970070818,11.6875,15.0,143739.33234802014,107.8334607229241,11.5,9.0,119483.5154975416,108.79209573197619,20.285714285714285,7.0,244245.5022030878,55.03294686857013,23.6,5.0,252210.05531149646,60.493877593100095,20.125,8.0,243880.463036674,93.61590936943321,25.142857142857142,7.0,231459.66083546262,66.50675034070512,14.5,2.0,115068.48487064787,104.07162451672787,19.5,2.0,205891.80984627374,59.52393289195683
5,0,131545.9067325338,1.1716699098518291E7,1513942.2702212487,1601709.9065477017,1.988529299527604E8,1008206.4196139923,804660.355999026,0.0,0.0,0.05,0.049999999999999996,0.05,8.304017283532893,92.08111756964612,34.711043624804105,19.477777777777778,150271.238537539,780.1084547984821,70.77661099732761,78.0,1.2991261265185645E7,2.4830392871113244E7,108417.73685072595,277674.04505766905,267655.195057597,4842602.22586148,6.614844113141173E8,2.693107494852171E8,0.5,2.0,12674.245431799849,272.31497365286344,13.0,3.0,87623.43823618023,187.44771495689943,8.375,14.0,67443.68202978368,134.67905482770496,20.0,4.0,104078.65188546514,119.46080970070818,14.375,15.0,84404.72245996725,107.8334607229241,13.1875,9.0,106357.55135153138,108.7920957319762,44.0,7.0,290623.09183206875,55.24005407327569,46.6,5.0,257276.85730259196,60.493877593100095,30.375,8.0,239073.55133623537,92.30732207358008,31.0,7.0,195281.53479579926,66.50675034070512,14.5,2.0,66164.59676110983,104.07162451672787,13.5,2.0,122660.06568489328,59.52393289195683
6,0,81567.54867342829,7490646.239564828,1402436.9775654492,1451461.690013846,1.9791272286869794E8,774070.6026569969,639334.9626361132,0.0,0.0,0.05,0.05,0.05,3.257784003622234,92.08111756964612,41.77234421703803,13.6,92964.88308472495,655.5044784827506,71.96200790574969,78.0,1.1055966829163387E7,1.8397046209771443E7,70342.4218370032,175293.8014732357,198657.7514731859,3310445.285221256,6.537246334154192E8,2.688149814874649E8,0.5,2.0,1251.4545426597042,272.31497365286344,1.6666666666666667,3.0,15851.12849649399,187.44771495689943,5.0625,14.0,38587.95735025212,134.67905482770496,14.5,4.0,62084.81542838851,119.46080970070818,8.9375,15.0,53956.273150181725,107.8334607229241,12.0625,9.0,61057.80749604471,108.7920957319762,28.571428571428573,7.0,218183.52595457723,55.24005407327569,32.0,5.0,138730.22377220486,60.493877593100095,25.25,8.0,163427.82249534156,92.30732207358008,22.285714285714285,7.0,128744.02684376526,66.50675034070512,5.5,2.0,34265.39932478474,104.07162451672787,6.5,2.0,42225.47011474514,59.52393289195683
7,0,55912.93784732906,3462209.4926695535,1468418.2586984686,1532625.2227541765,1.9844265780151835E8,556539.9514205582,381405.65364865446,0.0,0.0,0.05,0.05,0.05,2.6258068718785874,90.57331196931328,51.73313440428398,7.966666666666667,65520.70929288968,488.0612811562055,83.11736695035454,76.0,7951907.946475709,1.298407235273512E7,3585.3037998459768,1050.3835985771439,-2706.1164014229275,1891558.3189452358,6.516728224709475E8,2.685705601545877E8,0.5,2.0,-2412.5283187239984,272.31497365286344,3.3333333333333335,3.0,13604.354460477518,187.44771495689943,6.625,14.0,74620.93855771511,134.67905482770496,4.0,4.0,15769.00094573808,119.46080970070818,6.3125,13.0,68806.85034545518,113.98456975491587,3.875,9.0,27037.620918885023,108.7920957319762,18.571428571428573,7.0,102416.69528522066,55.24005407327569,12.0,5.0,64401.63220857773,60.493877593100095,16.0,8.0,82593.86559715067,92.30732207358008,11.428571428571429,7.0,63268.99060638262,66.50675034070512,6.0,2.0,14417.127512909778,104.07162451672787,5.0,2.0,19542.876565052837,59.52393289195683
8,0,46925.22620801787,2235102.742625851,1498108.1410222203,1548067.8535463873,1.9968551380376258E8,444109.3007145332,394222.4708319981,0.0,0.0,0.05,0.05,0.05,2.018211083604785,58.381398827176056,61.74902721531713,6.111111111111111,75494.49743130196,617.4902721531713,87.92311120634459,55.0,7221561.9689614335,1.144483232768436E7,2342.032329849666,-1862.1847033835948,-3885.684703383752,1471244.4386759342,6.52517153220455E8,2.6847091978256303E8,0.0,0.0,2031.5,NaN,4.0,2.0,24054.796140764684,151.53210930779682,6.0625,7.0,85606.90817695632,127.36413481137286,4.5,2.0,8553.311268816062,125.74931545068799,5.1875,9.0,68862.24208559508,118.66485872808438,2.6875,8.0,12016.891690549572,99.31524354889045,14.428571428571429,7.0,71763.00135618834,55.24005407327569,10.0,5.0,50515.92007497772,60.493877593100095,6.375,8.0,35049.43770474347,92.30732207358008,9.285714285714286,4.0,42965.06597802322,78.31296703393821,6.5,1.0,22592.052501686383,85.80034731864433,8.5,2.0,31867.187809372146,59.52393289195683
9,0,35787.233323693734,2100431.788471638,1387191.9523374932,1441553.8779174394,2.0129036106771174E8,340011.76828502497,442207.61095406255,0.0,0.0,0.05,0.05000000000000001,0.05,1.4508644075800872,52.31747853022,70.31048465727419,5.711111111111111,61680.24508102815,708.6193943889987,82.53517916021188,51.0,7424948.519182783,1.0645799518314103E7,2868.273375259945,-1200.128809498623,-3126.6288094987085,1374480.4366634886,6.549802756715744E8,2.685081053184718E8,0.0,0.0,1925.5,NaN,0.3333333333333333,1.0,1805.3177807522006,88.46155111120311,4.6875,7.0,72661.2386401719,127.36413481137286,5.0,2.0,14705.028973426612,125.74931545068799,2.0625,8.0,25928.845070329116,108.19176128863397,3.25,8.0,10225.27362213163,99.31524354889045,17.142857142857142,6.0,74699.05076021458,53.72168633732443,11.8,5.0,48572.90261539035,60.493877593100095,10.125,8.0,45707.87294726868,92.30732207358008,7.857142857142857,4.0,29605.304111047582,78.31296703393821,8.5,1.0,33507.586673895596,85.80034731864434,0.5,1.0,1097.0292363115586,54.69760529493041
10,0,55995.192158283586,2701651.804329356,1455419.022289702,1502240.7406999778,2.0288291387258667E8,342880.25566682656,356615.3760363498,0.0,0.0,0.05,0.05,0.05,2.5012315349817924,40.424514350745945,56.45441588012673,6.444444444444445,120098.43400598835,798.6234441578904,81.77324508672595,41.0,6547011.054322639,1.1586578348568786E7,148911.9254122777,109061.13687808323,112388.23687801659,1561100.433563868,6.580501825822939E8,2.685736105503436E8,0.0,0.0,2358.625,NaN,0.6666666666666666,1.0,5224.581981693239,88.46155111120311,2.0,7.0,44889.11189981115,128.8901121376227,5.0,1.0,19935.041012651986,47.94487485644321,9.125,7.0,90579.05209718508,111.97505019048087,9.0,5.0,57437.63587301162,80.24773488200066,7.857142857142857,6.0,72820.44677888196,53.72168633732443,5.8,2.0,44055.065430754985,66.04843901123319,13.75,7.0,112746.6826615149,92.30787428432994,3.5714285714285716,3.0,17273.26938236578,57.80832874748771,7.5,1.0,40648.35949868546,85.80034731864434,1.0,1.0,7012.282878855243,54.69760529493041
11,0,36644.94319232932,2369439.8637185325,1264956.04562512,1301193.4098244046,2.0463433759410846E8,178235.50635250873,216757.95971558205,0.0,0.0,0.05,0.05,0.05,1.286327362974234,31.981347737447766,67.78723930878951,5.288888888888889,88549.48749423063,977.7795730601154,75.163343995466,33.0,6451669.026849149,9749713.914159909,117852.65249538422,209016.96053192765,140021.7605326635,1292886.2741120432,6.623561646730113E8,2.68842147014925E8,0.0,0.0,2187.625,NaN,0.3333333333333333,1.0,2745.9494918043106,88.46155111120311,1.875,6.0,29026.934245672062,138.54373021658782,4.5,1.0,19532.48036065849,47.94487485644321,5.0,5.0,75090.02488568281,118.50089774578673,9.4375,5.0,47792.97203339693,80.24773488200066,7.857142857142857,5.0,22957.93927869407,48.12427580964818,12.2,2.0,25649.06778238639,66.04843901123319,5.125,3.0,39758.948984662275,76.75604334581465,3.2857142857142856,3.0,15982.439282267555,57.80832874748771,7.5,1.0,24187.74564200733,85.80034731864434,0.5,1.0,2546.323377793422,54.69760529493041
1,1,999839.9468116257,5.886925572940671E7,1.7736316889045633E7,1.805236759802687E7,2.0876194975534353E8,5446640.135817114,6030941.610053462,0.0,NaN,NaN,NaN,NaN,NaN,114.33016397434953,61.784519581980845,118.03333333333333,999839.9468116257,7292.632794659806,106.80529141199241,90.0,8.77458423717575E7,1.7773143758480385E8,995652.5243079246,995652.5243079246,995652.5243079253,2.8132141146840252E7,6.431512535342518E8,2.6631607978017312E8,94.75,4.0,468302.48138181656,209.016454589437,76.33333333333333,3.0,440101.24257625145,114.62267638217423,98.5,16.0,687046.285428974,116.36995354542825,98.25,4.0,238178.36587920928,74.9471537638428,106.5625,16.0,1126435.331281528,120.86374617934449,112.875,16.0,885860.8961501912,109.5457357216051,207.28571428571428,7.0,2361364.0295968573,80.67674602537993,104.2,5.0,650404.0933811659,105.35022007526486,133.875,8.0,1292036.0821594682,120.47337818414529,149.42857142857142,7.0,1367218.7356490213,109.15348947535024,155.5,2.0,1422554.7687455274,130.86195851618194,67.5,2.0,58194.936054289086,90.22381830140469
2,1,217149.0613903727,8031262.248656264,2849024.76317555,2936093.2777080033,2.2367082546332726E8,653996.774170181,716025.6762890364,0.0,NaN,NaN,NaN,NaN,NaN,109.38083796778928,32.99619734287943,15.833333333333334,217149.0613903727,522.4397912622576,101.7028131537743,90.0,6543692.332912753,2.6087107858046267E7,212320.8573583418,212320.8573583418,212320.85735834145,3944454.626875428,6.941472857545004E8,2.714021258040788E8,10.75,4.0,130233.40117321341,234.28650405042768,12.333333333333334,3.0,184679.83054155138,114.96826757118538,12.5,16.0,203319.60236343584,116.20088072007411,10.25,4.0,155926.517761252,69.4344516003807,12.375,16.0,188385.94823452286,108.14302369648684,19.1875,16.0,245439.75970396234,100.64313011889143,21.285714285714285,7.0,285002.111621891,75.49181832684162,17.6,5.0,241855.7173747203,100.37953586908147,18.5,8.0,242397.0348899371,112.50517737265676,21.571428571428573,7.0,248669.41564548798,107.71846412471771,17.5,2.0,182910.90216530126,130.04716065806133,14.0,2.0,200217.0158724686,70.09442120665389
3,1,216122.2464104685,8416972.479255581,2852184.929350818,2922096.5291587464,2.104952301511444E8,750003.312271073,921803.0429412306,0.0,NaN,NaN,NaN,NaN,NaN,108.40091315122365,39.347904661069215,16.68888888888889,216122.2464104685,656.6728088991773,101.63533215664579,90.0,7605505.303641532,2.70565074805837E7,216517.86925310886,216517.86925310886,216517.8692531088,4161292.8362644264,6.847824168867724E8,2.708757720151053E8,11.5,4.0,136077.09518168666,250.41439902999096,13.666666666666666,3.0,168999.237344397,114.96826757118538,12.75,16.0,198810.99386968932,116.25951731765699,12.25,4.0,161674.78428387604,69.34268880264584,13.125,16.0,186225.47174061235,106.7978030116464,19.875,16.0,241165.9817424663,100.01358822379424,21.714285714285715,7.0,281448.88547502185,75.13049948124159,21.6,5.0,276804.97927676456,84.96584207980293,19.875,8.0,257111.28615004185,105.9957814038492,21.571428571428573,7.0,230488.34980053216,109.39596026787089,18.5,2.0,186391.0902533373,130.04716065806133,13.5,2.0,168249.88819136313,69.21974576337192
