year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1254697.4603796038,5.7336528506518394E7,2.237684838702536E7,2.283540004888795E7,2.0401283631174478E8,5513947.0332545275,6828710.7756643975,0.0,NaN,NaN,NaN,NaN,NaN,149.7491116529455,58.978299501233415,122.67777777777778,1254697.4603796038,7235.326719923535,135.67394032415535,90.0,8.705616653644955E7,1.999789379706139E8,1050470.5299975306,1050470.5299975306,1050470.5299975304,2.94404367675924E7,6.441268208972843E8,2.6622847497183925E8,72.25,4.0,595695.5205941552,266.65525123029823,72.0,3.0,-66516.68642838433,192.0691092214695,98.5,16.0,1057400.989334529,147.56321942084313,94.75,4.0,902671.54225323,139.1912603581604,93.0625,16.0,744678.9727909787,195.75246496545043,112.375,16.0,1066932.1012629832,149.41137958960996,175.71428571428572,7.0,2008533.377687774,100.73028696794371,149.8,5.0,1971742.8282677706,127.52935593365571,159.5,8.0,1780095.3149793088,110.68036261199954,172.42857142857142,7.0,2051553.3330073028,87.71792204166006,225.0,2.0,2480838.62401532,107.76075805798838,191.0,2.0,1871449.6718873028,168.2224956924589
2,0,222200.71410591577,7456196.724924393,3182252.753145934,3274976.9842885756,2.2333485321592742E8,699680.4570171902,828304.0094956218,0.0,NaN,NaN,NaN,NaN,NaN,123.3838492572074,36.84629564170478,15.722222222222221,222200.71410591577,579.3056481445807,109.62062728723362,90.0,7255951.150762329,2.725401542029475E7,255541.40178763637,255541.40178763637,255541.40178763692,3914242.752600314,6.946802855473694E8,2.713553355517451E8,10.25,4.0,116643.92635440448,292.05600421438805,11.0,3.0,181209.24644886932,147.01576404626925,10.6875,16.0,182807.66945224494,124.63609863753268,10.25,4.0,175140.56665874575,147.80633352249438,13.125,16.0,195918.55429950627,157.34436444007827,15.6875,16.0,229383.37590480442,109.69282376142313,21.857142857142858,7.0,294497.581068201,64.20773071779573,22.4,5.0,286333.3970677628,81.63870569244853,19.0,8.0,259664.98394241265,112.88200898345048,25.714285714285715,7.0,319329.3338026093,67.04742430854954,21.0,2.0,232341.84853313514,97.75578111547493,14.5,2.0,143543.00279413164,105.86497644628487
3,0,229583.52056452417,7932570.001731175,3133177.666571662,3217514.6670356984,2.098757919661802E8,856941.1085656948,987942.0179934386,0.0,NaN,NaN,NaN,NaN,NaN,110.70705635061633,38.65047413933502,16.633333333333333,229583.52056452417,642.886219850939,100.98819587134926,90.0,7445830.142336872,2.8108346993144047E7,250875.12838396308,250875.12838396308,250875.12838396343,4150504.8256341037,6.857165009315838E8,2.7071474773084927E8,12.5,4.0,139940.4157795325,257.46939214904535,12.333333333333334,3.0,190084.53107418885,147.14152012107127,12.1875,16.0,195676.79464248885,124.02455287145051,16.0,4.0,238804.6363038167,84.38113357827442,13.5625,16.0,202327.63064910736,136.94543106784928,15.375,16.0,221198.1264415339,103.65871472528558,23.571428571428573,7.0,308311.2675852546,64.82096960897331,21.2,5.0,275687.174670909,85.67603500292944,21.25,8.0,273043.23201483843,72.33972340166953,25.285714285714285,7.0,317629.1042984688,64.58958991852977,20.0,2.0,215536.3718886017,99.66438118001787,15.0,2.0,147302.5725423044,104.22429418452474
4,0,183918.41871538668,7338424.979265778,2558176.7129484843,2614273.547020306,2.0128515472859547E8,778733.0581591204,1134025.1488054805,0.0,NaN,NaN,NaN,NaN,NaN,91.79986352231762,44.270287267157215,15.2,214969.58031668575,786.5162724866373,95.17055896135403,77.0,8107149.334451598,2.4659807018836405E7,225956.31904151646,185764.06868377118,185764.06868377072,3790496.6924027675,6.763201745974966E8,2.7017753235199153E8,12.25,4.0,88438.54468697877,293.68481896795936,3.3333333333333335,1.0,44806.61094375172,164.200142717348,9.25,12.0,128809.5098035524,132.33677360021173,8.5,3.0,121683.23713464884,102.5066369108019,9.875,12.0,134290.99570426822,133.28027652904305,15.8125,14.0,192165.74751308965,82.73408008996614,24.428571428571427,7.0,300861.6358525744,64.91879855341485,26.6,5.0,302745.39769146533,78.60247312586014,22.625,8.0,275016.2175566469,68.71532381550671,24.0,7.0,266950.1406038633,66.39792380515256,18.5,2.0,185877.60415736726,98.69677427935223,13.0,2.0,116598.15175608604,105.25055182719018
5,0,124559.22095744724,9209540.684525486,1549241.5625846162,1653131.419219016,1.9749071347514504E8,770156.8658680231,921362.4471540091,0.0,0.0,0.05,0.05,0.05,8.80213338924436,95.11833372963515,33.42251438380858,16.355555555555554,144230.08943078248,638.9343009476135,74.239103886343,77.0,1.0503852487711074E7,2.1714182373880975E7,85044.23241360998,105368.79264285136,41518.792642744025,4013666.582117494,6.652529850680076E8,2.696684476834516E8,1.25,4.0,35618.60740182147,298.43712839604046,0.6666666666666666,1.0,28696.84265228097,197.2461659956918,2.8125,12.0,45970.16813852635,135.8325609753613,2.5,3.0,52017.74187019607,114.99634605292671,3.75,12.0,44892.96027846214,137.4958750743013,6.625,14.0,62852.63959657372,87.34245184148736,39.57142857142857,7.0,288574.50922936684,64.70293143159373,29.0,5.0,222139.76922032176,88.69477177900193,48.625,8.0,314993.7272828845,68.99399670019915,31.428571428571427,7.0,226106.1577929291,66.22718385454186,67.0,2.0,362039.2558255235,99.5856197265428,39.5,2.0,178374.91386826988,105.41144029955935
6,0,96685.40788206388,8089814.778030534,1446938.9639394486,1528123.411820252,1.9648483976938328E8,836431.2989451477,1042061.2975788718,0.0,0.0,0.05,0.05,0.05,5.01098460263583,94.93550525206749,39.135316273050385,14.988888888888889,111548.95726474999,685.6304110694151,73.11597640710626,77.0,1.1415761151483031E7,2.011744786086796E7,67150.18802371796,40291.07527260622,62313.675272617285,3674037.381545197,6.56669018337444E8,2.6911533344279855E8,1.0,4.0,-4308.719222762156,298.43712839604046,0.3333333333333333,1.0,6759.155486552821,197.2461659956918,3.3125,12.0,21221.45885246042,140.43146852483815,3.25,3.0,-1067.1493329406367,119.53268726837071,2.8125,12.0,23835.552147662427,134.7800270304846,5.1875,14.0,42968.517696355615,83.17728512163968,40.714285714285715,7.0,261358.8300676204,63.98470620753029,24.2,5.0,147976.2760214346,90.10213964921249,26.875,8.0,237284.15153287377,68.78551608289375,44.0,7.0,192089.48022977036,66.69138469226232,75.5,2.0,469419.53383881063,98.088280615511,35.0,2.0,271686.21293786354,107.9393842477476
7,0,82432.34349769478,5812855.86389388,1413655.2612833264,1485272.2462986044,1.9705908238094765E8,744315.6166006742,1066275.255073027,0.0,0.0,0.05,0.05,0.049999999999999996,3.5991125117875424,95.42122518528078,41.18846996738398,12.088888888888889,95170.19369860429,581.9877314871918,71.98575269966875,77.0,9607004.004363524,1.7025914919157226E7,13567.325236391625,76462.70429017022,59966.104290184245,2908148.4487243956,6.52173516728441E8,2.6867928863926685E8,1.0,4.0,-5829.814157861605,298.43712839604046,0.3333333333333333,1.0,5141.703501619399,197.2461659956918,2.8125,12.0,22378.518179153296,141.19040476773287,2.25,3.0,15983.692581259122,124.82284208224041,3.0625,12.0,22788.004720292927,137.6646360528634,4.125,14.0,28894.02295379588,84.40197274574712,37.57142857142857,7.0,258781.43266068812,59.8057484534587,20.6,5.0,147397.01623565232,92.12359185863725,24.5,8.0,150561.21278453374,69.69963243291987,25.285714285714285,7.0,165098.14772045804,62.720462181943965,57.0,2.0,433477.53737016744,102.88439451457167,30.5,2.0,201157.31803965918,106.44583516378609
8,0,77025.1071922843,4643598.30569906,1397401.2811932764,1467632.9943629107,1.9838580520360133E8,586078.6424293101,952449.0628034855,0.0,0.0,0.05,0.05,0.05,3.0667363007849535,53.57528403627915,42.16528408567367,10.077777777777778,118030.14293518547,670.9458362404565,68.0326878438401,57.0,8132061.438054718,1.5064321085360402E7,28897.605861121323,317299.56692627165,432220.16692659084,2441009.7470567334,6.506797618814116E8,2.684324838810295E8,0.0,0.0,5386.875,NaN,0.0,0.0,5385.5,NaN,2.4375,7.0,24012.408601583753,111.72544324464586,2.5,1.0,32771.326526001794,110.5070389572787,3.125,8.0,23914.368300723465,113.78583054490984,4.6875,12.0,28868.13581182895,85.62186381380748,33.714285714285715,7.0,290065.3563869993,59.99862744716988,12.2,4.0,111149.12955295769,76.12121852261546,16.5,8.0,135578.1347158025,73.77524116504398,21.428571428571427,7.0,110366.08361045823,62.83541827207011,45.5,2.0,333371.3162720271,101.97722781102736,31.5,1.0,212309.1498789678,32.96183240280658
9,0,80260.47055948776,3795846.3800548203,1425012.5483925561,1497502.7006670465,1.999429860697849E8,476512.89694706496,791598.9746380895,0.0,0.0,0.05,0.05,0.05,3.456461714056765,44.23852327059562,40.792199948923646,8.61111111111111,138519.44216380196,619.881469812075,68.64804229554883,51.0,6495125.603410414,1.3718567953764517E7,345.0411052601412,299919.47227811255,386396.6722778216,2092364.6578983355,6.516925808447498E8,2.683264983017705E8,0.0,0.0,4074.625,NaN,0.0,0.0,4073.6666666666665,NaN,3.375,6.0,40574.97170479137,115.90871654126681,1.5,1.0,30841.094350942178,89.74209414932308,2.1875,6.0,24051.443455316272,95.2992594763413,4.9375,10.0,45014.500845619084,73.79866772235394,21.571428571428573,7.0,206868.52081998877,61.45190710365481,8.0,4.0,85429.30968562615,76.1087384993224,21.375,7.0,176679.8522079941,69.70765394728814,12.857142857142858,7.0,124370.43661237953,61.206100272801415,44.5,2.0,365203.59249768127,100.59972449406197,30.0,1.0,213819.2818722392,34.296434623470695
10,0,84280.38448992337,3624079.2290387526,1437340.4424502375,1511136.2528474503,2.0153198995009136E8,420501.3699209372,726671.3822353157,0.0,0.0,0.05,0.05,0.05,3.7121387116290507,39.86743327470436,39.335711755909436,8.177777777777777,164623.98009095783,643.3574189410966,70.38196043404966,45.0,5788680.158003343,1.3373914762097267E7,2259.6104999918025,211.6603852082044,-3727.339614791649,2003526.0310129642,6.542393662344856E8,2.683111200549896E8,0.0,0.0,3936.125,NaN,0.0,0.0,3941.0,NaN,3.9375,5.0,52707.000576699545,120.57349818678281,1.0,1.0,16637.31312454684,112.54629822690167,0.625,6.0,8481.443227277035,96.49267264316774,6.625,7.0,61025.066968083236,77.23398504221745,16.0,6.0,191915.91704377666,57.86456096270652,9.6,3.0,88114.07776892101,89.33361536745115,18.875,7.0,224473.9155851826,68.88626950657309,14.857142857142858,7.0,117835.2924323994,59.81819638747968,44.5,2.0,379860.047545847,100.40672348114077,24.5,1.0,185680.7021454831,36.12835430880516
11,0,84422.11962385775,3718785.6989006926,1421032.9919619467,1499720.3397399883,2.030924093637863E8,404480.56606756337,633780.1748025571,0.0,0.0,0.05,0.05,0.05,3.6903972328949695,31.87959730665776,38.793065118779396,8.077777777777778,199551.6963823567,762.2313065230437,67.66126245362159,37.0,5639046.900380103,1.3237037666527368E7,2328.6108536294196,189746.68705143128,207736.78705163614,1994325.469213059,6.576947926555659E8,2.683433868969919E8,0.0,0.0,4009.375,NaN,0.0,0.0,4006.3333333333335,NaN,2.5,5.0,47489.1008943232,117.20390934881479,0.75,1.0,12285.844420565758,93.4712655852258,0.375,5.0,3982.4099465041218,94.25426138350159,4.625,7.0,63920.878187954106,76.89806764663565,8.285714285714286,5.0,112542.18365295058,59.82795731427349,15.4,2.0,125797.54124240894,69.75447802675993,19.875,4.0,227775.89847295306,66.90077792585038,21.857142857142858,6.0,164084.62968370205,60.33145694267267,44.5,1.0,401420.1765400572,78.12132411624525,34.0,1.0,242044.86178603955,33.75324472537142
1,1,1196447.1772422031,5.291637105067851E7,2.240334473262529E7,2.2855215808371052E7,2.0400320304009327E8,5898134.067256274,6872829.405916865,0.0,NaN,NaN,NaN,NaN,NaN,139.65826651669278,61.370708406253485,118.66666666666667,1196447.1772422031,7282.657397542081,130.63717500057987,90.0,8.762561376758865E7,1.9530585971938694E8,1492952.7666796688,1492952.7666796688,1492952.7666796707,2.815218863565692E7,6.487083325944678E8,2.6582852369672945E8,78.75,4.0,893786.4356914049,232.09072189415514,116.0,3.0,1732941.442561976,115.71576537274616,93.375,16.0,918377.9432378748,164.22736644952647,80.25,4.0,-11868.044991809802,89.49516413399296,99.125,16.0,888488.0953357157,118.80131573079814,117.75,16.0,1258337.9159817048,174.8181598045411,171.0,7.0,1980701.3808922863,104.50996053119738,183.0,5.0,2093115.7427298431,145.98128977234015,130.625,8.0,1393318.9579412998,96.17019089545977,150.57142857142858,7.0,1434544.5730177823,151.8068315232969,69.0,2.0,-345086.44245687965,82.69740422335045,191.5,2.0,2540902.809396465,75.66167283006378
2,1,221239.21214362181,7256829.480156777,3213264.7828442976,3299784.7537733554,2.2331129449438742E8,775118.522526614,878168.8627102424,0.0,NaN,NaN,NaN,NaN,NaN,123.3972237549997,38.070686672401635,15.622222222222222,221239.21214362181,594.7487273488522,116.93348963589688,90.0,7449379.600314439,2.7360908693240408E7,201811.72910817177,201811.72910817177,201811.72910817224,3900468.7443890953,6.94910630703936E8,2.712776175896853E8,10.75,4.0,125536.6043724526,236.9224528340757,11.666666666666666,3.0,192041.1722663256,97.17658784890783,10.4375,16.0,171423.99589463242,139.00375144677093,11.75,4.0,199967.8640535109,94.175119515873,13.375,16.0,203811.38412712747,120.00237676219335,15.875,16.0,220848.86030061144,153.9994488528328,22.142857142857142,7.0,305071.42232971115,65.43656542338768,20.0,5.0,289524.01668632514,85.39262157114587,18.375,8.0,262661.15024051536,74.56400420925377,24.285714285714285,7.0,285159.9958958395,134.8863014195944,23.5,2.0,232085.5766045053,195.55632912324097,13.5,2.0,175669.74556078762,32.44649216879298
3,1,227867.3101261422,7982972.104183477,3105777.3870287766,3189953.7270800136,2.098807651819342E8,911786.2805961154,1022668.6091434564,0.0,NaN,NaN,NaN,NaN,NaN,109.036162282395,39.435693283499646,16.788888888888888,227867.3101261422,662.0814727929774,100.32976139517356,90.0,7668145.95610148,2.817620386745428E7,238604.19297319534,238604.19297319534,238604.19297319523,4184024.153765932,6.858719721839286E8,2.705770199772873E8,10.25,4.0,124619.13796703596,239.02128052569483,12.666666666666666,3.0,204990.2880857701,99.30486304006405,13.25,16.0,190212.5926733278,134.9446215268401,22.5,4.0,252268.70282689366,51.86464906857017,13.1875,16.0,200491.87897196252,110.72385429189855,16.125,16.0,230898.70697729077,126.0396521028676,22.714285714285715,7.0,308279.9631678789,66.7450458470066,22.4,5.0,291526.0481748999,77.88242378155022,19.0,8.0,264662.2356193704,72.46214511056068,25.428571428571427,7.0,298858.4421608355,105.6831690414044,14.0,2.0,121386.09808813474,77.95537072553233,16.0,2.0,186107.8333258694,36.22436285520955
4,1,179372.90236502458,6787948.523683799,2679072.7110628397,2735564.3678731853,2.0117414941442415E8,824999.4254241989,1261916.947986196,0.0,NaN,NaN,NaN,NaN,NaN,97.08731830243616,48.44819184826037,14.911111111111111,215247.48283802948,866.8996461382056,110.79624334670345,75.0,8703618.788316945,2.484718000116917E7,206190.50497043447,153929.2922406057,153929.2922406065,3706520.694364016,6.770527339457221E8,2.699885463090407E8,12.75,4.0,110452.24638624414,237.41069718531992,16.333333333333332,3.0,214928.5973237804,98.45278883992434,9.25,12.0,114629.00676710643,130.42917904008016,3.25,1.0,52827.473477176914,92.70229240598893,9.6875,11.0,122422.62397702604,111.50546570116181,18.25,16.0,218301.50101874687,140.37129854627497,26.571428571428573,7.0,324129.49347245536,57.06658135371725,22.2,5.0,284532.9909649297,84.2594875229752,20.125,8.0,252306.23945121263,75.43751130258272,20.714285714285715,6.0,210929.8305393013,146.74137986505897,0.0,0.0,0.0,NaN,15.5,2.0,186738.14735223516,28.8961374580796
5,1,115129.43818046695,8074133.975531281,1530528.4662428547,1638592.78256974,1.973988007021485E8,765117.3342509195,1005834.5360202844,0.0,0.0,0.05,0.05,0.05174709809863017,7.246302071483784,94.57342441365806,34.73262767295124,14.966666666666667,136746.12581656035,623.7979930062043,74.47548451138113,75.0,9988654.478085702,2.0350303914327923E7,86324.30717508204,49039.16678503598,-19030.033214953877,3670698.288263956,6.670931021406246E8,2.694795755964368E8,1.25,4.0,48602.16460583493,260.84041381372606,12.0,3.0,71655.01766643487,98.38922861923531,1.6875,12.0,43602.507678965965,125.46285934466835,2.25,1.0,20060.753884808044,86.69301875518623,2.875,11.0,42862.6224882589,110.80361154442242,11.125,16.0,95701.4800756091,121.38255335837329,38.57142857142857,7.0,263035.0302842276,67.4579480062517,36.8,5.0,255810.97312187994,80.88274500553935,30.25,8.0,208257.76994290497,74.61030392550163,29.857142857142858,6.0,188609.92623213664,146.3943006070031,0.0,0.0,7043.5,NaN,70.5,2.0,418324.11231380794,34.00167419264962
