year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,2734373.158183316,1.1514835605390276E8,3.1577368268142346E7,3.239386142754796E7,1.9463010415705118E8,8427525.046726054,6765242.305638995,0.0,NaN,NaN,NaN,NaN,NaN,82.01021449095532,30.70670619116623,203.36666666666667,2734373.158183316,6244.720482410173,73.65566401954537,90.0,7.513690029749134E7,3.2123048453399E8,2583881.165558023,2583881.165558023,2583881.1655580252,5.197953206124267E7,5.852364353255515E8,2.6308549381739685E8,92.5,4.0,1479437.2184069548,236.69901018206812,223.66666666666666,3.0,2640506.0943669113,67.53374723888993,136.75,16.0,2255199.837738402,101.97330975358804,197.25,4.0,2461559.4277593778,51.54102475938339,151.8125,16.0,2348755.415149246,86.98749059830818,206.875,16.0,2585928.4176732786,75.72801239236472,278.42857142857144,7.0,3469085.811030545,47.733763189144476,250.6,5.0,3467094.34289728,58.038698005084896,300.875,8.0,3775385.5459875194,54.32448696434086,243.0,7.0,2944271.9704551334,70.73759650925716,306.0,2.0,3250904.0697009447,81.45665712550618,312.0,2.0,4218035.973784665,36.66735045767628
2,0,255873.83496179263,1.06066408265287E7,2610621.639270911,2719612.598287252,2.2389941840703E8,547742.4739500596,237850.65060951063,0.0,NaN,NaN,NaN,NaN,NaN,76.59515377404912,18.506490891619865,17.91111111111111,255873.83496179263,331.47181463656915,60.10265233816624,90.0,4151769.646780649,2.718041479334194E7,278616.8989398498,278616.8989398498,278616.89893984667,4515851.100690053,6.913107802913666E8,2.715106002156115E8,6.0,4.0,128470.22525334253,254.77931711446007,27.0,3.0,357824.318152708,58.17892902996358,9.0,16.0,194252.35090764926,105.40000790005065,13.5,4.0,241817.32505907165,63.88763096812387,10.375,16.0,216928.38442816108,99.15763364800296,23.6875,16.0,272757.0057702936,49.92274695400441,23.857142857142858,7.0,281325.6387079949,38.234631710552,26.0,5.0,349469.74152930954,58.17008573901818,24.125,8.0,294218.7081083225,40.97489294371575,25.571428571428573,7.0,316776.4393797222,42.735875087301544,23.5,2.0,250492.13972334703,69.65653543949655,24.0,2.0,371110.4672910259,23.95842675124109
3,0,259942.56343215273,1.1294982681079166E7,2526956.639283903,2613948.989710109,2.1104158043849945E8,710717.1838813812,303701.28342444333,0.0,NaN,NaN,NaN,NaN,NaN,75.2008392221711,20.851256367404975,19.011111111111113,259942.56343215273,396.40555160699904,65.40154028790647,90.0,4591120.594432267,2.798595130332603E7,276411.95650864905,276411.95650864905,276411.9565086491,4780791.729339539,6.788661353904207E8,2.71027622442531E8,7.5,4.0,143738.75635216484,250.01199309323908,29.0,3.0,361142.73088669515,60.569701802378724,13.1875,16.0,232721.60769066247,84.5758544740388,15.0,4.0,259661.22293987265,62.23539909519996,10.4375,16.0,211522.42387312063,88.91335239439982,24.125,16.0,275940.5489208355,62.87920242925314,24.0,7.0,276121.5489214292,44.12880407011179,25.8,5.0,313968.91275383206,54.91949380623839,24.125,8.0,285996.53239777434,44.87764654328389,26.0,7.0,304711.9339748498,58.96888178132782,23.0,2.0,241240.3299478374,78.1607911308416,26.0,2.0,384358.7240953152,21.929141236107423
4,0,279773.6420572529,1.4617992516522028E7,2291501.7087704726,2371283.904665585,2.0268760933130285E8,981033.5098399412,509204.3547794481,0.0,NaN,NaN,NaN,NaN,NaN,73.9900086562099,23.030839049491977,23.522222222222222,279773.6420572529,541.7365140863835,68.33583830451241,90.0,6526801.071740928,3.1706428856893856E7,259567.46870360547,259567.46870360547,259567.46870360474,5923365.744628618,6.622022848144627E8,2.7027332286760134E8,9.75,4.0,142018.79109311698,242.1767966032556,29.333333333333332,3.0,351472.70230311976,63.360309858306664,17.6875,16.0,254211.3854945216,92.10421678910883,20.5,4.0,209441.94775275805,43.181167235758785,28.4375,16.0,343338.19757052173,75.67222633867347,24.3125,16.0,270081.1470417244,60.270462586011774,24.0,7.0,267719.7106263684,52.60584201951447,25.4,5.0,297912.261955658,51.587499469911634,25.0,8.0,282129.6872748663,51.85688839578586,26.0,7.0,287313.043415587,59.3748529711807,24.0,2.0,237076.42811040347,85.19156745301387,28.0,2.0,365647.0493299514,25.898449175234237
5,0,276376.1103265356,2.0904468927714843E7,1527936.8191503212,1635076.6331726578,1.9891631557313654E8,1326151.2899703067,658197.7825320581,0.0,0.0,0.5989884050166402,0.41597305103036847,0.05,6.289540504143617,80.46626231595664,19.356517538522844,31.511111111111113,276376.1103265356,609.9453748805644,62.8169054527206,90.0,1.1720204941682352E7,3.6594054871085584E7,314698.4471046699,314698.4471046699,265869.04710589006,7885476.106658033,6.396669230531651E8,2.691533740208088E8,1.0,4.0,77760.23093222326,232.7746665002772,29.666666666666668,3.0,280047.7172734978,59.276803944085735,3.4375,16.0,106679.46617429849,113.45275676882662,31.75,4.0,243789.02839636034,44.605590594687484,20.0625,16.0,237135.24924802216,68.54974752949735,31.3125,16.0,312098.6202772439,67.65089834097974,51.857142857142854,7.0,432949.1644930732,45.971545581011114,40.0,5.0,348147.5219448538,51.805533410501724,73.875,8.0,429772.02307453274,56.7781429265844,28.428571428571427,7.0,302203.19287699356,95.62922033059397,94.0,2.0,374945.03844947857,85.26672446593085,99.0,2.0,589012.9981251932,42.5830526084209
6,0,243698.00940241225,1.912452247337669E7,1467452.274797047,1549103.6594720166,1.9791802282467505E8,856554.6590566373,650477.7349569966,0.0,0.0,0.3505778833582499,0.0957916673682271,0.049999999999999996,7.9669182962425795,80.28154481846829,20.322517913303326,28.81111111111111,243698.00940241225,585.514321657728,60.78426048215547,90.0,1.139471264294113E7,3.3327533489152122E7,255592.46518155863,255592.46518155863,214405.71518093857,7140344.767208112,6.21112634975766E8,2.685430449211842E8,1.0,4.0,6802.407703478762,232.7746665002772,18.666666666666668,3.0,196366.34896795978,64.53925167877503,2.625,16.0,40471.10689438169,113.64353065346462,14.0,4.0,185221.61870464182,55.36897741986513,8.5,16.0,98124.11728998469,76.96610632647793,26.875,16.0,247459.7058178299,65.35409591515932,59.714285714285715,7.0,373995.90046596836,43.04602015805274,26.0,5.0,307213.99282182456,45.23451092253955,90.25,8.0,581643.8014504039,56.34435052144951,31.142857142857142,7.0,267593.6141065539,75.81777725642112,88.0,2.0,765530.2114533107,78.20377832110273,102.5,2.0,1093669.706509485,59.172739647902674
7,0,205858.99641079418,1.719158597805517E7,1341847.6929625852,1419377.3620435847,1.9860386170574942E8,970960.301934944,643722.5710936124,544.7016666666666,0.05,0.0926005621042267,0.05002314519727198,0.05000000000000001,7.877937188077208,79.13780243529008,23.65213057141911,26.288888888888888,205858.99641079418,621.7882325775291,60.60082872338381,90.0,1.1996882634874193E7,3.0524192311828434E7,204854.0733632457,204854.0733632457,185796.1233631676,6529291.1968499925,6.070431123714023E8,2.6785436405953518E8,1.0,4.0,7834.334392273508,232.7746665002772,45.0,3.0,116379.99706622648,65.9916043094535,2.4375,16.0,17097.09936136543,109.09343450038024,32.5,4.0,140592.1245736305,48.564025456523,11.5625,16.0,63852.36119311699,73.91080698083918,16.9375,16.0,168782.40635118904,60.318101116115535,37.57142857142857,7.0,382059.1758102068,48.38020750083802,45.0,5.0,235303.3061142942,44.84905011164669,86.0,8.0,684535.5123980194,58.859299050907694,20.285714285714285,7.0,201754.3167096681,81.71550604640242,43.0,2.0,499124.49856352946,80.98009610928756,99.0,2.0,925504.952448314,69.08266342421705
8,0,167008.0252987428,1.2267363694715284E7,1397567.3825543034,1486799.598265605,1.9996147665516293E8,695364.2917702562,579949.3828044448,528.3200444227103,247.2657291666667,0.049999999999999996,0.05,0.05,7.445051005067072,68.8433392097544,24.457195218811734,19.344444444444445,177905.16877246252,506.90448661846705,61.64818525941917,84.0,9054068.108567156,2.408479038545439E7,160630.504249576,103496.34643444116,129123.39643446007,4813520.275207869,6.005070564035814E8,2.6747571482099003E8,0.0,0.0,14448.500000000058,NaN,35.666666666666664,3.0,252920.08455172833,62.73469424982255,2.3125,14.0,25307.309195232083,106.28182380021089,14.25,4.0,147876.37840178923,60.358745166231444,4.3125,16.0,50448.899537593185,83.00106986978095,11.5,16.0,114091.386075536,55.775524650425666,30.428571428571427,7.0,301214.2791096475,47.22124699120858,19.0,5.0,270901.7123240819,52.80859207686241,77.875,8.0,545018.3183764769,60.81251460836383,9.714285714285714,7.0,112363.92403196318,94.93108548678781,50.0,2.0,284563.7043268741,86.65058578517502,94.0,2.0,703135.5267067412,69.48992188484834
9,0,148401.6286660233,9610701.366398867,1469074.7865414564,1543865.4514894332,2.0151656197414353E8,435771.8222822829,587711.2039120127,538.2693363565566,0.16494117647058826,0.05,0.05,0.05,6.951620319344618,60.7287107917506,25.365201889192278,15.733333333333333,178456.9159451635,485.3665658796793,58.53473775384873,74.0,7379220.425932098,2.0735367005874738E7,145939.60201385338,82151.05108147766,85243.65108149091,3897571.813108693,5.986791237107409E8,2.6739965511303678E8,0.0,0.0,9394.175000000047,NaN,15.666666666666666,3.0,218202.30835016273,67.3949957986273,3.9375,7.0,23165.480417305807,92.75637155415235,6.75,3.0,119696.35187592776,73.9517115561896,2.5,14.0,43556.096854307194,85.77156931580508,10.5,16.0,101479.78873114497,63.54688898352575,47.57142857142857,7.0,220613.00842838347,51.25822645779897,22.4,5.0,174877.12125724478,50.99374532113194,47.875,8.0,588977.4879214208,52.74079980320284,6.142857142857143,7.0,75662.42271139447,117.20375039465544,7.5,2.0,180991.44001817796,88.17086735532862,92.5,2.0,735919.6418356886,71.11317822361681
10,0,146377.04622443332,9123141.005714586,1470488.5648445636,1550959.8427330258,2.0310576657336393E8,452452.7277218213,507132.4345502711,422.7629885719791,19.634747474747474,0.05,0.05,0.05,6.7393550967705265,58.753357740066015,25.373168509673214,15.033333333333333,183617.53465069018,483.5196759660261,61.299541262793916,71.0,6864192.6025916,2.0038126762789723E7,116283.89641457843,100129.93669963256,80143.63669962008,3721907.911656358,5.988339047774484E8,2.6733797126319003E8,0.0,0.0,7216.050000000047,NaN,12.666666666666666,3.0,121079.4128925836,66.133423444508,3.25,5.0,37214.11214605786,86.57652167624181,5.5,3.0,83009.7308962394,61.603547453993805,2.0,13.0,30453.463642687828,92.67054571688996,13.0,16.0,98284.83885624053,60.69825808943505,31.428571428571427,7.0,410684.76226629753,54.559972486346624,19.0,5.0,222104.54412230794,53.88226283992121,44.125,8.0,419236.3539602957,57.77515518809349,7.428571428571429,7.0,68203.63450070284,123.79193136313258,50.5,2.0,218195.39729855955,89.52929637256625,90.0,2.0,770765.5196782425,68.34248819142782
