year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-27653.196191049916,7572.51864519325,1.690341694809503E7,1.178160302202956E7,1.2228898677063359E7,2.1452096495304942E8,3371641.275645634,2959642.345582813,0.0,NaN,NaN,NaN,NaN,NaN,724.6044451773809,83.55114356594245,90.63333333333334,-27653.196191049916,7572.51864519325,452.44659326670956,90.0,9.111317230025594E7,8.862438464306144E7,191976.3480654523,191976.3480654523,191976.34806545154,1.119801717860034E7,6.845605695522488E8,2.6845260342862695E8,52.5,4.0,-361365.58830533474,943.135719053387,47.666666666666664,3.0,-493719.3108455541,1228.2523610195165,88.3125,16.0,-4077.899940835079,841.0203403648304,98.5,4.0,-297161.70704905444,938.7495737173272,82.1875,16.0,156350.54850620741,716.403888654868,89.9375,16.0,-136176.88900587615,733.6360773568781,88.28571428571429,7.0,-133609.11378470281,719.1579636519925,123.0,5.0,214577.5416816778,554.3468614469534,117.5,8.0,92346.48224819612,451.77968270815734,115.42857142857143,7.0,192133.38258088054,452.32064704215185,55.5,2.0,-212149.19327138198,905.2072714136461,75.5,2.0,-214041.87880832533,474.2001616056606
2,0,-70202.15224140984,2024.0952581314182,4432948.980175687,2374263.8194604362,2465438.74539623,2.24136866263708E8,728625.2451984786,481011.96942781383,0.0,NaN,NaN,NaN,NaN,NaN,723.0125922074262,94.5838905668887,21.4,-70202.15224140984,2024.0952581314182,575.1123444551705,90.0,2.5351321432745986E7,1.9033127731019113E7,-3326.5147290725727,-3326.5147290725727,-3326.5147290731693,2571014.5119056376,6.976405030541801E8,2.713283035085595E8,14.25,4.0,-135060.66515192416,941.5974651254537,15.666666666666666,3.0,-195753.69672578943,1227.5497550244056,19.0,16.0,-84924.46737692453,841.5415437236284,24.5,4.0,-147931.90942258778,937.5671461913498,15.0625,16.0,-70745.64390121012,717.8456345172758,21.3125,16.0,-94815.9807911347,734.6799448003989,23.142857142857142,7.0,-87824.11273547153,717.783519037409,26.0,5.0,-15827.534857420414,544.9230167976871,33.875,8.0,4705.768309897838,443.13893584342816,29.714285714285715,7.0,36780.44169948357,445.88842430889196,15.0,2.0,-59324.7105816044,903.4670519551319,18.5,2.0,-36869.09696005819,472.1936707984252
3,0,-53753.43369690797,2031.1629233775852,4453851.782157133,2231686.8058380424,2329397.2768606325,2.1153623519371873E8,824349.5206426417,590219.8386763425,0.0,NaN,NaN,NaN,NaN,NaN,722.158747719361,94.96346135271827,21.38888888888889,-53753.43369690797,2031.1629233775852,554.3313917719124,90.0,2.3524230667422857E7,1.8686421634701133E7,2033.820207623823,2033.820207623823,2033.8202076228918,2594823.353076372,6.919232817748114E8,2.707095377123225E8,13.5,4.0,-112803.19384403937,939.2040679972472,14.333333333333334,3.0,-165162.48266951123,1228.3431051012983,18.5,16.0,-61205.09529987527,842.2484710755267,25.0,4.0,-125123.62757858599,936.936329145068,15.5,16.0,-51132.309310027405,716.6607365531357,20.4375,16.0,-85463.57825104438,732.5747613312818,23.0,7.0,-76165.02787970888,717.1562108231744,26.2,5.0,-1540.7915654194717,547.3851717093127,34.625,8.0,24995.330516486625,438.36376989053775,31.571428571428573,7.0,38146.350073216345,445.03332561787096,15.5,2.0,-49870.55776065953,902.1676808773366,18.0,2.0,-26092.699692778733,478.727376498687
4,0,41529.792003520786,544.7894604404385,2665866.4267852413,1200338.4435900874,1248275.5398395518,2.042497680200945E8,339933.1440523624,366147.88686644455,0.0,NaN,NaN,NaN,NaN,NaN,106.49664039221419,45.441196885671424,11.988888888888889,101018.41298153704,1325.1635524226883,226.78520027962767,37.0,6563581.1042156825,1.030126238453257E7,65100.55927952728,53179.21058169857,53179.21058169854,1467390.1842935474,6.868636081744071E8,2.706308798377715E8,3.25,1.0,10133.68499478791,396.00441974249014,0.0,0.0,0.0,NaN,12.0,7.0,60308.70184815656,197.12922293505503,12.25,1.0,46133.397128978395,97.12993990011526,7.125,7.0,35701.18944250174,287.11329648871583,9.6875,6.0,26494.215722458197,269.6613122549157,11.142857142857142,2.0,39270.34055682591,186.5106969929132,22.0,3.0,84983.18255435415,196.6995074324295,21.0,4.0,66828.06131234064,233.66586613521363,26.0,5.0,44981.952239092054,322.0261352054651,0.0,0.0,0.0,NaN,9.0,1.0,1620.393385010073,575.9837093094864
5,0,11378.911867627796,716.0079586349391,3236957.0038399575,1817800.126731902,1877927.3828058306,2.002012989023777E8,596432.4962038453,583563.3371933382,0.0,0.0,0.05,0.05,0.05,0.05,101.56859949928001,44.07709731678831,16.244444444444444,23757.446335736156,1790.0198965873476,186.78111169026917,36.0,1.3758099599662514E7,1.4782201667748991E7,39624.26832986553,40784.85991204588,43222.859912045475,1996985.6997715384,6.811971387407584E8,2.7031549414925665E8,4.5,1.0,-24515.515110214837,394.44118003338303,0.0,0.0,3124.3333333333335,NaN,18.125,7.0,-10589.586305671466,196.90644851883954,20.75,1.0,30726.85046934185,97.12993990011525,15.0625,7.0,51893.155573060714,283.4028912709164,13.125,6.0,-765.285254347993,264.74789174491485,14.142857142857142,2.0,9436.885661571103,180.56921602101403,27.8,2.0,114622.54379781224,111.40103603200046,30.75,4.0,29537.349467425447,233.41748675566026,17.857142857142858,5.0,-63174.58137712022,321.75648592419685,0.0,0.0,3120.25,NaN,5.5,1.0,-49108.481139143696,572.5572252542678
6,0,1937.7240731104548,547.2056969113124,2888647.065955114,1186466.3250650142,1226121.359563441,1.9950737055772E8,457668.7755230809,448394.61710599484,0.0,0.0,0.05,0.05,0.05,0.05,96.05540962893262,42.12875339779137,12.988888888888889,1740.276187998313,1407.1003634862318,167.18082229404456,35.0,1.0649172005863825E7,1.082356717244373E7,27532.734669140656,-164916.77827883186,-162658.7782788297,1594607.7863338876,6.76885239918981E8,2.701766949575137E8,1.75,1.0,-16241.654144469263,395.6028818145793,0.0,0.0,2062.5,NaN,10.8125,7.0,-14366.997961263889,197.66155519140366,18.25,1.0,8249.6320608065,97.12993990011525,8.5,7.0,24678.408872948516,281.5260440587993,11.0625,6.0,-20339.73002796532,263.49404609898465,14.857142857142858,2.0,-16341.818113949865,180.55972365102096,23.6,2.0,36316.00543748015,111.40103603200046,27.25,4.0,20081.536283318655,233.26700772799987,21.571428571428573,4.0,33122.44311568875,283.0352379466591,0.0,0.0,2062.25,NaN,6.0,1.0,-51596.16584551954,567.8460714792348
7,0,11338.586747129339,347.8235364742837,2253149.634988154,829865.3014663701,861371.584873843,2.0078405627261743E8,295368.6764654965,257948.54954888133,0.0,0.0,0.05,0.05,0.05,0.05,49.23469634812928,36.65587620923365,9.488888888888889,40611.361184419155,1361.0486209863275,150.67857717538973,23.0,6710906.797478993,7731379.604720647,23259.00857884239,45227.01715768478,59022.517157683265,1165712.6856098056,6.746994190990204E8,2.702373707265135E8,0.0,0.0,1288.125,NaN,0.0,0.0,1292.5,NaN,10.5625,4.0,7779.762113729754,178.98393417561297,4.75,1.0,652.7021559292334,97.12993990011525,6.8125,6.0,24669.941685728005,284.89300920526904,6.6875,3.0,-3800.5405217746375,139.08018312074987,11.285714285714286,2.0,-12037.024562706854,180.43418236256178,21.0,2.0,63098.21478359811,104.58615482166606,18.25,2.0,31919.893498343183,112.42273511479016,17.142857142857142,3.0,8383.97660131509,232.19074851238952,0.0,0.0,1289.75,NaN,0.0,0.0,1293.5,NaN
8,0,14777.568878167222,225.07412687424448,1641309.7815951633,601864.9274435214,622086.6777582077,2.0310050496112356E8,225708.9953776725,189451.09147009905,0.0,0.0,0.05,0.05,0.05,0.05,16.93736664904956,32.619438677426736,6.9,103102.68325292082,1688.0559515568336,115.4600713692181,12.0,4307313.098813215,5637294.297848254,16225.383054012898,15987.598547668313,21477.098547667076,851551.2772011352,6.74758475061693E8,2.704077617423197E8,0.0,0.0,1228.25,NaN,0.0,0.0,1235.1666666666667,NaN,6.3125,3.0,5061.96807693789,191.97657698856605,25.25,1.0,69878.41865439777,85.9125215026193,3.1875,1.0,21412.14904122922,96.27373215108531,4.5625,1.0,3105.4853817516123,139.90008229089787,2.142857142857143,1.0,1161.6329981872611,158.4187264814359,20.2,2.0,72396.31559553137,104.5136560853859,16.125,2.0,21536.479633522627,112.49769572734326,7.142857142857143,1.0,3035.791197944366,33.9055013972659,0.0,0.0,1232.5,NaN,0.0,0.0,1227.5,NaN
9,0,11305.599489362121,163.5393289303206,1134584.8241498133,433280.3499939466,447648.3486074796,2.058977248529973E8,195801.71648630276,129023.94013103902,0.0,0.0,0.05,0.05,0.05,0.05,10.380259635715412,33.22469436507642,4.9222222222222225,117388.93175532387,1839.8174504661067,117.92998000609579,8.0,3023947.733060556,4041451.687103151,16389.0299161023,193732.67555674003,208459.17555673857,605999.126592102,6.768371521637802E8,2.706467425891082E8,0.0,0.0,953.5,NaN,0.0,0.0,954.5,NaN,3.0,1.0,5761.241066917195,251.1465608464508,23.25,1.0,59502.49936039001,85.80034731864434,2.5,1.0,7673.01264256821,95.88974971288641,4.4375,1.0,2885.7224895127874,139.90008229089787,0.0,0.0,954.8571428571429,NaN,17.4,1.0,71896.15825625509,101.77687802246638,10.75,2.0,18650.31254067758,112.90212381288764,2.5714285714285716,1.0,-1068.9934556623255,33.9055013972659,0.0,0.0,949.75,NaN,0.0,0.0,956.5,NaN
10,0,9933.129493112117,168.12032063880224,886368.8731349384,480042.25486029714,493649.70394513686,2.0869428311758515E8,159384.73640760302,138826.26551931436,0.0,0.0,0.05,0.05,0.05,0.05,10.583036458126294,38.89673228147096,4.322222222222222,103385.20679751132,1891.3536071865253,124.6186577128331,8.0,3025379.180359014,3919360.834739109,96364.18204819108,265981.49857509276,279047.248575093,532196.0307432659,6.80417798675381E8,2.709624433420065E8,0.0,0.0,818.75,NaN,0.0,0.0,816.0,NaN,2.875,1.0,5320.796317944725,251.14656084645077,20.75,1.0,44972.12509456824,85.80034731864434,1.8125,1.0,-2777.003168536001,95.88974971288641,3.875,1.0,12758.741506023885,158.1200386719111,0.0,0.0,815.4285714285714,NaN,16.4,1.0,68660.02661076067,101.77687802246639,8.75,2.0,10818.338251083187,112.91710263087076,2.4285714285714284,1.0,3531.4657789181388,33.9055013972659,0.0,0.0,815.25,NaN,0.0,0.0,812.0,NaN
