year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,738928.5778021476,6596.5458180300375,3.8122375252581984E7,1.7626406167750135E7,1.851231849973486E7,2.083451954029695E8,3645631.311492722,4265504.3688597875,0.0,NaN,NaN,NaN,NaN,NaN,134.41475443205607,37.91602526649019,173.9777777777778,738928.5778021476,6596.5458180300375,102.18790219624807,90.0,7.937036018987598E7,1.4587393219206923E8,436958.17502396915,436958.17502396915,436958.1750239696,2.0331666984629977E7,6.618661489736431E8,2.6812629093261328E8,41.25,4.0,-738855.6480995759,913.7952948186448,178.66666666666666,3.0,1205479.5381024126,93.26090409377537,139.4375,16.0,450371.7382144773,118.33629546477336,161.25,4.0,761108.4774305656,92.04578558850389,127.1875,16.0,185098.39046153636,108.50137222279977,144.1875,16.0,396580.4021864528,93.39586592171392,245.71428571428572,7.0,1572013.213070235,97.02810007469179,266.8,5.0,1743100.353871872,86.61501989944523,262.375,8.0,1668193.6988109476,80.61479208131446,247.57142857142858,7.0,1462439.7096551657,80.30427271551966,152.0,2.0,168116.39387065137,75.33243382259165,274.5,2.0,1323429.4850482848,100.22970695106298
2,0,185143.75739702085,771.8487912892498,6588551.792344998,3313786.790418394,3516485.8716814904,2.2310587341790664E8,608086.1037832234,616929.0310821814,0.0,NaN,NaN,NaN,NaN,NaN,131.56190673120562,26.29310795459216,29.355555555555554,185143.75739702085,771.8487912892498,109.27257491258194,90.0,9667556.02228235,2.6330494188014224E7,195449.59997708834,195449.59997708834,195449.59997708842,3577041.134017909,6.95184751056226E8,2.7143247744373846E8,15.5,4.0,-287652.164964443,913.7952948186448,18.0,3.0,161324.27678378392,97.82052466836892,26.0625,16.0,181949.2866668275,113.58351328165708,24.5,4.0,191139.44011259847,94.7462022407992,25.25,16.0,187758.86817112763,103.58774590812114,25.1875,16.0,195317.5900056818,88.54787341133265,36.285714285714285,7.0,239955.1581956041,94.06019345009182,37.0,5.0,252291.70972072208,82.86327848401483,38.5,8.0,252351.51607324186,81.08370391916235,38.714285714285715,7.0,239852.5857130073,80.72538632230807,37.0,2.0,166151.11788008746,73.75376537439429,56.0,2.0,276688.59848985553,93.72265450944448
3,0,186032.8258490241,941.0391535707956,7252122.4597215,3296264.4509285055,3464171.1008329587,2.0942470556407422E8,739747.2689497382,849985.1668365245,0.0,NaN,NaN,NaN,NaN,NaN,130.7331653746352,29.366686484525523,32.044444444444444,186032.8258490241,941.0391535707956,106.18279613366383,90.0,1.089896675611613E7,2.7641921082528293E7,164867.16151896666,164867.16151896666,164867.16151896602,3895704.209048526,6.865283628604958E8,2.708990484723124E8,14.5,4.0,-253243.09292870606,913.7952948186448,22.0,3.0,178661.40845851638,88.87813394180682,30.625,16.0,190427.89614669982,113.54152549376518,25.5,4.0,189041.0828491595,88.55616258239607,26.8125,16.0,165829.58811393578,103.18874314169338,26.375,16.0,175477.19616719327,88.15545048362331,39.714285714285715,7.0,253350.40008076606,95.49501755828469,42.4,5.0,272518.25403506355,85.46722465283206,42.25,8.0,268624.0723882689,81.30150282184032,44.714285714285715,7.0,270246.2294726904,76.51555291493737,31.5,2.0,111932.76804898938,71.95782688129395,56.5,2.0,277698.7311279522,93.01767673412476
4,0,140651.63529604432,1420.053352107616,8740940.551991563,3138814.865734121,3277454.728926563,2.0022093764349034E8,954803.0556185805,1315642.084369695,0.0,NaN,NaN,NaN,NaN,NaN,89.93974236766674,36.841972236865224,38.544444444444444,147193.57182144173,1486.1023452289007,92.93970496544327,86.0,1.7108664770735573E7,2.9767311947379563E7,11131.837541692832,9678.988409209298,9678.988409208716,4518444.755392003,6.753295802845907E8,2.7016030619643337E8,0.0,0.0,0.0,NaN,25.666666666666668,3.0,158730.7622640248,88.68883368237171,33.0,16.0,146426.32172178215,113.22376387001637,31.75,4.0,157786.63145480183,90.21883006438853,39.4375,16.0,39081.33124802371,104.61724592234233,40.75,16.0,43234.3904859963,86.05083844810844,46.857142857142854,7.0,268652.5658782134,91.64152406844002,43.2,5.0,263181.0119463626,86.16680329115646,49.25,8.0,280428.08981376747,78.89351192298037,49.57142857142857,7.0,259665.07437016387,79.42251141803324,31.0,2.0,84385.20230274732,72.74148435975962,53.5,2.0,232556.00207689172,100.22604548670272
5,0,71124.43248287978,904.848719778515,8402268.909025282,2114010.727048302,2245754.2485293155,1.95885041356222E8,870456.6772497789,1034470.519749779,0.0,0.0,0.05,0.05,0.05,1.5853940257285442,90.09394199078835,27.61491515092111,32.766666666666666,74070.54562161838,946.9347067449576,88.02440299729267,86.0,1.7386739609135862E7,2.3787938532595195E7,11331.140683711972,-1817.8724115135847,-9561.122411513736,3985440.9031102387,6.647106059275745E8,2.6952354071133715E8,0.0,0.0,7783.0,NaN,38.666666666666664,3.0,65897.08726271398,87.39327864192846,18.6875,16.0,-53884.07127118462,112.36713914626273,18.75,4.0,16711.323149209144,95.98400556714009,2.1875,16.0,2441.528854129181,102.07767667545212,2.0625,16.0,1380.9390855764068,89.42903919344268,81.71428571428571,7.0,248401.5721136199,96.06990380521115,84.2,5.0,286526.32865548535,83.35713826729923,85.0,8.0,259647.7570721617,77.60266811030249,70.57142857142857,7.0,194459.1309519764,78.33899685972628,21.5,2.0,-56535.861179391795,72.72914170717183,90.5,2.0,204874.5617113777,98.21480822313194
6,0,25647.808628913775,955.9152051838456,7374527.12226366,1829643.6232846177,1925593.104289249,1.9448191699154484E8,721620.3248660687,1059397.8086473737,0.0,0.0,0.05,0.05,0.05,0.177535582036067,91.11578675081617,32.91215320066798,29.044444444444444,26539.450890723718,1000.376377517978,88.82144832226423,86.0,1.860301371887268E7,2.0911316495474886E7,-21601.17293533066,-46383.33637563832,-52447.83637563838,3515391.5605146815,6.564837108994143E8,2.690618385987097E8,0.0,0.0,6477.5,NaN,13.0,3.0,-6738.331085677259,91.53535570366233,9.125,16.0,-37100.37680768551,114.65600038162266,8.75,4.0,-6532.49530995579,96.35890861114144,8.125,16.0,-58957.01870765462,103.28733229095445,8.4375,16.0,-30872.46518136794,90.00892609389683,74.42857142857143,7.0,169968.02165309293,95.97953320407785,81.4,5.0,224253.86094020391,83.69000269772678,74.125,8.0,151026.54133188573,79.51970201260184,56.714285714285715,7.0,68390.50128246711,77.61477173427701,13.5,2.0,-33231.02267008912,73.91995838179096,92.0,2.0,214043.13584078825,97.76764241640191
7,0,18799.82937459694,924.639302335675,6335249.78336833,1875197.3901504762,1965055.9693671467,1.9450775277098146E8,611864.4870693885,972976.3162572549,0.0,0.0,0.05,0.05,0.05,0.05658334496913804,81.77889803016616,35.86962810784946,25.77777777777778,21106.534333944473,1080.7472364962434,89.85863411053052,77.0,1.784010808396291E7,1.95320927276766E7,-19151.281368911616,-50860.724094367586,-55394.224094367804,3132651.9100749786,6.51137392248188E8,2.687390002335134E8,0.0,0.0,5139.75,NaN,23.333333333333332,3.0,19650.551898087684,87.80658355454044,10.3125,16.0,-39571.06856773143,115.73220647704039,9.5,4.0,-46394.39872927475,85.32213136787274,7.9375,13.0,-32551.19740711477,103.93450281462498,6.625,11.0,-14594.065088394695,89.84433288177424,67.71428571428571,7.0,128218.51158965666,96.20548145950694,68.6,5.0,158718.65051121247,87.06346232973983,54.625,8.0,89514.19768845238,80.15547636628358,52.57142857142857,7.0,57810.92045368201,77.90692182243538,6.0,1.0,-27320.064771810197,70.07328257661462,90.0,2.0,214120.07556249155,99.40990826418778
8,0,31101.849640874992,632.0752423746782,4564936.985938996,1503986.1215443455,1572980.8897779684,1.9566449141243756E8,439698.6891098886,749306.9007462226,0.0,0.0,0.05,0.05,0.05,0.05,31.174224318103395,33.18948180497143,19.044444444444444,78410.92326299242,1723.8415701127585,86.52030393387201,33.0,1.2096169113387333E7,1.4895335581066072E7,3716.0,29655.817756297532,32779.817756301956,2320522.422511381,6.495102343453201E8,2.6862660227079403E8,0.0,0.0,3711.75,NaN,37.0,2.0,88122.86716590387,87.67312664006926,0.0,0.0,3711.34375,NaN,2.0,1.0,1453.8745395343867,97.77260670645818,0.0,0.0,3712.75,NaN,0.625,1.0,4157.905933632977,91.78501152434008,64.85714285714286,7.0,118814.01541093171,94.82623702409515,50.2,5.0,47232.74526710482,81.02243176359316,51.875,8.0,78014.57916198426,79.04639549944095,41.142857142857146,7.0,23705.462320034192,76.78275718192792,0.0,0.0,3715.5,NaN,88.5,2.0,231737.83466830663,101.01501743135695
9,0,25883.356264197486,555.0029054911428,3749428.80719059,1315375.1918734787,1381730.298282382,1.9729499619218656E8,373227.1516496028,583196.9232155036,0.0,0.0,0.05,0.05,0.05,0.05,28.466924818360045,34.6636096420561,16.011111111111113,72608.36879259246,1665.0087164734282,85.80909909108586,30.0,1.0262343928187782E7,1.2591845991965532E7,2625.25,-36614.275365330046,-34091.52536533144,1924303.978885265,6.504212161556811E8,2.686131802367854E8,0.0,0.0,2623.5,NaN,19.333333333333332,1.0,78468.82558041159,91.43084575615904,0.0,0.0,2623.25,NaN,0.0,0.0,2624.625,NaN,0.0,0.0,2627.09375,NaN,0.0,0.0,2626.0625,NaN,45.42857142857143,7.0,55834.30755958027,94.89735249229362,26.0,5.0,39812.82252105838,84.64396355688405,47.375,8.0,1511.5314435383189,80.61711323628023,53.0,7.0,104827.2987536188,78.29033009366263,0.0,0.0,2629.25,NaN,92.5,2.0,303017.23934527347,95.06094305994458
10,0,41570.08587521708,504.1832886568868,3559134.6702982,1420526.9292360886,1494843.5589512137,1.9884967735267237E8,351891.233428526,566536.6129707369,0.0,0.0,0.05,0.05,0.05,0.05,27.92469359929357,32.22762498517032,15.644444444444444,123618.00788860474,1564.7067579006832,87.96206896404159,29.0,9072898.46250389,1.2814206191273423E7,2558.25,64550.39062824426,62700.89062824368,1887375.038683511,6.528720346700262E8,2.6865514917393893E8,0.0,0.0,2563.625,NaN,23.333333333333332,1.0,124820.51687018837,89.24474084624892,0.0,0.0,2563.34375,NaN,0.0,0.0,2562.625,NaN,0.0,0.0,2564.8125,NaN,0.0,0.0,2563.65625,NaN,43.857142857142854,7.0,110598.28929897917,96.98013206819762,48.2,5.0,134670.11438905337,87.15383373043107,26.625,7.0,42734.02921692346,79.39274763035851,56.857142857142854,7.0,117368.66068258137,79.2472281281746,0.0,0.0,2560.75,NaN,89.5,2.0,303579.6113036971,99.43387982545103
