year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1472473.3878882965,5928.643647799885,5.438013362334456E7,2.5169895127331097E7,2.6549030849700324E7,2.005229236849264E8,4670566.7972280625,3763281.9750426984,0.0,NaN,NaN,NaN,NaN,NaN,155.46910888178374,25.93457413735733,228.6,1472473.3878882965,5928.643647799885,100.67236478958908,90.0,7.133380896255675E7,2.038564138725034E8,1845674.2623666557,1845674.2623666557,1845674.2623666632,2.8226818484029774E7,6.438865966782793E8,2.6696392417489922E8,70.0,4.0,98601.75458150504,418.46493137824325,72.0,3.0,-130184.05093948434,702.706469310051,177.5625,16.0,1546019.7525612095,125.4919435587529,200.0,4.0,1344700.7946339617,111.3305607927083,193.875,16.0,1337295.1820304433,115.11637354966432,269.75,16.0,1578531.4980759015,81.19472004343973,332.2857142857143,7.0,2179103.809937195,61.00326823134234,314.6,5.0,2016502.5898623585,61.658896803349876,345.25,8.0,2193945.4480492603,57.903485924355515,297.85714285714283,7.0,1914377.9080580226,56.92892638110096,47.0,2.0,-255813.94569424796,1119.9166911849263,89.5,2.0,-13208.362530750308,389.59435612415894
2,0,224147.07528002336,630.6250407692878,8903609.970208114,3154853.778401623,3392768.575517189,2.2323695725532213E8,630097.2161191953,372088.9468195093,0.0,NaN,NaN,NaN,NaN,NaN,132.18974194669957,18.409423830436555,34.25555555555555,224147.07528002336,630.6250407692878,85.98172782286125,90.0,7898642.081183657,2.807187885638569E7,303437.61681959976,303437.61681959976,303437.6168196014,4206114.492528647,6.926357976588461E8,2.713975035138311E8,13.0,4.0,37637.51626591141,385.4327822214752,19.0,3.0,-18401.277428747195,672.9834249058405,10.4375,16.0,153227.02148340366,126.17101635137624,42.25,4.0,229273.87715875424,41.3575674915951,35.5,16.0,245653.7074589161,72.96616757121497,51.1875,16.0,302801.22755596694,43.90647270629981,51.57142857142857,7.0,328344.0161206588,39.412803619281995,32.0,5.0,242883.51519403467,64.31308873814567,42.625,8.0,303835.295924278,49.61864620444265,44.57142857142857,7.0,304826.4832679453,40.05811688598414,13.0,2.0,-96154.95217180811,1137.8443438875836,25.5,2.0,24450.09753804279,365.8834254663021
3,0,216940.540217694,657.8139591003272,8466820.68864754,3074499.6231497056,3266676.983687669,2.0975986134954882E8,527462.7333041902,478704.99582994886,0.0,NaN,NaN,NaN,NaN,NaN,134.52492834344457,20.055303631107538,32.8,216940.540217694,657.8139591003272,84.43775178682971,90.0,7618719.246515248,2.7143367866107676E7,286495.1940035871,286495.1940035871,286495.19400358293,4040272.445954261,6.826614847757452E8,2.7109145218513125E8,11.0,4.0,75656.74287929565,364.33930082754335,21.333333333333332,3.0,-16457.78481425057,669.2853073174429,11.5,16.0,158054.4019691461,122.36677375647612,37.5,4.0,219542.70322195144,51.55140763297524,12.9375,16.0,154071.1859310625,100.42321577764966,53.0625,16.0,314654.9414761693,46.59325241567002,50.57142857142857,7.0,292790.36549735337,36.63878433385544,53.6,5.0,315541.7502134064,43.9737707695339,52.625,8.0,323236.5306513135,44.30113343297675,49.57142857142857,7.0,320015.21766159043,38.46995816650734,12.5,2.0,-70660.90905847674,1136.7745144550486,19.5,2.0,26408.729667492575,376.0523880973783
4,0,211145.31101999577,617.0545075350502,8869134.421294587,2794522.4018075396,2961313.9677811167,2.008758747232632E8,622500.8354475029,487453.8642528047,0.0,NaN,NaN,NaN,NaN,NaN,92.81997616892248,18.4808338363243,33.388888888888886,223565.6234329367,653.3518315077002,71.5000526678516,85.0,7434225.531275096,2.6437303523074746E7,295694.3553118061,314822.7209649789,314822.7209649838,4112063.7617482627,6.712602479819664E8,2.707104029519223E8,11.25,4.0,63640.04772501738,357.7084922195102,0.0,0.0,0.0,NaN,11.8125,16.0,149856.52864229574,124.39331068150904,41.5,4.0,212069.26142486333,50.07548160195986,16.9375,16.0,166362.52957213705,105.52706549844491,54.0625,16.0,302514.4579609966,66.09544150167378,50.142857142857146,7.0,276271.6969411751,37.88870056924571,54.8,5.0,319356.06119216885,49.69997839227371,50.5,8.0,282912.5789360706,43.63118886806412,55.142857142857146,7.0,323618.59762826253,47.22686924149978,0.0,0.0,0.0,NaN,27.0,2.0,-29404.251521122766,396.52524271500005
5,0,201621.54975365565,767.6100519459192,1.4563002119552027E7,2540851.556062503,2728903.4544124785,1.9608317397538516E8,945228.3847313875,567084.9150356158,0.0,0.0,0.05,0.049999999999999996,0.05,7.068940814951157,93.36701684541481,15.790835354316052,48.611111111111114,212630.24679798834,812.7635844133262,57.201596946905845,85.0,1.474965356903789E7,3.2895593046866756E7,263564.9513068178,253916.72175172158,149938.32175157918,5994151.042462347,6.543148168941642E8,2.70003373235672E8,1.0,4.0,31829.715747066613,361.1008899940159,0.0,0.0,14475.666666666666,NaN,10.25,16.0,108872.69937500282,126.88975992375346,107.0,4.0,251253.30953247927,47.07015620608816,27.3125,16.0,151503.3352678286,92.24505196558917,49.625,16.0,238131.22866536782,74.34809270506662,116.14285714285714,7.0,330501.52361272805,41.35391795494949,80.6,5.0,368344.3655738934,43.501646118527766,122.625,8.0,363701.7578981839,42.32101239866598,49.857142857142854,7.0,271201.85531567846,60.39128143336716,0.0,0.0,14470.75,NaN,1.0,2.0,931.560112925989,403.1640661380922
6,0,157916.66101764268,734.7158090137624,1.1701351487061905E7,2311760.2617198066,2493727.5976356356,1.941768491716369E8,960784.1173183359,724430.2450021466,0.0,0.0,0.05,0.05,0.05,4.584779305822838,93.60156585655507,17.905340593349205,41.03333333333333,168258.81537604574,787.1955096576027,64.61699563465852,84.0,1.4298429342070896E7,2.8510928833658658E7,57420.47182380245,57420.47182380245,23053.7718237661,5054857.802707514,6.419812780899537E8,2.69297438214885E8,1.0,4.0,-3260.8630704144744,362.064802633888,0.0,0.0,13129.0,NaN,7.0625,16.0,66159.82586482793,122.53769397899701,72.75,4.0,251895.69869769295,52.92666976953865,30.0625,16.0,122117.29606114616,90.49097243722358,35.0,16.0,122552.50698259009,80.73590563468375,79.85714285714286,7.0,288168.1162670942,53.45200429125115,96.4,5.0,286073.71540464985,49.596046203670554,112.125,8.0,430066.1194838647,55.53195220909696,43.57142857142857,7.0,182414.5162174055,84.14261586476653,0.0,0.0,13123.25,NaN,0.5,1.0,7038.313128018777,408.54369487852824
7,0,150432.88476197756,737.4087872182947,1.1014710132348042E7,2279048.4326149644,2450566.64326564,1.9379767388919157E8,1094315.8212294166,759983.925834291,0.0,0.0,0.05,0.3465288940047256,0.05,3.396865437830911,86.40713007010746,18.52268792901103,39.81111111111111,162091.63407925278,799.5998897547775,61.75303240377348,83.0,1.4227600725795625E7,2.7766560354374215E7,14840.117580523714,15824.774922148325,3664.7749221482245,4873916.047664135,6.324461694844959E8,2.6844064994448644E8,1.0,4.0,-4073.516082879687,362.064802633888,0.0,0.0,12191.333333333334,NaN,11.8125,16.0,55523.27748415271,120.4315880687136,69.25,4.0,238820.8694407362,60.009578487567175,27.9375,16.0,114802.19416534368,92.24769297305329,36.875,16.0,112631.91988942608,68.85158069846798,58.42857142857143,7.0,271732.0118696341,60.68956728539322,63.4,5.0,281212.7561486368,56.14088800030131,114.125,8.0,450066.9672588708,58.713176735290936,62.42857142857143,7.0,154082.0498031725,58.3733670140722,0.0,0.0,12194.0,NaN,0.0,0.0,12196.0,NaN
8,0,159431.25643545744,651.1845673201733,1.0897037895705968E7,2251266.105329221,2451638.599035611,1.940985499754537E8,686733.0724636946,736672.7747579537,0.0,0.0,0.05,0.05203107650410312,0.05,4.40742896450895,71.45745311806326,17.06160438393467,38.166666666666664,180024.28581254647,741.8558361875391,61.45904701457721,79.0,1.2461863616622353E7,2.6810676695813373E7,14150.534253586084,6617.244360213634,-4908.755639786068,4699611.987689345,6.253192896958596E8,2.6804810476323834E8,0.0,0.0,11536.25,NaN,0.0,0.0,11537.833333333334,NaN,6.3125,16.0,62632.35153284743,123.01280882233122,49.5,4.0,162267.2127673225,65.94033083508816,12.0625,16.0,91913.48368579253,94.87760875012422,26.9375,16.0,111621.85356096043,68.31921934088349,73.14285714285714,7.0,276057.6168956179,50.4146566249691,79.4,5.0,302548.37559549016,53.601545947283306,109.5,8.0,443369.710506125,65.67575298265449,103.85714285714286,7.0,331723.40390749986,63.10555952849737,0.0,0.0,11535.75,NaN,0.0,0.0,11532.249999999998,NaN
9,0,154165.9465959438,570.1302311287751,8670824.984141553,2364237.9054399375,2547994.0648272294,1.945322006591851E8,590466.2091195206,718753.5150925796,0.0,0.0,0.05,0.05,0.05,4.75650845482865,63.495109010373014,17.602648645485335,32.388888888888886,185676.347211283,693.4016324539156,56.40324240528717,74.0,1.0542048411556687E7,2.4416983605190475E7,11661.907674485119,31906.525822955184,32939.27582298622,3978930.145251727,6.225814723810563E8,2.6778589093815592E8,0.0,0.0,8432.25,NaN,0.0,0.0,8428.5,NaN,2.9375,11.0,40624.18813953466,125.26241137710286,25.0,4.0,225961.47758999205,79.38624246521975,14.5,16.0,73712.68167862149,97.21397512925202,23.625,16.0,126239.58832672001,62.9980179251999,52.42857142857143,7.0,272709.2823428625,53.021822400729945,74.2,5.0,369445.8399650158,63.01820656973175,107.0,8.0,369645.4991423829,48.33247416872568,80.57142857142857,7.0,330824.04051325377,54.69040629282235,0.0,0.0,8432.0,NaN,0.0,0.0,8430.5,NaN
10,0,152946.32415777462,574.5172392088963,8218602.926331106,2398448.878688937,2596290.6237941417,1.9493693817161652E8,672068.0327314464,683288.8071175342,0.0,0.0,0.05,0.05,0.05,4.6701810626840485,59.17466824557787,18.296727363340647,31.4,194440.8239171388,738.6650218400094,59.23675962938956,70.0,1.0338556793467082E7,2.410372596766554E7,11163.367289882619,78603.8805405763,81834.28054057967,3861996.1199379447,6.219005584241966E8,2.6746633097198984E8,0.0,0.0,7716.499999999993,NaN,0.0,0.0,7718.333333333333,NaN,1.5,10.0,19071.41754272193,120.61667084788348,57.75,4.0,197068.59539938217,64.10490164152316,13.0625,15.0,63207.73238254555,97.7584281024605,27.4375,14.0,119579.70301506732,56.54373084073884,36.42857142857143,7.0,229088.92174502157,62.49086835077942,75.8,5.0,396323.41948246694,52.12604173023777,99.75,8.0,469021.49842756556,52.52008865962571,70.14285714285714,7.0,332123.0155012598,69.55973962373984,0.0,0.0,7716.5,NaN,0.0,0.0,7713.25,NaN
