year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1056797.8507880494,6377.779294723976,4.3078439836879134E7,2.1468665268355303E7,2.2498677916796494E7,2.0442352804144928E8,4140695.0639515994,4390713.528691063,0.0,NaN,NaN,NaN,NaN,NaN,117.91486245763315,33.13132101155312,192.5,1056797.8507880494,6377.779294723976,107.69028175223106,90.0,7.673802482280733E7,1.7184983139373177E8,1008559.7036898611,1008559.7036898611,1008559.70368986,2.3390060978764545E7,6.566834730545185E8,2.6758393420990348E8,105.25,4.0,168935.51209065603,238.08540108127207,178.0,3.0,1510370.933119693,143.72213768639128,148.625,16.0,748013.2466318058,124.71484082959054,135.75,4.0,341016.79763365415,97.6931515198708,153.6875,16.0,783050.7185221416,119.59195474267479,193.75,16.0,1146969.66055239,127.7718273409845,253.42857142857142,7.0,1496610.7711612487,96.30604709883563,273.2,5.0,1459274.1564139677,83.78479189376677,243.25,8.0,1467638.1353441158,83.52194327658158,268.14285714285717,7.0,1626200.4368694355,96.17514088530369,255.0,2.0,1213812.6567486576,114.75935961380688,208.5,2.0,1183783.4434159272,110.40624515658314
2,0,169323.03318151846,881.8844808176782,6958779.2120039305,3234923.786289861,3462351.6918788035,2.231617632099829E8,557073.5492781923,590779.7941036822,0.0,NaN,NaN,NaN,NaN,NaN,165.17649241675412,29.715313842602413,29.677777777777777,169323.03318151846,881.8844808176782,153.80966141829597,90.0,1.1045827245658034E7,2.6284900231994677E7,200666.01463743288,200666.01463743288,200666.01463743215,3649480.8078167504,6.946876421470017E8,2.714842559363485E8,20.25,4.0,22595.21364083109,347.6735209115419,17.666666666666668,3.0,153981.7937117756,143.9741614650209,21.4375,16.0,101239.98061211922,262.2034843290214,29.0,4.0,142110.59334396687,207.50011534229108,21.5625,16.0,137869.9404739371,195.2019028358241,28.4375,16.0,180244.34272773116,125.65187154978071,39.42857142857143,7.0,236312.93028957112,95.91816328076015,43.8,5.0,247071.6937467392,84.76716033356563,38.875,8.0,239853.89821757475,81.31978937707058,43.57142857142857,7.0,255183.02837447682,97.42101607359159,43.5,2.0,204017.04808089056,113.87721476613405,40.0,2.0,202970.34747856652,114.41417348316696
3,0,114544.73532532112,1136.0418723649439,3894473.815349488,3398637.3782572746,3538474.537757247,2.0941571014805183E8,535305.5268520772,730710.4077266769,0.0,NaN,NaN,NaN,NaN,NaN,266.0519305500242,50.16867934879536,22.644444444444446,114544.73532532112,1136.0418723649439,238.8568504253893,90.0,1.315747056663607E7,2.3466496745914944E7,196862.0899599872,196862.0899599872,196862.08995998703,2744641.5549170123,6.896947618096932E8,2.7117474856660694E8,19.75,4.0,19156.067431515577,266.15544889901,16.333333333333332,3.0,143842.59170471318,165.93107479844898,19.625,16.0,166076.62895602704,107.67933086588346,26.75,4.0,188504.31002885668,93.26917730034377,21.125,16.0,153215.13628413994,159.62355942146868,23.3125,16.0,138846.34463717797,196.3369742461986,19.142857142857142,7.0,50388.92747282639,418.52236382504304,20.0,5.0,42021.55271860196,457.14533982379146,20.0,8.0,1067.9627766124322,558.9439057491392,44.714285714285715,7.0,237272.74325301027,157.92043934665443,19.0,2.0,-120658.93234332127,888.9217703065963,16.5,2.0,-137159.0799571853,1010.3615399227297
4,0,-19592.035396144594,1828.198723966133,6178261.437669189,2002414.265138716,2088014.1802999373,2.0137570300940102E8,969926.0835733023,812909.6437288619,0.0,NaN,NaN,NaN,NaN,NaN,295.53189083295274,66.37268461353447,27.544444444444444,-22606.194687859148,2109.460066114769,288.5717185818212,78.0,2.2025748383530755E7,2.0262465197877727E7,173959.70739732345,-109611.7464761691,-109611.74647616831,3177439.290473956,6.81149854914403E8,2.704375237107198E8,13.75,3.0,-157876.00918099453,779.7065522056145,19.333333333333332,3.0,-209118.67891814807,784.6384007540306,16.4375,11.0,-87627.54634629167,597.4358422974271,11.75,2.0,-84879.0027221803,592.2969693908951,19.625,12.0,-31768.52688751729,375.0486619733961,30.375,16.0,24410.439357765958,252.85936357110108,37.142857142857146,7.0,-46116.62829671121,256.84316392791277,37.6,5.0,22843.238088359987,191.28672502769942,40.5,8.0,46867.98944781811,115.42955801338965,51.42857142857143,7.0,229436.54211234214,64.99342980288478,34.5,2.0,-75237.78625674825,300.7567175131928,27.5,2.0,-133530.44474472338,433.9368354136843
5,0,-26508.130356661764,1085.1220714017245,4445686.245621681,2171246.5880339667,2260360.2207457516,1.9700706412757412E8,662701.0726233745,803867.4375940361,0.0,0.0,0.05,0.05,0.05,0.05,242.16812512062248,50.15972595077309,21.633333333333333,-31001.27861666101,1252.0639285404513,203.8861143706723,78.0,2.085070588364202E7,1.8464974151542477E7,-37886.60796621512,-29120.919435550808,-30855.919435551114,2589785.5742074093,6.745654767717654E8,2.700262294348867E8,9.0,3.0,-116069.01335069185,390.7983485634452,14.0,3.0,-57522.04126150021,305.77566031017176,16.5625,11.0,7130.72069574747,194.82677658309422,7.0,2.0,17919.582549856103,126.71736056831,20.75,12.0,22125.34792520033,112.97885077384448,32.6875,16.0,27706.622502553375,152.42397780027912,15.285714285714286,7.0,-61483.156923973365,316.64672859794456,18.0,5.0,-86674.47440020714,358.6432826602755,15.125,8.0,-119854.06505993061,451.07930860531894,51.42857142857143,7.0,-4058.2010687242896,362.9067607786828,11.5,2.0,-215857.10963118146,772.374357229826,10.0,2.0,-224631.1626980034,905.438047176972
6,0,15443.591274153348,688.9884767509545,4357353.381788516,1547047.7361738977,1604363.6432003577,1.9596105602634177E8,400489.16873521503,754597.6734945239,0.0,0.0,0.05,0.05,0.05,0.05,78.21215213978402,37.175637234763734,18.533333333333335,30857.105366845033,1550.2240726896478,126.95681260642604,40.0,1.3408460688805806E7,1.4798383903479617E7,-28333.83646489773,88531.47067487403,97177.47067487345,2258923.2574536516,6.690509206298627E8,2.6992733488111556E8,0.0,0.0,3112.625,NaN,0.0,0.0,3112.0,NaN,7.75,3.0,-5830.409741233278,166.57852856589093,8.0,1.0,-12957.364985585533,262.9342110287233,13.1875,6.0,-8211.20957967863,129.16947367725427,38.4375,11.0,66900.75007677253,79.42641576854977,28.571428571428573,3.0,54056.12605451852,120.62840248724194,10.2,3.0,-4267.352360627568,229.30821671036344,12.625,6.0,-23470.69860791393,280.22303245976406,47.714285714285715,7.0,56067.07868674187,270.9383468550276,0.0,0.0,3115.25,NaN,0.0,0.0,3114.75,NaN
7,0,6488.399317714771,267.1533961192605,1793364.5094985534,566145.2312543124,587080.9393756214,1.97521001733009E8,181785.1268927471,290128.984963339,0.0,0.0,0.05,0.05,0.05,0.05,24.080879770108044,35.88627709064693,7.444444444444445,27249.444136543654,1265.4634553017602,92.68934007949123,19.0,5154442.25955233,5738398.198146662,-35386.08498757472,-68847.47675185557,-70196.97675185543,905099.8566778738,6.678302734393057E8,2.7009486298474395E8,0.0,0.0,1414.125,NaN,0.0,0.0,1416.1666666666667,NaN,3.25,3.0,-84.4310278409248,166.72792388407169,0.0,0.0,1418.125,NaN,4.3125,4.0,-11344.191283777327,106.44244887875224,11.5625,7.0,-2336.1656774830626,84.51342695639447,0.0,0.0,-185.85714285714286,NaN,3.8,1.0,-27438.92389132334,369.2735208600958,0.0,0.0,1416.0625,NaN,49.285714285714285,4.0,130017.66655379531,70.11452564691068,0.0,0.0,1412.75,NaN,0.0,0.0,1416.5,NaN
8,0,8120.197284036546,207.22801952830633,1308742.1722310118,511475.6048368952,529865.2025178537,1.9991646877425388E8,145482.69036423805,216671.82830711745,0.0,0.0,0.05,0.05,0.05,0.05,16.49127232076143,36.713625506983405,5.644444444444445,65127.125556328916,1865.052175754757,112.52637773180054,10.0,3965786.459017143,4696604.214580429,1071.25,-1279.3780353061156,3746.3719646927493,697507.8480710451,6.687019423866507E8,2.703414498049305E8,0.0,0.0,1069.375,NaN,0.0,0.0,1071.5,NaN,3.9375,2.0,6363.246889744769,167.0594774173759,0.0,0.0,1070.0,NaN,2.6875,2.0,-20450.58392742186,350.5810270508213,9.8125,3.0,17308.91671459381,81.4439527581499,0.0,0.0,1073.0,NaN,0.0,0.0,1067.6,NaN,0.0,0.0,1071.25,NaN,35.0,3.0,91686.14010466023,68.20054721922814,0.0,0.0,1065.0,NaN,0.0,0.0,1074.25,NaN
9,0,9248.355419012241,89.93408905098879,781217.0260258398,252723.30682515487,263725.2974125156,2.0289134207367703E8,70049.19691358456,113744.2796122505,0.0,0.0,0.049999999999999996,0.05,0.05,0.05,3.005016082431853,28.500239487989404,3.1555555555555554,194835.24692777544,2023.5170036472477,67.72188740025487,4.0,1662945.3098737162,2495297.2975848233,712.0,129386.02607113495,141962.7760711384,389682.17664681334,6.715926164785725E8,2.707078421946381E8,0.0,0.0,714.75,NaN,0.0,0.0,713.6666666666666,NaN,0.0,0.0,384.46875,NaN,0.0,0.0,711.875,NaN,0.0,0.0,710.625,NaN,5.0,1.0,25016.069807639433,67.57600958985995,0.0,0.0,712.8571428571429,NaN,0.0,0.0,713.4,NaN,0.0,0.0,710.9375,NaN,29.142857142857142,3.0,55663.69582698155,67.62514594300227,0.0,0.0,707.25,NaN,0.0,0.0,710.5,NaN
10,0,11479.711862830916,89.0929273236271,777882.8271597613,282671.714999978,295984.7646185509,2.058808423609532E8,72813.24325903544,110158.09285253576,0.0,0.0,0.05,0.05,0.05,0.05,3.006175426789965,27.64952916940151,3.2222222222222223,244923.7669136956,2004.5908647816095,67.69689077457032,4.0,1603256.2387809013,2636430.3064356716,620.5,155780.85989980004,167311.60989979975,398035.8858124102,6.75688196131506E8,2.711118239398893E8,0.0,0.0,622.375,NaN,0.0,0.0,621.1666666666666,NaN,0.0,0.0,622.53125,NaN,0.0,0.0,622.375,NaN,0.0,0.0,622.3125,NaN,4.875,1.0,28805.842316585477,69.53976493801098,0.0,0.0,621.6428571428571,NaN,0.0,0.0,622.8,NaN,0.0,0.0,622.625,NaN,30.285714285714285,3.0,75798.94151277354,67.00534115769528,0.0,0.0,620.0,NaN,0.0,0.0,620.75,NaN
