year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-1042801.180054638,7801.736390048421,0.0,0.0,0.0,2.2656893457525346E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,107.28132545521129,72.72222222222223,-1042801.180054638,7801.736390048421,NaN,90.0,9.385210620491742E7,0.0,-1033428.6281876351,-1033428.6281876351,-1033428.6281876352,0.0,7.022837563355724E8,2.7209962264651567E8,42.75,4.0,-1088576.6694002193,NaN,51.0,3.0,-1079559.9752393344,NaN,56.9375,16.0,-1064001.4842453122,NaN,61.0,4.0,-1058533.1059364167,NaN,65.0625,16.0,-1054743.4106539034,NaN,73.4375,16.0,-1043258.3470307104,NaN,80.57142857142857,7.0,-1032532.3995291581,NaN,81.2,5.0,-1033411.5747606034,NaN,90.25,8.0,-1014107.3285760253,NaN,100.0,7.0,-1001485.4059611794,NaN,116.0,2.0,-977202.8902307693,NaN,113.0,2.0,-980244.1928344661,NaN
2,0,-370487.5289715866,2662.8541545360176,0.0,0.0,0.0,2.2656852047633556E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,105.25115235320229,25.3,-370487.5289715866,2662.8541545360176,NaN,90.0,3.3343877607442796E7,0.0,-373304.1619918224,-373304.1619918224,-373304.1619918223,0.0,7.022838519635956E8,2.7209962264651567E8,15.0,4.0,-394046.2758040621,NaN,20.0,3.0,-381436.41989425296,NaN,20.1875,16.0,-383299.0341743347,NaN,22.25,4.0,-384464.80374676426,NaN,22.625,16.0,-376808.23414491495,NaN,25.875,16.0,-367838.75367945986,NaN,28.571428571428573,7.0,-360119.6061989508,NaN,28.4,5.0,-359169.57906210574,NaN,31.25,8.0,-358917.4868748356,NaN,33.0,7.0,-352085.7899216079,NaN,36.5,2.0,-344777.6613464739,NaN,36.5,2.0,-348103.3958656533,NaN
3,0,-335856.6076954547,2610.3695293232927,0.0,0.0,0.0,2.1619033406540108E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,103.63178546056301,25.18888888888889,-335856.6076954547,2610.3695293232927,NaN,90.0,3.0227094692590922E7,0.0,-331680.9166161767,-331680.9166161767,-331680.9166161767,0.0,7.010440323585523E8,2.7239372196933067E8,14.75,4.0,-352547.2624874135,NaN,19.0,3.0,-348015.0664238611,NaN,20.375,16.0,-345150.2817036281,NaN,22.75,4.0,-339026.3427717506,NaN,22.75,16.0,-339374.7450256721,NaN,25.5625,16.0,-334279.1023464864,NaN,26.714285714285715,7.0,-333467.24953005195,NaN,27.2,5.0,-334049.51629269874,NaN,29.875,8.0,-327841.6126596775,NaN,33.714285714285715,7.0,-322015.1901180024,NaN,41.0,2.0,-308383.1976706566,NaN,40.5,2.0,-308882.52572574443,NaN
4,0,0.0,0.0,0.0,0.0,0.0,2.100128379409876E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.98324702484677E8,2.7273431028961354E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
5,0,0.0,0.0,0.0,0.0,0.0,2.0770376655546412E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.954242461424413E8,2.7311924478091556E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
6,0,0.0,0.0,0.0,0.0,0.0,2.081894577998613E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.932851206518565E8,2.7354735586371684E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
7,0,0.0,0.0,0.0,0.0,0.0,2.1039227215643746E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.924373960452384E8,2.7401544817236817E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
8,0,0.0,0.0,0.0,0.0,0.0,2.1346016903908658E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.930650424657775E8,2.74521479410909E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
9,0,0.0,0.0,0.0,0.0,0.0,2.1686550923159927E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.95108852223917E8,2.7506237601941836E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
10,0,0.0,0.0,0.0,0.0,0.0,2.2034047122969487E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.983626959795673E8,2.756378064525282E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
