x,y,depth
-724915.5859480163,332694.58043971733,-26.749483108520508
-714752.7937713661,332593.5750099818,-1.0499187707901
-704593.0626762428,332493.4516724808,-41.05107498168945
-694436.3658426087,332394.20913134643,-44.099979400634766
-684282.6764894049,332295.84610303823,-33.000125885009766
-674131.9678741903,332198.3613163021,-51.09977340698242
-663984.2132927589,332101.7535121287,-67.15059661865234
-653839.3860787859,332006.02144371375,-70.05001068115234
-643697.459603441,331911.16387641686,-68
-633558.4072750413,331817.17958772246,-69
-623422.2025386693,331724.0673672006,-70
-613288.8188758162,331631.8260164675,-69.94998931884766
-603158.2298040253,331540.45434914756,-66.0994873046875
-593030.4088765138,331449.95119083545,-65
-582905.3296818277,331360.31537905795,-64.75031280517578
-572782.965843468,331271.54576323734,-64.84996795654297
-562663.2910195501,331183.64120465436,-63
-552546.2789024261,331096.6005764121,-64
-542431.9032183381,331010.4227633995,-66
-532320.1377270687,330925.1066622564,-49.99941635131836
-522210.95622157503,330840.65118133824,-70.552093505859375
-512104.33252764365,330757.05524068134,-87.5999984741211
-502000.24050353304,330674.3177719685,-89.450469970703125
-491898.65403962263,330592.4377184948,-85.6499252319336
-481799.5470580702,330511.41403513507,-78.749786376953125
-471702.89351245295,330431.2456883094,-78.45062255859375
-461608.66738742637,330351.9316559518,-73.04993438720703
-451516.84269836755,330273.47092747636,-68.5499038696289
-441427.3934910414,330195.86250374693,-62.30010986328125
-431340.29384124605,330119.1053970441,-32.99824905395508
-421255.5178544733,330043.198631035,-2.650019407272339
-411173.03966556024,329968.1412407423,100
-401092.8334383477,329893.93227251316,-8.300006866455078
-391014.87336534867,329820.5707839902,-31.900959014892578
-380939.1336673901,329748.05584408116,-45.5
-370865.58859328786,329676.38653293,-50.65029525756836
-360794.2124194958,329605.5619418876,-54.050025939941406
-350724.97944978275,329535.58117348375,-56.95026397705078
-340657.8640148778,329466.44334139844,-59.350093841552734
-330592.8404721436,329398.14757043484,-61
-320529.88320524234,329330.6929964909,-57.69989013671875
-310468.96662379196,329264.07876653335,-56.55036544799805
-300410.0651630461,329198.30403857,-58
-290353.15328354493,329133.36798162444,-59
-280298.2054707912,329069.2697757092,-59.50008010864258
-270245.19623492064,329006.00861180096,-60.150352478027344
-260194.10011036578,328943.58369181445,-61
-250144.89165553008,328881.99422857846,-60
-240097.54545245052,328821.2394458106,-55.29974365234375
-230052.03610647994,328761.3185780938,-47.50018310546875
-220008.33824595367,328702.2308708517,-38.849876403808594
-209966.42652185657,328643.975580326,-36
-199926.27560750884,328586.5519735531,-33.54990768432617
-189887.86019822583,328529.9593283409,-30
-179851.1550110099,328474.19693324703,-32.00028610229492
-169816.13478420535,328419.2640875564,-36.350093841552734
-159782.77427719394,328365.16010125965,-34.44987106323242
-149751.04827005765,328311.8842950318,-28.600116729736328
-139720.93156325945,328259.436000211,-20.799640655517578
-129692.39897733228,328207.8145587782,-14.000080108642578
-119665.42535253812,328157.0193233364,-12.500080108642578
-109639.98554856458,328107.0496570913,-12.400043487548828
-99616.05444419035,328057.9049338307,-8.500080108642578
-89593.60693698272,328009.58453790605,-6.500080108642578
-79572.61794295965,327962.08786421275,-7.000629425048828
-69553.06239628256,327915.41431817226,-6.650158882141113
-59534.91524893779,327869.563315713,-4.949859142303467
-49518.15147041681,327824.5342832529,-1.0499347448349
-39502.74604740064,327780.32665768155,100
-29488.673983439105,327736.9398863428,100
-19475.910298642004,327694.37342701794,100
-9464.430029361509,327652.6267479089,100
545.7917721284321,327611.69932762184,100
10554.780037936056,327571.5906551516,100
