value,run,year,Average Cash-Flow
0.0,0,0,2089351623.53
0.0,0,1,2306144481.56
0.0,0,2,1486103723.3
0.0,0,3,1197602179.52
0.0,0,4,1048275810.85
0.01,0,0,505385606.656
0.01,0,1,642415794.453
0.01,0,2,730123839.854
0.01,0,3,860357067.627
0.01,0,4,935892874.924
0.02,0,0,1852113625.07
0.02,0,1,2268722075.8
0.02,0,2,2596678536.35
0.02,0,3,1797793356.78
0.02,0,4,2271500760.57
0.03,0,0,822500986.422
0.03,0,1,1024174794.24
0.03,0,2,1609333810.84
0.03,0,3,1765469278.65
0.03,0,4,2307208438.13
0.04,0,0,1255157495.79
0.04,0,1,1346050500.57
0.04,0,2,1852929881.4
0.04,0,3,1069717258.92
0.04,0,4,3136674550.02
0.05,0,0,1009100141.36
0.05,0,1,1445847196.13
0.05,0,2,1103798708.57
0.05,0,3,2731924234.54
0.05,0,4,1913998317.02
0.06,0,0,1802414096.29
0.06,0,1,2723937331.3
0.06,0,2,1133490325.19
0.06,0,3,1140375695.16
0.06,0,4,1024296560.06
0.07,0,0,2359806790.65
0.07,0,1,1254762615.63
0.07,0,2,1348876869.56
0.07,0,3,1419024609.22
0.07,0,4,3344722279.38
0.08,0,0,1030629381.82
0.08,0,1,1054367348.87
0.08,0,2,2303508866.26
0.08,0,3,2469936695.86
0.08,0,4,643737464.895
0.09,0,0,1246300735.35
0.09,0,1,1141710181.98
0.09,0,2,2374519797.89
0.09,0,3,2110143627.0
0.09,0,4,941430897.373
0.1,0,0,874100384.766
0.1,0,1,1822872069.04
0.1,0,2,1903038221.43
0.1,0,3,2375317062.34
0.1,0,4,2228743911.13
0.11,0,0,538486269.07
0.11,0,1,531005299.351
0.11,0,2,1523448766.26
0.11,0,3,2699591361.43
0.11,0,4,2793730714.41
0.12,0,0,1473249271.09
0.12,0,1,1878108437.58
0.12,0,2,1519365571.88
0.12,0,3,1558813936.12
0.12,0,4,1402222034.39
0.13,0,0,1787561317.11
0.13,0,1,1513599032.55
0.13,0,2,1548019426.3
0.13,0,3,703688696.486
0.13,0,4,857536685.822
0.14,0,0,634899354.65
0.14,0,1,513720147.085
0.14,0,2,665804957.813
0.14,0,3,3087421821.31
0.14,0,4,1585784567.37
0.15,0,0,501081600.189
0.15,0,1,699309467.502
0.15,0,2,2191037636.88
0.15,0,3,804087191.11
0.15,0,4,2319013543.15
0.16,0,0,1649232223.27
0.16,0,1,2425694100.38
0.16,0,2,2845692052.8
0.16,0,3,1982303739.43
0.16,0,4,2433025319.03
0.17,0,0,493313980.793
0.17,0,1,472602360.611
0.17,0,2,1153082595.48
0.17,0,3,2462755065.37
0.17,0,4,1910803596.58
0.18,0,0,1327903528.17
0.18,0,1,1409408665.39
0.18,0,2,749097512.777
0.18,0,3,2198032971.55
0.18,0,4,3537122355.81
0.19,0,0,1117202196.0
0.19,0,1,978662295.463
0.19,0,2,2968587932.0
0.19,0,3,2221801599.55
0.19,0,4,3543960909.9
0.2,0,0,2397475808.35
0.2,0,1,1569370456.28
0.2,0,2,1899409162.71
0.2,0,3,2139724480.69
0.2,0,4,1835617034.0
0.21,0,0,1718937550.01
0.21,0,1,1183705780.51
0.21,0,2,901984904.241
0.21,0,3,1392466726.07
0.21,0,4,1622396386.17
0.22,0,0,2290410041.6
0.22,0,1,2244024459.28
0.22,0,2,1292451252.57
0.22,0,3,979780135.129
0.22,0,4,2871497679.95
0.23,0,0,797896046.749
0.23,0,1,2124535792.47
0.23,0,2,2980252307.93
0.23,0,3,2677837062.69
0.23,0,4,1960696725.7
0.24,0,0,2251969850.91
0.24,0,1,1564907794.18
0.24,0,2,2354019811.34
0.24,0,3,1910693975.13
0.24,0,4,3144981826.82
0.25,0,0,1168345658.82
0.25,0,1,2350711822.13
0.25,0,2,1961196295.55
0.25,0,3,2220592557.47
0.25,0,4,1835479036.1
0.26,0,0,889366509.362
0.26,0,1,479045520.232
0.26,0,2,656356580.31
0.26,0,3,2473132464.38
0.26,0,4,2947192078.0
0.27,0,0,1814526765.74
0.27,0,1,1508148932.56
0.27,0,2,2321696294.02
0.27,0,3,2707873316.9
0.27,0,4,1898244078.59
0.28,0,0,1585305886.09
0.28,0,1,1822172843.93
0.28,0,2,1795897934.6
0.28,0,3,2517897349.07
0.28,0,4,1308744109.96
0.29,0,0,1362202065.07
0.29,0,1,1525776780.56
0.29,0,2,1649114319.23
0.29,0,3,1949229088.97
0.29,0,4,2892436022.62
0.3,0,0,1473208011.32
0.3,0,1,1848133386.28
0.3,0,2,2739260994.62
0.3,0,3,1880028078.15
0.3,0,4,1061639432.01
0.31,0,0,1169954351.33
0.31,0,1,513794878.818
0.31,0,2,903552110.836
0.31,0,3,474856269.318
0.31,0,4,766861440.037
0.32,0,0,1212015988.54
0.32,0,1,2409346203.77
0.32,0,2,2630292286.14
0.32,0,3,3920060567.25
0.32,0,4,1222131047.92
0.33,0,0,850555389.94
0.33,0,1,3036002707.04
0.33,0,2,2850587817.83
0.33,0,3,3159826831.41
0.33,0,4,901729402.664
0.34,0,0,768599391.999
0.34,0,1,1185282843.44
0.34,0,2,1409230185.2
0.34,0,3,3071656511.54
0.34,0,4,3269564596.95
0.35,0,0,2317206502.63
0.35,0,1,1347415513.76
0.35,0,2,1814105994.38
0.35,0,3,2021082152.34
0.35,0,4,1618665086.21
0.36,0,0,1146276663.14
0.36,0,1,1893036225.37
0.36,0,2,2043146850.08
0.36,0,3,2476068190.32
0.36,0,4,2675034394.75
0.37,0,0,1858254006.46
0.37,0,1,1971862229.06
0.37,0,2,2626063368.78
0.37,0,3,1210976569.06
0.37,0,4,873774119.007
0.38,0,0,996648778.218
0.38,0,1,1614883759.65
0.38,0,2,2295654171.91
0.38,0,3,2879134289.97
0.38,0,4,2450551144.1
0.39,0,0,580712774.07
0.39,0,1,478359847.747
0.39,0,2,703601812.376
0.39,0,3,671802951.696
0.39,0,4,725764873.004
0.4,0,0,2047932188.56
0.4,0,1,1231625509.69
0.4,0,2,726638378.113
0.4,0,3,1211494720.88
0.4,0,4,1210790507.31
0.41,0,0,687331571.794
0.41,0,1,2419421948.09
0.41,0,2,1538279348.37
0.41,0,3,924074967.508
0.41,0,4,744646197.929
0.42,0,0,660839263.831
0.42,0,1,1549048018.11
0.42,0,2,2471387434.47
0.42,0,3,3049013444.14
0.42,0,4,2362064656.46
0.43,0,0,724581611.655
0.43,0,1,1687453126.63
0.43,0,2,1861386276.75
0.43,0,3,1945390477.58
0.43,0,4,3479863265.74
0.44,0,0,1544203157.75
0.44,0,1,1373272211.13
0.44,0,2,571814034.977
0.44,0,3,1361597282.78
0.44,0,4,834680403.602
0.45,0,0,602064673.889
0.45,0,1,633186514.555
0.45,0,2,974876804.942
0.45,0,3,2526055628.07
0.45,0,4,2594019219.74
0.46,0,0,496654429.58
0.46,0,1,573053832.798
0.46,0,2,1699198771.33
0.46,0,3,2221065441.9
0.46,0,4,641625913.915
0.47,0,0,2230927620.19
0.47,0,1,2186896574.77
0.47,0,2,1073251822.84
0.47,0,3,641573814.339
0.47,0,4,1162848385.47
0.48,0,0,1368938023.29
0.48,0,1,1765203072.66
0.48,0,2,1563924288.51
0.48,0,3,2639348305.32
0.48,0,4,2743494106.73
0.49,0,0,2518106157.57
0.49,0,1,1413610321.14
0.49,0,2,1243766980.04
0.49,0,3,1076921099.42
0.49,0,4,1131949666.18
0.5,0,0,1686199038.02
0.5,0,1,1486316492.67
0.5,0,2,2425730231.9
0.5,0,3,1248236676.36
0.5,0,4,1339544102.12
0.51,0,0,1536064545.42
0.51,0,1,1943114915.8
0.51,0,2,2334842520.66
0.51,0,3,824275398.407
0.51,0,4,930501823.788
0.52,0,0,809537383.313
0.52,0,1,898261414.914
0.52,0,2,857026069.191
0.52,0,3,716230613.789
0.52,0,4,2433210778.86
0.53,0,0,497751436.954
0.53,0,1,529781715.67
0.53,0,2,617005892.727
0.53,0,3,654701730.127
0.53,0,4,709754496.49
0.54,0,0,2439205524.56
0.54,0,1,1289978879.34
0.54,0,2,2353704886.15
0.54,0,3,1475897956.08
0.54,0,4,1710621788.05
0.55,0,0,463875717.843
0.55,0,1,492783666.966
0.55,0,2,646029623.559
0.55,0,3,700653164.94
0.55,0,4,759579152.931
0.56,0,0,1742919060.27
0.56,0,1,2735069751.88
0.56,0,2,2280621630.07
0.56,0,3,1406821941.53
0.56,0,4,1539648859.72
0.57,0,0,2551566699.87
0.57,0,1,2005316374.77
0.57,0,2,1971717770.2
0.57,0,3,1992135489.81
0.57,0,4,1384099943.41
0.58,0,0,515531546.895
0.58,0,1,739365074.244
0.58,0,2,2782703490.87
0.58,0,3,2991072464.5
0.58,0,4,2678205903.26
0.59,0,0,470051675.553
0.59,0,1,674753348.525
0.59,0,2,756744730.242
0.59,0,3,943141390.968
0.59,0,4,1141601595.19
0.6,0,0,1909697999.32
0.6,0,1,1801228061.17
0.6,0,2,2707522149.4
0.6,0,3,2682236436.15
0.6,0,4,2238744382.81
0.61,0,0,2101008423.42
0.61,0,1,1677404001.49
0.61,0,2,796339102.385
0.61,0,3,1813058402.73
0.61,0,4,1670361704.35
0.62,0,0,2037740620.83
0.62,0,1,1104815625.02
0.62,0,2,2438606076.44
0.62,0,3,2229052679.53
0.62,0,4,2861953233.84
0.63,0,0,2042220603.26
0.63,0,1,1976211503.42
0.63,0,2,2399839585.45
0.63,0,3,1933274694.66
0.63,0,4,2022876644.21
0.64,0,0,996868469.607
0.64,0,1,420497870.64
0.64,0,2,1589360120.79
0.64,0,3,1904864025.16
0.64,0,4,2417020875.0
0.65,0,0,1194256670.23
0.65,0,1,1804573978.78
0.65,0,2,1588042458.35
0.65,0,3,2071892220.33
0.65,0,4,3523871459.04
0.66,0,0,1536488241.08
0.66,0,1,2342252774.87
0.66,0,2,1573118031.12
0.66,0,3,1061211649.98
0.66,0,4,2244387776.08
0.67,0,0,1666041064.82
0.67,0,1,2792850047.67
0.67,0,2,2592273254.23
0.67,0,3,2558074015.1
0.67,0,4,2346411857.92
0.68,0,0,1624384662.3
0.68,0,1,1419627971.14
0.68,0,2,2774533729.55
0.68,0,3,2929432577.43
0.68,0,4,2700833082.54
0.69,0,0,1193383260.85
0.69,0,1,1454288690.26
0.69,0,2,2170529443.83
0.69,0,3,1072233712.62
0.69,0,4,792576089.003
0.7,0,0,1348484977.83
0.7,0,1,1272032211.28
0.7,0,2,2611785427.07
0.7,0,3,2606080670.25
0.7,0,4,1742428919.1
0.71,0,0,1702305106.65
0.71,0,1,884572599.518
0.71,0,2,2506319280.76
0.71,0,3,3247412966.86
0.71,0,4,3546710976.57
0.72,0,0,1223954170.92
0.72,0,1,1798194418.63
0.72,0,2,2419724690.33
0.72,0,3,3086799091.32
0.72,0,4,3883468570.35
0.73,0,0,1625766912.36
0.73,0,1,1323291672.79
0.73,0,2,1552282420.78
0.73,0,3,699979749.254
0.73,0,4,673294936.87
0.74,0,0,729977743.612
0.74,0,1,2262070033.65
0.74,0,2,2401244320.76
0.74,0,3,2535453264.84
0.74,0,4,2312334463.21
0.75,0,0,574852212.033
0.75,0,1,504706464.107
0.75,0,2,820960783.28
0.75,0,3,604725846.021
0.75,0,4,830625456.707
0.76,0,0,988320700.255
0.76,0,1,1699204815.98
0.76,0,2,2805297313.87
0.76,0,3,2708368608.63
0.76,0,4,2921503261.07
0.77,0,0,749354540.773
0.77,0,1,2054504673.12
0.77,0,2,2685694400.42
0.77,0,3,1496480908.42
0.77,0,4,780401083.587
0.78,0,0,1436961239.71
0.78,0,1,1573406765.37
0.78,0,2,3212770315.99
0.78,0,3,1427727105.86
0.78,0,4,722089355.425
0.79,0,0,1286184060.94
0.79,0,1,1658823406.69
0.79,0,2,2292914093.81
0.79,0,3,2733920521.65
0.79,0,4,963288947.348
0.8,0,0,966109967.962
0.8,0,1,523513675.614
0.8,0,2,797676565.619
0.8,0,3,3497189472.46
0.8,0,4,2229512123.12
0.81,0,0,1503596691.59
0.81,0,1,792164081.102
0.81,0,2,2697306582.05
0.81,0,3,2681741885.56
0.81,0,4,1688310693.87
0.82,0,0,527244371.046
0.82,0,1,1133375913.67
0.82,0,2,2749010448.79
0.82,0,3,2831517762.3
0.82,0,4,2874514046.23
0.83,0,0,2335504370.09
0.83,0,1,2314664930.89
0.83,0,2,725080071.835
0.83,0,3,832633055.839
0.83,0,4,760746982.049
0.84,0,0,1015433340.1
0.84,0,1,2852093176.82
0.84,0,2,1942227252.52
0.84,0,3,2701351023.31
0.84,0,4,2838965084.97
0.85,0,0,1290569028.2
0.85,0,1,1174928491.86
0.85,0,2,1096355241.02
0.85,0,3,1456365257.44
0.85,0,4,1891049935.03
0.86,0,0,1770977713.79
0.86,0,1,2223447294.0
0.86,0,2,1273451358.45
0.86,0,3,1322645101.4
0.86,0,4,931327747.74
0.87,0,0,2139780546.34
0.87,0,1,1459872447.38
0.87,0,2,833804319.734
0.87,0,3,960768367.475
0.87,0,4,2182214890.16
0.88,0,0,626502201.338
0.88,0,1,2539502848.71
0.88,0,2,1811723919.57
0.88,0,3,2647536947.68
0.88,0,4,3059099024.58
0.89,0,0,1200018681.67
0.89,0,1,1218226083.1
0.89,0,2,1117218014.19
0.89,0,3,2158278207.84
0.89,0,4,2188388394.49
0.9,0,0,1262181794.1
0.9,0,1,811304569.111
0.9,0,2,1142910429.01
0.9,0,3,2255978637.4
0.9,0,4,2566587497.52
0.91,0,0,971412215.447
0.91,0,1,1842167805.45
0.91,0,2,1547977050.7
0.91,0,3,2928890597.54
0.91,0,4,2056530561.62
0.92,0,0,523898040.588
0.92,0,1,2343039180.38
0.92,0,2,2246075577.44
0.92,0,3,2479137706.6
0.92,0,4,3189997707.27
0.93,0,0,1207591843.03
0.93,0,1,1860330486.45
0.93,0,2,1311498423.09
0.93,0,3,1469779587.94
0.93,0,4,4214152593.05
0.94,0,0,1032588787.52
0.94,0,1,2225686094.56
0.94,0,2,2731732577.67
0.94,0,3,2840625756.8
0.94,0,4,2163306022.26
0.95,0,0,1296117313.38
0.95,0,1,1659010895.69
0.95,0,2,2506617056.37
0.95,0,3,2399687877.25
0.95,0,4,3324675194.29
0.96,0,0,1752835034.42
0.96,0,1,2560388319.51
0.96,0,2,2578953207.06
0.96,0,3,1849733234.08
0.96,0,4,743395768.192
0.97,0,0,473236197.844
0.97,0,1,663702279.592
0.97,0,2,601343806.038
0.97,0,3,713449378.712
0.97,0,4,702429036.441
0.98,0,0,458236749.245
0.98,0,1,651536630.796
0.98,0,2,1085705650.32
0.98,0,3,2723557583.29
0.98,0,4,1098391931.34
0.99,0,0,1927745445.46
0.99,0,1,2259622331.01
0.99,0,2,2365955394.11
0.99,0,3,647970617.922
0.99,0,4,1883881052.47
