year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,37324.237120934646,1.7621728730953563E7,3826835.561770199,3905510.6676860778,1.9539810067930678E8,2234578.409995033,2779058.9394166293,4372.33256076936,NaN,NaN,NaN,NaN,NaN,319.8963876433546,68.548316670477,35.833333333333336,37324.237120934646,2456.3146806920927,267.34423440359467,90.0,4.5188488782088526E7,4.8547670122972645E7,68243.45388584946,68243.45388584946,68243.45388584957,8480246.294215258,6.484245478160822E8,2.6486362615343854E8,17.0,4.0,-259783.58488878174,818.5590101412224,28.666666666666668,3.0,-22069.303696628525,376.47312136541024,27.5,16.0,-45547.496768220866,350.6858289732447,23.25,4.0,-151848.65035609965,500.22495345714134,30.4375,16.0,-18375.624081420538,310.65569710209036,39.5,16.0,78756.62377773288,276.0443124677681,50.857142857142854,7.0,251713.9119039998,183.58444493260944,48.2,5.0,226057.48508952503,201.8339096330353,48.125,8.0,175974.5707025426,210.47105416300582,43.0,7.0,102523.46103261261,226.69655311735318,33.0,2.0,-37980.44547269313,528.4691711758688,35.0,2.0,-53601.28228740042,383.0514712759395
2,0,91561.7821727238,8443784.894552467,1194921.7884597883,1290280.1943237484,1.9808524699121487E8,601796.3918981205,894403.6844138349,542.6866666666667,84.33423412698413,0.05,0.0820565523322752,0.05,3.4544511298580494,248.38307607265682,36.047930012130486,15.155555555555555,91561.7821727238,546.3264059616221,132.72180412783538,90.0,1.0497621941076599E7,1.8738182336621605E7,70501.4857639579,70501.4857639579,47024.635763955885,3601107.637067888,6.575588104612093E8,2.665598513628037E8,1.0,4.0,-3225.74189190616,473.58685609602276,1.3333333333333333,3.0,19999.01324781183,220.22420848372656,1.375,16.0,19607.744230941706,240.34851878722964,1.0,4.0,7254.369498531726,292.01785090924625,2.6875,16.0,18002.54095250584,300.8121289275647,20.375,16.0,119988.19358696722,247.71123417288362,46.0,7.0,264906.50261803804,150.17934282824208,55.8,5.0,335607.8993648888,144.57913244109778,30.125,8.0,167726.0960897585,206.0517173328362,12.428571428571429,7.0,82439.85713809512,180.49587356724527,11.5,2.0,89727.48932111566,371.9936563682264,4.5,2.0,6072.711285446581,289.70602724548377
3,0,69341.24636646309,7068468.117628541,1205076.606287598,1269394.089045655,1.9819524676738647E8,640381.9170449963,871106.0732119145,543.3583333333333,0.05000000000000008,0.05,0.05,0.05,2.2237332034997452,251.8341577442014,41.427902250068016,13.444444444444445,69341.24636646309,556.9751302509144,134.1335624497182,90.0,1.0839312426040132E7,1.7080024599021927E7,36573.17943557141,36573.17943557141,19292.929435577083,3149626.2942525065,6.507839941836753E8,2.662682291324415E8,1.0,4.0,-10135.848842614472,473.58685609602276,1.0,3.0,2899.117031271322,222.74813283152517,1.0625,16.0,2924.794588348357,217.610215089278,1.0,4.0,-1006.0155244855187,292.01785090924625,2.25,16.0,7566.404219368298,301.51677368374794,17.625,16.0,95825.5544261917,268.2745376041621,41.285714285714285,7.0,221521.96207398517,189.33379581353807,40.6,5.0,264222.3184172109,153.2474524493819,33.0,8.0,146918.65120880256,194.75777179655915,12.714285714285714,7.0,61111.57453060588,191.37348831649965,8.5,2.0,48787.28307952994,369.72123453473165,1.0,2.0,1522.051733029497,303.6468269141771
4,0,55094.1670900335,5055718.994293712,1175846.4556581504,1216711.575522741,1.9945730311079082E8,542014.9889189538,856604.2311260571,543.3583333333333,0.6892134831460675,0.05,0.05,0.05,1.3411821362049194,111.6398338576004,46.31263045691858,10.4,95963.17832863296,884.665757299506,124.52135203303679,49.0,9292964.967793398,1.4251440005896483E7,118426.19992767024,12237.66932645283,6024.369326452763,2449091.188992911,6.481315186702641E8,2.6611217576642781E8,0.0,0.0,6249.924999999992,NaN,0.6666666666666666,2.0,3055.3360627218644,212.48578858008665,2.1875,6.0,18482.821903564978,166.95748585978524,0.0,0.0,6246.674999999995,NaN,3.3125,6.0,14606.032295874636,420.31716891064644,10.9375,11.0,64986.64859440406,158.1891150773334,34.42857142857143,6.0,183591.81885334433,172.2294041117121,34.2,4.0,231310.26486908426,172.3513222946524,21.625,6.0,53551.15016521805,208.7750954762735,11.285714285714286,6.0,58129.462783831485,174.35503471965117,3.0,1.0,20649.141863304772,100.37770250175015,0.5,1.0,5903.402179672325,236.94507802442322
5,0,55402.61729164432,3977269.1849476853,1182650.6382019075,1214041.6836346006,2.011775259728025E8,448165.63544726983,817120.3674631348,543.3583333333333,0.05000000000000008,0.05000000000000001,0.05,0.05,1.6084147103571638,66.75410074147923,46.78848534907112,8.655555555555555,143396.44715903015,1104.4918208159515,138.73548078714416,33.0,7750151.561840923,1.2736387118088624E7,18449.666564115767,505551.3536557059,569414.9536557025,2062050.4023406906,6.485059947798036E8,2.6609315925172994E8,0.0,0.0,4369.299999999991,NaN,0.0,0.0,4367.466666666664,NaN,0.6875,1.0,4515.009505468632,297.25133483610705,0.0,0.0,4367.174999999994,NaN,3.1875,2.0,35361.67391552256,131.22519608555444,12.625,9.0,70480.45359618537,165.14954848920533,26.857142857142858,6.0,194220.48040075536,162.55497845588042,33.8,4.0,239651.80086717746,184.2755202315328,9.625,5.0,27678.143849195007,177.2473158401947,7.428571428571429,4.0,36972.989188673004,178.92587535437326,10.5,1.0,77158.17310077747,115.78637109606866,4.0,1.0,-9940.86224191841,531.6629999471185
6,0,58559.328072842574,3621988.7512761373,1216231.209512948,1248841.2383165846,2.0298015005354592E8,424646.38764267054,738963.3391849501,542.015,0.05000000000000008,0.05,0.05,0.05,2.0486261898034295,57.980774185380625,47.160453488570084,8.055555555555555,167644.18421852772,1139.7109593071104,124.62856796734982,30.0,7024688.911597852,1.2295028438153751E7,3694.742519900181,382967.10019740916,374807.20019740413,1924620.6500228862,6.507678577334195E8,2.6613823973561817E8,0.0,0.0,4015.799999999991,NaN,0.0,0.0,4017.466666666665,NaN,0.125,1.0,4161.876661536555,156.01486056038488,0.0,0.0,4016.299999999994,NaN,2.0,2.0,32328.973975694462,199.51167383694502,11.875,9.0,76569.9859356541,171.25385096358755,30.0,5.0,208110.10349459705,121.02740884093195,24.2,4.0,164559.52640524303,182.42917976741245,13.625,5.0,81356.73719844644,237.7255162867437,7.857142857142857,3.0,60414.71169225455,163.36096226168866,3.0,1.0,27912.002733961126,108.3825782845996,0.0,0.0,4018.050000000003,NaN
7,0,64768.94391959339,3061240.6907541133,1266959.7564984486,1303292.8360599768,2.04700717681354E8,366093.78341718175,706854.8742554823,541.3433333333332,0.05000000000000008,0.05,0.05,0.05,2.5354826432276485,57.59774930897917,44.876489281886776,7.277777777777778,193839.35009528982,1013.5896717115806,101.47898211925649,29.0,5877293.325340572,1.1706498278104054E7,3214.3230052938234,174475.63180928468,77327.83180927805,1733265.325858725,6.547827307252856E8,2.662835007489892E8,0.0,0.0,3406.799999999991,NaN,0.0,0.0,3410.1333333333314,NaN,0.1875,1.0,3569.833221851307,128.7005209779665,0.0,0.0,3406.674999999994,NaN,1.5,2.0,29131.030222227026,200.72379940912174,8.125,9.0,63887.490301425954,209.5884477070947,29.0,5.0,247981.74266284655,113.84114180752177,27.0,3.0,192873.31546084903,97.00773614787067,12.125,5.0,127837.73284182238,240.89388397648435,8.285714285714286,3.0,70065.42515311395,152.19311435491792,2.5,1.0,13046.389042394265,246.07560821966712,0.0,0.0,3407.7999999999884,NaN
1,1,27097.484531334332,1.806176508481591E7,3587863.5238200207,3661363.8595743743,1.9564851080898255E8,2368504.2371475645,2414323.051188248,5438.745761602745,NaN,NaN,NaN,NaN,NaN,309.0614918741259,68.3953593939018,35.855555555555554,27097.484531334332,2452.353608490235,264.5597569932302,90.0,4.511561515921823E7,4.7554388767038316E7,123225.5013640295,123225.5013640295,123225.50136402939,8471574.733701663,6.480588046960438E8,2.6472376548138627E8,18.25,4.0,-251664.14826759632,658.4212892198127,25.666666666666668,3.0,-121603.5915104082,450.49665058767386,29.0,16.0,-22981.733960225127,364.66925234043026,30.25,4.0,-67808.36118909717,436.09063269161123,34.25,16.0,14981.88424378028,289.75754878998606,37.3125,16.0,47469.428013883604,266.5473304239593,43.714285714285715,7.0,145698.86691397423,234.62266652363684,45.6,5.0,101217.1027244502,220.53991835401538,43.75,8.0,102413.65052915447,251.4261549947056,40.0,7.0,78479.78482326798,252.87333449386273,43.5,2.0,102973.53589232464,223.7439427048753,48.0,2.0,174684.4078091184,188.1709000663194
2,1,108000.71680180404,1.1226574408972617E7,1177629.1580517283,1266677.2579198922,1.98104547903596E8,781680.9401449724,755682.4046565755,541.3433333333334,0.9404597701149426,0.05,0.07894664789008762,0.060449678902762094,2.571581651582217,232.33397179019934,34.38150842405689,18.833333333333332,108000.71680180404,647.5184086530714,120.24298801465649,90.0,1.244216209428298E7,2.2162226606445495E7,196439.05276341134,196439.05276341134,156123.3027633922,4503124.207426285,6.54798071753528E8,2.6637679990384662E8,1.0,4.0,-5998.691144783945,571.9499465464326,1.0,3.0,13989.010718958321,140.10953416974766,2.6875,16.0,37028.72683332392,216.30107411745885,21.25,4.0,126032.20635451493,145.05063648916777,6.625,16.0,38818.298449318754,273.42800644799036,18.4375,16.0,107010.61871531724,230.96308584665923,40.57142857142857,7.0,223124.02985311017,282.65393517032896,46.2,5.0,249942.8274088988,108.5698577997503,46.5,8.0,259551.34048345525,140.59600142513582,12.857142857142858,7.0,71474.10689184118,252.88320697036337,39.0,2.0,187571.76838687298,190.16779824560854,52.0,2.0,254392.88014933252,146.96948599832865
3,1,72709.67494865222,7295542.383428661,1340297.1015474852,1414042.3071150617,1.9805963198534366E8,874218.9320607731,935236.632398109,49.93062377040315,0.05000000000000008,0.05,0.049999999999999996,0.05,2.9224901826530796,251.450245921455,43.039962140167695,14.277777777777779,72709.67494865222,614.5150150012832,132.31946149001763,90.0,1.1959142841161208E7,1.850301358653998E7,105288.15613470886,105288.15613470886,86365.20613467388,3362725.537642297,6.479204208841625E8,2.6583379909408653E8,1.5,4.0,-19096.488482449306,636.2739992595356,4.333333333333333,3.0,12560.9607053142,146.06145756310517,4.625,16.0,22112.458314703137,230.52069542763334,16.25,4.0,48864.07734351263,167.06764882469153,6.5,16.0,32144.158798702167,333.6397386960465,12.0625,16.0,70786.5522862446,244.38745680633176,23.285714285714285,7.0,158648.0114944882,304.7766816712944,28.8,5.0,141095.41096119964,112.91848186507116,27.25,8.0,129329.28286496003,146.16215407971603,19.857142857142858,7.0,82993.33192975067,231.72262937912868,34.5,2.0,175342.90882368686,121.83425662864124,48.5,2.0,302070.12904069043,154.57579022560657
