year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,206480.75147501126,2.4407110997981466E7,4797494.804210426,4900176.822451734,1.944030504807258E8,2454517.221750225,2464839.156956055,1300.3681673199978,NaN,NaN,NaN,NaN,NaN,295.703333565581,51.57159773326031,45.266666666666666,206480.75147501126,2334.474324058917,182.92416594763597,90.0,4.29470911436139E7,6.1530358776364915E7,658580.042332911,658580.042332911,658580.0423329114,1.0940928794783736E7,6.416109792842613E8,2.646226828586863E8,16.5,4.0,-226310.02653503674,807.2282792197159,17.333333333333332,3.0,-297793.57874808443,957.1415864247933,40.6875,16.0,103294.32401610131,341.9251217168793,30.5,4.0,-146727.8925955824,855.2221172603454,28.9375,16.0,218580.03880632372,201.1661082046647,68.625,16.0,471913.4531403954,114.62414971373542,51.857142857142854,7.0,296871.81782701594,180.65626848074086,62.6,5.0,453012.5325272853,122.68348263016973,49.875,8.0,166739.52125877887,216.95147740186832,65.14285714285714,7.0,478794.5358809564,65.54403838596225,21.5,2.0,-188338.17386433634,708.8634650079243,24.0,2.0,-191885.9854105865,539.2346455473142
2,0,168793.08494792593,1.4373320963738622E7,1229422.3804847882,1319512.0332492797,1.9805160430127427E8,681714.8712038657,704946.0614076896,0.0,0.0,0.05435601264693327,0.21343514033258956,0.05028341754987626,6.901293630143158,213.90235040615414,24.761312663717323,22.877777777777776,168793.08494792593,566.4838086065996,84.05651902543559,90.0,1.088503080164449E7,2.6076408446956325E7,430311.13066359254,430311.13066359254,381891.93066351884,5489181.016011477,6.514940826438076E8,2.6648273409478882E8,1.0,4.0,-11818.643123759888,702.3250558161785,1.0,3.0,-1497.7718657157577,658.5750393137132,2.5,16.0,78360.51203765067,137.49282674732606,22.25,4.0,59768.274528769296,835.9434450414807,1.75,16.0,28097.453288813416,115.83186265855412,51.5625,16.0,361972.77442377014,72.7696839800628,16.857142857142858,7.0,237536.54463890623,117.160402785528,87.8,5.0,582317.2260159831,88.73596637972791,2.0,8.0,44716.098838948084,194.80529183397272,70.42857142857143,7.0,369910.369355098,63.895903986493686,1.0,2.0,-6041.89614922773,736.868289179825,1.0,2.0,-89.46358218950627,580.8247743363936
3,0,157197.93152794123,1.3159121341917012E7,1338457.9076711794,1444860.484863699,1.9796575715421948E8,659340.4381764189,955998.3761897192,0.0,0.0,0.05,0.05,0.05,7.079095442520907,203.37891573356268,26.718033905582086,21.744444444444444,157197.93152794123,580.9688039247127,62.84834103428072,90.0,1.1306322910773087E7,2.545413674828795E7,385203.37551374076,385203.37551374076,396961.87551376433,5195188.724551249,6.38994555162667E8,2.661611814637427E8,1.0,4.0,-11759.362196704005,694.1203030471746,1.0,3.0,-2469.96969174389,644.1356908138283,6.5,16.0,43872.503670445134,137.92510477891722,21.0,4.0,93874.0097702358,833.4238801864703,1.3125,16.0,18428.717240757473,113.35792896858757,44.6875,16.0,330543.2481115409,52.84740396534201,30.571428571428573,7.0,214573.23430859178,93.10406052255014,78.8,5.0,595666.668513139,56.992955366308685,4.125,8.0,16575.218209809365,190.15792950125865,54.42857142857143,7.0,420442.1529740316,45.20385047368941,1.0,2.0,-5725.46334600421,720.17380415105,1.0,2.0,-1669.1102993028471,590.3502045608183
4,0,152089.5882737289,1.1524633941174505E7,1403652.9636486378,1508615.3893070763,1.9890063158765846E8,710481.8780924457,879929.7300076397,0.0,0.0,0.05,0.05,0.05,6.925165477418763,67.27067607784731,26.79935876656317,19.377777777777776,188882.99217796623,658.2828406885376,58.58305820118735,71.0,1.00196823735976E7,2.370774531823299E7,291584.3821236541,254292.0219937826,186727.2219937836,4681004.689438942,6.305800681395199E8,2.6581894008015186E8,0.0,0.0,14599.125,NaN,0.0,0.0,14596.0,NaN,4.6875,12.0,50234.97854709397,70.50429790998557,18.25,1.0,138318.96106025082,52.7678331298346,1.0,15.0,14309.11272926594,114.86606108166353,24.3125,16.0,236076.8796732896,53.03291140935335,67.57142857142857,7.0,324143.1209863861,53.54054366106875,87.0,5.0,659276.9924181651,61.51973378294967,1.75,8.0,14092.60612779402,186.0938758344562,38.42857142857143,7.0,355163.27245461795,58.9843512805873,0.0,0.0,14597.0,NaN,0.0,0.0,14601.25,NaN
5,0,108058.25535807772,7409800.89412418,1383371.2857375527,1498247.922352201,2.0028811698205298E8,597837.8347777828,848940.1304047051,30.671666666666667,0.05000000000000001,0.05,0.05,0.05,5.277380183775036,56.33880352610331,32.65841064090064,13.71111111111111,152836.90939075797,650.0077214656676,68.12901126168326,62.0,8569363.150845185,1.8294606133072425E7,126561.7361804531,117761.51736490859,117485.51736489871,3310056.1042572325,6.285779552125897E8,2.656295228136894E8,0.0,0.0,8904.524999999998,NaN,0.0,0.0,8903.833333333334,NaN,5.625,11.0,41025.02653057675,75.01831668990988,19.5,1.0,153563.7894711608,59.83596615494411,0.75,12.0,7128.298738445294,114.31613361832558,11.875,16.0,110768.24073304993,65.24325167236005,36.0,7.0,378027.347355796,64.0530374251979,76.0,5.0,503739.99893724994,65.471631562679,0.375,3.0,7554.721621677665,177.6935450821003,32.714285714285715,7.0,177853.8527369937,65.851311770228,0.0,0.0,8901.5,NaN,0.0,0.0,8902.0,NaN
6,0,105813.29624846444,6829499.395891154,1412365.5541098355,1505028.9609816307,2.0178191281997237E8,585264.743073208,642669.243593875,0.0,0.04999999999999999,0.05,0.05,0.05,4.794115587220664,49.2545572668671,33.172739337158546,12.766666666666667,177595.5146608038,732.9899518922149,81.65179485968052,52.0,7830871.998857444,1.735406866121883E7,150238.1070723749,58143.39781530772,48456.69781530601,3055666.2442140644,6.288758007430224E8,2.6548669261165604E8,0.0,0.0,7582.875,NaN,0.0,0.0,7587.93333333333,NaN,6.3125,10.0,51899.765715026646,75.00465739162743,19.25,1.0,145672.3961936109,75.79084853445741,0.1875,3.0,7162.646936383295,117.95360729299637,19.75,16.0,157781.62830988324,71.73130269921363,14.0,7.0,175619.80872124605,69.54940653070997,24.8,5.0,334508.25227019953,99.89278332455265,0.375,3.0,6699.408285880825,187.35221437188864,61.0,7.0,347442.2047885568,79.59209443535734,0.0,0.0,7582.5,NaN,0.0,0.0,7585.75,NaN
7,0,104197.53981514333,6783270.5689237295,1368661.3397511884,1465820.5065071308,2.0330804663362598E8,509741.98480054655,603668.0975352465,0.0,0.0,0.05,0.05,0.05,4.24599210644839,49.20698841800082,33.399115649485964,12.511111111111111,186073.6343543449,767.4980453330855,104.21795324058955,49.0,7519463.478502066,1.689724206186486E7,139734.53673061985,10688.803371384041,4346.80337138406,2989096.3498309017,6.304929276989697E8,2.654490961513965E8,0.0,0.0,6349.5,NaN,0.0,0.0,6343.166666666667,NaN,7.875,10.0,58483.206158727415,73.83732461514032,17.75,1.0,137100.07540436008,79.55638021626581,0.125,2.0,6052.625479576545,111.9850555457767,18.25,16.0,146839.75248133618,83.2184549042149,7.285714285714286,7.0,86410.85387485461,67.56941403471043,9.2,5.0,95234.02146148923,99.85382527048617,0.125,1.0,6120.492799788291,197.85664311566595,76.71428571428571,7.0,606793.701285926,126.4460391403347,0.0,0.0,6345.5,NaN,0.0,0.0,6342.25,NaN
1,1,62249.80533811413,2.0707091075683422E7,3625268.959616851,3712204.3142542066,1.9560546678754032E8,2195797.7016506135,2168163.6920817997,2294.699080674016,NaN,NaN,NaN,NaN,NaN,476.5150376317169,64.35872695735756,37.78888888888889,62249.80533811413,2432.044782021923,298.7440399809723,90.0,4.474198590027107E7,5.034446838070134E7,228499.72590423786,228499.72590423786,228499.72590423792,9206276.958211605,6.45257935218336E8,2.6489871146632802E8,9.75,4.0,-432155.1559011866,1515.3582135018373,23.333333333333332,3.0,-108444.34334458287,627.5134055768868,25.75,16.0,-99972.90745823912,521.1121571420266,14.5,4.0,-341617.3141219953,1166.4838734038476,39.5,16.0,122387.69461209349,389.05851279271616,60.4375,16.0,333518.21320646384,169.86579980821995,42.142857142857146,7.0,90812.16909672975,382.97909278024997,79.8,5.0,637201.5361547087,94.14673336198454,24.375,8.0,-89486.6038828949,533.3656610417178,38.42857142857143,7.0,167500.06727190065,308.1318522257465,19.0,2.0,-189320.63601830974,687.5550006457231,13.5,2.0,-285840.92373126117,1022.6578675683144
2,1,159644.9232146172,1.4171669849541137E7,1200529.230823874,1289247.807007055,1.9807681531678653E8,906136.8256605025,816424.8183300877,6.671666666666667,0.0,0.0507860257242962,0.06908686381562285,0.10398514319426291,5.722532739463311,351.90015718286566,26.840465496497675,22.966666666666665,159644.9232146172,616.4360242362299,81.37194971861595,90.0,1.184491281172518E7,2.621295590104093E7,272716.06747008674,272716.06747008674,537806.4674700573,5515391.094954958,6.518038748099965E8,2.6624191242208818E8,1.0,4.0,-33095.48194305024,1407.4582089252062,1.0,3.0,12964.506775410206,352.22310044175146,1.25,16.0,7637.702323307165,342.83892530000406,1.0,4.0,-16802.36142236294,1107.766143708293,34.5,16.0,267066.10577853606,209.5162553927128,53.75,16.0,315156.9058681459,73.76346120227241,16.714285714285715,7.0,190632.15459566802,163.6037421843819,96.0,5.0,675032.1539917004,52.161872861748996,1.0,8.0,4019.360632554345,464.9646768074305,2.142857142857143,7.0,56737.26678417644,236.80896085871584,1.0,2.0,-4058.311496219103,643.0356270067779,1.0,2.0,-19907.731377132586,1233.0311050977011
3,1,161622.24875982618,1.464268313278325E7,1384797.524180306,1448329.7901878082,1.9798108665661716E8,1140727.5555514537,707970.5286181008,0.0,0.0,0.06338223568616808,0.6122131624207704,0.05,6.058634489740839,347.86349692415536,28.398842344014717,24.133333333333333,161622.24875982618,685.3587285688885,75.50673932578461,90.0,1.333788311374191E7,2.788388550212244E7,371172.961320226,371172.961320226,270811.26132014784,5757470.520847858,6.377035488877219E8,2.654034065684876E8,1.0,4.0,-34081.35860073767,1411.73344606605,1.0,3.0,6076.273977024393,351.2116325165921,1.0,16.0,7879.21214363022,337.9900248345469,1.0,4.0,-17326.319372085796,1100.879707608896,32.875,16.0,184026.0595995676,210.81645992128793,56.4375,16.0,432558.1211124345,48.20781944885754,50.142857142857146,7.0,301867.33742430265,135.49981614238658,61.4,5.0,472311.02819180104,85.94245530685973,1.0,8.0,1879.5730691876815,474.05697366031416,6.571428571428571,7.0,42982.037260573634,242.98346229392868,1.0,2.0,-3326.8867136510817,647.7858464812468,1.0,2.0,-20946.79111243991,1242.1378179079147
