female,male
33782900,33782900
46406000,46406000
48897300,48897300
34593100,34593100
85258200,85258200
32807200,32807200
52059400,52059400
41219600,41219600
33807700,33807700
30447200,30447200
26027500,26027500
19651100,19651100
18905500,18905500
17294500,17294500
13435500,13435500
11069400,11069400
6477320,6477320
5154910,5154910
6128590,6128590
6329200,6329200
4722350,4722350
2810030,2810030
2366580,2366580
2506350,2506350
1847700,1847700
1521290,1521290
1672480,1672480
1886080,1886080
1210390,1210390
801125,801125
584373,584373
437358,437358
329634,329634
254822,254822
205205,205205
171602,171602
146957,146957
126186,126186
106872,106872
89195,89195
74092,74092
61942,61942
52507,52507
45292,45292
39786,39786
35555,35555
32263,32263
29657,29657
27550,27550
25799,25799
24295,24295
22956,22956
21713,21713
20513,20513
19312,19312
18081,18081
16805,16805
15482,15482
14128,14128
12773,12773
11449,11449
10191,10191
9022,9022
7957,7957
5320,5320
4751,4751
4243,4243
3791,3791
3387,3387
3026,3026
2705,2705
2417,2417
2161,2161
1932,1932
1727,1727
1544,1544
1381,1381
1235,1235
1104,1104
987,987
8371,8371
