female,male
4185600,4185600
3762300,3819100
3491900,3602200
4323800,4547900
3227100,3466700
2892700,3190200
2531200,2877900
2645500,3118200
2511300,3067700
2239700,2847700
1955212,2735155
1804888,2563024
1666122,2401727
1538024,2250580
1419775,2108945
1310618,1976224
1209853,1851855
1116835,1735313
1030969,1626106
951704,1523771
1041090,1808154
961048,1694362
887159,1587732
818951,1487812
755987,1394180
697864,1306441
644209,1224223
594680,1147180
548959,1074985
506753,1007333
543827,1213358
502015,1136998
463418,1065444
427789,998393
394899,935562
364538,876684
336511,821512
310639,769813
286756,721366
264709,675969
280563,713773
258992,668854
239080,626761
220698,587317
203730,550356
188067,515721
173607,483265
160260,452852
147939,424353
136564,397647
128714,449695
118818,421394
109683,394875
101250,370024
93466,346738
86280,324917
79646,304469
73523,285308
67870,267353
62652,250528
