female,male
10583000,10583000
9824000,9973000
9092000,9369000
8414000,8800000
7786000,8266000
7204000,7764000
6666000,7292000
6167000,6849000
5705000,6431000
5278000,6039000
4912882,6051189
4535162,5585951
4186482,5156483
3864610,4760034
3567485,4394065
3293204,4056233
3040010,3744375
2806283,3456494
2590526,3190746
2391357,2945430
2232913,3194323
2061238,2948732
1902763,2722022
1756471,2512743
1621427,2319555
1496766,2141219
1381689,1976594
1275460,1824626
1177398,1684342
1086875,1554844
1009439,1677232
931830,1548281
860187,1429243
794053,1319358
733003,1217921
676647,1124283
624624,1037844
576601,958050
532270,884392
491347,816397
455155,878338
420161,810808
387858,748470
358038,690925
330510,637804
305100,588767
281642,543501
259989,501714
240000,463141
221548,427533
372920,963225
344249,889169
317781,820807
293349,757700
270795,699445
249976,645669
230757,596028
213015,550203
196638,507901
181520,468852
