female,male
16518900,16518900
15563600,15563600
12299300,12299300
9650140,9650150
8395370,8395440
8000440,8000700
8471420,8472210
8916670,8918620
9917930,9922300
9936980,9944740
7353000,7362160
5633820,5644100
5192280,5205210
5564410,5582340
6704570,6731510
7498720,7535440
7045170,7086770
6427490,6473070
6120140,6172280
6085490,6147890
6059300,6134050
5823290,5909260
5353370,5446740
4862090,4960190
4345160,4443750
3734830,3827110
3189170,3272190
2815290,2890170
2514340,2580950
2261130,2319710
2099640,2152220
2033670,2082480
2027750,2073880
2021980,2064770
1969240,2006890
1847300,1877970
1655080,1677810
1428570,1443840
1217080,1226440
1044580,1049680
912479,914618
816247,816337
749180,747781
705026,702438
678202,674546
664148,659430
659591,653754
662207,655166
670484,662141
683470,673714
700568,689266
721462,708449
745193,730297
771117,754172
797781,778670
822970,801660
843243,819838
853768,828555
849714,823183
827985,800783
789571,762374
739786,713132
685045,659266
630266,605519
578537,554852
531266,508603
488879,467167
451183,430342
417759,397713
388108,368788
361737,343083
338197,320156
317092,299617
298082,281132
280879,264416
265237,249228
250952,235367
237848,222663
225775,210969
214604,200163
204224,190139
194540,180808
185472,172091
176951,163921
168918,156243
161326,149008
154133,142172
147302,135702
140805,129567
134624,123747
128738,118222
123117,112960
117744,107945
112604,103159
107683,98591
102944,94202
98423,90024
94070,86012
89905,82180
85974,78570
1767970,1622060
