female,male
46615,46615
43825,43875
41315,41410
39258,39393
37535,37704
36156,36354
35015,35236
34159,34395
33550,33793
33092,33329
32580,32798
32072,32258
31375,31515
30528,30610
29410,29425
28120,28060
26642,26504
25053,24840
23356,23070
21558,21208
19712,19309
17921,17479
16177,15709
14522,14044
11579,11117
12985,12508
10292,9852
9133,8722
8092,7715
7153,6813
6321,6017
5593,5326
4954,4721
4396,4195
3912,3741
3494,3350
3133,3012
2819,2720
2548,2467
2311,2247
2105,2056
1925,1888
1767,1741
1628,1611
1505,1495
1395,1392
1297,1299
1208,1215
1128,1139
1055,1070
989,1006
872,893
928,947
821,842
773,796
729,753
688,712
650,675
615,640
582,607
551,576
522,547
495,519
469,493
444,468
421,445
399,422
378,401
358,380
340,361
322,342
305,325
289,309
274,293
260,279
247,265
235,252
223,240
212,228
201,217
191,207
182,197
173,188
165,179
157,171
149,163
142,155
136,148
129,141
123,135
117,129
112,123
107,117
102,112
97,107
92,102
88,98
84,93
80,89
77,85
1609,1837
