female,male
51669,51669
48382,48437
45281,45385
42447,42594
39597,39779
36924,37134
34351,34582
31881,32128
29568,29826
27954,28223
26219,26494
25909,26202
24975,25276
25360,25682
25239,25570
25285,25620
24846,25167
24868,25166
24799,25057
24269,24465
22876,22989
21774,21797
20240,20168
18550,18389
15271,14972
16780,16544
13697,13355
12294,11925
11107,10725
9892,9513
8721,8361
7714,7377
6819,6509
5982,5705
5256,5011
4621,4406
4077,3891
3605,3445
3201,3065
2850,2736
2545,2451
2289,2211
2060,1999
1864,1816
1694,1657
1550,1524
1419,1401
1305,1295
1205,1201
1116,1117
1037,1042
902,914
966,975
844,858
791,807
742,760
696,715
654,674
616,637
580,601
547,569
516,538
488,510
461,483
438,459
416,437
394,415
374,395
354,375
336,356
318,338
301,320
285,304
270,288
256,274
243,260
230,246
218,234
207,222
196,211
186,201
177,191
168,181
159,173
152,164
144,157
137,149
130,142
124,136
118,129
113,123
107,118
102,112
97,107
93,102
88,98
84,93
80,89
77,85
73,81
1530,1747
