species_code,bin,number_of_females,number_of_males,female_weight,male_weight,female_length,male_length,maturity
BET,0,3114180,3114180,0.00140388,0.00140388,29.2271,29.2271,8.35e-6
BET,1,2448280,2448280,0.664049,0.664049,46.67300769,46.67300769,5.88e-5
BET,2,2739870,2739870,1.34516,1.34516,62.32114839,62.32114839,3.38282e-4
BET,3,2359680,2359680,2.45352,2.45352,76.35677851,76.35677851,0.001623998
BET,4,1334950,1334950,4.10842,4.10842,88.94606414,88.94606414,0.006607132
BET,5,1134780,1134780,6.41062,6.41062,100.2380483,100.2380483,0.022981129
BET,6,1044400,1044400,9.43029,9.43029,110.3664153,110.3664153,0.068061623
BET,7,1033600,1033600,13.2,13.2,119.4510737,119.4510737,0.167894265
BET,8,957349,957349,17.713,17.713,127.5995757,127.5995757,0.334229445
BET,9,800418,800418,22.9261,22.9261,134.9083904,134.9083904,0.532071219
BET,10,563368,563368,28.7661,28.7661,141.4640458,141.4640458,0.703034496
BET,11,528657,528657,35.1373,35.1373,147.3441537,147.3441537,0.820472295
BET,12,633393,633393,41.9303,41.9303,152.6183278,152.6183278,0.891826025
BET,13,740459,740459,49.0297,49.0297,157.3490085,157.3490085,0.933311947
BET,14,487175,487175,56.321,56.321,161.5922018,161.5922018,0.957440715
BET,15,307923,308944,63.6957,63.6957,165.3981421,165.3981421,0.971780202
BET,16,330807,334109,71.0552,71.0552,168.8118877,168.8118877,0.980563492
BET,17,425081,433609,78.3132,78.3132,171.8738535,171.8738535,0.986122228
BET,18,388141,401205,85.3968,85.3968,174.6202896,174.6202896,0.98975546700000006
BET,19,279283,293501,92.2467,92.2467,177.0837107,177.0837107,0.992203683
BET,20,253686,271950,98.8169,98.8169,179.2932811,179.2932811,0.993900582
BET,21,437160,479618,105.073,105.073,181.2751596,181.2751596,0.995107468
BET,22,345004,388671,110.992,110.992,183.0528093,183.0528093,0.995986189
BET,23,239746,278258,116.561,116.561,184.6472756,184.6472756,0.996639678
BET,24,186526,223776,121.773,121.773,186.0774353,186.0774353,0.997135043
BET,25,140487,174793,126.629,126.629,187.3602198,187.3602198,0.997517065
BET,26,94688.6,122585,131.136,131.136,188.5108159,188.5108159,0.997816272
BET,27,80907.5,109350,135.303,135.303,189.5428452,189.5428452,0.998053901
BET,28,83462.4,117764,139.144,139.144,190.4685259,190.4685259,0.998244999
BET,29,98780.2,145506,142.674,142.674,191.2988171,191.2988171,0.99840041
BET,30,97387.3,149763,145.91,145.91,192.0435483,192.0435483,0.99852808
BET,31,86877,139475,148.87,148.87,192.7115364,192.7115364,0.998633912
BET,32,73998.9,124025,151.571,151.571,193.3106896,193.3106896,0.998722356
BET,33,41892.8,73301.4,154.032,154.032,193.8481013,193.8481013,0.99879681
BET,34,27596.5,50410.1,156.27,156.27,194.3301337,194.3301337,0.998859897
BET,35,28707.2,54744.9,158.302,158.302,194.7624936,194.7624936,0.998913667
BET,36,29680.6,59090.3,160.145,160.145,195.1502997,195.1502997,0.998959738
BET,37,25557.9,53120.2,161.814,161.814,195.4981431,195.4981431,0.998999398
BET,38,22491.8,48803.3,163.323,163.323,195.8101419,195.8101419,0.999033684
BET,39,14582.3,33032.4,164.688,164.688,196.0899898,196.0899898,0.999063438
BET,40,127824,439874,167.14,167.14,196.341,196.341,0.999089345
YFT,0,82568200,82568200,0.114299,0.114299,18.3686,18.3686,0
YFT,1,37675400,37675400,0.243991,0.243991,47.15507256,47.15507256,0
YFT,2,25883300,25883300,0.497623,0.497623,70.90597611,70.90597611,0
YFT,3,59708400,59708400,0.96677,0.96677,90.50217423,90.50217423,0
YFT,4,10637200,10637200,1.78522,1.78522,106.6704425,106.6704425,0
YFT,5,2326170,2326170,3.12933,3.12933,120.010423,120.010423,5.67e-5
YFT,6,4165460,4165460,5.20554,5.20554,131.0168632,131.0168632,0.007159248
YFT,7,2123120,2123120,8.22282,8.22282,140.0979654,140.0979654,0.066470331
YFT,8,2230210,2230210,12.3539,12.3539,147.5905257,147.5905257,0.237111472
YFT,9,1394130,1394780,17.6948,17.6948,153.7724251,153.7724251,0.529453484
YFT,10,380015,385440,24.2362,24.2362,158.8729353,158.8729353,0.914928666
YFT,11,460039,495612,31.8547,31.8547,163.0812219,163.0812219,1.359411008
YFT,12,289929,353840,40.3282,40.3282,166.55336,166.55336,1.836150768
YFT,13,73096.9,106853,49.3683,49.3683,169.4181229,169.4181229,2.325351971
YFT,14,35849,65198.4,58.6615,58.6615,171.7817576,171.7817576,2.811596501
