bin,species_code,source,sex,mortality
0,BET,obj_class_1_5,female,0.005592997572714895
0,BET,obj_class_1_5,male,0.005592997572714895
0,BET,noa_class_1_5,female,0
0,BET,noa_class_1_5,male,0
0,BET,obj_class_6,female,0.3251991851966986
0,BET,obj_class_6,male,0.3251991851966986
0,BET,noa_class_6,female,0.019576551363000017
0,BET,noa_class_6,male,0.019576551363000017
0,BET,del_class_6,female,0
0,BET,del_class_6,male,0
0,BET,longline,female,0
0,BET,longline,male,0
1,BET,obj_class_1_5,female,0.008130962661826982
1,BET,obj_class_1_5,male,0.008130962661826982
1,BET,noa_class_1_5,female,0
1,BET,noa_class_1_5,male,0
1,BET,obj_class_6,female,0.22068268697994087
1,BET,obj_class_6,male,0.22068268697994087
1,BET,noa_class_6,female,0.006220308491077844
1,BET,noa_class_6,male,0.006220308491077844
1,BET,del_class_6,female,0
1,BET,del_class_6,male,0
1,BET,longline,female,1.4307081165305667e-4
1,BET,longline,male,1.4307081165305667e-4
2,BET,obj_class_1_5,female,0.0024047298026443386
2,BET,obj_class_1_5,male,0.0024047298026443386
2,BET,noa_class_1_5,female,0
2,BET,noa_class_1_5,male,0
2,BET,obj_class_6,female,0.06005608746004494
2,BET,obj_class_6,male,0.06005608746004494
2,BET,noa_class_6,female,0.0017574591500433617
2,BET,noa_class_6,male,0.0017574591500433617
2,BET,del_class_6,female,0
2,BET,del_class_6,male,0
2,BET,longline,female,3.5405163350774873e-4
2,BET,longline,male,3.5405163350774873e-4
3,BET,obj_class_1_5,female,0.0016881567678287245
3,BET,obj_class_1_5,male,0.0016881567678287245
3,BET,noa_class_1_5,female,0
3,BET,noa_class_1_5,male,0
3,BET,obj_class_6,female,0.028744843845267005
3,BET,obj_class_6,male,0.028744843845267005
3,BET,noa_class_6,female,7.281994684579623e-4
3,BET,noa_class_6,male,7.281994684579623e-4
3,BET,del_class_6,female,0
3,BET,del_class_6,male,0
3,BET,longline,female,0.001031095533739899
3,BET,longline,male,0.001031095533739899
4,BET,obj_class_1_5,female,0.0026154879694457963
4,BET,obj_class_1_5,male,0.0026154879694457963
4,BET,noa_class_1_5,female,0
4,BET,noa_class_1_5,male,0
4,BET,obj_class_6,female,0.026792924153978794
4,BET,obj_class_6,male,0.026792924153978794
4,BET,noa_class_6,female,9.802258471930567e-4
4,BET,noa_class_6,male,9.802258471930567e-4
4,BET,del_class_6,female,0
4,BET,del_class_6,male,0
4,BET,longline,female,0.0057456808619715544
4,BET,longline,male,0.0057456808619715544
5,BET,obj_class_1_5,female,0.002055397881182768
5,BET,obj_class_1_5,male,0.002055397881182768
5,BET,noa_class_1_5,female,0
5,BET,noa_class_1_5,male,0
5,BET,obj_class_6,female,0.017375888903987897
5,BET,obj_class_6,male,0.017375888903987897
5,BET,noa_class_6,female,2.6449519216374494e-4
5,BET,noa_class_6,male,2.6449519216374494e-4
5,BET,del_class_6,female,0
5,BET,del_class_6,male,0
5,BET,longline,female,0.006111930627856651
5,BET,longline,male,0.006111930627856651
6,BET,obj_class_1_5,female,0.0015581638854623877
6,BET,obj_class_1_5,male,0.0015581638854623877
6,BET,noa_class_1_5,female,0
6,BET,noa_class_1_5,male,0
6,BET,obj_class_6,female,0.01099817786332072
6,BET,obj_class_6,male,0.01099817786332072
6,BET,noa_class_6,female,1.954400482321681e-4
6,BET,noa_class_6,male,1.954400482321681e-4
6,BET,del_class_6,female,0
6,BET,del_class_6,male,0
6,BET,longline,female,0.008228533591659705
6,BET,longline,male,0.008228533591659705
7,BET,obj_class_1_5,female,8.116872086150874e-4
7,BET,obj_class_1_5,male,8.116872086150874e-4
7,BET,noa_class_1_5,female,0
7,BET,noa_class_1_5,male,0
7,BET,obj_class_6,female,0.008709637096714351
7,BET,obj_class_6,male,0.008709637096714351
7,BET,noa_class_6,female,1.2638490430059125e-4
7,BET,noa_class_6,male,1.2638490430059125e-4
7,BET,del_class_6,female,0
7,BET,del_class_6,male,0
7,BET,longline,female,0.010345136555462806
7,BET,longline,male,0.010345136555462806
8,BET,obj_class_1_5,female,2.854330508278779e-4
8,BET,obj_class_1_5,male,2.854330508278779e-4
8,BET,noa_class_1_5,female,0
8,BET,noa_class_1_5,male,0
8,BET,obj_class_6,female,0.0021436055049635526
8,BET,obj_class_6,male,0.0021436055049635526
8,BET,noa_class_6,female,0
8,BET,noa_class_6,male,0
8,BET,del_class_6,female,0
8,BET,del_class_6,male,0
8,BET,longline,female,0.014189388087125583
8,BET,longline,male,0.014189388087125583
9,BET,obj_class_1_5,female,2.1846370748428016e-4
9,BET,obj_class_1_5,male,2.1846370748428016e-4
9,BET,noa_class_1_5,female,0
9,BET,noa_class_1_5,male,0
9,BET,obj_class_6,female,0.0018341014951536744
9,BET,obj_class_6,male,0.0018341014951536744
9,BET,noa_class_6,female,0
9,BET,noa_class_6,male,0
9,BET,del_class_6,female,0
9,BET,del_class_6,male,0
9,BET,longline,female,0.01654146051549871
9,BET,longline,male,0.01654146051549871
10,BET,obj_class_1_5,female,1.6927926649361254e-4
10,BET,obj_class_1_5,male,1.6927926649361254e-4
10,BET,noa_class_1_5,female,0
10,BET,noa_class_1_5,male,0
10,BET,obj_class_6,female,5.1208968867386e-4
10,BET,obj_class_6,male,5.1208968867386e-4
10,BET,noa_class_6,female,0
10,BET,noa_class_6,male,0
10,BET,del_class_6,female,0
10,BET,del_class_6,male,0
10,BET,longline,female,0.018945310484003622
10,BET,longline,male,0.018945310484003622
11,BET,obj_class_1_5,female,1.2009482550293536e-4
11,BET,obj_class_1_5,male,1.2009482550293536e-4
11,BET,noa_class_1_5,female,0
11,BET,noa_class_1_5,male,0
11,BET,obj_class_6,female,5.837014749859393e-4
11,BET,obj_class_6,male,5.837014749859393e-4
11,BET,noa_class_6,female,0
11,BET,noa_class_6,male,0
11,BET,del_class_6,female,0
11,BET,del_class_6,male,0
11,BET,longline,female,0.021349160452508537
11,BET,longline,male,0.021349160452508537
12,BET,obj_class_1_5,female,0
12,BET,obj_class_1_5,male,0
12,BET,noa_class_1_5,female,0
12,BET,noa_class_1_5,male,0
12,BET,obj_class_6,female,4.938915464745539e-4
12,BET,obj_class_6,male,4.938915464745539e-4
12,BET,noa_class_6,female,0
12,BET,noa_class_6,male,0
12,BET,del_class_6,female,0
12,BET,del_class_6,male,0
12,BET,longline,female,0.015446060137535557
12,BET,longline,male,0.015446060137535557
13,BET,obj_class_1_5,female,0
13,BET,obj_class_1_5,male,0
13,BET,noa_class_1_5,female,0
13,BET,noa_class_1_5,male,0
13,BET,obj_class_6,female,4.040816179631589e-4
13,BET,obj_class_6,male,4.040816179631589e-4
13,BET,noa_class_6,female,0
13,BET,noa_class_6,male,0
13,BET,del_class_6,female,0
13,BET,del_class_6,male,0
13,BET,longline,female,0.009542959822562673
13,BET,longline,male,0.009542959822562673
14,BET,obj_class_1_5,female,0
14,BET,obj_class_1_5,male,0
14,BET,noa_class_1_5,female,0
14,BET,noa_class_1_5,male,0
14,BET,obj_class_6,female,3.1380975136758335e-4
14,BET,obj_class_6,male,3.1427168945177353e-4
14,BET,noa_class_6,female,0
14,BET,noa_class_6,male,0
14,BET,del_class_6,female,0
14,BET,del_class_6,male,0
14,BET,longline,female,0.01085315166417128
14,BET,longline,male,0.010869127853774453
15,BET,obj_class_1_5,female,0
15,BET,obj_class_1_5,male,0
15,BET,noa_class_1_5,female,0
15,BET,noa_class_1_5,male,0
15,BET,obj_class_6,female,2.2380354224145878e-4
15,BET,obj_class_6,male,2.2446176094037846e-4
15,BET,noa_class_6,female,0
15,BET,noa_class_6,male,0
15,BET,del_class_6,female,0
15,BET,del_class_6,male,0
15,BET,longline,female,0.012159534017322235
15,BET,longline,male,0.012195295884986138
16,BET,obj_class_1_5,female,0
16,BET,obj_class_1_5,male,0
16,BET,noa_class_1_5,female,0
16,BET,noa_class_1_5,male,0
16,BET,obj_class_6,female,1.3406113412155524e-4
16,BET,obj_class_6,male,1.3465183242899304e-4
16,BET,noa_class_6,female,0
16,BET,noa_class_6,male,0
16,BET,del_class_6,female,0
16,BET,del_class_6,male,0
16,BET,longline,female,0.013462147190199374
16,BET,longline,male,0.013521463916197822
17,BET,obj_class_1_5,female,0
17,BET,obj_class_1_5,male,0
17,BET,noa_class_1_5,female,0
17,BET,noa_class_1_5,male,0
17,BET,obj_class_6,female,0
17,BET,obj_class_6,male,0
17,BET,noa_class_6,female,0
17,BET,noa_class_6,male,0
17,BET,del_class_6,female,0
17,BET,del_class_6,male,0
17,BET,longline,female,0.012812208931206472
17,BET,longline,male,0.012887394944873705
18,BET,obj_class_1_5,female,0
18,BET,obj_class_1_5,male,0
18,BET,noa_class_1_5,female,0
18,BET,noa_class_1_5,male,0
18,BET,obj_class_6,female,0
18,BET,obj_class_6,male,0
18,BET,noa_class_6,female,0
18,BET,noa_class_6,male,0
18,BET,del_class_6,female,0
18,BET,del_class_6,male,0
18,BET,longline,female,0.01216420436457478
18,BET,longline,male,0.01225332597354959
19,BET,obj_class_1_5,female,0
19,BET,obj_class_1_5,male,0
19,BET,noa_class_1_5,female,0
19,BET,noa_class_1_5,male,0
19,BET,obj_class_6,female,0
19,BET,obj_class_6,male,0
19,BET,noa_class_6,female,0
19,BET,noa_class_6,male,0
19,BET,del_class_6,female,0
19,BET,del_class_6,male,0
19,BET,longline,female,0.011518107524102539
19,BET,longline,male,0.011619257002225472
20,BET,obj_class_1_5,female,0
20,BET,obj_class_1_5,male,0
20,BET,noa_class_1_5,female,0
20,BET,noa_class_1_5,male,0
20,BET,obj_class_6,female,0
20,BET,obj_class_6,male,0
20,BET,noa_class_6,female,0
20,BET,noa_class_6,male,0
20,BET,del_class_6,female,0
20,BET,del_class_6,male,0
20,BET,longline,female,0.010873913846750469
20,BET,longline,male,0.010985188030901353
21,BET,obj_class_1_5,female,0
21,BET,obj_class_1_5,male,0
21,BET,noa_class_1_5,female,0
21,BET,noa_class_1_5,male,0
21,BET,obj_class_6,female,0
21,BET,obj_class_6,male,0
21,BET,noa_class_6,female,0
21,BET,noa_class_6,male,0
21,BET,del_class_6,female,0
21,BET,del_class_6,male,0
21,BET,longline,female,0.011993614718676148
21,BET,longline,male,0.012133717901128474
22,BET,obj_class_1_5,female,0
22,BET,obj_class_1_5,male,0
22,BET,noa_class_1_5,female,0
22,BET,noa_class_1_5,male,0
22,BET,obj_class_6,female,0
22,BET,obj_class_6,male,0
22,BET,noa_class_6,female,0
22,BET,noa_class_6,male,0
22,BET,del_class_6,female,0
22,BET,del_class_6,male,0
22,BET,longline,female,0.013110164323741616
22,BET,longline,male,0.013282247771355499
23,BET,obj_class_1_5,female,0
23,BET,obj_class_1_5,male,0
23,BET,noa_class_1_5,female,0
23,BET,noa_class_1_5,male,0
23,BET,obj_class_6,female,0
23,BET,obj_class_6,male,0
23,BET,noa_class_6,female,0
23,BET,noa_class_6,male,0
23,BET,del_class_6,female,0
23,BET,del_class_6,male,0
23,BET,longline,female,0.014223582733649959
23,BET,longline,male,0.01443077764158252
24,BET,obj_class_1_5,female,0
24,BET,obj_class_1_5,male,0
24,BET,noa_class_1_5,female,0
24,BET,noa_class_1_5,male,0
24,BET,obj_class_6,female,0
24,BET,obj_class_6,male,0
24,BET,noa_class_6,female,0
24,BET,noa_class_6,male,0
24,BET,del_class_6,female,0
24,BET,del_class_6,male,0
24,BET,longline,female,0.015333887986420174
24,BET,longline,male,0.015579307511809639
25,BET,obj_class_1_5,female,0
25,BET,obj_class_1_5,male,0
25,BET,noa_class_1_5,female,0
25,BET,noa_class_1_5,male,0
25,BET,obj_class_6,female,0
25,BET,obj_class_6,male,0
25,BET,noa_class_6,female,0
25,BET,noa_class_6,male,0
25,BET,del_class_6,female,0
25,BET,del_class_6,male,0
25,BET,longline,female,0.01644111708526149
25,BET,longline,male,0.016727837382036665
26,BET,obj_class_1_5,female,0
26,BET,obj_class_1_5,male,0
26,BET,noa_class_1_5,female,0
26,BET,noa_class_1_5,male,0
26,BET,obj_class_6,female,0
26,BET,obj_class_6,male,0
26,BET,noa_class_6,female,0
26,BET,noa_class_6,male,0
26,BET,del_class_6,female,0
26,BET,del_class_6,male,0
26,BET,longline,female,0.017545280647932534
26,BET,longline,male,0.01787636725226369
27,BET,obj_class_1_5,female,0
27,BET,obj_class_1_5,male,0
27,BET,noa_class_1_5,female,0
27,BET,noa_class_1_5,male,0
27,BET,obj_class_6,female,0
27,BET,obj_class_6,male,0
27,BET,noa_class_6,female,0
27,BET,noa_class_6,male,0
27,BET,del_class_6,female,0
27,BET,del_class_6,male,0
27,BET,longline,female,0.01867253869881616
27,BET,longline,male,0.01902489712249071
28,BET,obj_class_1_5,female,0
28,BET,obj_class_1_5,male,0
28,BET,noa_class_1_5,female,0
28,BET,noa_class_1_5,male,0
28,BET,obj_class_6,female,0
28,BET,obj_class_6,male,0
28,BET,noa_class_6,female,0
