day,x,y
278,-95.5,1.5
278,-95.5,1.5
284,-96.5,4.5
284,-96.5,4.5
284,-97.5,4.5
284,-97.5,4.5
284,-97.5,4.5
409,-84.5,-3.5
409,-84.5,-3.5
409,-84.5,-3.5
409,-85.5,-5.5
409,-85.5,-6.5
409,-85.5,-6.5
410,-85.5,-7.5
410,-85.5,-7.5
410,-85.5,-7.5
410,-85.5,-7.5
410,-85.5,-7.5
410,-86.5,-8.5
410,-87.5,-9.5
410,-87.5,-9.5
410,-87.5,-9.5
410,-87.5,-9.5
411,-86.5,-9.5
411,-86.5,-9.5
411,-86.5,-10.5
411,-86.5,-10.5
411,-86.5,-10.5
411,-86.5,-10.5
411,-86.5,-10.5
411,-86.5,-10.5
411,-85.5,-11.5
411,-85.5,-11.5
411,-85.5,-12.5
411,-84.5,-12.5
411,-84.5,-12.5
411,-84.5,-13.5
412,-84.5,-13.5
413,-80.5,-15.5
414,-74.5,-20.5
430,-111.5,-11.5
460,-113.5,3.5
460,-113.5,3.5
460,-113.5,3.5
460,-113.5,3.5
460,-113.5,3.5
460,-113.5,3.5
460,-113.5,2.5
460,-112.5,2.5
461,-112.5,3.5
461,-112.5,3.5
461,-112.5,3.5
461,-112.5,3.5
473,-96.5,1.5
473,-96.5,1.5
610,-100.5,0.5
610,-100.5,0.5
610,-100.5,0.5
610,-101.5,0.5
610,-101.5,0.5
610,-101.5,0.5
610,-101.5,0.5
610,-101.5,0.5
610,-101.5,0.5
610,-102.5,0.5
611,-106.5,1.5
611,-106.5,1.5
611,-106.5,1.5
611,-106.5,1.5
611,-106.5,1.5
612,-107.5,0.5
612,-107.5,0.5
612,-107.5,0.5
620,-124.5,-0.5
620,-124.5,-0.5
621,-124.5,0.5
626,-116.5,-1.5
626,-116.5,-1.5
637,-114.5,5.5
637,-114.5,5.5
637,-114.5,5.5
295,-86.5,-2.5
295,-86.5,-2.5
295,-87.5,-2.5
296,-87.5,-2.5
297,-93.5,-1.5
297,-93.5,-0.5
297,-93.5,-0.5
297,-94.5,-0.5
297,-94.5,-0.5
297,-94.5,-0.5
298,-95.5,-0.5
298,-95.5,0.5
298,-95.5,0.5
299,-95.5,0.5
339,-94.5,0.5
339,-94.5,0.5
339,-94.5,0.5
339,-93.5,0.5
339,-93.5,-0.5
339,-93.5,-0.5
339,-93.5,-0.5
339,-93.5,-0.5
339,-92.5,-0.5
339,-92.5,-1.5
339,-92.5,-1.5
339,-92.5,-1.5
339,-92.5,-1.5
340,-92.5,-1.5
340,-91.5,-1.5
340,-91.5,-1.5
340,-91.5,-2.5
340,-91.5,-2.5
340,-90.5,-2.5
340,-90.5,-2.5
340,-90.5,-2.5
340,-90.5,-2.5
340,-89.5,-2.5
401,-75.5,-17.5
407,-75.5,-17.5
411,-75.5,-17.5
411,-75.5,-17.5
412,-75.5,-16.5
414,-74.5,-18.5
428,-76.5,-17.5
428,-76.5,-17.5
428,-76.5,-16.5
429,-77.5,-16.5
429,-78.5,-14.5
429,-78.5,-13.5
430,-78.5,-13.5
430,-78.5,-13.5
430,-78.5,-13.5
430,-79.5,-13.5
430,-79.5,-12.5
430,-79.5,-12.5
430,-80.5,-12.5
431,-80.5,-12.5
431,-80.5,-12.5
464,-82.5,-7.5
465,-82.5,-7.5
465,-82.5,-8.5
465,-82.5,-8.5
465,-82.5,-8.5
465,-82.5,-8.5
465,-82.5,-9.5
465,-81.5,-9.5
465,-81.5,-9.5
465,-81.5,-9.5
486,-75.5,-17.5
503,-83.5,-7.5
529,-89.5,0.5
529,-89.5,0.5
529,-89.5,0.5
529,-88.5,0.5
529,-88.5,0.5
529,-88.5,0.5
529,-88.5,-0.5
529,-88.5,-0.5
529,-88.5,-0.5
529,-88.5,-0.5
530,-88.5,-0.5
530,-88.5,-1.5
530,-88.5,-1.5
530,-88.5,-1.5
530,-88.5,-1.5
530,-88.5,-1.5
530,-88.5,-1.5
530,-89.5,-1.5
530,-89.5,-2.5
530,-89.5,-2.5
530,-89.5,-2.5
530,-89.5,-2.5
547,-92.5,-1.5
547,-91.5,-1.5
547,-91.5,-2.5
547,-91.5,-2.5
556,-89.5,0.5
556,-89.5,0.5
556,-88.5,0.5
632,-103.5,5.5
638,-89.5,1.5
278,-142.5,-0.5
278,-141.5,-0.5
278,-141.5,-0.5
278,-141.5,0.5
278,-141.5,0.5
278,-140.5,0.5
278,-140.5,0.5
278,-140.5,0.5
278,-140.5,0.5
278,-140.5,0.5
278,-139.5,0.5
278,-139.5,0.5
278,-139.5,0.5
279,-139.5,0.5
279,-138.5,0.5
279,-138.5,0.5
279,-138.5,0.5
279,-138.5,0.5
279,-138.5,0.5
279,-137.5,0.5
279,-137.5,0.5
279,-137.5,0.5
279,-137.5,0.5
279,-137.5,0.5
279,-136.5,0.5
279,-136.5,0.5
279,-136.5,0.5
279,-136.5,0.5
279,-136.5,0.5
279,-136.5,0.5
279,-135.5,0.5
279,-135.5,0.5
279,-135.5,0.5
279,-135.5,0.5
280,-135.5,0.5
280,-134.5,1.5
310,-130.5,4.5
310,-131.5,4.5
310,-131.5,4.5
310,-131.5,4.5
310,-131.5,4.5
310,-132.5,4.5
310,-132.5,3.5
310,-132.5,3.5
311,-132.5,3.5
311,-133.5,3.5
311,-133.5,3.5
311,-133.5,3.5
311,-133.5,3.5
311,-133.5,3.5
311,-134.5,3.5
311,-134.5,2.5
311,-134.5,3.5
311,-134.5,3.5
311,-134.5,3.5
319,-141.5,6.5
399,-113.5,-1.5
399,-114.5,-1.5
399,-114.5,-1.5
399,-114.5,-1.5
399,-114.5,-1.5
399,-114.5,-1.5
399,-115.5,-1.5
399,-115.5,-1.5
399,-115.5,-1.5
399,-115.5,-1.5
399,-115.5,-1.5
400,-116.5,-1.5
400,-116.5,-1.5
400,-116.5,-1.5
400,-116.5,-1.5
400,-117.5,-1.5
400,-117.5,-1.5
400,-117.5,-1.5
400,-117.5,-1.5
400,-117.5,-1.5
400,-118.5,-1.5
400,-118.5,-1.5
400,-118.5,-1.5
400,-118.5,-1.5
400,-119.5,-1.5
400,-119.5,-1.5
400,-119.5,-1.5
400,-119.5,-1.5
400,-119.5,-1.5
401,-121.5,-1.5
401,-121.5,-0.5
401,-122.5,-0.5
401,-122.5,-0.5
401,-123.5,-0.5
401,-123.5,-0.5
401,-123.5,-0.5
401,-123.5,-0.5
401,-123.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-125.5,-0.5
401,-125.5,-0.5
402,-125.5,-0.5
402,-125.5,-0.5
402,-126.5,-0.5
