day,x,y,Bigeye tuna,Skipjack tuna,Yellowfin tuna
287,-107.5,6.5,3,25,2
289,-107.5,5.5,0,2,0
291,-113.5,5.5,0,9,1
294,-124.5,3.5,25,150,5
295,-122.5,3.5,0,0,0
300,-125.5,3.5,0,0,0
304,-133.5,-6.5,2,7,1
305,-134.5,-7.5,0,1,0
306,-133.5,-7.5,23,5,1
308,-128.5,-6.5,20,8,2
309,-124.5,-7.5,5,10,0
310,-122.5,-8.5,2,2,6
311,-120.5,-8.5,3,4,3
313,-116.5,-11.5,12,8,3
315,-112.5,-10.5,5,9,4
316,-111.5,-10.5,7,25,2
317,-108.5,-11.5,1,9,0
318,-104.5,-13.5,35,14,1
319,-102.5,-13.5,7,4,1
319,-102.5,-12.5,5,0,0
320,-102.5,-11.5,4,8,2
322,-107.5,-9.5,25,3,0
322,-106.5,-9.5,0,0,0
415,-74.5,-20.5,0,0,0
416,-74.5,-20.5,0,3,2
427,-106.5,-13.5,36,0,8
428,-107.5,-11.5,4,0,1
429,-108.5,-11.5,25,0,0
431,-114.5,-12.5,9,1,0
432,-114.5,-13.5,2,1,1
433,-114.5,-14.5,3,1,1
437,-128.5,-8.5,1,0,2
438,-129.5,-9.5,1,0,0
438,-129.5,-9.5,1,1,0
441,-133.5,-7.5,2,0,1
442,-133.5,-6.5,1,0,9
443,-134.5,-5.5,15,0,0
444,-136.5,-5.5,5,0,0
445,-133.5,-3.5,5,0,0
446,-132.5,-4.5,10,0,0
449,-128.5,-3.5,7,0,0
452,-128.5,5.5,18,0,7
454,-126.5,7.5,2,0,1
455,-126.5,5.5,1,0,1
456,-125.5,3.5,2,1,1
457,-126.5,2.5,1,1,1
463,-112.5,5.5,3,6,25
466,-109.5,6.5,0,3,3
469,-106.5,5.5,0,3,0
472,-99.5,2.5,1,15,1
518,-92.5,3.5,0,85,0
519,-92.5,3.5,0,17,3
521,-95.5,4.5,0,18,25
523,-101.5,6.5,0,0,2
524,-104.5,4.5,18,10,0
525,-102.5,4.5,3,4,0
527,-105.5,3.5,0,8,12
528,-105.5,3.5,0,0,0
529,-105.5,3.5,0,7,7
531,-96.5,4.5,1,1,0
533,-93.5,0.5,0,12,0
534,-93.5,0.5,0,25,0
540,-97.5,-9.5,0,0,0
541,-99.5,-12.5,12,0,0
541,-99.5,-12.5,14,2,0
543,-103.5,-14.5,40,24,0
544,-102.5,-13.5,20,15,0
545,-106.5,-13.5,12,8,0
545,-105.5,-13.5,3,2,0
546,-107.5,-12.5,15,5,0
547,-109.5,-10.5,10,6,0
547,-109.5,-9.5,7,4,3
548,-109.5,-11.5,10,16,2
549,-105.5,-9.5,4,5,0
549,-105.5,-9.5,3,1,0
550,-103.5,-8.5,5,3,0
550,-103.5,-8.5,6,3,0
553,-96.5,-2.5,3,1,0
555,-92.5,3.5,4,2,0
556,-91.5,4.5,1,1,0
556,-91.5,4.5,0,0,0
557,-90.5,3.5,0,0,0
562,-106.5,5.5,3,2,0
562,-106.5,5.5,5,3,0
563,-107.5,5.5,1,1,0
565,-107.5,0.5,12,5,8
566,-107.5,-0.5,70,15,0
567,-107.5,-3.5,2,0,0
567,-107.5,-3.5,0,0,0
568,-106.5,-4.5,21,10,10
568,-106.5,-4.5,7,5,3
569,-107.5,-4.5,7,3,0
570,-105.5,-4.5,0,0,0
571,-101.5,-5.5,1,2,0
572,-102.5,-6.5,0,10,0
574,-95.5,-12.5,11,1,0
577,-90.5,-16.5,7,0,3
577,-89.5,-16.5,0,0,0
579,-86.5,-12.5,13,2,0
579,-86.5,-12.5,0,0,0
612,-107.5,-2.5,0,3,1
613,-110.5,-2.5,4,2,4
613,-110.5,-3.5,0,1,1
615,-116.5,-2.5,117,16,32
616,-117.5,-3.5,28,7,35
618,-120.5,-7.5,0,12,8
620,-124.5,-1.5,0,1,2
621,-125.5,2.5,0,0,2
622,-123.5,6.5,72,21,0
626,-115.5,-1.5,27,9,9
628,-116.5,6.5,32,64,11
628,-116.5,6.5,0,10,20
629,-116.5,6.5,0,28,7
630,-116.5,6.5,0,1,0
630,-116.5,6.5,11,33,66
631,-115.5,6.5,3,2,0
633,-120.5,2.5,0,0,3
635,-116.5,4.5,0,4,4
635,-116.5,4.5,0,0,0
636,-116.5,4.5,0,5,5
