x,y,depth
-170.5,49.5,-5200
-169.5,49.5,-5314
-168.5,49.5,-5301
-167.5,49.5,-5301
-166.5,49.5,-5251
-165.5,49.5,-5143
-164.5,49.5,-4968
-163.5,49.5,-4973
-162.5,49.5,-5011
-161.5,49.5,-5030
-160.5,49.5,-4999
-159.5,49.5,-4963
-158.5,49.5,-4911
-157.5,49.5,-4962
-156.5,49.5,-5003
-155.5,49.5,-4911
-154.5,49.5,-4874
-153.5,49.5,-4927
-152.5,49.5,-4915
-151.5,49.5,-4854
-150.5,49.5,-4835
-149.5,49.5,-4696
-148.5,49.5,-4688
-147.5,49.5,-4588
-146.5,49.5,-4422
-145.5,49.5,-4341
-144.5,49.5,-4225
-143.5,49.5,-4162
-142.5,49.5,-4033
-141.5,49.5,-4045
-140.5,49.5,-3876
-139.5,49.5,-3867
-138.5,49.5,-3956
-137.5,49.5,-3894
-136.5,49.5,-3782
-135.5,49.5,-3614
-134.5,49.5,-3488
-133.5,49.5,-3241
-132.5,49.5,-3089
-131.5,49.5,-2948
-130.5,49.5,-2467
-129.5,49.5,-2320
-128.5,49.5,-2264
-127.5,49.5,-1062
-126.5,49.5,166
-125.5,49.5,585
-124.5,49.5,192
-123.5,49.5,381
-122.5,49.5,764
-121.5,49.5,1037
-120.5,49.5,1429
-119.5,49.5,1180
-118.5,49.5,1306
-117.5,49.5,1439
-116.5,49.5,1575
-115.5,49.5,1401
-114.5,49.5,1680
-113.5,49.5,1166
-112.5,49.5,995
-111.5,49.5,883
-110.5,49.5,972
-109.5,49.5,976
-108.5,49.5,938
-107.5,49.5,835
-106.5,49.5,802
-105.5,49.5,750
-104.5,49.5,671
-103.5,49.5,600
-102.5,49.5,624
-101.5,49.5,529
-100.5,49.5,465
-99.5,49.5,428
-98.5,49.5,369
-97.5,49.5,241
-96.5,49.5,289
-95.5,49.5,332
-94.5,49.5,341
-93.5,49.5,384
-92.5,49.5,407
-91.5,49.5,440
-90.5,49.5,469
-89.5,49.5,418
-88.5,49.5,290
-87.5,49.5,395
-86.5,49.5,343
-85.5,49.5,313
-84.5,49.5,285
-83.5,49.5,262
-82.5,49.5,234
-81.5,49.5,245
-80.5,49.5,292
-79.5,49.5,290
-78.5,49.5,286
-77.5,49.5,282
-76.5,49.5,319
-75.5,49.5,362
-74.5,49.5,402
-73.5,49.5,417
-72.5,49.5,355
-71.5,49.5,395
-70.5,49.5,491
-170.5,48.5,-5359
-169.5,48.5,-5367
-168.5,48.5,-5422
-167.5,48.5,-5347
-166.5,48.5,-5282
-165.5,48.5,-5180
-164.5,48.5,-5127
-163.5,48.5,-5055
-162.5,48.5,-5089
-161.5,48.5,-5079
-160.5,48.5,-4979
-159.5,48.5,-5040
-158.5,48.5,-5032
-157.5,48.5,-5086
-156.5,48.5,-5119
-155.5,48.5,-5056
-154.5,48.5,-5035
-153.5,48.5,-5020
-152.5,48.5,-5055
-151.5,48.5,-4949
-150.5,48.5,-4847
-149.5,48.5,-4820
-148.5,48.5,-4760
-147.5,48.5,-4688
-146.5,48.5,-4625
-145.5,48.5,-4493
-144.5,48.5,-4297
-143.5,48.5,-4315
-142.5,48.5,-4269
-141.5,48.5,-4258
-140.5,48.5,-4165
-139.5,48.5,-4034
-138.5,48.5,-4019
-137.5,48.5,-4020
-136.5,48.5,-3922
-135.5,48.5,-3898
-134.5,48.5,-3714
-133.5,48.5,-3158
-132.5,48.5,-3077
-131.5,48.5,-3023
-130.5,48.5,-2807
-129.5,48.5,-2591
-128.5,48.5,-2521
-127.5,48.5,-2477
-126.5,48.5,-1283
-125.5,48.5,-170
-124.5,48.5,208
-123.5,48.5,119
-122.5,48.5,106
-121.5,48.5,1040
-120.5,48.5,1506
-119.5,48.5,937
-118.5,48.5,989
-117.5,48.5,967
-116.5,48.5,1102
-115.5,48.5,1268
-114.5,48.5,1362
-113.5,48.5,1666
-112.5,48.5,1271
-111.5,48.5,1055
-110.5,48.5,910
-109.5,48.5,972
-108.5,48.5,861
-107.5,48.5,764
-106.5,48.5,794
-105.5,48.5,752
-104.5,48.5,665
-103.5,48.5,657
-102.5,48.5,660
-101.5,48.5,538
-100.5,48.5,477
-99.5,48.5,489
-98.5,48.5,466
-97.5,48.5,284
-96.5,48.5,299
-95.5,48.5,353
-94.5,48.5,353
